Date,Convergex
2013-12-15,34
2013-12-16,46
2013-12-17,57
2013-12-18,69
2013-12-19,80
2013-12-20,92
2013-12-21,104
2013-12-22,95
2013-12-23,81
2013-12-24,71
2013-12-25,61
2013-12-26,52
2013-12-27,42
2013-12-28,32
2013-12-29,30
2013-12-30,27
2013-12-31,24
2014-01-01,22
2014-01-02,19
2014-01-03,17
2014-01-04,15
2014-01-05,17
2014-01-06,20
2014-01-07,22
2014-01-08,25
2014-01-09,27
2014-01-10,30
2014-01-11,33
2014-01-12,32
2014-01-13,32
2014-01-14,31
2014-01-15,31
2014-01-16,30
2014-01-17,30
2014-01-18,30
2014-01-19,30
2014-01-20,30
2014-01-21,31
2014-01-22,31
2014-01-23,32
2014-01-24,32
2014-01-25,33
2014-01-26,31
2014-01-27,30
2014-01-28,29
2014-01-29,28
2014-01-30,26
2014-01-31,25
2014-02-01,24
2014-02-02,23
2014-02-03,22
2014-02-04,21
2014-02-05,20
2014-02-06,19
2014-02-07,18
2014-02-08,18
2014-02-09,19
2014-02-10,20
2014-02-11,21
2014-02-12,22
2014-02-13,23
2014-02-14,24
2014-02-15,25
2014-02-16,24
2014-02-17,24
2014-02-18,23
2014-02-19,23
2014-02-20,23
2014-02-21,22
2014-02-22,22
2014-02-23,21
2014-03-01,14
