Date,Everyday Health Inc
2010-05-02,43
2010-05-03,45
2010-05-04,47
2010-05-05,49
2010-05-06,50
2010-05-07,52
2010-05-08,54
2010-05-09,53
2010-05-10,52
2010-05-11,51
2010-05-12,51
2010-05-13,50
2010-05-14,49
2010-05-15,49
2010-05-16,49
2010-05-17,50
2010-05-18,51
2010-05-19,52
2010-05-20,53
2010-05-21,54
2010-05-22,55
2010-05-23,54
2010-05-24,53
2010-05-25,52
2010-05-26,51
2010-05-27,50
2010-05-28,49
2010-05-29,48
2010-05-30,46
2010-05-31,44
2010-06-01,42
2010-06-02,41
2010-06-03,39
2010-06-04,37
2010-06-05,36
2010-06-06,36
2010-06-07,36
2010-06-08,37
2010-06-09,37
2010-06-10,37
2010-06-11,38
2010-06-12,38
2010-06-13,39
2010-06-14,39
2010-06-15,40
2010-06-16,40
2010-06-17,41
2010-06-18,42
2010-06-19,43
2010-06-20,44
2010-06-21,45
2010-06-22,46
2010-06-23,48
2010-06-24,49
2010-06-25,50
2010-06-26,52
2010-06-27,49
2010-06-28,47
2010-06-29,45
2010-06-30,43
2010-07-01,41
2010-07-02,39
2010-07-03,37
2010-07-04,37
2010-07-05,37
2010-07-06,37
2010-07-07,37
2010-07-08,37
2010-07-09,37
2010-07-10,38
2010-07-11,39
2010-07-12,40
2010-07-13,42
2010-07-14,43
2010-07-15,45
2010-07-16,46
2010-07-17,48
2010-07-18,49
2010-07-19,51
2010-07-20,53
2010-07-21,54
2010-07-22,56
2010-07-23,58
2010-07-24,60
2010-07-25,58
2010-08-01,48
2010-08-02,49
2010-08-03,51
2010-08-04,52
2010-08-05,54
2010-08-06,55
2010-08-07,57
2010-08-08,57
2010-08-09,57
2010-08-10,58
2010-08-11,58
2010-08-12,58
2010-08-13,58
2010-08-14,59
2010-08-15,58
2010-08-16,57
2010-08-17,56
2010-08-18,56
2010-08-19,55
2010-08-20,54
2010-08-21,54
2010-08-22,53
2010-08-23,53
2010-08-24,53
2010-08-25,53
2010-08-26,53
2010-08-27,53
2010-08-28,53
2010-08-29,52
2010-08-30,52
2010-08-31,52
2010-09-01,51
2010-09-02,51
2010-09-03,51
2010-09-04,51
2010-09-05,50
2010-09-06,50
2010-09-07,49
2010-09-08,49
2010-09-09,49
2010-09-10,48
2010-09-11,48
2010-09-12,48
2010-09-13,49
2010-09-14,50
2010-09-15,50
2010-09-16,51
2010-09-17,52
2010-09-18,53
2010-09-19,54
2010-09-20,55
2010-09-21,57
2010-09-22,58
2010-09-23,60
2010-09-24,61
2010-09-25,63
2010-09-26,63
2010-09-27,63
2010-09-28,63
2010-09-29,63
2010-09-30,63
2010-10-01,63
2010-10-02,64
2010-10-03,61
2010-10-04,59
2010-10-05,57
2010-10-06,54
2010-10-07,52
2010-10-08,50
2010-10-09,48
2010-10-10,49
2010-10-11,50
2010-10-12,51
2010-10-13,52
2010-10-14,53
2010-10-15,54
2010-10-16,55
2010-10-17,54
2010-10-18,53
2010-10-19,52
2010-10-20,51
2010-10-21,50
2010-10-22,49
2010-10-23,49
2010-10-24,51
2010-10-25,53
2010-10-26,55
2010-10-27,57
2010-10-28,59
2010-10-29,61
2010-10-30,64
2010-10-31,64
2010-11-01,64
2010-11-02,64
2010-11-03,65
2010-11-04,65
2010-11-05,65
2010-11-06,66
2010-11-07,62
2010-11-08,59
2010-11-09,56
2010-11-10,55
2010-11-11,49
2010-11-12,46
2010-11-13,43
2010-11-14,48
2010-11-15,53
2010-11-16,58
2010-11-17,63
2010-11-18,68
2010-11-19,73
2010-11-20,78
2010-11-21,71
2010-11-22,65
2010-11-23,59
2010-11-24,53
2010-11-25,47
2010-11-26,41
2010-11-27,35
2010-11-28,35
2010-11-29,36
2010-11-30,37
2010-12-01,37
2010-12-02,38
2010-12-03,39
2010-12-04,40
2010-12-05,41
2010-12-06,44
2010-12-07,44
2010-12-08,46
2010-12-09,47
2010-12-10,49
2010-12-11,51
2010-12-12,49
2010-12-13,48
2010-12-14,47
2010-12-15,46
2010-12-16,45
2010-12-17,44
2010-12-18,43
2010-12-19,41
2010-12-20,39
2010-12-21,37
2010-12-22,36
2010-12-23,34
2010-12-24,32
2010-12-25,31
2010-12-26,34
2010-12-27,37
2010-12-28,40
2010-12-29,43
2010-12-30,46
2010-12-31,49
2011-01-01,53
2011-01-02,57
2011-01-03,61
2011-01-04,65
2011-01-05,69
2011-01-06,73
2011-01-07,78
2011-01-08,81
2011-01-09,79
2011-01-10,78
2011-01-11,77
2011-01-12,76
2011-01-13,75
2011-01-14,74
2011-01-15,77
2011-01-16,72
2011-01-17,71
2011-01-18,74
2011-01-19,70
2011-01-20,70
2011-01-21,68
2011-01-22,68
2011-01-23,70
2011-01-24,72
2011-01-25,74
2011-01-26,76
2011-01-27,80
2011-01-28,81
2011-01-29,82
2011-01-30,80
2011-01-31,78
2011-02-01,76
2011-02-02,75
2011-02-03,77
2011-02-04,71
2011-02-05,70
2011-02-06,72
2011-02-07,75
2011-02-08,77
2011-02-09,84
2011-02-10,82
2011-02-11,89
2011-02-12,90
2011-02-13,85
2011-02-14,82
2011-02-15,79
2011-02-16,77
2011-02-17,76
2011-02-18,73
2011-02-19,69
2011-02-20,68
2011-02-21,67
2011-02-22,66
2011-02-23,66
2011-02-24,65
2011-02-25,64
2011-02-26,66
2011-02-27,63
2011-02-28,63
2011-03-01,62
2011-03-02,62
2011-03-03,61
2011-03-04,61
2011-03-05,61
2011-03-06,60
2011-03-07,59
2011-03-08,60
2011-03-09,58
2011-03-10,57
2011-03-11,58
2011-03-12,56
2011-03-13,57
2011-03-14,58
2011-03-15,59
2011-03-16,61
2011-03-17,63
2011-03-18,63
2011-03-19,65
2011-03-20,64
2011-03-21,63
2011-03-22,62
2011-03-23,65
2011-03-24,60
2011-03-25,59
2011-03-26,58
2011-03-27,57
2011-03-28,56
2011-03-29,55
2011-03-30,54
2011-03-31,53
2011-05-01,57
2011-05-02,62
2011-05-03,66
2011-05-04,71
2011-05-05,75
2011-05-06,90
2011-05-07,86
2011-05-08,81
2011-05-09,77
2011-05-10,73
2011-05-11,69
2011-05-12,65
2011-05-13,64
2011-05-14,58
2011-05-15,60
2011-05-16,62
2011-05-17,64
2011-05-18,69
2011-05-19,68
2011-05-20,70
2011-05-21,72
2011-05-22,72
2011-05-23,73
2011-05-24,73
2011-05-25,73
2011-05-26,74
2011-05-27,74
2011-05-28,75
2011-05-29,71
2011-05-30,68
2011-05-31,65
2011-06-01,65
2011-06-02,59
2011-06-03,55
