Date,PTC Therapeutics
2012-11-01,0
2012-11-02,0
2012-11-03,1
2012-11-04,2
2012-11-05,3
2012-11-06,4
2012-11-07,5
2012-11-08,5
2012-11-09,6
2012-11-10,7
2012-11-11,8
2012-11-12,9
2012-11-13,10
2012-11-14,10
2012-11-15,11
2012-11-16,12
2012-11-17,13
2012-11-18,14
2012-11-19,15
2012-11-20,15
2012-11-21,16
2012-11-22,17
2012-11-23,18
2012-11-24,19
2012-11-25,20
2012-11-26,20
2012-11-27,21
2012-11-28,22
2012-11-29,23
2012-11-30,24
2012-12-01,25
2012-12-02,25
2012-12-03,26
2012-12-04,27
2012-12-05,28
2012-12-06,29
2012-12-07,29
2012-12-08,30
2012-12-09,31
2012-12-10,32
2012-12-11,33
2012-12-12,33
2012-12-13,34
2012-12-14,35
2012-12-15,36
2012-12-16,37
2012-12-17,37
2012-12-18,38
2012-12-19,39
2012-12-20,40
2012-12-21,41
2012-12-22,41
2012-12-23,42
2012-12-24,43
2012-12-25,44
2012-12-26,45
2012-12-27,45
2012-12-28,46
2012-12-29,47
2012-12-30,48
2012-12-31,49
2013-01-01,50
2013-01-02,49
2013-01-03,49
2013-01-04,48
2013-01-05,48
2013-01-06,47
2013-01-07,47
2013-01-08,47
2013-01-09,46
2013-01-10,46
2013-01-11,45
2013-01-12,45
2013-01-13,44
2013-01-14,44
2013-01-15,44
2013-01-16,43
2013-01-17,43
2013-01-18,42
2013-01-19,42
2013-01-20,42
2013-01-21,41
2013-01-22,41
2013-01-23,40
2013-01-24,40
2013-01-25,39
2013-01-26,39
2013-01-27,39
2013-01-28,38
2013-01-29,38
2013-01-30,37
2013-01-31,37
2013-02-01,37
2013-02-02,37
2013-02-03,38
2013-02-04,39
2013-02-05,40
2013-02-06,41
2013-02-07,41
2013-02-08,42
2013-02-09,43
2013-02-10,44
2013-02-11,45
2013-02-12,46
2013-02-13,46
2013-02-14,47
2013-02-15,48
2013-02-16,49
2013-02-17,50
2013-02-18,50
2013-02-19,51
2013-02-20,52
2013-02-21,53
2013-02-22,54
2013-02-23,55
2013-02-24,55
2013-02-25,56
2013-02-26,57
2013-02-27,58
2013-02-28,59
2013-03-01,60
2013-03-02,59
2013-03-03,59
2013-03-04,58
2013-03-05,58
2013-03-06,57
2013-03-07,57
2013-03-08,56
2013-03-09,56
2013-03-10,55
2013-03-11,55
2013-03-12,54
2013-03-13,54
2013-03-14,53
2013-03-15,53
2013-03-16,52
2013-03-17,52
2013-03-18,51
2013-03-19,51
2013-03-20,50
2013-03-21,50
2013-03-22,49
2013-03-23,49
2013-03-24,48
2013-03-25,48
2013-03-26,47
2013-03-27,47
2013-03-28,46
2013-03-29,46
2013-03-30,45
2013-03-31,45
2013-04-01,45
2013-04-02,45
2013-04-03,45
2013-04-04,45
2013-04-05,46
2013-04-06,46
2013-04-07,46
2013-04-08,46
2013-04-09,47
2013-04-10,47
2013-04-11,47
2013-04-12,47
2013-04-13,48
2013-04-14,48
2013-04-15,48
2013-04-16,49
2013-04-17,49
2013-04-18,49
2013-04-19,49
2013-04-20,50
2013-04-21,50
2013-04-22,50
2013-04-23,50
2013-04-24,51
2013-04-25,51
2013-04-26,51
2013-04-27,51
2013-04-28,52
2013-04-29,52
2013-04-30,52
2013-05-05,58
2013-05-06,74
2013-05-07,61
2013-05-08,63
2013-05-09,64
2013-05-10,66
2013-05-11,67
2013-05-12,68
2013-05-13,70
2013-05-14,71
2013-05-15,73
2013-05-16,74
2013-05-17,76
2013-05-18,77
2013-05-19,79
2013-05-20,80
2013-05-21,82
2013-05-22,83
2013-05-23,84
2013-05-24,86
2013-05-25,87
2013-05-26,89
2013-05-27,90
