Date,Extended Stay America
2013-01-12,46
2013-01-13,43
2013-01-14,41
2013-01-15,39
2013-01-16,36
2013-01-17,34
2013-01-18,32
2013-01-19,30
2013-01-20,28
2013-01-21,27
2013-01-22,26
2013-01-23,25
2013-01-24,24
2013-01-25,23
2013-01-26,22
2013-01-27,22
2013-01-28,22
2013-01-29,22
2013-01-30,22
2013-01-31,22
2013-02-01,22
2013-02-02,23
2013-02-03,25
2013-02-04,27
2013-02-05,29
2013-02-06,31
2013-02-07,33
2013-02-08,35
2013-02-09,37
2013-02-10,38
2013-02-11,39
2013-02-12,40
2013-02-13,42
2013-02-14,43
2013-02-15,44
2013-02-16,45
2013-02-17,43
2013-02-18,41
2013-02-19,39
2013-02-20,37
2013-02-21,35
2013-02-22,33
2013-02-23,31
2013-02-24,31
2013-02-25,32
2013-02-26,33
2013-02-27,33
2013-02-28,34
2013-03-01,35
2013-03-02,36
2013-03-03,37
2013-03-04,39
2013-03-05,41
2013-03-06,43
2013-03-07,45
2013-03-08,47
2013-03-09,49
2013-03-10,46
2013-03-11,43
2013-03-12,40
2013-03-13,37
2013-03-14,34
2013-03-15,31
2013-03-16,28
2013-03-17,29
2013-03-18,31
2013-03-19,33
2013-03-20,35
2013-03-21,37
2013-03-22,39
2013-03-23,41
2013-03-24,42
2013-03-25,44
2013-03-26,45
2013-03-27,47
2013-03-28,48
2013-03-29,50
2013-03-30,52
2013-03-31,53
2013-04-07,64
2013-04-08,67
2013-04-09,69
2013-04-10,71
2013-04-11,73
2013-04-12,75
2013-04-13,77
2013-04-14,74
2013-04-15,69
2013-04-16,65
2013-04-17,62
2013-04-18,58
2013-04-19,55
2013-04-20,52
2013-04-21,53
2013-04-22,55
2013-04-23,56
2013-04-24,58
2013-04-25,59
2013-04-26,61
2013-04-27,63
2013-04-28,59
2013-04-29,56
2013-04-30,53
2013-05-01,50
2013-05-02,46
2013-05-03,43
2013-05-04,40
2013-05-05,42
2013-05-06,45
2013-05-07,47
2013-05-08,50
2013-05-09,52
2013-05-10,55
2013-05-11,58
2013-05-12,56
2013-05-13,55
2013-05-14,53
2013-05-15,52
2013-05-16,51
2013-05-17,49
2013-05-18,48
2013-05-19,47
2013-05-20,45
2013-05-21,44
2013-05-22,43
2013-05-23,42
2013-05-24,41
2013-05-25,40
2013-05-26,41
2013-05-27,43
2013-05-28,44
2013-05-29,45
2013-05-30,47
2013-05-31,48
2013-06-01,50
2013-06-02,49
2013-06-03,49
2013-06-04,48
2013-06-05,48
2013-06-06,47
2013-06-07,47
2013-06-08,47
2013-06-09,48
2013-06-10,50
2013-06-11,52
2013-06-12,53
2013-06-13,55
2013-06-14,57
2013-06-15,59
2013-06-16,55
2013-06-17,52
2013-06-18,49
2013-06-19,46
2013-06-20,42
2013-06-21,39
2013-06-22,36
2013-06-23,36
2013-06-24,37
2013-06-25,37
2013-06-26,38
2013-06-27,38
2013-06-28,39
2013-06-29,40
2013-06-30,41
2013-07-07,54
2013-07-08,58
2013-07-09,63
2013-07-10,67
2013-07-11,72
2013-07-12,76
2013-07-13,81
2013-07-14,82
2013-07-15,84
2013-07-16,85
2013-07-17,87
2013-07-18,89
2013-07-19,90
2013-07-20,92
2013-07-21,90
2013-07-22,88
2013-07-23,86
2013-07-24,85
2013-07-25,83
2013-07-26,81
2013-07-27,80
2013-07-28,82
2013-07-29,86
2013-07-30,88
2013-07-31,91
2013-08-01,94
2013-08-02,97
2013-08-03,100
2013-08-04,98
2013-08-05,96
2013-08-06,93
2013-08-07,91
2013-08-08,89
2013-08-09,86
2013-08-10,84
2013-08-11,77
2013-08-12,69
2013-08-13,62
2013-08-14,55
2013-08-15,48
2013-08-16,41
2013-08-17,35
2013-08-18,35
2013-08-19,35
2013-08-20,35
2013-08-21,36
2013-08-22,36
