Date,BGC Partners
2007-07-21,50
2007-07-22,50
2007-07-23,49
2007-07-24,48
2007-07-25,48
2007-07-26,47
2007-07-27,47
2007-07-28,46
2007-07-29,45
2007-07-30,45
2007-07-31,44
2007-08-01,44
2007-08-02,45
2007-08-03,46
2007-08-04,47
2007-08-05,49
2007-08-06,50
2007-08-07,51
2007-08-08,52
2007-08-09,54
2007-08-10,55
2007-08-11,56
2007-08-12,57
2007-08-13,59
2007-08-14,60
2007-08-15,61
2007-08-16,62
2007-08-17,64
2007-08-18,65
2007-08-19,66
2007-08-20,67
2007-08-21,69
2007-08-22,70
2007-08-23,71
2007-08-24,72
2007-08-25,74
2007-08-26,75
2007-08-27,76
2007-08-28,77
2007-08-29,79
2007-08-30,80
2007-08-31,81
2007-09-01,83
2007-09-02,82
2007-09-03,81
2007-09-04,81
2007-09-05,80
2007-09-06,80
2007-09-07,79
2007-09-08,79
2007-09-09,78
2007-09-10,78
2007-09-11,77
2007-09-12,77
2007-09-13,76
2007-09-14,76
2007-09-15,75
2007-09-16,75
2007-09-17,74
2007-09-18,73
2007-09-19,73
2007-09-20,72
2007-09-21,72
2007-09-22,71
2007-09-23,71
2007-09-24,70
2007-09-25,70
2007-09-26,69
2007-09-27,69
2007-09-28,68
2007-09-29,68
2007-09-30,67
2007-10-01,67
2007-10-02,66
2007-10-03,66
2007-10-04,65
2007-10-05,65
2007-10-06,64
2007-10-07,64
2007-10-08,64
2007-10-09,63
2007-10-10,63
2007-10-11,62
2007-10-12,62
2007-10-13,61
2007-10-14,61
2007-10-15,61
2007-10-16,60
2007-10-17,60
2007-10-18,59
2007-10-19,59
2007-10-20,59
2007-10-21,58
2007-10-22,58
2007-10-23,57
2007-10-24,57
2007-10-25,56
2007-10-26,56
2007-10-27,56
2007-10-28,55
2007-10-29,55
2007-10-30,54
2007-10-31,54
2007-11-01,54
2007-11-02,53
2007-11-03,53
2007-11-04,52
2007-11-05,52
2007-11-06,52
2007-11-07,51
2007-11-08,51
2007-11-09,50
2007-11-10,50
2007-11-11,50
2007-11-12,49
2007-11-13,49
2007-11-14,48
2007-11-15,48
2007-11-16,48
2007-11-17,47
2007-11-18,47
2007-11-19,46
2007-11-20,46
2007-11-21,46
2007-11-22,45
2007-11-23,45
2007-11-24,44
2007-11-25,44
2007-11-26,44
2007-11-27,43
2007-11-28,43
2007-11-29,42
2007-11-30,42
2007-12-01,42
2007-12-02,43
2007-12-03,45
2007-12-04,47
2007-12-05,49
2007-12-06,51
2007-12-07,53
2007-12-08,55
2007-12-09,56
2007-12-10,58
2007-12-11,60
2007-12-12,62
2007-12-13,64
2007-12-14,66
2007-12-15,68
2007-12-16,70
2007-12-17,71
2007-12-18,73
2007-12-19,75
2007-12-20,77
2007-12-21,79
2007-12-22,81
2007-12-23,83
2007-12-24,85
2007-12-25,86
2007-12-26,88
2007-12-27,90
2007-12-28,92
2007-12-29,94
2007-12-30,96
2007-12-31,98
2008-01-01,100
2008-01-02,98
2008-01-03,97
2008-01-04,96
2008-01-05,94
2008-01-06,93
2008-01-07,92
2008-01-08,90
2008-01-09,89
2008-01-10,88
2008-01-11,86
2008-01-12,85
2008-01-13,84
2008-01-14,82
2008-01-15,81
2008-01-16,80
2008-01-17,78
2008-01-18,77
2008-01-19,76
