Date,Initiate Systems
2007-05-01,86
2007-05-02,85
2007-05-03,85
2007-05-04,84
2007-05-05,84
2007-05-06,83
2007-05-07,83
2007-05-08,83
2007-05-09,82
2007-05-10,82
2007-05-11,81
2007-05-12,81
2007-05-13,80
2007-05-14,80
2007-05-15,80
2007-05-16,79
2007-05-17,79
2007-05-18,78
2007-05-19,78
2007-05-20,78
2007-05-21,77
2007-05-22,77
2007-05-23,76
2007-05-24,76
2007-05-25,75
2007-05-26,75
2007-05-27,75
2007-05-28,74
2007-05-29,74
2007-05-30,73
2007-05-31,73
2007-06-01,73
2007-06-02,72
2007-06-03,72
2007-06-04,71
2007-06-05,71
2007-06-06,70
2007-06-07,70
2007-06-08,69
2007-06-09,69
2007-06-10,68
2007-06-11,68
2007-06-12,67
2007-06-13,67
2007-06-14,66
2007-06-15,66
2007-06-16,66
2007-06-17,65
2007-06-18,65
2007-06-19,64
2007-06-20,64
2007-06-21,63
2007-06-22,63
2007-06-23,62
2007-06-24,62
2007-06-25,61
2007-06-26,61
2007-06-27,60
2007-06-28,60
2007-06-29,59
2007-06-30,59
2007-07-01,59
2007-07-02,59
2007-07-03,60
2007-07-04,60
2007-07-05,61
2007-07-06,61
2007-07-07,62
2007-07-08,62
2007-07-09,63
2007-07-10,63
2007-07-11,64
2007-07-12,65
2007-07-13,65
2007-07-14,66
2007-07-15,66
2007-07-16,67
2007-07-17,67
2007-07-18,68
2007-07-19,68
2007-07-20,69
2007-07-21,69
2007-07-22,70
2007-07-23,71
2007-07-24,71
2007-07-25,72
2007-07-26,72
2007-07-27,73
2007-07-28,73
2007-07-29,74
2007-07-30,74
2007-07-31,75
2007-08-01,76
2007-08-02,75
2007-08-03,75
2007-08-04,74
2007-08-05,74
2007-08-06,73
2007-08-07,73
2007-08-08,73
2007-08-09,72
2007-08-10,72
2007-08-11,71
2007-08-12,71
2007-08-13,70
2007-08-14,70
2007-08-15,70
2007-08-16,69
2007-08-17,69
2007-08-18,68
2007-08-19,68
2007-08-20,68
2007-08-21,67
2007-08-22,67
2007-08-23,66
2007-08-24,66
2007-08-25,65
2007-08-26,65
2007-08-27,65
2007-08-28,64
2007-08-29,64
2007-08-30,63
2007-08-31,63
2007-09-01,63
2007-09-02,63
2007-09-03,64
2007-09-04,64
2007-09-05,65
2007-09-06,66
2007-09-07,66
2007-09-08,67
2007-09-09,68
2007-09-10,68
2007-09-11,69
2007-09-12,69
2007-09-13,70
2007-09-14,71
2007-09-15,71
2007-09-16,72
2007-09-17,73
2007-09-18,73
2007-09-19,74
2007-09-20,75
2007-09-21,75
2007-09-22,76
2007-09-23,76
2007-09-24,77
2007-09-25,78
2007-09-26,78
2007-09-27,79
2007-09-28,80
2007-09-29,80
2007-09-30,81
2007-10-01,82
2007-10-02,82
2007-10-03,83
2007-10-04,83
2007-10-05,84
2007-10-06,84
2007-10-07,85
2007-10-08,86
2007-10-09,86
2007-10-10,87
2007-10-11,87
2007-10-12,88
2007-10-13,88
2007-10-14,89
2007-10-15,90
2007-10-16,90
2007-10-17,91
2007-10-18,91
2007-10-19,92
2007-10-20,93
2007-10-21,93
2007-10-22,94
2007-10-23,94
2007-10-24,95
2007-10-25,95
2007-10-26,96
2007-10-27,97
2007-10-28,97
2007-10-29,98
2007-10-30,98
2007-10-31,99
2007-11-01,100
2007-11-02,98
2007-11-03,96
2007-11-04,95
2007-11-05,93
2007-11-06,92
2007-11-07,90
2007-11-08,88
2007-11-09,87
2007-11-10,85
2007-11-11,84
2007-11-12,82
2007-11-13,80
2007-11-14,79
2007-11-15,77
2007-11-16,76
2007-11-17,74
2007-11-18,72
2007-11-19,71
2007-11-20,69
2007-11-21,68
2007-11-22,66
2007-11-23,64
2007-11-24,63
2007-11-25,61
2007-11-26,60
2007-11-27,58
2007-11-28,56
2007-11-29,55
2007-11-30,53
2007-12-01,52
2007-12-02,51
2007-12-03,51
2007-12-04,51
2007-12-05,51
2007-12-06,50
2007-12-07,50
2007-12-08,50
2007-12-09,50
2007-12-10,49
2007-12-11,49
2007-12-12,49
2007-12-13,49
2007-12-14,49
2007-12-15,48
2007-12-16,48
2007-12-17,48
2007-12-18,48
2007-12-19,47
2007-12-20,47
2007-12-21,47
2007-12-22,47
2007-12-23,47
2007-12-24,46
2007-12-25,46
2007-12-26,46
2007-12-27,46
2007-12-28,45
2007-12-29,45
2007-12-30,45
2007-12-31,45
2008-01-01,45
2008-01-02,46
2008-01-03,48
2008-01-04,50
2008-01-05,51
2008-01-06,53
2008-01-07,55
2008-01-08,56
2008-01-09,58
2008-01-10,60
2008-01-11,62
2008-01-12,63
2008-01-13,65
2008-01-14,67
2008-01-15,68
2008-01-16,70
2008-01-17,72
2008-01-18,74
2008-01-19,75
2008-01-20,77
2008-01-21,79
2008-01-22,80
2008-01-23,82
2008-01-24,84
2008-01-25,86
2008-01-26,87
2008-01-27,89
2008-01-28,91
2008-01-29,92
2008-01-30,94
2008-01-31,96
2008-02-01,98
2008-02-02,97
2008-02-03,96
2008-02-04,96
2008-02-05,95
2008-02-06,95
2008-02-07,94
2008-02-08,93
2008-02-09,93
2008-02-10,92
2008-02-11,92
2008-02-12,91
2008-02-13,90
2008-02-14,90
2008-02-15,89
2008-02-16,89
2008-02-17,88
2008-02-18,88
2008-02-19,87
2008-02-20,86
2008-02-21,86
2008-02-22,85
