Date,Green Dot
2009-08-08,60
2009-08-09,60
2009-08-10,58
2009-08-11,58
2009-08-12,58
2009-08-13,55
2009-08-14,54
2009-08-15,55
2009-08-16,53
2009-08-17,54
2009-08-18,53
2009-08-19,52
2009-08-20,53
2009-08-21,51
2009-08-22,52
2009-08-23,51
2009-08-24,53
2009-08-25,51
2009-08-26,53
2009-08-27,52
2009-08-28,52
2009-08-29,53
2009-08-30,56
2009-08-31,53
2009-09-01,53
2009-09-02,53
2009-09-03,53
2009-09-04,56
2009-09-05,54
2009-09-06,57
2009-09-07,53
2009-09-08,51
2009-09-09,51
2009-09-10,49
2009-09-11,50
2009-09-12,48
2009-09-13,49
2009-09-14,48
2009-09-15,48
2009-09-16,48
2009-09-17,48
2009-09-18,48
2009-09-19,49
2009-09-20,48
2009-09-21,50
2009-09-22,48
2009-09-23,49
2009-09-24,49
2009-09-25,48
2009-09-26,48
2009-09-27,50
2009-09-28,45
2009-09-29,44
2009-09-30,43
2009-10-01,42
2009-10-02,41
2009-10-03,42
2009-10-04,41
2009-10-05,40
2009-10-06,40
2009-10-07,42
2009-10-08,40
2009-10-09,40
2009-10-10,41
2009-10-11,42
2009-10-12,42
2009-10-13,44
2009-10-14,43
2009-10-15,44
2009-10-16,45
2009-10-17,49
2009-10-18,46
2009-10-19,46
2009-10-20,47
2009-10-21,50
2009-10-22,46
2009-10-23,46
2009-10-24,50
2009-10-25,47
2009-10-26,47
2009-10-27,48
2009-10-28,47
2009-10-29,48
2009-10-30,47
2009-10-31,48
2009-11-01,47
2009-11-02,47
2009-11-03,49
2009-11-04,46
2009-11-05,46
2009-11-06,46
2009-11-07,47
2009-11-08,47
2009-11-09,45
2009-11-10,44
2009-11-11,44
2009-11-12,43
2009-11-13,43
2009-11-14,43
2009-11-15,46
2009-11-16,43
2009-11-17,43
2009-11-18,44
2009-11-19,48
2009-11-20,44
2009-11-21,45
2009-11-22,45
2009-11-23,43
2009-11-24,43
2009-11-25,43
2009-11-26,43
2009-11-27,42
2009-11-28,41
2009-11-29,43
2009-11-30,43
2009-12-01,45
2009-12-02,46
2009-12-03,51
2009-12-04,49
2009-12-05,53
2009-12-06,51
2009-12-07,52
2009-12-08,54
2009-12-09,54
2009-12-10,57
2009-12-11,56
