Date,BE Resources
2008-01-06,33
2008-01-07,37
2008-01-08,41
2008-01-09,45
2008-01-10,49
2008-01-11,53
2008-01-12,57
2008-01-13,57
2008-01-14,57
2008-01-15,57
2008-01-16,57
2008-01-17,57
2008-01-18,57
2008-01-19,57
2008-01-20,56
2008-01-21,56
2008-01-22,56
2008-01-23,55
2008-01-24,55
2008-01-25,55
2008-01-26,55
2008-01-27,55
2008-01-28,55
2008-01-29,55
2008-01-30,55
2008-01-31,55
2008-02-01,55
2008-02-02,55
2008-02-03,54
2008-02-04,54
2008-02-05,54
2008-02-06,53
2008-02-07,53
2008-02-08,53
2008-02-09,53
2008-02-10,52
2008-02-11,52
2008-02-12,51
2008-02-13,51
2008-02-14,51
2008-02-15,50
2008-02-16,50
2008-02-17,50
2008-02-18,51
2008-02-19,51
2008-02-20,52
2008-02-21,52
2008-02-22,53
2008-02-23,54
2008-02-24,55
2008-02-25,56
2008-02-26,57
2008-02-27,59
2008-02-28,60
2008-02-29,61
2008-03-01,63
2008-03-02,64
2008-03-03,65
2008-03-04,67
2008-03-05,68
2008-03-06,69
2008-03-07,71
2008-03-08,72
2008-03-09,69
2008-03-10,66
2008-03-11,63
2008-03-12,60
2008-03-13,57
2008-03-14,54
2008-03-15,51
2008-03-16,54
2008-03-17,58
2008-03-18,62
2008-03-19,65
2008-03-20,69
2008-03-21,72
2008-03-22,76
2008-03-23,71
2008-03-24,66
2008-03-25,62
2008-03-26,57
2008-03-27,53
2008-03-28,48
2008-03-29,44
2008-03-30,46
2008-04-06,61
2008-04-07,65
2008-04-08,68
2008-04-09,71
2008-04-10,75
2008-04-11,78
2008-04-12,82
2008-04-13,80
2008-04-14,79
2008-04-15,77
2008-04-16,76
2008-04-17,74
2008-04-18,72
2008-04-19,71
2008-04-20,71
2008-04-21,70
2008-04-22,70
2008-04-23,69
2008-04-24,69
2008-04-25,69
2008-04-26,69
2008-04-27,68
2008-04-28,67
2008-04-29,66
2008-04-30,65
2008-05-01,64
2008-05-02,63
2008-05-03,62
2008-05-04,62
2008-05-05,63
2008-05-06,63
2008-05-07,64
2008-05-08,64
2008-05-09,65
2008-05-10,66
2008-05-11,66
2008-05-12,67
2008-05-13,67
2008-05-14,67
2008-05-15,68
2008-05-16,68
2008-05-17,69
2008-05-18,67
2008-05-19,64
2008-05-20,62
2008-05-21,60
2008-05-22,58
2008-05-23,56
2008-05-24,54
2008-05-25,53
2008-05-26,53
2008-05-27,53
2008-05-28,53
2008-05-29,53
2008-05-30,53
2008-05-31,53
2008-06-01,54
2008-06-02,56
2008-06-03,58
2008-06-04,59
2008-06-05,61
2008-06-06,63
2008-06-07,65
2008-06-08,63
2008-06-09,63
2008-06-10,62
2008-06-11,61
2008-06-12,59
2008-06-13,58
2008-06-14,57
2008-06-15,56
2008-06-16,54
2008-06-17,53
2008-06-18,52
2008-06-19,51
2008-06-20,50
2008-06-21,49
2008-06-22,47
2008-06-23,46
2008-06-24,45
2008-06-25,43
2008-06-26,42
2008-06-27,40
2008-06-28,39
2008-06-29,37
2008-07-06,31
2008-07-07,33
2008-07-08,35
2008-07-09,37
2008-07-10,39
2008-07-11,41
2008-07-12,43
2008-07-13,42
2008-07-14,42
2008-07-15,41
2008-07-16,41
2008-07-17,40
2008-07-18,40
2008-07-19,40
2008-07-20,42
2008-07-21,46
2008-07-22,49
2008-07-23,52
2008-07-24,55
2008-07-25,57
2008-07-26,60
2008-07-27,59
2008-07-28,57
2008-07-29,56
2008-07-30,54
2008-07-31,53
2008-08-01,52
2008-08-02,51
2008-08-03,52
2008-08-04,54
2008-08-05,55
2008-08-06,57
2008-08-07,58
2008-08-08,60
2008-08-09,62
2008-08-10,60
2008-08-11,59
2008-08-12,58
