Date,Health Insurance Innovations
2013-05-21,61
2013-05-22,61
2013-05-23,60
2013-05-24,59
2013-05-25,58
2013-05-26,57
2013-05-27,57
2013-05-28,56
2013-05-29,55
2013-05-30,54
2013-05-31,53
2013-06-01,53
2013-06-02,53
2013-06-03,53
2013-06-04,53
2013-06-05,54
2013-06-06,54
2013-06-07,54
2013-06-08,54
2013-06-09,55
2013-06-10,55
2013-06-11,55
2013-06-12,55
2013-06-13,56
2013-06-14,56
2013-06-15,56
2013-06-16,57
2013-06-17,57
2013-06-18,57
2013-06-19,57
2013-06-20,58
2013-06-21,58
2013-06-22,58
2013-06-23,58
2013-06-24,59
2013-06-25,59
2013-06-26,59
2013-06-27,59
2013-06-28,60
2013-06-29,60
2013-06-30,60
2013-07-01,61
2013-07-02,61
2013-07-03,62
2013-07-04,63
2013-07-05,63
2013-07-06,64
2013-07-07,65
2013-07-08,65
2013-07-09,66
2013-07-10,67
2013-07-11,68
2013-07-12,68
2013-07-13,69
2013-07-14,70
2013-07-15,70
2013-07-16,71
2013-07-17,72
2013-07-18,73
2013-07-19,73
2013-07-20,74
2013-07-21,75
2013-07-22,75
2013-07-23,76
2013-07-24,77
2013-07-25,78
2013-07-26,78
2013-07-27,79
2013-07-28,80
2013-07-29,80
2013-07-30,81
2013-07-31,82
2013-08-01,83
2013-08-02,82
2013-08-03,81
2013-08-04,80
2013-08-05,79
2013-08-06,78
2013-08-07,77
2013-08-08,76
2013-08-09,75
2013-08-10,74
2013-08-11,73
2013-08-12,72
2013-08-13,71
2013-08-14,70
2013-08-15,69
2013-08-16,68
2013-08-17,67
2013-08-18,66
2013-08-19,65
2013-08-20,64
2013-08-21,63
2013-08-22,62
2013-08-23,61
2013-08-24,60
2013-08-25,59
2013-08-26,58
2013-08-27,57
2013-08-28,56
2013-08-29,55
2013-08-30,54
2013-08-31,53
2013-09-01,52
2013-09-02,52
2013-09-03,53
2013-09-04,54
2013-09-05,55
2013-09-06,56
2013-09-07,57
2013-09-08,58
2013-09-09,59
2013-09-10,60
2013-09-11,61
2013-09-12,62
2013-09-13,63
2013-09-14,64
2013-09-15,65
2013-09-16,66
2013-09-17,67
2013-09-18,68
2013-09-19,69
2013-09-20,70
2013-09-21,71
2013-09-22,72
2013-09-23,73
2013-09-24,74
2013-09-25,75
2013-09-26,76
2013-09-27,77
2013-09-28,78
2013-09-29,79
2013-09-30,80
2013-10-01,81
2013-10-02,81
2013-10-03,81
2013-10-04,81
2013-10-05,81
2013-10-06,81
2013-10-07,82
2013-10-08,82
2013-10-09,82
2013-10-10,82
2013-10-11,82
2013-10-12,83
2013-10-13,83
2013-10-14,83
2013-10-15,83
2013-10-16,83
2013-10-17,84
2013-10-18,84
2013-10-19,84
2013-10-20,84
2013-10-21,84
2013-10-22,85
2013-10-23,85
2013-10-24,85
2013-10-25,85
2013-10-26,85
2013-10-27,86
2013-10-28,86
2013-10-29,86
2013-10-30,86
2013-10-31,86
2013-11-01,87
2013-11-02,85
2013-11-03,84
2013-11-04,82
2013-11-05,81
2013-11-06,80
2013-11-07,78
2013-11-08,77
2013-11-09,76
2013-11-10,74
2013-11-11,73
2013-11-12,71
2013-11-13,70
2013-11-14,69
2013-11-15,67
2013-11-16,66
2013-11-17,65
2013-11-18,63
2013-11-19,62
2013-11-20,61
2013-11-21,59
2013-11-22,58
2013-11-23,56
2013-11-24,55
2013-11-25,54
2013-11-26,52
2013-11-27,51
2013-11-28,50
2013-11-29,48
2013-11-30,47
2013-12-01,46
2013-12-02,46
2013-12-03,46
2013-12-04,47
2013-12-05,47
2013-12-06,47
2013-12-07,48
2013-12-08,48
2013-12-09,48
2013-12-10,49
2013-12-11,49
2013-12-12,49
2013-12-13,50
2013-12-14,50
2013-12-15,50
2013-12-16,51
2013-12-17,51
2013-12-18,52
