Date,ServiceNow
2011-09-10,30
2011-09-11,30
2011-09-12,30
2011-09-13,31
2011-09-14,33
2011-09-15,32
2011-09-16,34
2011-09-17,34
2011-09-18,32
2011-09-19,32
2011-09-20,31
2011-09-21,32
2011-09-22,31
2011-09-23,32
2011-09-24,30
2011-09-25,30
2011-09-26,30
2011-09-27,31
2011-09-28,31
2011-09-29,32
2011-09-30,33
2011-10-01,33
2011-10-02,32
2011-10-03,32
2011-10-04,32
2011-10-05,33
2011-10-06,32
2011-10-07,33
2011-10-08,32
2011-10-09,31
2011-10-10,31
2011-10-11,31
2011-10-12,31
2011-10-13,33
2011-10-14,31
2011-10-15,31
2011-10-16,31
2011-10-17,32
2011-10-18,33
2011-10-19,33
2011-10-20,36
2011-10-21,35
2011-10-22,36
2011-10-23,35
2011-10-24,34
2011-10-25,34
2011-10-26,33
2011-10-27,33
2011-10-28,36
2011-10-29,32
2011-10-30,31
2011-10-31,31
2011-11-01,33
2011-11-02,31
2011-11-03,31
2011-11-04,33
2011-11-05,31
2011-11-06,31
2011-11-07,32
2011-11-08,35
2011-11-09,33
2011-11-10,35
2011-11-11,35
2011-11-12,40
2011-11-13,35
2011-11-14,34
2011-11-15,33
2011-11-16,32
2011-11-17,31
2011-11-18,32
2011-11-19,31
2011-11-20,29
2011-11-21,28
2011-11-22,28
2011-11-23,27
2011-11-24,28
2011-11-25,26
2011-11-26,26
2011-11-27,27
2011-11-28,28
2011-11-29,29
2011-11-30,30
2011-12-01,31
2011-12-02,34
2011-12-03,33
2011-12-04,32
2011-12-05,32
2011-12-06,32
2011-12-07,31
2011-12-08,31
2011-12-09,34
2011-12-10,31
2011-12-11,30
2011-12-12,30
2011-12-13,30
2011-12-14,30
2011-12-15,30
2011-12-16,31
2011-12-17,30
2011-12-18,29
2011-12-19,29
2011-12-20,28
2011-12-21,28
2011-12-22,29
2011-12-23,30
2011-12-24,27
2011-12-25,25
2011-12-26,23
2011-12-27,22
2011-12-28,20
2011-12-29,20
2011-12-30,17
2011-12-31,16
2012-01-01,18
2012-01-02,20
2012-01-03,22
2012-01-04,24
2012-01-05,26
2012-01-06,29
2012-01-07,30
2012-01-08,30
2012-01-09,31
2012-01-10,33
2012-01-11,33
2012-01-12,34
2012-01-13,35
2012-01-14,36
2012-01-15,35
