Date,Angies List
2011-02-12,37
2011-02-13,37
2011-02-14,37
2011-02-15,37
2011-02-16,37
2011-02-17,39
2011-02-18,37
2011-02-19,37
2011-02-20,38
2011-02-21,39
2011-02-22,40
2011-02-23,42
2011-02-24,43
2011-02-25,45
2011-02-26,45
2011-02-27,48
2011-02-28,45
2011-03-01,45
2011-03-02,48
2011-03-03,47
2011-03-04,46
2011-03-05,47
2011-03-06,48
2011-03-07,50
2011-03-08,51
2011-03-09,53
2011-03-10,56
2011-03-11,57
2011-03-12,58
2011-03-13,61
2011-03-14,56
2011-03-15,55
2011-03-16,54
2011-03-17,55
2011-03-18,53
2011-03-19,51
2011-03-20,53
2011-03-21,54
2011-03-22,55
2011-03-23,57
2011-03-24,61
2011-03-25,61
2011-03-26,62
2011-03-27,62
2011-03-28,63
2011-03-29,64
2011-03-30,65
2011-03-31,68
2011-05-01,78
2011-05-02,77
2011-05-03,75
2011-05-04,75
2011-05-05,74
2011-05-06,72
2011-05-07,71
2011-05-08,70
2011-05-09,70
2011-05-10,72
2011-05-11,72
2011-05-12,72
2011-05-13,71
2011-05-14,72
2011-05-15,73
2011-05-16,71
2011-05-17,71
2011-05-18,71
2011-05-19,73
2011-05-20,70
2011-05-21,71
2011-05-22,69
2011-05-23,69
2011-05-24,68
2011-05-25,68
2011-05-26,69
2011-05-27,68
2011-05-28,67
2011-05-29,70
2011-05-30,69
2011-05-31,70
2011-06-01,73
2011-06-02,74
2011-06-03,76
2011-06-04,77
2011-06-05,76
2011-06-06,75
2011-06-07,75
2011-06-08,77
2011-06-09,77
2011-06-10,75
2011-06-11,75
2011-06-12,75
2011-06-13,75
2011-06-14,76
2011-06-15,75
2011-06-16,77
2011-06-17,75
2011-06-18,78
2011-06-19,76
2011-06-20,77
2011-06-21,78
2011-06-22,79
2011-06-23,81
2011-06-24,81
2011-06-25,82
2011-06-26,84
2011-06-27,81
2011-06-28,81
2011-06-29,81
2011-06-30,84
2011-07-01,80
2011-07-02,82
2011-07-03,85
2011-07-04,83
2011-07-05,84
2011-07-06,87
2011-07-07,89
2011-07-08,90
2011-07-09,91
2011-07-10,93
2011-07-11,92
2011-07-12,94
2011-07-13,96
2011-07-14,98
2011-07-15,96
2011-07-16,98
2011-07-17,98
2011-07-18,97
2011-07-19,98
2011-07-20,101
2011-07-21,100
2011-07-22,100
2011-07-23,101
2011-07-24,99
2011-07-25,98
2011-07-26,100
2011-07-27,97
2011-07-28,97
2011-07-29,98
2011-07-30,96
2011-07-31,94
2011-08-01,93
2011-08-02,93
2011-08-03,92
2011-08-04,95
2011-08-05,93
2011-08-06,91
2011-08-07,92
2011-08-08,89
2011-08-09,89
2011-08-10,88
2011-08-11,88
2011-08-12,86
2011-08-13,86
2011-08-14,85
2011-08-15,85
2011-08-16,85
2011-08-17,86
2011-08-18,86
2011-08-19,89
2011-08-20,85
2011-08-21,84
2011-08-22,84
2011-08-23,85
2011-08-24,83
2011-08-25,84
2011-08-26,83
2011-08-27,84
2011-08-28,81
2011-08-29,80
2011-08-30,80
2011-08-31,79
2011-09-01,77
2011-09-02,76
2011-09-03,77
2011-09-04,74
2011-09-05,74
2011-09-06,73
2011-09-07,73
2011-09-08,75
2011-09-09,75
2011-09-10,72
2011-09-11,75
2011-09-12,72
2011-09-13,73
2011-09-14,73
2011-09-15,73
2011-09-16,74
2011-09-17,76
2011-09-18,75
2011-09-19,73
2011-09-20,73
2011-09-21,72
2011-09-22,74
2011-09-23,72
2011-09-24,71
2011-09-25,71
2011-09-26,70
2011-09-27,72
2011-09-28,70
2011-09-29,71
2011-09-30,73
2011-10-01,70
2011-10-02,72
2011-10-03,68
2011-10-04,70
2011-10-05,66
2011-10-06,67
2011-10-07,65
2011-10-08,65
2011-10-09,63
2011-10-10,63
2011-10-11,63
2011-10-12,63
2011-10-13,62
2011-10-14,62
2011-10-15,61
2011-10-16,61
2011-10-17,61
2011-10-18,61
2011-10-19,61
2011-10-20,61
2011-10-21,61
2011-10-22,62
2011-10-23,62
2011-10-24,60
2011-10-25,61
2011-10-26,59
2011-10-27,60
2011-10-28,60
2011-10-29,59
2011-10-30,59
2011-10-31,59
2011-11-01,59
2011-11-02,60
2011-11-03,60
2011-11-04,60
2011-11-05,62
2011-11-06,60
2011-11-07,60
2011-11-08,60
2011-11-09,61
2011-11-10,60
2011-11-11,62
2011-11-12,63
2011-11-13,61
2011-11-14,62
2011-11-15,65
2011-11-16,65
2011-11-17,65
2011-11-18,70
2011-11-19,70
2011-11-20,63
2011-11-21,59
2011-11-22,56
2011-11-23,54
2011-11-24,53
2011-11-25,43
2011-11-26,41
2011-11-27,42
2011-11-28,44
2011-11-29,46
2011-11-30,48
2011-12-01,51
2011-12-02,52
2011-12-03,54
2011-12-04,55
2011-12-05,53
2011-12-06,53
2011-12-07,52
2011-12-08,52
2011-12-09,51
2011-12-10,53
2011-12-11,50
2011-12-12,50
