Date,Fusion-io
2010-09-01,11
2010-09-02,11
2010-09-03,11
2010-09-04,11
2010-09-05,11
2010-09-06,11
2010-09-07,11
2010-09-08,11
2010-09-09,11
2010-09-10,11
2010-09-11,11
2010-09-12,12
2010-09-13,13
2010-09-14,14
2010-09-15,16
2010-09-16,16
2010-09-17,18
2010-09-18,19
2010-09-19,18
2010-09-20,18
2010-09-21,17
2010-09-22,17
2010-09-23,16
2010-09-24,16
2010-09-25,16
2010-09-26,17
2010-09-27,18
2010-09-28,19
2010-09-29,20
2010-09-30,21
2010-10-01,22
2010-10-02,23
2010-10-03,23
2010-10-04,23
2010-10-05,23
2010-10-06,23
2010-10-07,23
2010-10-08,24
2010-10-09,23
2010-10-10,22
2010-10-11,22
2010-10-12,22
2010-10-13,21
2010-10-14,22
2010-10-15,21
2010-10-16,22
2010-10-17,20
2010-10-18,19
2010-10-19,19
2010-10-20,18
2010-10-21,18
2010-10-22,17
2010-10-23,17
2010-10-24,17
2010-10-25,17
2010-10-26,17
2010-10-27,18
2010-10-28,18
2010-10-29,18
2010-10-30,19
2010-10-31,18
2010-11-01,18
2010-11-02,17
2010-11-03,17
2010-11-04,16
2010-11-05,16
2010-11-06,16
2010-11-07,16
2010-11-08,16
2010-11-09,18
2010-11-10,17
2010-11-11,18
2010-11-12,19
2010-11-13,19
2010-11-14,19
2010-11-15,20
2010-11-16,20
2010-11-17,21
2010-11-18,21
2010-11-19,24
2010-11-20,23
2010-11-21,21
2010-11-22,19
2010-11-23,18
2010-11-24,16
2010-11-25,15
2010-11-26,13
2010-11-27,12
2010-11-28,12
2010-11-29,13
2010-11-30,14
2010-12-01,14
2010-12-02,15
2010-12-03,16
2010-12-04,17
2010-12-05,17
2010-12-06,18
2010-12-07,18
2010-12-08,19
2010-12-09,20
2010-12-10,20
2010-12-11,21
2010-12-12,19
2010-12-13,18
2010-12-14,16
2010-12-15,15
2010-12-16,13
2010-12-17,12
2010-12-18,11
2010-12-19,11
2010-12-20,11
2010-12-21,12
2010-12-22,12
2010-12-23,13
2010-12-24,13
2010-12-25,14
2010-12-26,13
2010-12-27,12
2010-12-28,11
2010-12-29,10
2010-12-30,9
2010-12-31,8
2011-01-01,7
2011-01-02,8
2011-01-03,9
2011-01-04,10
2011-01-05,11
2011-01-06,12
2011-01-07,13
2011-01-08,15
2011-01-09,15
2011-01-10,15
2011-01-11,16
2011-01-12,16
2011-01-13,16
2011-01-14,16
2011-01-15,17
2011-01-16,17
2011-01-17,17
2011-01-18,18
2011-01-19,18
2011-01-20,19
2011-01-21,20
2011-01-22,20
2011-01-23,20
2011-01-24,20
2011-01-25,20
2011-01-26,20
2011-01-27,21
2011-01-28,20
2011-01-29,20
2011-01-30,21
2011-01-31,23
2011-02-01,24
2011-02-02,27
2011-02-03,28
2011-02-04,31
2011-02-05,33
2011-02-06,29
2011-02-07,27
2011-02-08,26
2011-02-09,24
2011-02-10,24
2011-02-11,21
2011-02-12,21
2011-02-13,20
2011-02-14,20
2011-02-15,20
2011-02-16,20
2011-02-17,21
2011-02-18,21
2011-02-19,21
2011-02-20,21
2011-02-21,21
2011-02-22,21
2011-02-23,21
2011-02-24,21
2011-02-25,22
2011-02-26,21
2011-02-27,20
2011-02-28,20
2011-03-01,20
2011-03-02,20
2011-03-03,19
2011-03-04,19
2011-03-05,19
2011-03-06,21
2011-03-07,24
2011-03-08,27
2011-03-09,29
2011-03-10,33
2011-03-11,38
2011-03-12,39
2011-03-13,36
2011-03-14,34
2011-03-15,32
2011-03-16,32
2011-03-17,28
2011-03-18,27
2011-03-19,25
2011-03-20,24
2011-03-21,23
2011-03-22,24
2011-03-23,22
2011-03-24,23
2011-03-25,21
2011-03-26,21
2011-03-27,21
2011-03-28,21
2011-03-29,22
2011-03-30,22
2011-03-31,22
2011-04-01,23
2011-04-02,23
2011-04-03,25
2011-04-04,28
2011-04-05,30
2011-04-06,33
2011-04-07,37
2011-04-08,38
2011-04-09,41
2011-04-10,44
2011-04-11,37
2011-04-12,38
2011-04-13,33
2011-04-14,32
2011-04-15,29
2011-04-16,28
2011-04-17,26
2011-04-18,25
2011-04-19,24
2011-04-20,23
2011-04-21,23
2011-04-22,22
2011-04-23,21
2011-04-24,21
2011-04-25,21
2011-04-26,21
2011-04-27,21
2011-04-28,21
2011-04-29,21
2011-04-30,22
2011-05-01,21
2011-05-02,21
2011-05-03,20
2011-05-04,20
2011-05-05,20
2011-05-06,19
2011-05-07,19
2011-05-08,19
2011-05-09,19
2011-05-10,19
2011-05-11,19
