Date,Independent Bank Group
2012-08-01,75
2012-08-02,74
2012-08-03,74
2012-08-04,74
2012-08-05,74
2012-08-06,73
2012-08-07,73
2012-08-08,73
2012-08-09,73
2012-08-10,72
2012-08-11,72
2012-08-12,72
2012-08-13,72
2012-08-14,72
2012-08-15,71
2012-08-16,71
2012-08-17,71
2012-08-18,71
2012-08-19,70
2012-08-20,70
2012-08-21,70
2012-08-22,70
2012-08-23,70
2012-08-24,69
2012-08-25,69
2012-08-26,69
2012-08-27,69
2012-08-28,68
2012-08-29,68
2012-08-30,68
2012-08-31,68
2012-09-01,68
2012-09-02,67
2012-09-03,67
2012-09-04,67
2012-09-05,67
2012-09-06,67
2012-09-07,67
2012-09-08,67
2012-09-09,67
2012-09-10,67
2012-09-11,67
2012-09-12,67
2012-09-13,67
2012-09-14,67
2012-09-15,67
2012-09-16,67
2012-09-17,67
2012-09-18,67
2012-09-19,67
2012-09-20,67
2012-09-21,67
2012-09-22,67
2012-09-23,67
2012-09-24,67
2012-09-25,67
2012-09-26,67
2012-09-27,67
2012-09-28,67
2012-09-29,67
2012-09-30,67
2012-10-01,67
2012-10-02,66
2012-10-03,66
2012-10-04,66
2012-10-05,66
2012-10-06,66
2012-10-07,66
2012-10-08,65
2012-10-09,65
2012-10-10,65
2012-10-11,65
2012-10-12,65
2012-10-13,65
2012-10-14,64
2012-10-15,64
2012-10-16,64
2012-10-17,64
2012-10-18,64
2012-10-19,64
2012-10-20,63
2012-10-21,63
2012-10-22,63
2012-10-23,63
2012-10-24,63
2012-10-25,63
2012-10-26,62
2012-10-27,62
2012-10-28,62
2012-10-29,62
2012-10-30,62
2012-10-31,62
2012-11-01,62
2012-11-02,62
2012-11-03,62
2012-11-04,62
2012-11-05,62
2012-11-06,62
2012-11-07,62
2012-11-08,62
2012-11-09,62
2012-11-10,62
2012-11-11,62
2012-11-12,62
2012-11-13,62
2012-11-14,62
2012-11-15,62
2012-11-16,62
2012-11-17,62
2012-11-18,62
2012-11-19,62
2012-11-20,62
2012-11-21,62
2012-11-22,62
2012-11-23,62
2012-11-24,62
2012-11-25,62
2012-11-26,62
2012-11-27,62
2012-11-28,62
2012-11-29,62
2012-11-30,62
2012-12-01,62
2012-12-02,62
2012-12-03,62
2012-12-04,62
2012-12-05,62
2012-12-06,62
2012-12-07,62
2012-12-08,62
2012-12-09,62
2012-12-10,62
2012-12-11,62
2012-12-12,62
2012-12-13,62
2012-12-14,62
2012-12-15,62
2012-12-16,62
2012-12-17,62
2012-12-18,62
2012-12-19,62
2012-12-20,62
2012-12-21,62
2012-12-22,62
2012-12-23,62
2012-12-24,62
2012-12-25,62
2012-12-26,62
2012-12-27,62
2012-12-28,62
2012-12-29,62
2012-12-30,62
2012-12-31,62
2013-01-01,62
2013-01-02,62
2013-01-03,62
2013-01-04,62
2013-01-05,62
2013-01-06,62
2013-01-07,62
2013-01-08,62
2013-01-09,62
2013-01-10,62
2013-01-11,62
2013-01-12,62
2013-01-13,62
2013-01-14,62
2013-01-15,62
2013-01-16,62
2013-01-17,63
2013-01-18,63
2013-01-19,63
2013-01-20,63
2013-01-21,63
2013-01-22,63
2013-01-23,63
2013-01-24,63
2013-01-25,63
2013-01-26,63
2013-01-27,63
2013-01-28,63
2013-01-29,63
2013-01-30,63
2013-01-31,63
2013-02-01,64
2013-02-02,64
2013-02-03,64
2013-02-04,64
2013-02-05,64
2013-02-06,64
2013-02-07,64
2013-02-08,64
2013-02-09,64
2013-02-10,64
2013-02-11,64
2013-02-12,64
2013-02-13,64
2013-02-14,64
2013-02-15,65
2013-02-16,65
2013-02-17,65
2013-02-18,65
2013-02-19,65
2013-02-20,65
2013-02-21,65
2013-02-22,65
2013-02-23,65
2013-02-24,65
2013-02-25,65
2013-02-26,65
2013-02-27,65
2013-02-28,65
2013-03-01,66
2013-03-02,67
2013-03-03,68
2013-03-04,69
2013-03-05,70
2013-03-06,71
2013-03-07,72
2013-03-08,73
2013-03-09,74
2013-03-10,75
2013-03-11,76
2013-03-12,78
2013-03-13,79
2013-03-14,80
2013-03-15,81
2013-03-16,82
2013-03-17,83
2013-03-18,84
2013-03-19,85
2013-03-20,86
2013-03-21,87
2013-03-22,89
2013-03-23,90
2013-03-24,91
2013-03-25,92
2013-03-26,93
2013-03-27,94
2013-03-28,95
2013-03-29,96
2013-03-30,97
2013-03-31,98
2013-04-01,100
2013-04-02,99
2013-04-03,99
2013-04-04,99
2013-04-05,98
2013-04-06,98
2013-04-07,98
2013-04-08,98
2013-04-09,97
2013-04-10,97
2013-04-11,97
2013-04-12,97
2013-04-13,96
2013-04-14,96
2013-04-15,96
2013-04-16,96
2013-04-17,95
2013-04-18,95
2013-04-19,95
2013-04-20,94
2013-04-21,94
2013-04-22,94
2013-04-23,94
2013-04-24,93
2013-04-25,93
2013-04-26,93
2013-04-27,93
2013-04-28,92
2013-04-29,92
2013-04-30,92
2013-05-01,92
2013-05-02,91
2013-05-03,90
2013-05-04,89
2013-05-05,89
2013-05-06,88
2013-05-07,87
2013-05-08,86
2013-05-09,86
2013-05-10,85
2013-05-11,84
2013-05-12,83
2013-05-13,83
2013-05-14,82
2013-05-15,81
2013-05-16,80
2013-05-17,80
2013-05-18,79
2013-05-19,78
2013-05-20,77
2013-05-21,77
2013-05-22,76
2013-05-23,75
2013-05-24,74
2013-05-25,74
2013-05-26,73
2013-05-27,72
2013-05-28,71
2013-05-29,71
2013-05-30,70
2013-05-31,69
2013-06-01,69
2013-06-02,69
2013-06-03,69
2013-06-04,69
2013-06-05,69
2013-06-06,69
2013-06-07,69
2013-06-08,69
2013-06-09,69
2013-06-10,69
2013-06-11,69
2013-06-12,69
2013-06-13,69
2013-06-14,69
2013-06-15,69
2013-06-16,69
2013-06-17,69
2013-06-18,69
2013-06-19,69
2013-06-20,69
2013-06-21,69
2013-06-22,69
2013-06-23,69
2013-06-24,69
2013-06-25,69
2013-06-26,69
2013-06-27,69
2013-06-28,69
2013-06-29,69
2013-06-30,69
2013-07-01,69
2013-07-02,69
2013-07-03,69
2013-07-04,69
2013-07-05,69
2013-07-06,69
2013-07-07,69
2013-07-08,69
2013-07-09,69
2013-07-10,69
2013-07-11,69
2013-07-12,69
2013-07-13,69
2013-07-14,69
2013-07-15,69
2013-07-16,69
2013-07-17,69
2013-07-18,69
2013-07-19,69
2013-07-20,69
2013-07-21,69
2013-07-22,69
2013-07-23,69
2013-07-24,69
2013-07-25,69
2013-07-26,69
2013-07-27,69
2013-07-28,69
2013-07-29,69
2013-07-30,69
2013-07-31,69
2013-08-01,69
2013-08-02,69
2013-08-03,69
2013-08-04,69
2013-08-05,69
2013-08-06,69
2013-08-07,69
2013-08-08,69
2013-08-09,69
2013-08-10,69
2013-08-11,69
2013-08-12,69
2013-08-13,69
2013-08-14,69
2013-08-15,69
2013-08-16,69
2013-08-17,69
2013-08-18,69
2013-08-19,69
2013-08-20,69
2013-08-21,69
2013-08-22,69
2013-08-23,69
2013-08-24,69
2013-08-25,69
2013-08-26,69
2013-08-27,69
2013-08-28,69
2013-08-29,69
2013-08-30,69
2013-08-31,69
2013-09-01,69
2013-09-02,68
2013-09-03,68
2013-09-04,68
2013-09-05,68
2013-09-06,68
2013-09-07,68
2013-09-08,68
2013-09-09,68
2013-09-10,68
2013-09-11,68
2013-09-12,67
2013-09-13,67
2013-09-14,67
2013-09-15,67
2013-09-16,67
2013-09-17,67
2013-09-18,67
2013-09-19,67
2013-09-20,67
2013-09-21,67
2013-09-22,66
2013-09-23,66
2013-09-24,66
2013-09-25,66
2013-09-26,66
2013-09-27,66
2013-09-28,66
2013-09-29,66
2013-09-30,66
2013-10-01,66
2013-10-02,65
2013-10-03,65
2013-10-04,65
2013-10-05,64
2013-10-06,64
2013-10-07,64
2013-10-08,63
2013-10-09,63
2013-10-10,63
2013-10-11,63
2013-10-12,62
2013-10-13,62
2013-10-14,62
2013-10-15,61
2013-10-16,61
2013-10-17,61
2013-10-18,61
2013-10-19,60
2013-10-20,60
2013-10-21,60
2013-10-22,59
2013-10-23,59
2013-10-24,59
2013-10-25,59
2013-10-26,58
2013-10-27,58
2013-10-28,58
2013-10-29,57
2013-10-30,57
2013-10-31,57
2013-11-01,57
2013-11-02,57
2013-11-03,57
2013-11-04,57
2013-11-05,57
2013-11-06,57
2013-11-07,58
2013-11-08,58
2013-11-09,58
2013-11-10,58
2013-11-11,58
2013-11-12,58
2013-11-13,59
2013-11-14,59
2013-11-15,59
2013-11-16,59
2013-11-17,59
2013-11-18,59
2013-11-19,60
2013-11-20,60
2013-11-21,60
2013-11-22,60
2013-11-23,60
2013-11-24,60
2013-11-25,61
2013-11-26,61
2013-11-27,61
2013-11-28,61
2013-11-29,61
2013-11-30,61
2013-12-01,62
2013-12-02,62
2013-12-03,62
2013-12-04,62
2013-12-05,62
2013-12-06,62
2013-12-07,62
2013-12-08,62
2013-12-09,62
2013-12-10,62
2013-12-11,62
2013-12-12,62
2013-12-13,62
2013-12-14,62
2013-12-15,62
2013-12-16,62
2013-12-17,62
2013-12-18,62
2013-12-19,62
2013-12-20,62
2013-12-21,62
2013-12-22,62
2013-12-23,62
2013-12-24,62
2013-12-25,62
2013-12-26,62
2013-12-27,62
2013-12-28,62
2013-12-29,62
2013-12-30,62
2013-12-31,62
2014-01-01,62
2014-01-02,61
2014-01-03,61
2014-01-04,61
2014-01-05,60
2014-01-06,60
2014-01-07,60
2014-01-08,59
2014-01-09,59
2014-01-10,59
2014-01-11,59
2014-01-12,58
2014-01-13,58
2014-01-14,58
2014-01-15,57
2014-01-16,57
2014-01-17,57
2014-01-18,57
2014-01-19,56
2014-01-20,56
2014-01-21,56
2014-01-22,55
2014-01-23,55
2014-01-24,55
2014-01-25,55
2014-01-26,54
2014-01-27,54
2014-01-28,54
2014-01-29,53
2014-01-30,53
2014-01-31,53
2014-02-01,53
