Date,LifeLock
2012-02-11,44
2012-02-12,47
2012-02-13,45
2012-02-14,45
2012-02-15,46
2012-02-16,46
2012-02-17,47
2012-02-18,50
2012-02-19,49
2012-02-20,48
2012-02-21,48
2012-02-22,48
2012-02-23,49
2012-02-24,48
2012-02-25,48
2012-02-26,49
2012-02-27,47
2012-02-28,46
2012-02-29,46
2012-03-01,46
2012-03-02,46
2012-03-03,45
2012-03-04,48
2012-03-05,52
2012-03-06,56
2012-03-07,64
2012-03-08,67
2012-03-09,70
2012-03-10,71
2012-03-11,68
2012-03-12,66
2012-03-13,64
2012-03-14,61
2012-03-15,59
2012-03-16,58
2012-03-17,57
2012-03-18,54
2012-03-19,55
2012-03-20,54
2012-03-21,56
2012-03-22,53
2012-03-23,58
2012-03-24,54
2012-03-25,53
2012-03-26,53
2012-03-27,53
2012-03-28,55
2012-03-29,54
2012-03-30,54
2012-03-31,56
2012-04-01,57
2012-04-02,53
2012-04-03,53
2012-04-04,52
2012-04-05,52
2012-04-06,54
2012-04-07,51
2012-04-08,53
2012-04-09,49
2012-04-10,49
2012-04-11,49
2012-04-12,47
2012-04-13,47
2012-04-14,47
2012-04-15,46
2012-04-16,47
2012-04-17,48
2012-04-18,50
2012-04-19,49
2012-04-20,53
2012-04-21,51
2012-04-22,52
2012-04-23,48
2012-04-24,47
2012-04-25,46
2012-04-26,46
2012-04-27,44
2012-04-28,44
2012-04-29,44
2012-04-30,43
2012-05-01,43
2012-05-02,43
2012-05-03,43
2012-05-04,43
2012-05-05,48
2012-05-06,43
2012-05-07,42
2012-05-08,42
2012-05-09,41
2012-05-10,40
2012-05-11,39
2012-05-12,42
2012-05-13,39
2012-05-14,39
2012-05-15,39
2012-05-16,41
2012-05-17,40
2012-05-18,44
2012-05-19,41
2012-05-20,42
2012-05-21,39
2012-05-22,39
2012-05-23,39
2012-05-24,39
2012-05-25,37
2012-05-26,38
2012-05-27,39
2012-05-28,37
2012-05-29,37
2012-05-30,37
2012-05-31,37
2012-06-01,40
2012-06-02,37
2012-06-03,41
2012-06-04,39
2012-06-05,40
2012-06-06,41
2012-06-07,42
2012-06-08,45
2012-06-09,45
2012-06-10,44
2012-06-11,43
2012-06-12,42
2012-06-13,41
2012-06-14,40
2012-06-15,39
2012-06-16,40
2012-06-17,39
2012-06-18,40
2012-06-19,40
2012-06-20,41
2012-06-21,42
2012-06-22,42
2012-06-23,45
2012-06-24,43
2012-06-25,43
2012-06-26,43
2012-06-27,43
2012-06-28,43
2012-06-29,43
2012-06-30,43
2012-07-01,46
2012-07-02,40
2012-07-03,39
2012-07-04,40
2012-07-05,37
2012-07-06,36
2012-07-07,36
2012-07-08,38
2012-07-09,37
2012-07-10,39
2012-07-11,39
2012-07-12,42
2012-07-13,41
2012-07-14,44
2012-07-15,44
2012-07-16,43
2012-07-17,43
2012-07-18,43
2012-07-19,44
2012-07-20,43
2012-07-21,45
