Date,Cancer Genetics
2013-09-20,55
2013-09-21,52
2013-09-22,53
2013-09-23,54
2013-09-24,56
2013-09-25,59
2013-09-26,59
2013-09-27,60
2013-09-28,64
2013-09-29,60
2013-09-30,59
2013-10-01,58
2013-10-02,57
2013-10-03,58
2013-10-04,56
2013-10-05,54
2013-10-06,55
2013-10-07,57
2013-10-08,59
2013-10-09,60
2013-10-10,62
2013-10-11,70
2013-10-12,66
2013-10-13,64
2013-10-14,62
2013-10-15,60
2013-10-16,58
2013-10-17,56
2013-10-18,54
2013-10-19,52
2013-10-20,54
2013-10-21,56
2013-10-22,58
2013-10-23,62
2013-10-24,62
2013-10-25,67
2013-10-26,67
2013-10-27,64
2013-10-28,61
2013-10-29,58
2013-10-30,59
2013-10-31,52
2013-11-01,49
2013-11-02,47
2013-11-03,49
2013-11-04,51
2013-11-05,54
2013-11-06,62
2013-11-07,59
2013-11-08,61
2013-11-09,64
2013-11-10,63
2013-11-11,62
2013-11-12,64
2013-11-13,60
2013-11-14,62
2013-11-15,58
2013-11-16,58
2013-11-17,59
2013-11-18,61
2013-11-19,66
2013-11-20,64
2013-11-21,69
2013-11-22,68
2013-11-23,70
2013-11-24,67
2013-11-25,64
2013-11-26,64
2013-11-27,59
2013-11-28,57
2013-11-29,54
2013-11-30,52
2013-12-01,52
2013-12-02,52
2013-12-03,52
2013-12-04,55
2013-12-05,52
2013-12-06,56
2013-12-07,52
2013-12-08,53
2013-12-09,54
2013-12-10,55
2013-12-11,57
2013-12-12,57
2013-12-13,60
2013-12-14,60
2013-12-15,61
2013-12-16,55
2013-12-17,52
2013-12-18,50
2013-12-19,47
2013-12-20,45
2013-12-21,43
2013-12-22,39
2013-12-23,36
2013-12-24,33
2013-12-25,29
2013-12-26,26
2013-12-27,23
2013-12-28,20
2013-12-29,22
2013-12-30,24
2013-12-31,26
2014-01-01,28
2014-01-02,30
2014-01-03,32
2014-01-04,34
2014-01-05,35
2014-01-06,37
2014-01-07,41
2014-01-08,41
2014-01-09,43
2014-01-10,44
2014-01-11,46
2014-01-12,45
2014-01-13,45
2014-01-14,45
2014-01-15,44
2014-01-16,49
2014-01-17,44
2014-01-18,44
2014-01-19,44
2014-01-20,45
2014-01-21,46
2014-01-22,48
2014-01-23,48
2014-01-24,51
2014-01-25,50
2014-01-26,51
2014-01-27,53
2014-01-28,55
2014-01-29,56
2014-01-30,60
2014-01-31,60
2014-02-01,62
2014-02-02,60
2014-02-03,58
2014-02-04,60
2014-02-05,55
2014-02-06,54
2014-02-07,52
2014-02-08,51
2014-02-09,50
2014-02-10,49
2014-02-11,49
2014-02-12,49
2014-02-13,48
2014-02-14,50
2014-02-15,47
2014-02-16,49
2014-02-17,51
2014-02-18,55
2014-02-19,55
2014-02-20,65
2014-02-21,59
2014-02-22,63
2014-02-23,62
2014-02-24,63
2014-02-25,70
2014-02-26,65
2014-02-27,66
2014-02-28,70
2014-03-01,68
