Date,Millennial Media
2012-07-09,14
2012-07-10,15
2012-07-11,16
2012-07-12,17
2012-07-13,18
2012-07-14,19
2012-07-15,18
2012-07-16,18
2012-07-17,18
2012-07-18,18
2012-07-19,18
2012-07-20,18
2012-07-21,18
2012-07-22,18
2012-07-23,18
2012-07-24,19
2012-07-25,19
2012-07-26,19
2012-07-27,19
2012-07-28,20
2012-07-29,19
2012-07-30,19
2012-07-31,18
2012-08-01,18
2012-08-02,17
2012-08-03,17
2012-08-04,17
2012-08-05,17
2012-08-06,17
2012-08-07,17
2012-08-08,17
2012-08-09,17
2012-08-10,17
2012-08-11,17
2012-08-12,17
2012-08-13,17
2012-08-14,17
2012-08-15,17
2012-08-16,17
2012-08-17,17
2012-08-18,18
2012-08-19,17
2012-08-20,16
2012-08-21,15
2012-08-22,15
2012-08-23,13
2012-08-24,12
2012-08-25,11
2012-08-26,11
2012-08-27,12
2012-08-28,12
2012-08-29,13
2012-08-30,13
2012-08-31,14
2012-09-01,15
2012-09-02,15
2012-09-03,15
2012-09-04,15
2012-09-05,15
2012-09-06,15
2012-09-07,15
2012-09-08,15
2012-09-09,15
2012-09-10,15
2012-09-11,16
2012-09-12,16
2012-09-13,17
2012-09-14,19
2012-09-15,18
2012-09-16,18
2012-09-17,18
2012-09-18,18
2012-09-19,19
2012-09-20,19
2012-09-21,19
2012-09-22,20
2012-09-23,20
2012-09-24,20
2012-09-25,20
2012-09-26,20
2012-09-27,20
2012-09-28,20
2012-09-29,20
2012-09-30,19
2012-10-07,13
2012-10-08,13
2012-10-09,13
2012-10-10,14
2012-10-11,14
2012-10-12,14
2012-10-13,15
2012-10-14,15
2012-10-15,16
2012-10-16,16
2012-10-17,17
2012-10-18,17
2012-10-19,18
2012-10-20,19
2012-10-21,18
2012-10-22,18
2012-10-23,18
2012-10-24,18
2012-10-25,18
2012-10-26,18
2012-10-27,18
2012-10-28,17
2012-10-29,16
2012-10-30,16
2012-10-31,15
2012-11-01,15
2012-11-02,14
2012-11-03,14
2012-11-04,14
2012-11-05,15
2012-11-06,16
2012-11-07,16
2012-11-08,17
2012-11-09,18
2012-11-10,19
2012-11-11,18
2012-11-12,18
2012-11-13,17
2012-11-14,17
2012-11-15,17
2012-11-16,16
2012-11-17,16
2012-11-18,15
2012-11-19,15
2012-11-20,14
2012-11-21,14
2012-11-22,13
2012-11-23,13
2012-11-24,13
2012-11-25,13
2012-11-26,13
2012-11-27,13
2012-11-28,13
2012-11-29,13
2012-11-30,13
2012-12-01,14
2012-12-02,14
2012-12-03,14
2012-12-04,14
2012-12-05,15
2012-12-06,15
2012-12-07,15
2012-12-08,16
2012-12-09,15
2012-12-10,15
2012-12-11,14
2012-12-12,14
2012-12-13,13
2012-12-14,13
2012-12-15,13
2012-12-16,13
2012-12-17,13
2012-12-18,13
2012-12-19,13
2012-12-20,13
2012-12-21,14
2012-12-22,14
2012-12-23,13
2012-12-24,12
2012-12-25,11
2012-12-26,10
2012-12-27,9
2012-12-28,8
2012-12-29,8
2012-12-30,8
2013-01-01,8
2013-01-02,9
2013-01-03,9
2013-01-04,9
2013-01-05,10
2013-01-06,10
2013-01-07,11
2013-01-08,12
2013-01-09,12
2013-01-10,13
2013-01-11,14
2013-01-12,15
2013-01-13,15
2013-01-14,15
2013-01-15,16
2013-01-16,17
2013-01-17,17
2013-01-18,17
2013-01-19,18
2013-01-20,17
2013-01-21,16
2013-01-22,15
2013-01-23,14
2013-01-24,13
2013-01-25,12
2013-01-26,12
2013-01-27,12
2013-01-28,13
2013-01-29,13
2013-01-30,14
2013-01-31,14
2013-02-01,15
2013-02-02,16
2013-02-03,16
2013-02-04,16
2013-02-05,16
2013-02-06,16
2013-02-07,16
2013-02-08,16
2013-02-09,16
2013-02-10,16
2013-02-11,16
2013-02-12,17
2013-02-13,17
2013-02-14,18
2013-02-15,18
2013-02-16,19
2013-02-17,20
2013-02-18,22
2013-02-19,24
2013-02-20,26
2013-02-21,30
2013-02-22,30
2013-02-23,33
2013-02-24,29
2013-02-25,27
2013-02-26,24
2013-02-27,22
2013-02-28,20
2013-03-01,17
2013-03-02,15
2013-03-03,15
2013-03-04,16
2013-03-05,16
2013-03-06,18
2013-03-07,18
2013-03-08,18
2013-03-09,20
2013-03-10,18
2013-03-11,18
2013-03-12,17
2013-03-13,17
2013-03-14,16
2013-03-15,16
2013-03-16,16
2013-03-17,16
2013-03-18,17
2013-03-19,17
2013-03-20,19
2013-03-21,19
2013-03-22,19
2013-03-23,21
2013-03-24,20
2013-03-25,20
2013-03-26,20
2013-03-27,20
2013-03-28,20
2013-03-29,20
2013-03-30,20
2013-03-31,19
2013-04-01,18
2013-04-02,18
2013-04-03,18
2013-04-04,17
2013-04-05,16
2013-04-06,16
2013-04-07,16
2013-04-08,16
2013-04-09,16
2013-04-10,16
2013-04-11,16
2013-04-12,18
2013-04-13,17
2013-04-14,16
2013-04-15,16
2013-04-16,15
2013-04-17,15
2013-04-18,14
2013-04-19,14
2013-04-20,14
2013-04-21,14
2013-04-22,14
2013-04-23,14
2013-04-24,14
2013-04-25,14
2013-04-26,14
2013-04-27,14
2013-04-28,15
2013-04-29,16
2013-04-30,18
2013-05-01,18
2013-05-02,19
