Date,ARGOS Therapeutics
2011-05-16,86
2011-05-17,86
2011-05-18,86
2011-05-19,87
2011-05-20,87
2011-05-21,87
2011-05-22,87
2011-05-23,87
2011-05-24,88
2011-05-25,88
2011-05-26,88
2011-05-27,88
2011-05-28,89
2011-05-29,89
2011-05-30,89
2011-05-31,89
2011-06-01,90
2011-06-02,89
2011-06-03,89
2011-06-04,88
2011-06-05,88
2011-06-06,87
2011-06-07,87
2011-06-08,86
2011-06-09,86
2011-06-10,86
2011-06-11,85
2011-06-12,85
2011-06-13,84
2011-06-14,84
2011-06-15,83
2011-06-16,83
2011-06-17,83
2011-06-18,82
2011-06-19,82
2011-06-20,81
2011-06-21,81
2011-06-22,80
2011-06-23,80
2011-06-24,80
2011-06-25,79
2011-06-26,79
2011-06-27,78
2011-06-28,78
2011-06-29,77
2011-06-30,77
2011-07-01,77
2011-07-02,77
2011-07-03,78
2011-07-04,79
2011-07-05,79
2011-07-06,80
2011-07-07,81
2011-07-08,82
2011-07-09,82
2011-07-10,83
2011-07-11,84
2011-07-12,85
2011-07-13,85
2011-07-14,86
2011-07-15,87
2011-07-16,88
2011-07-17,88
2011-07-18,89
2011-07-19,90
2011-07-20,91
2011-07-21,91
2011-07-22,92
2011-07-23,93
2011-07-24,94
2011-07-25,94
2011-07-26,95
2011-07-27,96
2011-07-28,97
2011-07-29,97
2011-07-30,98
2011-07-31,99
2011-08-01,100
2011-08-02,98
2011-08-03,97
2011-08-04,96
2011-08-05,95
2011-08-06,94
2011-08-07,93
2011-08-08,92
2011-08-09,91
2011-08-10,90
2011-08-11,89
2011-08-12,88
2011-08-13,87
2011-08-14,86
2011-08-15,85
2011-08-16,84
2011-08-17,82
2011-08-18,81
2011-08-19,80
2011-08-20,79
2011-08-21,78
2011-08-22,77
2011-08-23,76
2011-08-24,75
2011-08-25,74
2011-08-26,73
2011-08-27,72
2011-08-28,71
2011-08-29,70
2011-08-30,69
2011-08-31,68
2011-09-01,67
2011-09-02,67
2011-09-03,67
2011-09-04,67
2011-09-05,67
2011-09-06,67
2011-09-07,67
2011-09-08,67
2011-09-09,67
2011-09-10,67
2011-09-11,67
2011-09-12,67
2011-09-13,67
2011-09-14,67
2011-09-15,67
2011-09-16,67
2011-09-17,67
2011-09-18,67
2011-09-19,67
2011-09-20,67
2011-09-21,67
2011-09-22,67
2011-09-23,67
2011-09-24,67
2011-09-25,67
2011-09-26,67
2011-09-27,67
2011-09-28,67
2011-09-29,67
2011-09-30,67
2011-10-01,67
2011-10-02,66
2011-10-03,66
2011-10-04,66
2011-10-05,66
2011-10-06,66
2011-10-07,66
2011-10-08,66
2011-10-09,66
2011-10-10,66
2011-10-11,66
2011-10-12,66
2011-10-13,66
2011-10-14,66
2011-10-15,66
2011-10-16,66
2011-10-17,66
2011-10-18,66
2011-10-19,66
2011-10-20,66
2011-10-21,66
2011-10-22,66
2011-10-23,66
2011-10-24,66
2011-10-25,66
2011-10-26,66
2011-10-27,66
2011-10-28,66
2011-10-29,66
2011-10-30,66
2011-10-31,66
2011-11-01,66
2011-11-02,66
2011-11-03,66
2011-11-04,66
2011-11-05,66
2011-11-06,66
2011-11-07,66
2011-11-08,66
2011-11-09,66
2011-11-10,66
2011-11-11,66
2011-11-12,66
2011-11-13,66
2011-11-14,66
2011-11-15,66
2011-11-16,66
2011-11-17,66
2011-11-18,66
2011-11-19,66
2011-11-20,66
2011-11-21,66
2011-11-22,66
2011-11-23,66
2011-11-24,66
2011-11-25,66
2011-11-26,66
2011-11-27,66
2011-11-28,66
2011-11-29,66
2011-11-30,66
2011-12-01,66
2011-12-02,65
2011-12-03,65
2011-12-04,65
2011-12-05,65
2011-12-06,64
2011-12-07,64
2011-12-08,64
2011-12-09,64
2011-12-10,63
2011-12-11,63
2011-12-12,63
2011-12-13,63
2011-12-14,63
2011-12-15,62
2011-12-16,62
2011-12-17,62
2011-12-18,62
2011-12-19,61
2011-12-20,61
2011-12-21,61
2011-12-22,61
2011-12-23,61
2011-12-24,60
2011-12-25,60
2011-12-26,60
2011-12-27,60
2011-12-28,59
2011-12-29,59
2011-12-30,59
2011-12-31,59
2012-01-01,59
2012-01-02,59
2012-01-03,59
2012-01-04,59
2012-01-05,59
2012-01-06,59
2012-01-07,59
2012-01-08,59
2012-01-09,59
2012-01-10,59
2012-01-11,59
2012-01-12,59
2012-01-13,59
2012-01-14,59
2012-01-15,59
2012-01-16,59
2012-01-17,59
2012-01-18,59
2012-01-19,59
2012-01-20,59
2012-01-21,59
2012-01-22,59
2012-01-23,59
2012-01-24,59
2012-01-25,59
2012-01-26,59
2012-01-27,59
2012-01-28,59
2012-01-29,59
2012-01-30,59
2012-01-31,59
2012-02-01,59
2012-02-02,60
2012-02-03,61
2012-02-04,63
2012-02-05,64
2012-02-06,65
2012-02-07,67
2012-02-08,68
2012-02-09,69
2012-02-10,71
2012-02-11,72
2012-02-12,73
2012-02-13,75
2012-02-14,76
2012-02-15,77
2012-02-16,79
2012-02-17,80
2012-02-18,81
2012-02-19,83
2012-02-20,84
2012-02-21,85
2012-02-22,87
2012-02-23,88
2012-02-24,89
2012-02-25,91
2012-02-26,92
2012-02-27,93
2012-02-28,95
2012-02-29,96
2012-03-01,98
2012-03-02,96
2012-03-03,95
2012-03-04,94
2012-03-05,92
2012-03-06,91
2012-03-07,90
2012-03-08,89
2012-03-09,87
2012-03-10,86
2012-03-11,85
2012-03-12,84
2012-03-13,82
2012-03-14,81
2012-03-15,80
2012-03-16,79
2012-03-17,77
2012-03-18,76
2012-03-19,75
2012-03-20,74
2012-03-21,72
2012-03-22,71
2012-03-23,70
2012-03-24,69
2012-03-25,67
2012-03-26,66
2012-03-27,65
2012-03-28,64
2012-03-29,62
2012-03-30,61
2012-03-31,60
2012-04-01,59
2012-04-02,59
2012-04-03,59
2012-04-04,59
2012-04-05,59
2012-04-06,59
2012-04-07,59
2012-04-08,59
2012-04-09,59
2012-04-10,59
2012-04-11,59
2012-04-12,59
2012-04-13,59
2012-04-14,59
2012-04-15,59
2012-04-16,59
2012-04-17,59
2012-04-18,59
2012-04-19,59
2012-04-20,59
2012-04-21,59
2012-04-22,59
2012-04-23,59
2012-04-24,59
2012-04-25,59
2012-04-26,59
2012-04-27,59
2012-04-28,59
2012-04-29,59
2012-04-30,59
2012-05-01,59
2012-05-02,59
2012-05-03,59
2012-05-04,60
2012-05-05,60
2012-05-06,60
2012-05-07,61
2012-05-08,61
2012-05-09,61
2012-05-10,62
2012-05-11,62
2012-05-12,62
2012-05-13,63
2012-05-14,63
2012-05-15,63
2012-05-16,64
2012-05-17,64
2012-05-18,65
2012-05-19,65
2012-05-20,65
2012-05-21,66
2012-05-22,66
2012-05-23,66
2012-05-24,67
2012-05-25,67
2012-05-26,67
2012-05-27,68
2012-05-28,68
2012-05-29,68
2012-05-30,69
2012-05-31,69
2012-06-01,70
2012-06-02,69
2012-06-03,69
2012-06-04,68
2012-06-05,68
2012-06-06,67
2012-06-07,67
2012-06-08,66
2012-06-09,66
2012-06-10,65
2012-06-11,65
2012-06-12,64
2012-06-13,64
2012-06-14,63
2012-06-15,63
2012-06-16,62
2012-06-17,62
2012-06-18,61
2012-06-19,61
2012-06-20,60
2012-06-21,60
2012-06-22,59
2012-06-23,59
2012-06-24,58
2012-06-25,58
2012-06-26,57
2012-06-27,57
2012-06-28,56
2012-06-29,56
2012-06-30,55
2012-07-01,55
2012-07-02,55
2012-07-03,55
2012-07-04,55
2012-07-05,55
2012-07-06,55
2012-07-07,55
2012-07-08,55
2012-07-09,55
2012-07-10,55
2012-07-11,55
2012-07-12,55
2012-07-13,55
2012-07-14,55
2012-07-15,55
2012-07-16,55
2012-07-17,55
2012-07-18,55
2012-07-19,55
2012-07-20,55
2012-07-21,55
2012-07-22,55
2012-07-23,55
2012-07-24,55
2012-07-25,55
2012-07-26,55
2012-07-27,55
2012-07-28,55
2012-07-29,55
2012-07-30,55
2012-07-31,55
2012-08-01,55
2012-08-02,55
2012-08-03,55
2012-08-04,56
2012-08-05,56
2012-08-06,57
2012-08-07,57
2012-08-08,57
2012-08-09,58
2012-08-10,58
2012-08-11,59
2012-08-12,59
2012-08-13,60
2012-08-14,60
2012-08-15,60
2012-08-16,61
2012-08-17,61
2012-08-18,62
2012-08-19,62
2012-08-20,62
2012-08-21,63
2012-08-22,63
2012-08-23,64
2012-08-24,64
2012-08-25,65
2012-08-26,65
2012-08-27,65
2012-08-28,66
2012-08-29,66
2012-08-30,67
2012-08-31,67
2012-09-01,68
2012-09-02,67
2012-09-03,66
2012-09-04,65
2012-09-05,64
2012-09-06,64
2012-09-07,63
2012-09-08,62
2012-09-09,61
2012-09-10,61
2012-09-11,60
2012-09-12,59
2012-09-13,58
2012-09-14,58
2012-09-15,57
2012-09-16,56
2012-09-17,55
2012-09-18,54
2012-09-19,54
2012-09-20,53
2012-09-21,52
2012-09-22,51
2012-09-23,51
2012-09-24,50
2012-09-25,49
2012-09-26,48
2012-09-27,48
2012-09-28,47
2012-09-29,46
2012-09-30,45
2012-10-01,45
2012-10-02,45
2012-10-03,45
2012-10-04,45
2012-10-05,46
2012-10-06,46
2012-10-07,46
2012-10-08,47
2012-10-09,47
2012-10-10,47
2012-10-11,47
2012-10-12,48
2012-10-13,48
2012-10-14,48
2012-10-15,49
2012-10-16,49
2012-10-17,49
2012-10-18,49
2012-10-19,50
2012-10-20,50
2012-10-21,50
2012-10-22,51
2012-10-23,51
2012-10-24,51
2012-10-25,51
2012-10-26,52
2012-10-27,52
2012-10-28,52
2012-10-29,53
2012-10-30,53
2012-10-31,53
2012-11-01,54
2012-11-02,54
2012-11-03,54
2012-11-04,54
2012-11-05,54
2012-11-06,54
2012-11-07,54
2012-11-08,54
2012-11-09,54
2012-11-10,54
2012-11-11,54
2012-11-12,54
2012-11-13,54
2012-11-14,54
2012-11-15,54
2012-11-16,54
2012-11-17,54
2012-11-18,54
2012-11-19,54
2012-11-20,54
2012-11-21,54
2012-11-22,54
2012-11-23,54
2012-11-24,54
2012-11-25,54
2012-11-26,54
2012-11-27,54
2012-11-28,54
2012-11-29,54
2012-11-30,54
2012-12-01,54
