1499912|Credit Suisse|2010-09
1559865|Goldman Sachs|2013-02
1087294|UBS Securities|2007-05
1169652|Goldman Sachs|2013-04
1324948|Merrill Lynch|2005-05
1350653|Deutsche Bank|2006-02
1374310|Goldman Sachs|2010-03
1403256|Goldman Sachs|2007-07
1443669|Jefferies|2011-07
1509190|Stifel|2013-03
1564618|Sandler O'Neill & Partners|2013-02
887637|JPMorgan Chase|2009-07
1142576|Piper Jaffray|2006-11
1280263|Morgan Stanley|2011-06
1319197|Merrill Lynch|2005-04
1340354|Thomas Weisel|2005-10
1367705|SG Cowen|2006-08
1395942|Goldman Sachs|2009-09
1426506|Sunrise Securities|2010-04
1491501|BofA Merrill Lynch|2010-05
1549346|Morgan Stanley|2012-05
890264|Stifel|2011-08
1143967|Morgan Stanley|2005-03
1280600|Citigroup|2013-08
1340652|JPMorgan Chase|2011-10
1368265|WR Hambrecht + Co|2006-09
1395943|Oppenheimer Holdings|2007-04
1491576|Citigroup|2012-03
1555280|JPMorgan Chase|2012-08
1029299|Credit Suisse|2007-05
1158895|Goldman Sachs|2006-04
1286613|Merrill Lynch|2005-03
1322705|Citigroup|2005-04
1345016|Goldman Sachs|2011-11
1370880|Morgan Stanley|2013-08
1398161|Credit Suisse|2007-05
1436126|JPMorgan Chase|2008-06
1496623|Goldman Sachs|2010-07
1555365|JPMorgan Chase|2012-08
1045829|BofA Merrill Lynch|2011-04
1159167|Morgan Stanley|2005-07
1287213|Credit Suisse|2010-01
1322734|CE Unterberg Towbin|2005-04
1345111|Goldman Sachs|2005-12
1371011|Deutsche Bank|2006-09
1398659|Morgan Stanley|2007-05
1436304|JPMorgan Chase|2012-05
1496631|Sandler O'Neill & Partners|2013-04
1555492|Credit Suisse|2012-09
1051251|Goldman Sachs|2005-08
1160958|Morgan Stanley|2010-06
1288469|Morgan Stanley|2009-11
1345122|Ferris Baker Watts|2005-12
1371217|JPMorgan Chase|2007-05
1436549|Paulson & Co|2012-06
1051514|ThinkEquity|2005-06
1161448|Credit Suisse First Boston|2005-05
1290096|Bank of America|2005-12
1323531|UBS Securities|2005-04
1347022|Merriman Curhan Ford|2005-12
1371446|FBR Capital Markets|2007-04
1437578|Goldman Sachs|2012-10
1497770|Credit Suisse|2010-08
1556266|Burnham Securities|2013-06
1058090|Morgan Stanley|2005-10
1162112|Deutsche Bank|2010-10
1292026|CIBC World Markets|2004-07
1323630|Goldman Sachs|2005-08
1347178|JPMorgan Chase|2005-12
1371455|Jefferies|2006-08
1399249|Goldman Sachs|2007-06
1438133|BofA Merrill Lynch|2013-10
1498021|Goldman Sachs|2010-08
1061027|Lehman Brothers|2004-12
1162192|WR Hambrecht + Co|2005-05
1292426|Citigroup|2004-06
1372000|Ladenburg Thalmann|2006-09
1399855|Morgan Joseph|2007-05
1439095|Goldman Sachs|2012-01
1498710|Citibank|2010-09
1086909|Goldman Sachs|2010-03
1169561|Credit Suisse|2006-03
1295557|Goldman Sachs|2006-06
1350620|Deutsche Bank|2006-03
1373980|Bear Stearns|2006-09
1403161|JPMorgan Chase|2007-11
1443646|Morgan Stanley|2010-06
1563699|Credit Suisse|2013-05
1103025|Credit Suisse First Boston|2005-05
1175505|Jefferies|2013-07
1299966|Gilford Securities|2004-11
1376139|Goldman Sachs|2006-09
1405277|CIBC World Markets|2007-07
1513761|UBS Securities|2011-07
1024305|BofA Merrill Lynch|2012-06
1158223|Morgan Stanley|2006-07
1285819|Deutsche Bank|2008-01
1322439|UBS Securities|2005-04
1344907|Feltl & Company|2005-12
1370314|SG Cowen|2006-08
1397911|Goldman Sachs|2010-06
1434588|Credit Suisse|2008-05
1495479|Feltl & Company|2010-07
1024657|Goldman Sachs|2009-10
1158863|William Blair & Company|2011-04
1286225|Credit Suisse|2010-04
1322505|Morgan Stanley|2007-02
1370450|Wedbush Securities|2006-08
1398090|Jefferies|2007-05
1434868|Credit Suisse|2013-05
1495925|Piper Jaffray|2010-09
1561627|FBR Capital Markets|2013-01
1080131|Thomas Weisel|2007-07
1167178|Morgan Stanley|2008-08
1293310|Leerink Swann|2012-10
1324245|Goldman Sachs|2007-02
1349426|UBS Securities|2006-01
1372813|JPMorgan Chase|2006-09
1401688|Jefferies|2007-06
1440013|Credit Suisse|2008-07
1503802|BofA Merrill Lynch|2013-10
1561660|BMO Capital Markets|2013-08
1080747|JPMorgan Chase|2011-07
1167294|BofA Merrill Lynch|2009-12
1293971|JPMorgan Chase|2013-05
1324272|Bank of America|2005-04
1349436|Lehman Brothers|2007-08
1373561|Goldman Sachs|2006-09
1401708|JPMorgan Chase|2013-05
1440024|Robert W Baird|2008-07
1561680|Citigroup|2012-12
1082526|Stifel|2010-03
1167896|Merrill Lynch|2005-12
1294016|Goldman Sachs|2012-10
1349454|JPMorgan Chase|2012-08
1373670|JPMorgan Chase|2006-12
1401923|Merrill Lynch|2007-06
1441634|Deutsche Bank|2008-08
1561743|BMO Capital Markets|2013-11
1082754|BofA Merrill Lynch|2009-10
1168195|Morgan Stanley|2006-10
1294924|Goldman Sachs|2010-06
1324479|Merrill Lynch|2005-07
1349929|Aegis Capital|2011-12
1373671|Morgan Stanley|2006-09
1402057|JPMorgan Chase|2013-03
1441693|Jefferies|2013-07
1505512|Lazard Capital Markets|2012-08
1084727|Raymond James|2005-08
1168197|Barclays Capital|2011-06
1295172|Credit Suisse|2007-09
1350381|Morgan Stanley|2006-05
1373707|Barclays Capital|2013-02
1402305|Morgan Stanley|2007-07
1441849|Credit Suisse|2009-08
1506307|Goldman Sachs|2010-11
1562476|Credit Suisse|2012-12
1084817|Morgan Stanley|2010-12
1168652|Credit Suisse|2007-02
1295230|Bear Stearns|2004-07
1324570|Wachovia Securities|2005-04
1350593|Bank of America|2006-02
1373715|Morgan Stanley|2012-03
1402436|JPMorgan Chase|2009-12
1442145|BofA Merrill Lynch|2008-08
1506932|JPMorgan Chase|2010-12
1562594|Sandler O'Neill & Partners|2013-04
1099590|JPMorgan Chase|2007-05
1175454|JPMorgan Chase|2010-04
1352341|Goldman Sachs|2006-03
1375796|Credit Suisse|2013-05
1405197|Morgan Stanley|2007-07
1453814|Citibank|2009-01
1572684|Citigroup|2013-04
1110507|Lehman Brothers|2005-05
1180145|Merrill Lynch|2006-04
1303652|Goldman Sachs|2013-04
1328581|BofA Merrill Lynch|2012-11
1356857|Credit Suisse|2009-11
1408198|Morgan Stanley|2007-07
1468174|Goldman Sachs|2009-08
1575828|Barclays Capital|2013-05
1163698|SG Cowen|2007-04
1292653|Morgan Stanley|2007-01
1323885|UBS Securities|2005-04
1348324|Piper Jaffray|2013-08
1372664|Citigroup|2006-10
1502034|Goldman Sachs|2010-09
1561387|Credit Suisse|2012-12
1071625|WR Hambrecht + Co|2005-08
1166463|Morgan Stanley|2005-11
1293282|Morgan Stanley|2007-02
1323974|Bank of America|2005-04
1348334|Morgan Stanley|2013-10
1372791|DA Davidson|2006-08
1401680|Goldman Sachs|2010-09
1439404|Morgan Stanley|2011-07
1565337|Credit Suisse|2013-04
1093557|Piper Jaffray|2005-02
1171298|Merrill Lynch|2006-08
1297336|JPMorgan Chase|2009-12
1325177|Keefe Bruyette & Woods|2005-05
1351285|Morgan Stanley|2008-09
1375200|Leerink Swann|2010-05
1446847|JPMorgan Chase|2009-11
1509432|Goldman Sachs|2011-01
1566897|Credit Suisse|2013-06
1095291|FBR Capital Markets|2005-04
1171529|Lehman Brothers|2006-01
1297846|BMO Capital Markets|2006-10
1325228|William Blair & Company|2005-11
1351509|Citigroup|2006-03
1375247|JPMorgan Chase|2006-09
1403568|JPMorgan Chase|2007-07
1448893|Goldman Sachs|2013-09
1509589|Morgan Stanley|2011-06
1567683|BofA Merrill Lynch|2013-06
1095996|Credit Suisse|2013-04
1171662|Credit Suisse|2007-04
1297989|Citigroup|2004-12
1325670|FIG Partners|2006-08
1351541|Lehman Brothers|2006-02
1375271|JPMorgan Chase|2011-08
1403708|Aegis Capital|2013-05
1509991|Credit Suisse|2011-01
1173752|Goldman Sachs|2006-12
1298521|Morgan Stanley|2006-06
1325879|JPMorgan Chase|2009-12
1352010|Citigroup|2011-06
1375365|Merrill Lynch|2006-11
1403794|Rodman & Renshaw|2009-06
1451951|Imperial Capital|2008-12
1510326|Maxim Group|2011-12
1568832|JMP Securities|2013-02
1097136|Bank of America|2006-05
1174266|Goldman Sachs|2011-04
1299130|JPMorgan Chase|2010-08
1325955|Credit Suisse First Boston|2005-05
1352045|Janney Montgomery Scott|2006-02
1375514|Deutsche Bank|2013-08
1452575|Citibank|2008-12
