Date,ipo shares
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,69
2004-05-01,73
2004-06-01,52
2004-07-01,52
2004-08-01,76
2004-09-01,50
2004-10-01,50
2004-11-01,0
2004-12-01,0
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,0
2005-06-01,0
2005-07-01,0
2005-08-01,0
2005-09-01,31
2005-10-01,29
2005-11-01,29
2005-12-01,29
2006-01-01,29
2006-02-01,29
2006-03-01,27
2006-04-01,42
2006-05-01,50
2006-06-01,19
2006-07-01,19
2006-08-01,19
2006-09-01,19
2006-10-01,19
2006-11-01,17
2006-12-01,17
2007-01-01,21
2007-02-01,36
2007-03-01,17
2007-04-01,16
2007-05-01,22
2007-06-01,27
2007-07-01,43
2007-08-01,22
2007-09-01,25
2007-10-01,28
2007-11-01,50
2007-12-01,35
2008-01-01,100
2008-02-01,64
2008-03-01,32
2008-04-01,25
2008-05-01,15
2008-06-01,14
2008-07-01,12
2008-08-01,12
2008-09-01,12
2008-10-01,7
2008-11-01,0
2008-12-01,0
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,8
2009-05-01,7
2009-06-01,7
2009-07-01,13
2009-08-01,43
2009-09-01,20
2009-10-01,15
2009-11-01,9
2009-12-01,16
2010-01-01,14
2010-02-01,15
2010-03-01,17
2010-04-01,15
2010-05-01,11
2010-06-01,12
2010-07-01,17
2010-08-01,15
2010-09-01,22
2010-10-01,45
2010-11-01,56
2010-12-01,41
2011-01-01,13
2011-02-01,12
2011-03-01,10
2011-04-01,19
2011-05-01,25
2011-06-01,23
2011-07-01,21
2011-08-01,21
2011-09-01,7
2011-10-01,11
2011-11-01,12
2011-12-01,12
2012-01-01,12
2012-02-01,39
2012-03-01,20
2012-04-01,15
2012-05-01,97
2012-06-01,10
2012-07-01,8
2012-08-01,9
2012-09-01,11
2012-10-01,15
2012-11-01,10
2012-12-01,14
2013-01-01,9
2013-02-01,7
2013-03-01,11
2013-04-01,10
2013-05-01,12
2013-06-01,10
2013-07-01,10
2013-08-01,6
2013-09-01,13
2013-10-01,29
2013-11-01,33
2013-12-01,20
