Date,IPO
2004-01-01,0
2004-04-01,0
2004-07-01,0
2004-10-01,0
2005-01-01,0
2005-04-01,0
2005-07-01,0
2005-10-01,0
2006-01-01,0
2006-01-08,100
2006-01-15,98
2006-01-22,0
2006-01-29,0
2006-02-05,0
2006-02-12,0
2006-02-19,0
2006-02-26,0
2006-03-05,0
2006-03-12,90
2006-03-19,0
2006-03-26,0
2006-04-01,0
2006-07-01,0
2006-10-01,0
2006-10-08,29
2006-10-15,43
2006-10-22,37
2006-10-29,27
2006-11-05,27
2006-11-12,27
2006-11-19,27
2006-11-26,45
2006-12-03,64
2006-12-10,82
2006-12-17,100
2006-12-24,33
2006-12-31,29
2007-01-07,0
2007-01-14,0
2007-01-21,48
2007-01-28,61
2007-02-04,74
2007-02-11,87
2007-02-18,100
2007-02-25,58
2007-03-04,50
2007-03-11,52
2007-03-18,53
2007-03-25,0
2007-04-01,0
2007-04-08,63
2007-04-15,73
2007-04-22,82
2007-04-29,38
2007-05-06,38
2007-05-13,38
2007-05-20,48
2007-05-27,65
2007-06-03,83
2007-06-10,100
2007-06-17,49
2007-06-24,41
2007-07-01,20
2007-07-08,45
2007-07-15,46
2007-07-22,43
2007-07-29,36
2007-08-05,24
2007-08-12,22
2007-08-19,25
2007-08-26,100
2007-09-02,30
2007-09-09,24
2007-09-16,21
2007-09-23,23
2007-09-30,21
2007-10-07,49
2007-10-14,87
2007-10-21,100
2007-10-28,72
2007-11-04,66
2007-11-11,59
2007-11-18,95
2007-11-25,68
2007-12-02,78
2007-12-09,55
2007-12-16,53
2007-12-23,65
2007-12-30,69
2008-01-06,73
2008-01-13,83
2008-01-20,54
2008-01-27,54
2008-02-03,57
2008-02-10,60
2008-02-17,64
2008-02-24,73
2008-03-02,100
2008-03-09,83
2008-03-16,57
2008-03-23,57
2008-03-30,57
2008-04-01,0
2008-07-06,0
2008-07-13,16
2008-07-20,16
2008-07-27,17
2008-08-03,28
2008-08-10,40
2008-08-17,23
2008-08-24,100
2008-08-31,13
2008-09-07,20
2008-09-14,27
2008-09-21,0
2008-09-28,0
2008-10-05,0
2008-10-12,58
2008-10-19,57
2008-10-26,36
2008-11-02,63
2008-11-09,90
2008-11-16,51
2008-11-23,76
2008-11-30,78
2008-12-07,40
2008-12-14,100
2008-12-21,0
2008-12-28,0
2009-01-01,0
2009-04-01,0
2009-07-05,0
2009-07-12,43
2009-07-19,85
2009-07-26,50
2009-08-02,57
2009-08-09,34
2009-08-16,43
2009-08-23,90
2009-08-30,71
2009-09-06,52
2009-09-13,91
2009-09-20,42
2009-09-27,100
2009-10-04,35
2009-10-11,11
2009-10-18,10
2009-10-25,100
2009-11-01,22
2009-11-08,14
2009-11-15,19
2009-11-22,14
2009-11-29,17
2009-12-06,39
2009-12-13,36
2009-12-20,51
2009-12-27,40
2010-01-03,100
2010-01-10,53
2010-01-17,17
2010-01-24,10
2010-01-31,9
2010-02-07,11
2010-02-14,15
2010-02-21,29
2010-02-28,23
2010-03-07,71
2010-03-14,15
2010-03-21,12
2010-03-28,14
2010-04-04,28
2010-04-11,20
2010-04-18,32
2010-04-25,53
2010-05-02,16
2010-05-09,16
2010-05-16,20
2010-05-23,100
2010-05-30,26
2010-06-06,16
2010-06-13,87
2010-06-20,30
2010-06-27,28
2010-07-04,100
2010-07-11,27
2010-07-18,75
2010-07-25,29
2010-08-01,32
2010-08-08,27
2010-08-15,40
2010-08-22,39
2010-08-29,99
2010-09-05,32
2010-09-12,41
2010-09-19,45
2010-09-26,28
2010-10-01,0
2010-10-02,0
2010-10-03,0
2010-10-04,0
2010-10-05,0
2010-10-06,0
2010-10-07,0
2010-10-08,12
2010-10-09,12
2010-10-10,12
2010-10-11,12
2010-10-12,11
2010-10-13,11
2010-10-14,16
2010-10-15,21
2010-10-16,26
2010-10-17,32
2010-10-18,37
2010-10-19,17
2010-10-20,10
2010-10-21,11
2010-10-22,11
2010-10-23,12
2010-10-24,12
2010-10-25,13
2010-10-26,0
2010-10-27,0
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,11
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,10
2010-11-10,10
2010-11-11,10
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,17
2010-11-22,24
2010-11-23,31
2010-11-24,15
2010-11-25,18
2010-11-26,15
2010-11-27,15
2010-11-28,15
2010-11-29,15
2010-11-30,15
2010-12-01,15
2010-12-02,10
2010-12-03,17
2010-12-04,16
2010-12-05,16
2010-12-06,16
2010-12-07,15
2010-12-08,21
2010-12-09,25
2010-12-10,21
2010-12-11,20
2010-12-12,31
2010-12-13,100
2010-12-14,99
2010-12-15,96
2010-12-16,89
2010-12-17,29
2010-12-18,23
2010-12-19,12
2010-12-20,23
2010-12-21,21
2010-12-22,19
2010-12-23,38
2010-12-24,22
2010-12-25,26
2010-12-26,13
2010-12-27,54
2010-12-28,47
2010-12-29,25
2010-12-30,27
2010-12-31,0
2011-01-01,9
2011-01-02,12
2011-01-03,9
2011-01-04,8
2011-01-05,0
2011-01-06,0
2011-01-07,0
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,5
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,4
2011-01-25,5
2011-01-26,5
2011-01-27,5
2011-01-28,5
2011-01-29,7
2011-01-30,9
2011-01-31,100
2011-02-01,47
2011-02-02,12
2011-02-03,6
2011-02-04,5
2011-02-05,5
2011-02-06,5
2011-02-07,5
2011-02-08,5
2011-02-09,28
2011-02-10,9
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,5
2011-02-21,5
2011-02-22,5
2011-02-23,5
2011-02-24,5
2011-02-25,5
2011-02-26,5
2011-02-27,5
2011-02-28,5
2011-03-01,5
2011-03-02,5
2011-03-03,9
2011-03-04,7
2011-03-05,7
2011-03-06,7
2011-03-07,7
2011-03-08,0
2011-03-09,0
2011-03-10,0
2011-03-11,0
2011-03-12,0
2011-03-13,0
2011-03-14,0
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,4
2011-03-29,0
2011-03-30,0
2011-03-31,0
2011-04-03,97
2011-04-10,61
2011-04-17,100
2011-04-24,69
2011-05-01,76
2011-05-08,49
2011-05-15,44
2011-05-22,60
2011-05-29,46
2011-06-05,48
2011-06-12,66
2011-06-19,52
2011-06-26,38
2011-07-03,100
2011-07-10,84
2011-07-17,54
2011-07-24,91
2011-07-31,73
2011-08-07,65
2011-08-14,38
2011-08-21,36
2011-08-28,47
2011-09-04,100
2011-09-11,87
2011-09-18,97
2011-09-25,57
2011-10-02,37
2011-10-09,100
2011-10-16,53
2011-10-23,20
2011-10-30,28
2011-11-06,30
2011-11-13,89
2011-11-20,33
2011-11-27,39
2011-12-04,42
2011-12-11,23
2011-12-18,16
2011-12-25,18
2012-01-01,33
2012-01-08,38
2012-01-15,34
2012-01-22,49
2012-01-29,75
2012-02-05,65
2012-02-12,62
2012-02-19,100
2012-02-26,60
2012-03-04,45
2012-03-11,32
2012-03-18,54
2012-03-25,51
2012-04-01,33
2012-04-08,28
2012-04-15,77
2012-04-22,57
2012-04-29,40
2012-05-06,47
2012-05-13,100
2012-05-20,43
2012-05-27,36
2012-06-03,36
2012-06-10,34
2012-06-17,34
2012-06-24,34
2012-07-01,58
2012-07-08,74
2012-07-15,47
2012-07-22,36
2012-07-29,43
2012-08-05,38
2012-08-12,38
2012-08-19,49
2012-08-26,55
2012-09-02,50
2012-09-09,78
2012-09-16,59
2012-09-23,69
2012-09-30,100
2012-10-07,37
2012-10-14,66
2012-10-21,22
2012-10-28,35
2012-11-04,41
2012-11-11,31
2012-11-18,56
2012-11-25,41
2012-12-02,100
2012-12-09,92
2012-12-16,48
2012-12-23,42
2012-12-30,46
2013-01-06,100
2013-01-13,43
2013-01-20,65
2013-01-27,54
2013-02-03,51
2013-02-10,36
2013-02-17,45
2013-02-24,42
2013-03-03,38
2013-03-10,26
2013-03-17,24
2013-03-24,63
2013-03-31,31
2013-04-07,63
2013-04-14,40
2013-04-21,65
2013-04-28,59
2013-05-05,75
2013-05-12,56
2013-05-19,65
2013-05-26,49
2013-06-02,68
2013-06-09,57
2013-06-16,66
2013-06-23,100
2013-06-30,59
2013-07-07,40
2013-07-14,66
2013-07-21,57
2013-07-28,33
2013-08-04,37
2013-08-11,68
2013-08-18,100
2013-08-25,35
2013-09-01,32
2013-09-08,28
2013-09-15,33
2013-09-22,37
2013-09-29,58
2013-10-06,43
2013-10-13,33
2013-10-20,50
2013-10-27,46
2013-11-03,100
2013-11-10,41
2013-11-17,33
2013-11-24,35
