Date,Ancestry.com
2009-02-01,50
2009-02-02,50
2009-02-03,50
2009-02-04,50
2009-02-05,49
2009-02-06,49
2009-02-07,49
2009-02-08,49
2009-02-09,49
2009-02-10,49
2009-02-11,49
2009-02-12,49
2009-02-13,49
2009-02-14,49
2009-02-15,51
2009-02-16,52
2009-02-17,53
2009-02-18,54
2009-02-19,56
2009-02-20,57
2009-02-21,58
2009-02-22,60
2009-02-23,63
2009-02-24,65
2009-02-25,67
2009-02-26,69
2009-02-27,71
2009-02-28,74
2009-03-01,71
2009-03-02,66
2009-03-03,64
2009-03-04,61
2009-03-05,58
2009-03-06,56
2009-03-07,53
2009-03-08,54
2009-03-09,56
2009-03-10,57
2009-03-11,58
2009-03-12,59
2009-03-13,61
2009-03-14,62
2009-03-15,60
2009-03-16,59
2009-03-17,57
2009-03-18,56
2009-03-19,54
2009-03-20,53
2009-03-21,51
2009-03-22,51
2009-03-23,51
2009-03-24,51
2009-03-25,51
2009-03-26,50
2009-03-27,50
2009-03-28,50
2009-03-29,49
2009-05-03,45
2009-05-04,43
2009-05-05,41
2009-05-06,39
2009-05-07,38
2009-05-08,36
2009-05-09,34
2009-05-10,36
2009-05-11,38
2009-05-12,40
2009-05-13,42
2009-05-14,44
2009-05-15,46
2009-05-16,47
2009-05-17,46
2009-05-18,44
2009-05-19,42
2009-05-20,40
2009-05-21,39
2009-05-22,37
2009-05-23,35
2009-05-24,37
2009-05-25,39
2009-05-26,41
2009-05-27,43
2009-05-28,45
2009-05-29,47
2009-05-30,49
2009-05-31,49
2009-06-01,49
2009-06-02,49
2009-06-03,49
2009-06-04,49
2009-06-05,49
2009-06-06,49
2009-06-07,48
2009-06-08,47
2009-06-09,46
2009-06-10,45
2009-06-11,44
2009-06-12,43
2009-06-13,43
2009-06-14,45
2009-06-15,46
2009-06-16,48
2009-06-17,50
2009-06-18,52
2009-06-19,54
2009-06-20,56
2009-06-21,53
2009-06-22,50
2009-06-23,47
2009-06-24,44
2009-06-25,40
2009-06-26,37
2009-06-27,34
2009-06-28,35
2009-06-29,35
2009-06-30,36
2009-07-01,37
2009-07-02,38
2009-07-03,39
2009-07-04,40
2009-07-05,43
2009-07-06,46
2009-07-07,48
2009-07-08,51
2009-07-09,53
2009-07-10,56
2009-07-11,58
2009-07-12,58
2009-07-13,58
2009-07-14,58
2009-07-15,57
2009-07-16,57
2009-07-17,56
2009-07-18,56
2009-07-19,54
2009-07-20,51
2009-07-21,50
2009-07-22,49
2009-07-23,47
2009-07-24,46
2009-07-25,45
2009-07-26,47
2009-08-02,58
2009-08-03,60
2009-08-04,61
2009-08-05,62
2009-08-06,63
2009-08-07,65
2009-08-08,66
2009-08-09,63
2009-08-10,58
2009-08-11,55
2009-08-12,52
2009-08-13,49
2009-08-14,46
2009-08-15,43
2009-08-16,44
2009-08-17,44
2009-08-18,44
2009-08-19,44
2009-08-20,45
2009-08-21,45
2009-08-22,45
2009-08-23,46
2009-08-24,48
2009-08-25,49
