Date,First Interstate BancSystem
2009-07-11,57
2009-07-12,56
2009-07-13,56
2009-07-14,55
2009-07-15,54
2009-07-16,53
2009-07-17,53
2009-07-18,52
2009-07-19,52
2009-07-20,53
2009-07-21,53
2009-07-22,54
2009-07-23,54
2009-07-24,55
2009-07-25,55
2009-07-26,55
2009-07-27,55
2009-07-28,55
2009-07-29,55
2009-07-30,55
2009-07-31,54
2009-08-01,54
2009-08-02,55
2009-08-03,56
2009-08-04,56
2009-08-05,57
2009-08-06,57
2009-08-07,58
2009-08-08,58
2009-08-09,58
2009-08-10,58
2009-08-11,57
2009-08-12,57
2009-08-13,56
2009-08-14,56
2009-08-15,56
2009-08-16,56
2009-08-17,56
2009-08-18,57
2009-08-19,57
2009-08-20,57
2009-08-21,58
2009-08-22,58
2009-08-23,56
2009-08-24,53
2009-08-25,52
2009-08-26,50
2009-08-27,48
2009-08-28,47
2009-08-29,45
2009-08-30,45
2009-08-31,47
2009-09-01,47
2009-09-02,47
2009-09-03,48
2009-09-04,48
2009-09-05,48
2009-09-06,47
2009-09-07,45
2009-09-08,44
2009-09-09,43
2009-09-10,42
2009-09-11,41
2009-09-12,40
2009-09-13,42
2009-09-14,45
2009-09-15,47
2009-09-16,49
2009-09-17,51
2009-09-18,54
2009-09-19,56
2009-09-20,55
2009-09-21,54
2009-09-22,54
2009-09-23,53
2009-09-24,53
2009-09-25,52
2009-09-26,52
2009-09-27,53
2009-10-01,60
2009-10-02,62
2009-10-03,64
2009-10-04,64
2009-10-05,64
2009-10-06,64
2009-10-07,64
2009-10-08,61
2009-10-09,68
2009-10-10,65
2009-10-11,64
2009-10-12,64
2009-10-13,63
2009-10-14,63
2009-10-15,63
2009-10-16,63
2009-10-17,63
2009-10-18,64
2009-10-19,66
2009-10-20,65
2009-10-21,71
2009-10-22,76
2009-10-23,74
2009-10-24,76
2009-10-25,72
2009-10-26,68
2009-10-27,64
2009-10-28,60
2009-10-29,56
2009-10-30,52
2009-10-31,48
2009-11-01,50
2009-11-02,52
2009-11-03,53
2009-11-04,57
2009-11-05,57
2009-11-06,59
2009-11-07,61
2009-11-08,61
2009-11-09,60
2009-11-10,59
2009-11-11,59
2009-11-12,58
2009-11-13,58
2009-11-14,63
2009-11-15,58
2009-11-16,57
2009-11-17,56
2009-11-18,55
2009-11-19,54
2009-11-20,54
2009-11-21,53
2009-11-22,51
2009-11-23,50
2009-11-24,48
2009-11-25,48
