Date,Viewsonic
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,2
2007-12-03,4
2007-12-04,6
2007-12-05,8
2007-12-06,10
2007-12-07,12
2007-12-08,15
2007-12-09,17
2007-12-10,19
2007-12-11,21
2007-12-12,23
2007-12-13,25
2007-12-14,28
2007-12-15,30
2007-12-16,32
2007-12-17,34
2007-12-18,36
2007-12-19,38
2007-12-20,41
2007-12-21,43
2007-12-22,45
2007-12-23,47
2007-12-24,49
2007-12-25,51
2007-12-26,54
2007-12-27,56
2007-12-28,58
2007-12-29,60
2007-12-30,62
2007-12-31,64
2008-01-01,67
2008-01-02,67
2008-01-03,67
2008-01-04,67
2008-01-05,67
2008-01-06,67
2008-01-07,67
2008-01-08,67
2008-01-09,67
2008-01-10,67
2008-01-11,67
2008-01-12,68
2008-01-13,68
2008-01-14,68
2008-01-15,68
2008-01-16,68
2008-01-17,68
2008-01-18,68
2008-01-19,68
2008-01-20,68
2008-01-21,68
2008-01-22,69
2008-01-23,69
2008-01-24,69
2008-01-25,69
2008-01-26,69
2008-01-27,69
2008-01-28,69
2008-01-29,69
2008-01-30,69
2008-01-31,69
2008-02-01,70
2008-02-02,69
2008-02-03,69
2008-02-04,68
2008-02-05,68
2008-02-06,68
2008-02-07,67
2008-02-08,67
2008-02-09,66
2008-02-10,66
2008-02-11,66
2008-02-12,65
2008-02-13,65
2008-02-14,65
2008-02-15,64
2008-02-16,64
2008-02-17,63
2008-02-18,63
2008-02-19,63
2008-02-20,62
2008-02-21,62
2008-02-22,62
2008-02-23,61
2008-02-24,61
2008-02-25,60
2008-02-26,60
2008-02-27,60
2008-02-28,59
2008-02-29,59
2008-03-01,59
2008-03-02,59
2008-03-03,59
2008-03-04,59
2008-03-05,59
2008-03-06,59
2008-03-07,59
2008-03-08,59
2008-03-09,59
2008-03-10,59
2008-03-11,59
2008-03-12,59
2008-03-13,59
2008-03-14,59
2008-03-15,59
2008-03-16,59
2008-03-17,59
2008-03-18,59
2008-03-19,59
2008-03-20,59
2008-03-21,59
2008-03-22,59
2008-03-23,59
2008-03-24,59
2008-03-25,59
2008-03-26,59
2008-03-27,59
2008-03-28,59
2008-03-29,59
2008-03-30,59
2008-03-31,59
2008-04-01,59
2008-04-02,59
2008-04-03,59
2008-04-04,59
2008-04-05,59
2008-04-06,59
2008-04-07,59
2008-04-08,59
2008-04-09,59
2008-04-10,59
2008-04-11,59
2008-04-12,59
2008-04-13,59
2008-04-14,59
2008-04-15,59
2008-04-16,59
2008-04-17,59
2008-04-18,59
2008-04-19,59
2008-04-20,59
2008-04-21,59
2008-04-22,59
2008-04-23,59
2008-04-24,59
2008-04-25,59
2008-04-26,59
2008-04-27,59
2008-04-28,59
2008-04-29,59
2008-04-30,59
2008-05-01,59
2008-05-02,59
2008-05-03,59
2008-05-04,59
2008-05-05,59
2008-05-06,59
2008-05-07,59
2008-05-08,59
2008-05-09,59
2008-05-10,59
