Date,Financial Engines
2009-06-01,0
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,0
2009-06-23,0
2009-06-24,0
2009-06-25,0
2009-06-26,0
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,2
2009-07-13,4
2009-07-14,6
2009-07-15,8
2009-07-16,10
2009-07-17,12
2009-07-18,14
2009-07-19,12
2009-07-20,10
2009-07-21,8
2009-07-22,6
2009-07-23,4
2009-07-24,2
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,0
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,0
2009-09-06,0
2009-09-07,0
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0
2009-09-19,0
2009-09-20,1
2009-09-21,3
2009-09-22,5
2009-09-23,7
2009-09-24,9
2009-09-25,11
2009-09-26,12
2009-09-27,13
2009-09-28,13
2009-09-29,13
2009-09-30,13
2009-10-01,13
2009-10-02,13
2009-10-03,13
2009-10-04,13
2009-10-05,14
2009-10-06,14
2009-10-07,14
2009-10-08,14
2009-10-09,14
2009-10-10,14
2009-10-11,14
2009-10-12,14
2009-10-13,14
2009-10-14,14
2009-10-15,14
2009-10-16,14
2009-10-17,15
2009-10-18,15
2009-10-19,15
2009-10-20,15
2009-10-21,15
2009-10-22,15
2009-10-23,15
2009-10-24,15
2009-10-25,15
2009-10-26,15
2009-10-27,15
2009-10-28,15
2009-10-29,15
2009-10-30,15
2009-10-31,16
2009-11-01,15
2009-11-02,15
2009-11-03,14
2009-11-04,14
2009-11-05,13
2009-11-06,13
2009-11-07,13
2009-11-08,13
2009-11-09,13
2009-11-10,13
2009-11-11,13
2009-11-12,13
2009-11-13,13
2009-11-14,13
2009-11-15,13
2009-11-16,13
2009-11-17,13
2009-11-18,14
2009-11-19,14
2009-11-20,14
2009-11-21,15
2009-11-22,14
2009-11-23,14
2009-11-24,14
2009-11-25,14
2009-11-26,14
2009-11-27,14
2009-11-28,14
2009-11-29,14
2009-12-06,17
2009-12-07,18
2009-12-08,18
2009-12-09,19
2009-12-10,19
2009-12-11,20
2009-12-12,21
2009-12-13,20
2009-12-14,20
2009-12-15,20
2009-12-16,19
2009-12-17,19
2009-12-18,19
2009-12-19,19
2009-12-20,19
2009-12-21,18
2009-12-22,18
2009-12-23,18
2009-12-24,18
2009-12-25,18
2009-12-26,18
2009-12-27,18
2009-12-28,19
2009-12-29,19
2009-12-30,19
2009-12-31,19
2010-01-01,19
2010-01-02,19
2010-01-03,18
2010-01-04,17
2010-01-05,16
2010-01-06,15
2010-01-07,15
2010-01-08,14
2010-01-09,13
2010-01-10,14
2010-01-11,15
2010-01-12,16
2010-01-13,17
2010-01-14,18
2010-01-15,19
2010-01-16,20
2010-01-17,20
2010-01-18,19
2010-01-19,19
2010-01-20,19
2010-01-21,19
2010-01-22,19
2010-01-23,19
2010-01-24,20
2010-01-25,20
2010-01-26,21
2010-01-27,21
2010-01-28,21
2010-01-29,22
2010-01-30,22
2010-01-31,21
2010-02-01,19
2010-02-02,18
2010-02-03,17
2010-02-04,16
2010-02-05,15
2010-02-06,13
2010-02-07,13
2010-02-08,13
2010-02-09,13
2010-02-10,13
2010-02-11,13
2010-02-12,13
2010-02-13,13
2010-02-14,13
2010-02-15,13
2010-02-16,13
2010-02-17,13
2010-02-18,13
2010-02-19,13
2010-02-20,13
2010-02-21,13
2010-02-22,13
2010-02-23,13
2010-02-24,13
2010-02-25,13
2010-02-26,13
2010-02-27,13
2010-02-28,14
2010-03-07,19
2010-03-08,18
2010-03-09,19
2010-03-10,19
2010-03-11,20
2010-03-12,20
2010-03-13,21
2010-03-14,32
2010-03-15,45
2010-03-16,56
2010-03-17,68
2010-03-18,80
2010-03-19,92
2010-03-20,104
2010-03-21,94
2010-03-22,78
2010-03-23,67
2010-03-24,56
2010-03-25,45
2010-03-26,34
2010-03-27,23
2010-03-28,22
2010-03-29,20
2010-03-30,19
2010-03-31,17
2010-04-01,16
2010-04-02,15
2010-04-03,13
2010-04-04,14
2010-04-05,16
2010-04-06,17
2010-04-07,18
2010-04-08,19
2010-04-09,20
2010-04-10,21
2010-04-11,21
2010-04-12,20
2010-04-13,20
2010-04-14,20
2010-04-15,20
2010-04-16,19
2010-04-17,19
2010-04-18,19
2010-04-19,19
2010-04-20,19
2010-04-21,19
2010-04-22,18
2010-04-23,18
2010-04-24,18
2010-04-25,18
2010-04-26,17
2010-04-27,17
2010-04-28,17
2010-04-29,17
2010-04-30,16
2010-05-01,16
2010-05-02,17
2010-05-03,18
2010-05-04,18
2010-05-05,18
2010-05-06,19
2010-05-07,19
2010-05-08,20
2010-05-09,20
2010-05-10,20
2010-05-11,20
2010-05-12,20
2010-05-13,20
2010-05-14,20
2010-05-15,21
2010-05-16,20
2010-05-17,19
2010-05-18,18
2010-05-19,18
2010-05-20,17
2010-05-21,16
2010-05-22,16
2010-05-23,15
2010-05-24,15
2010-05-25,15
2010-05-26,15
2010-05-27,15
2010-05-28,15
2010-05-29,15
2010-05-30,14
2010-06-06,12
2010-06-07,12
2010-06-08,12
2010-06-09,11
2010-06-10,11
2010-06-11,11
2010-06-12,11
2010-06-13,11
2010-06-14,14
2010-06-15,10
2010-06-16,12
2010-06-17,13
2010-06-18,13
2010-06-19,14
2010-06-20,14
2010-06-21,13
