Date,Orbitz Worldwide
2006-11-05,64
2006-11-06,68
2006-11-07,72
2006-11-08,77
2006-11-09,81
2006-11-10,86
2006-11-11,90
2006-11-12,83
2006-11-13,77
2006-11-14,70
2006-11-15,64
2006-11-16,57
2006-11-17,50
2006-11-18,43
2006-11-19,43
2006-11-20,43
2006-11-21,44
2006-11-22,44
2006-11-23,45
2006-11-24,45
2006-11-25,46
2006-11-26,48
2006-11-27,51
2006-11-28,54
2006-11-29,56
2006-11-30,58
2006-12-01,61
2006-12-02,63
2006-12-03,61
2006-12-04,59
2006-12-05,57
2006-12-06,55
2006-12-07,52
2006-12-08,50
2006-12-09,48
2006-12-10,49
2006-12-11,48
2006-12-12,49
2006-12-13,50
2006-12-14,50
2006-12-15,51
2006-12-16,52
2006-12-17,53
2006-12-18,56
2006-12-19,57
2006-12-20,58
2006-12-21,60
2006-12-22,61
2006-12-23,63
2006-12-24,62
2006-12-25,59
2006-12-26,58
2006-12-27,57
2006-12-28,56
2006-12-29,55
2006-12-30,54
2006-12-31,59
2007-01-01,64
2007-01-02,69
2007-01-03,73
2007-01-04,78
2007-01-05,82
2007-01-06,87
2007-01-07,83
2007-01-08,78
2007-01-09,75
2007-01-10,71
2007-01-11,67
2007-01-12,63
2007-01-13,59
2007-01-14,60
2007-01-15,61
2007-01-16,62
2007-01-17,62
2007-01-18,63
2007-01-19,63
2007-01-20,64
2007-01-21,64
2007-01-22,62
2007-01-23,62
2007-01-24,63
2007-01-25,63
2007-01-26,63
2007-01-27,64
2007-01-28,65
2007-02-04,73
2007-02-05,76
2007-02-06,79
2007-02-07,82
2007-02-08,84
2007-02-09,87
2007-02-10,90
2007-02-11,87
2007-02-12,84
2007-02-13,82
2007-02-14,79
2007-02-15,77
2007-02-16,75
2007-02-17,72
2007-02-18,76
2007-02-19,81
2007-02-20,85
2007-02-21,89
2007-02-22,93
2007-02-23,97
2007-02-24,101
2007-02-25,94
2007-02-26,86
2007-02-27,80
2007-02-28,73
2007-03-01,67
2007-03-02,61
2007-03-03,54
2007-03-04,57
2007-03-05,59
2007-03-06,61
2007-03-07,64
2007-03-08,66
2007-03-09,68
2007-03-10,70
2007-03-11,73
2007-03-12,76
2007-03-13,79
2007-03-14,82
2007-03-15,85
2007-03-16,88
2007-03-17,91
2007-03-18,88
2007-03-19,85
2007-03-20,82
2007-03-21,79
2007-03-22,76
2007-03-23,73
2007-03-24,70
2007-03-25,69
2007-05-06,80
2007-05-07,77
2007-05-08,75
2007-05-09,72
2007-05-10,69
2007-05-11,67
2007-05-12,64
2007-05-13,66
2007-05-14,69
2007-05-15,71
2007-05-16,73
2007-05-17,75
2007-05-18,77
2007-05-19,79
2007-05-20,77
2007-05-21,75
2007-05-22,73
2007-05-23,71
2007-05-24,69
2007-05-25,67
2007-05-26,65
2007-05-27,65
2007-05-28,64
2007-05-29,64
2007-05-30,64
2007-05-31,64
2007-06-01,64
2007-06-02,64
2007-06-03,66
2007-06-04,69
2007-06-05,71
2007-06-06,74
2007-06-07,76
2007-06-08,78
2007-06-09,80
2007-06-10,78
2007-06-11,75
2007-06-12,73
2007-06-13,72
2007-06-14,70
2007-06-15,68
2007-06-16,66
2007-06-17,70
2007-06-18,75
2007-06-19,79
2007-06-20,83
2007-06-21,86
2007-06-22,90
2007-06-23,94
2007-06-24,90
2007-06-25,85
2007-06-26,81
2007-06-27,76
2007-06-28,72
2007-06-29,67
2007-06-30,63
2007-07-01,61
2007-07-02,58
2007-07-03,56
2007-07-04,55
2007-07-05,53
2007-07-06,51
2007-07-07,50
2007-07-08,56
2007-07-09,64
2007-07-10,70
2007-07-11,77
2007-07-12,83
2007-07-13,90
2007-07-14,96
2007-07-15,95
2007-07-16,93
2007-07-17,92
2007-07-18,91
2007-07-19,90
2007-07-20,89
2007-07-21,88
2007-07-22,88
2007-07-23,88
2007-07-24,88
2007-07-25,88
2007-07-26,88
2007-07-27,88
2007-07-28,88
2007-07-29,85
2007-08-05,67
2007-08-06,69
2007-08-07,70
2007-08-08,71
2007-08-09,73
2007-08-10,74
2007-08-11,76
2007-08-12,75
2007-08-13,73
2007-08-14,72
2007-08-15,71
2007-08-16,70
2007-08-17,69
2007-08-18,68
2007-08-19,69
2007-08-20,71
2007-08-21,72
2007-08-22,73
2007-08-23,74
2007-08-24,75
2007-08-25,76
2007-08-26,75
2007-08-27,73
2007-08-28,72
2007-08-29,70
2007-08-30,69
2007-08-31,67
2007-09-01,66
2007-09-02,63
2007-09-03,59
2007-09-04,56
2007-09-05,52
2007-09-06,49
2007-09-07,46
2007-09-08,43
2007-09-09,45
2007-09-10,48
2007-09-11,50
2007-09-12,52
2007-09-13,54
2007-09-14,56
2007-09-15,58
2007-09-16,60
2007-09-17,62
2007-09-18,64
2007-09-19,66
2007-09-20,68
2007-09-21,69
2007-09-22,71
2007-09-23,68
2007-09-24,64
2007-09-25,61
2007-09-26,57
2007-09-27,54
2007-09-28,51
2007-09-29,48
2007-09-30,51
2007-10-01,55
2007-10-02,59
2007-10-03,62
2007-10-04,65
2007-10-05,68
2007-10-06,71
2007-10-07,68
2007-10-08,62
2007-10-09,58
2007-10-10,54
2007-10-11,51
2007-10-12,47
2007-10-13,43
2007-10-14,46
2007-10-15,50
2007-10-16,53
2007-10-17,55
2007-10-18,58
2007-10-19,61
2007-10-20,64
2007-10-21,62
2007-10-22,60
2007-10-23,58
2007-10-24,56
2007-10-25,54
2007-10-26,53
2007-10-27,51
2007-10-28,50
2007-11-04,43
2007-11-05,44
2007-11-06,45
2007-11-07,46
2007-11-08,47
2007-11-09,48
2007-11-10,49
2007-11-11,47
2007-11-12,45
2007-11-13,43
2007-11-14,41
2007-11-15,40
2007-11-16,38
2007-11-17,36
2007-11-18,38
2007-11-19,41
2007-11-20,43
2007-11-21,45
2007-11-22,47
2007-11-23,49
2007-11-24,51
2007-11-25,51
2007-11-26,52
2007-11-27,53
2007-11-28,54
2007-11-29,55
2007-11-30,56
2007-12-01,56
2007-12-02,58
2007-12-03,59
2007-12-04,60
2007-12-05,61
2007-12-06,63
2007-12-07,64
2007-12-08,65
2007-12-09,64
2007-12-10,64
2007-12-11,63
2007-12-12,62
2007-12-13,61
2007-12-14,60
2007-12-15,58
2007-12-16,57
2007-12-17,55
2007-12-18,54
2007-12-19,53
2007-12-20,52
2007-12-21,51
2007-12-22,50
2007-12-23,48
2007-12-24,45
2007-12-25,43
2007-12-26,41
2007-12-27,39
2007-12-28,36
2007-12-29,34
2007-12-30,38
2007-12-31,41
2008-01-01,45
2008-01-02,48
2008-01-03,51
2008-01-04,55
2008-01-05,58
2008-01-06,60
2008-01-07,61
2008-01-08,63
2008-01-09,64
2008-01-10,65
2008-01-11,67
2008-01-12,68
2008-01-13,68
2008-01-14,66
2008-01-15,66
2008-01-16,65
2008-01-17,65
2008-01-18,65
2008-01-19,64
2008-01-20,63
2008-01-21,62
2008-01-22,61
2008-01-23,60
2008-01-24,59
2008-01-25,58
2008-01-26,57
2008-01-27,59
2008-02-03,72
2008-02-04,68
