Date,Green Dot
2009-08-08,62
2009-08-09,60
2009-08-10,57
2009-08-11,58
2009-08-12,60
2009-08-13,51
2009-08-14,53
2009-08-15,59
2009-08-16,55
2009-08-17,54
2009-08-18,50
2009-08-19,54
2009-08-20,60
2009-08-21,57
2009-08-22,55
2009-08-23,53
2009-08-24,60
2009-08-25,55
2009-08-26,61
2009-08-27,63
2009-08-28,51
2009-08-29,60
2009-08-30,64
2009-08-31,55
2009-09-01,60
2009-09-02,59
2009-09-03,59
2009-09-04,64
2009-09-05,59
2009-09-06,63
2009-09-07,59
2009-09-08,52
2009-09-09,52
2009-09-10,48
2009-09-11,55
2009-09-12,42
2009-09-13,52
2009-09-14,46
2009-09-15,45
2009-09-16,49
2009-09-17,47
2009-09-18,47
2009-09-19,51
2009-09-20,50
2009-09-21,50
2009-09-22,45
2009-09-23,55
2009-09-24,55
2009-09-25,52
2009-09-26,50
2009-09-27,57
2009-09-28,51
2009-09-29,48
2009-09-30,48
2009-10-01,43
2009-10-02,40
2009-10-03,44
2009-10-04,42
2009-10-05,40
2009-10-06,41
2009-10-07,45
2009-10-08,44
2009-10-09,49
2009-10-10,44
2009-10-11,49
2009-10-12,42
2009-10-13,48
2009-10-14,45
2009-10-15,45
2009-10-16,44
2009-10-17,49
2009-10-18,44
2009-10-19,47
2009-10-20,49
2009-10-21,53
2009-10-22,46
2009-10-23,49
2009-10-24,52
2009-10-25,53
2009-10-26,48
2009-10-27,49
2009-10-28,51
2009-10-29,51
2009-10-30,44
2009-10-31,53
2009-11-01,51
2009-11-02,43
2009-11-03,52
2009-11-04,54
2009-11-05,56
2009-11-06,58
2009-11-07,53
2009-11-08,60
2009-11-09,53
2009-11-10,50
2009-11-11,52
2009-11-12,49
2009-11-13,50
2009-11-14,46
2009-11-15,49
2009-11-16,48
2009-11-17,46
2009-11-18,44
2009-11-19,51
2009-11-20,42
2009-11-21,47
2009-11-22,48
2009-11-23,44
2009-11-24,46
2009-11-25,47
2009-11-26,48
2009-11-27,47
2009-11-28,41
2009-11-29,49
2009-11-30,51
2009-12-01,48
2009-12-02,51
2009-12-03,54
2009-12-04,50
2009-12-05,60
2009-12-06,50
2009-12-07,57
2009-12-08,52
2009-12-09,54
2009-12-10,56
2009-12-11,52
2009-12-12,57
2009-12-13,55
2009-12-14,56
2009-12-15,51
2009-12-16,62
2009-12-17,54
2009-12-18,59
2009-12-19,55
2009-12-20,64
2009-12-21,56
2009-12-22,52
2009-12-23,61
2009-12-24,58
2009-12-25,60
2009-12-26,48
2009-12-27,66
2009-12-28,56
2009-12-29,52
2009-12-30,65
2009-12-31,60
2010-01-01,66
2010-01-02,61
2010-01-03,66
2010-01-04,56
2010-01-05,66
2010-01-06,58
2010-01-07,58
2010-01-08,58
2010-01-09,51
2010-01-10,62
2010-01-11,48
2010-01-12,53
2010-01-13,54
2010-01-14,50
2010-01-15,50
2010-01-16,57
2010-01-17,52
