Date,Precision
2007-02-10,69
2007-02-11,69
2007-02-12,70
2007-02-13,70
2007-02-14,70
2007-02-15,70
2007-02-16,71
2007-02-17,71
2007-02-18,73
2007-02-19,76
2007-02-20,78
2007-02-21,81
2007-02-22,84
2007-02-23,86
2007-02-24,89
2007-02-25,85
2007-02-26,81
2007-02-27,78
2007-02-28,74
2007-03-01,71
2007-03-02,67
2007-03-03,63
2007-03-04,63
2007-03-05,63
2007-03-06,63
2007-03-07,62
2007-03-08,62
2007-03-09,62
2007-03-10,61
2007-03-11,62
2007-03-12,63
2007-03-13,64
2007-03-14,65
2007-03-15,66
2007-03-16,67
2007-03-17,68
2007-03-18,68
2007-03-19,69
2007-03-20,69
2007-03-21,69
2007-03-22,68
2007-03-23,68
2007-03-24,68
2007-03-25,67
2007-05-06,50
2007-05-07,55
2007-05-08,61
2007-05-09,66
2007-05-10,71
2007-05-11,76
2007-05-12,82
2007-05-13,78
2007-05-14,73
2007-05-15,69
2007-05-16,65
2007-05-17,62
2007-05-18,58
2007-05-19,54
2007-05-20,56
2007-05-21,57
2007-05-22,59
2007-05-23,60
2007-05-24,62
2007-05-25,63
2007-05-26,64
2007-05-27,65
2007-05-28,66
2007-05-29,66
2007-05-30,67
2007-05-31,68
2007-06-01,68
2007-06-02,69
2007-06-03,66
2007-06-04,63
2007-06-05,60
2007-06-06,57
2007-06-07,54
2007-06-08,51
2007-06-09,48
2007-06-10,47
2007-06-11,46
2007-06-12,46
2007-06-13,45
2007-06-14,44
2007-06-15,44
2007-06-16,43
2007-06-17,47
2007-06-18,52
2007-06-19,56
2007-06-20,60
2007-06-21,64
2007-06-22,68
2007-06-23,72
2007-06-24,72
2007-06-25,74
2007-06-26,74
2007-06-27,75
2007-06-28,75
2007-06-29,75
2007-06-30,76
2007-07-01,75
2007-07-02,71
2007-07-03,70
2007-07-04,69
2007-07-05,68
2007-07-06,67
2007-07-07,66
2007-07-08,66
2007-07-09,66
2007-07-10,66
2007-07-11,66
2007-07-12,65
2007-07-13,65
2007-07-14,65
2007-07-15,64
2007-07-16,63
2007-07-17,62
2007-07-18,62
2007-07-19,61
2007-07-20,60
2007-07-21,59
2007-07-22,57
2007-07-23,53
2007-07-24,51
2007-07-25,48
2007-07-26,45
2007-07-27,43
2007-07-28,40
2007-07-29,48
2007-08-05,96
2007-08-06,93
2007-08-07,89
2007-08-08,86
2007-08-09,82
2007-08-10,79
2007-08-11,76
2007-08-12,76
2007-08-13,76
2007-08-14,76
2007-08-15,76
2007-08-16,76
2007-08-17,76
2007-08-18,76
2007-08-19,75
2007-08-20,74
2007-08-21,73
2007-08-22,73
2007-08-23,72
2007-08-24,72
2007-08-25,71
2007-08-26,70
2007-08-27,70
2007-08-28,68
2007-08-29,67
2007-08-30,66
2007-08-31,64
2007-09-01,63
2007-09-02,59
2007-09-03,52
2007-09-04,48
2007-09-05,44
2007-09-06,40
2007-09-07,36
2007-09-08,31
2007-09-09,35
2007-09-10,39
2007-09-11,42
2007-09-12,45
2007-09-13,49
2007-09-14,52
2007-09-15,56
2007-09-16,53
2007-09-17,49
2007-09-18,47
2007-09-19,44
2007-09-20,41
2007-09-21,39
2007-09-22,36
2007-09-23,42
2007-09-24,48
2007-09-25,53
2007-09-26,59
2007-09-27,65
2007-09-28,70
2007-09-29,76
2007-09-30,75
2007-10-01,75
2007-10-02,74
2007-10-03,74
2007-10-04,73
2007-10-05,72
2007-10-06,72
2007-10-07,72
2007-10-08,72
2007-10-09,72
2007-10-10,72
2007-10-11,72
2007-10-12,72
2007-10-13,72
2007-10-14,70
2007-10-15,67
2007-10-16,65
2007-10-17,63
2007-10-18,61
2007-10-19,59
2007-10-20,57
2007-10-21,58
2007-10-22,59
2007-10-23,61
2007-10-24,62
2007-10-25,63
2007-10-26,64
2007-10-27,65
2007-10-28,68
2007-11-04,81
2007-11-05,74
2007-11-06,68
2007-11-07,62
2007-11-08,56
2007-11-09,50
2007-11-10,44
2007-11-11,48
2007-11-12,53
2007-11-13,57
2007-11-14,61
2007-11-15,65
2007-11-16,68
2007-11-17,72
2007-11-18,72
2007-11-19,69
2007-11-20,68
2007-11-21,67
2007-11-22,67
2007-11-23,66
2007-11-24,66
2007-11-25,68
2007-11-26,72
2007-11-27,75
2007-11-28,78
2007-11-29,80
2007-11-30,83
2007-12-01,86
2007-12-02,84
2007-12-03,82
2007-12-04,80
2007-12-05,78
2007-12-06,76
2007-12-07,74
2007-12-08,71
2007-12-09,70
2007-12-10,67
2007-12-11,65
2007-12-12,64
2007-12-13,62
2007-12-14,61
2007-12-15,59
2007-12-16,60
2007-12-17,61
2007-12-18,61
2007-12-19,62
2007-12-20,62
2007-12-21,63
2007-12-22,63
2007-12-23,62
2007-12-24,62
2007-12-25,61
2007-12-26,60
2007-12-27,59
2007-12-28,58
2007-12-29,57
2007-12-30,57
2007-12-31,57
2008-01-01,57
2008-01-02,57
2008-01-03,57
2008-01-04,58
2008-01-05,58
2008-01-06,58
2008-01-07,58
2008-01-08,58
2008-01-09,58
2008-01-10,58
2008-01-11,58
2008-01-12,59
2008-01-13,60
2008-01-14,61
2008-01-15,62
2008-01-16,63
2008-01-17,65
2008-01-18,66
2008-01-19,67
2008-01-20,67
2008-01-21,68
2008-01-22,68
2008-01-23,69
2008-01-24,69
2008-01-25,69
2008-01-26,70
2008-01-27,71
2008-02-03,79
2008-02-04,77
2008-02-05,75
2008-02-06,72
2008-02-07,70
2008-02-08,68
2008-02-09,66
2008-02-10,65
2008-02-11,64
2008-02-12,63
2008-02-13,63
2008-02-14,62
2008-02-15,62
2008-02-16,61
2008-02-17,62
2008-02-18,64
2008-02-19,66
2008-02-20,67
2008-02-21,68
2008-02-22,70
2008-02-23,71
2008-02-24,67
2008-02-25,62
2008-02-26,58
2008-02-27,54
2008-02-28,50
2008-02-29,46
2008-03-01,41
2008-03-02,43
2008-03-03,45
2008-03-04,46
2008-03-05,47
2008-03-06,49
2008-03-07,50
2008-03-08,52
2008-03-09,53
2008-03-10,53
2008-03-11,54
2008-03-12,55
2008-03-13,56
2008-03-14,57
2008-03-15,58
2008-03-16,59
2008-03-17,59
2008-03-18,60
2008-03-19,60
2008-03-20,61
2008-03-21,62
2008-03-22,62
2008-03-23,64
2008-03-24,67
2008-03-25,69
2008-03-26,71
2008-03-27,74
2008-03-28,76
2008-03-29,78
2008-03-30,74
2008-03-31,70
2008-04-01,66
2008-04-02,62
2008-04-03,59
2008-04-04,55
2008-04-05,51
2008-04-06,53
2008-04-07,56
2008-04-08,58
2008-04-09,60
2008-04-10,62
2008-04-11,64
2008-04-12,66
2008-04-13,64
2008-04-14,63
2008-04-15,62
2008-04-16,60
2008-04-17,59
2008-04-18,57
2008-04-19,56
2008-04-20,57
2008-04-21,58
2008-04-22,59
2008-04-23,60
2008-04-24,62
2008-04-25,63
2008-04-26,64
2008-04-27,62
2008-05-04,46
2008-05-05,44
2008-05-06,43
2008-05-07,42
2008-05-08,41
2008-05-09,39
2008-05-10,38
2008-05-11,44
2008-05-12,50
2008-05-13,56
2008-05-14,62
2008-05-15,67
2008-05-16,73
2008-05-17,79
2008-05-18,74
2008-05-19,68
2008-05-20,64
2008-05-21,59
2008-05-22,55
2008-05-23,50
2008-05-24,46
2008-05-25,47
2008-05-26,47
2008-05-27,48
2008-05-28,49
2008-05-29,51
2008-05-30,52
2008-05-31,53
2008-06-01,54
2008-06-02,56
2008-06-03,57
2008-06-04,59
2008-06-05,60
2008-06-06,61
2008-06-07,62
2008-06-08,61
2008-06-09,60
2008-06-10,59
2008-06-11,59
2008-06-12,58
2008-06-13,57
2008-06-14,56
2008-06-15,59
2008-06-16,61
2008-06-17,63
2008-06-18,65
2008-06-19,67
2008-06-20,69
2008-06-21,72
2008-06-22,69
2008-06-23,67
2008-06-24,65
2008-06-25,63
2008-06-26,61
2008-06-27,58
2008-06-28,56
2008-06-29,56
2008-06-30,57
2008-07-01,57
2008-07-02,57
2008-07-03,57
2008-07-04,57
2008-07-05,57
2008-07-06,55
2008-07-07,54
2008-07-08,53
2008-07-09,51
2008-07-10,50
2008-07-11,49
2008-07-12,48
2008-07-13,48
2008-07-14,48
2008-07-15,48
2008-07-16,48
2008-07-17,48
2008-07-18,48
2008-07-19,48
2008-07-20,48
