Date,Tumi Inc
2011-06-01,44
2011-06-02,44
2011-06-03,45
2011-06-04,46
2011-06-05,46
2011-06-06,47
2011-06-07,48
2011-06-08,48
2011-06-09,49
2011-06-10,50
2011-06-11,50
2011-06-12,51
2011-06-13,52
2011-06-14,52
2011-06-15,53
2011-06-16,54
2011-06-17,54
2011-06-18,55
2011-06-19,56
2011-06-20,56
2011-06-21,57
2011-06-22,58
2011-06-23,58
2011-06-24,59
2011-06-25,60
2011-06-26,60
2011-06-27,61
2011-06-28,62
2011-06-29,62
2011-06-30,63
2011-07-01,64
2011-07-02,63
2011-07-03,63
2011-07-04,62
2011-07-05,62
2011-07-06,62
2011-07-07,61
2011-07-08,61
2011-07-09,61
2011-07-10,60
2011-07-11,60
2011-07-12,60
2011-07-13,59
2011-07-14,59
2011-07-15,59
2011-07-16,58
2011-07-17,58
2011-07-18,57
2011-07-19,57
2011-07-20,57
2011-07-21,56
2011-07-22,56
2011-07-23,56
2011-07-24,55
2011-07-25,55
2011-07-26,55
2011-07-27,54
2011-07-28,54
2011-07-29,54
2011-07-30,53
2011-07-31,53
2011-08-01,53
2011-08-02,53
2011-08-03,53
2011-08-04,54
2011-08-05,54
2011-08-06,55
2011-08-07,55
2011-08-08,56
2011-08-09,56
2011-08-10,57
2011-08-11,57
2011-08-12,58
2011-08-13,58
2011-08-14,59
2011-08-15,59
2011-08-16,60
2011-08-17,60
2011-08-18,61
2011-08-19,61
2011-08-20,62
2011-08-21,62
2011-08-22,63
2011-08-23,63
2011-08-24,64
2011-08-25,64
2011-08-26,65
2011-08-27,65
2011-08-28,66
2011-08-29,66
2011-08-30,67
2011-08-31,67
2011-09-01,68
2011-09-02,67
2011-09-03,67
2011-09-04,66
2011-09-05,66
2011-09-06,66
2011-09-07,65
2011-09-08,65
2011-09-09,64
2011-09-10,64
2011-09-11,64
2011-09-12,63
2011-09-13,63
2011-09-14,62
2011-09-15,62
2011-09-16,62
2011-09-17,61
2011-09-18,61
2011-09-19,60
2011-09-20,60
2011-09-21,60
2011-09-22,59
2011-09-23,59
2011-09-24,58
2011-09-25,58
2011-09-26,58
2011-09-27,57
2011-09-28,57
2011-09-29,56
2011-09-30,56
2011-10-01,56
2011-10-02,56
2011-10-03,56
2011-10-04,56
2011-10-05,56
2011-10-06,56
2011-10-07,56
2011-10-08,56
2011-10-09,56
2011-10-10,56
2011-10-11,56
2011-10-12,56
2011-10-13,56
2011-10-14,56
2011-10-15,56
2011-10-16,56
2011-10-17,56
2011-10-18,56
2011-10-19,56
2011-10-20,56
2011-10-21,56
2011-10-22,56
2011-10-23,56
2011-10-24,56
2011-10-25,56
2011-10-26,56
2011-10-27,56
2011-10-28,56
2011-10-29,56
2011-10-30,56
2011-10-31,56
2011-11-01,56
2011-11-02,56
2011-11-03,57
2011-11-04,57
2011-11-05,58
2011-11-06,58
2011-11-07,59
2011-11-08,59
2011-11-09,60
2011-11-10,60
2011-11-11,61
2011-11-12,61
2011-11-13,62
2011-11-14,62
2011-11-15,63
2011-11-16,64
2011-11-17,64
2011-11-18,65
2011-11-19,65
2011-11-20,66
2011-11-21,66
2011-11-22,67
2011-11-23,67
2011-11-24,68
2011-11-25,68
2011-11-26,69
2011-11-27,69
2011-11-28,70
2011-11-29,70
2011-11-30,71
2011-12-01,72
2011-12-02,71
2011-12-03,70
2011-12-04,70
2011-12-05,69
2011-12-06,69
2011-12-07,68
2011-12-08,68
2011-12-09,67
2011-12-10,67
2011-12-11,66
2011-12-12,66
2011-12-13,65
2011-12-14,65
2011-12-15,64
2011-12-16,64
2011-12-17,63
2011-12-18,63
2011-12-19,62
2011-12-20,62
2011-12-21,61
2011-12-22,61
2011-12-23,60
2011-12-24,60
2011-12-25,59
2011-12-26,59
2011-12-27,58
2011-12-28,58
2011-12-29,57
2011-12-30,57
2011-12-31,56
2012-01-01,56
2012-01-02,55
2012-01-03,55
2012-01-04,55
2012-01-05,54
2012-01-06,54
2012-01-07,54
2012-01-08,53
2012-01-09,53
2012-01-10,53
2012-01-11,53
2012-01-12,52
2012-01-13,52
2012-01-14,52
2012-01-15,51
2012-01-16,51
2012-01-17,51
2012-01-18,51
2012-01-19,50
2012-01-20,50
2012-01-21,50
2012-01-22,49
2012-01-23,49
2012-01-24,49
2012-01-25,49
2012-01-26,48
2012-01-27,48
2012-01-28,48
2012-01-29,47
2012-01-30,47
2012-01-31,47
2012-02-01,47
2012-02-02,46
2012-02-03,46
2012-02-04,46
2012-02-05,46
2012-02-06,46
2012-02-07,46
2012-02-08,46
2012-02-09,46
2012-02-10,46
2012-02-11,46
2012-02-12,46
2012-02-13,46
2012-02-14,46
2012-02-15,46
2012-02-16,45
2012-02-17,45
2012-02-18,45
2012-02-19,45
2012-02-20,45
2012-02-21,45
2012-02-22,45
2012-02-23,45
2012-02-24,45
2012-02-25,45
2012-02-26,45
2012-02-27,45
2012-02-28,45
2012-02-29,45
2012-03-01,45
2012-03-02,46
2012-03-03,48
2012-03-04,50
2012-03-05,52
2012-03-06,53
2012-03-07,55
2012-03-08,57
2012-03-09,59
2012-03-10,60
2012-03-11,62
2012-03-12,64
2012-03-13,66
2012-03-14,68
2012-03-15,69
2012-03-16,71
2012-03-17,73
2012-03-18,75
2012-03-19,76
2012-03-20,78
2012-03-21,80
2012-03-22,82
2012-03-23,84
2012-03-24,85
2012-03-25,87
2012-03-26,89
2012-03-27,91
2012-03-28,92
2012-03-29,94
2012-03-30,96
2012-03-31,98
2012-04-01,100
2012-04-02,98
2012-04-03,97
2012-04-04,95
2012-04-05,94
2012-04-06,92
2012-04-07,91
2012-04-08,89
2012-04-09,88
2012-04-10,87
2012-04-11,85
2012-04-12,84
2012-04-13,82
2012-04-14,81
2012-04-15,79
2012-04-16,78
2012-04-17,77
2012-04-18,75
2012-04-19,74
2012-04-20,72
2012-04-21,71
2012-04-22,69
2012-04-23,68
2012-04-24,67
2012-04-25,65
2012-04-26,64
2012-04-27,62
2012-04-28,61
2012-04-29,59
2012-04-30,58
2012-05-01,57
2012-05-02,57
2012-05-03,57
2012-05-04,57
2012-05-05,58
2012-05-06,58
2012-05-07,58
2012-05-08,59
2012-05-09,59
2012-05-10,59
2012-05-11,59
2012-05-12,60
2012-05-13,60
2012-05-14,60
2012-05-15,61
2012-05-16,61
2012-05-17,61
2012-05-18,61
2012-05-19,62
2012-05-20,62
2012-05-21,62
2012-05-22,63
2012-05-23,63
2012-05-24,63
2012-05-25,63
2012-05-26,64
2012-05-27,64
2012-05-28,64
2012-05-29,65
2012-05-30,65
2012-05-31,65
2012-06-01,66
2012-06-02,65
2012-06-03,65
2012-06-04,65
2012-06-05,64
2012-06-06,64
2012-06-07,64
2012-06-08,63
2012-06-09,63
2012-06-10,63
2012-06-11,63
2012-06-12,62
2012-06-13,62
