Date,Bankrate
2010-10-09,80
2010-10-10,79
2010-10-11,71
2010-10-12,72
2010-10-13,81
2010-10-14,73
2010-10-15,76
2010-10-16,83
2010-10-17,83
2010-10-18,65
2010-10-19,79
2010-10-20,80
2010-10-21,76
2010-10-22,72
2010-10-23,78
2010-10-24,78
2010-10-25,62
2010-10-26,74
2010-10-27,70
2010-10-28,71
2010-10-29,68
2010-10-30,71
2010-10-31,73
2010-11-01,57
2010-11-02,70
2010-11-03,67
2010-11-04,71
2010-11-05,71
2010-11-06,78
2010-11-07,75
2010-11-08,64
2010-11-09,71
2010-11-10,72
2010-11-11,73
2010-11-12,70
2010-11-13,73
2010-11-14,74
2010-11-15,61
2010-11-16,68
2010-11-17,69
2010-11-18,64
2010-11-19,73
2010-11-20,66
2010-11-21,66
2010-11-22,56
2010-11-23,54
2010-11-24,58
2010-11-25,55
2010-11-26,42
2010-11-27,44
2010-11-28,45
2010-11-29,46
2010-11-30,48
2010-12-01,51
2010-12-02,55
2010-12-03,56
2010-12-04,64
2010-12-05,61
2010-12-06,55
2010-12-07,55
2010-12-08,57
2010-12-09,59
2010-12-10,56
2010-12-11,59
2010-12-12,56
2010-12-13,52
2010-12-14,58
2010-12-15,57
2010-12-16,59
2010-12-17,58
2010-12-18,62
2010-12-19,63
2010-12-20,50
2010-12-21,53
2010-12-22,51
2010-12-23,50
2010-12-24,51
2010-12-25,48
2010-12-26,47
2010-12-27,38
2010-12-28,49
2010-12-29,53
2010-12-30,50
2010-12-31,57
2011-01-01,57
2011-01-02,58
2011-01-03,53
2011-01-04,62
2011-01-05,64
2011-01-06,61
2011-01-07,68
2011-01-08,70
2011-01-09,70
2011-01-10,58
2011-01-11,64
2011-01-12,62
2011-01-13,59
2011-01-14,63
2011-01-15,59
2011-01-16,58
2011-01-17,59
2011-01-18,55
2011-01-19,59
2011-01-20,61
2011-01-21,57
2011-01-22,60
2011-01-23,56
2011-01-24,54
2011-01-25,54
2011-01-26,55
2011-01-27,53
2011-01-28,52
2011-01-29,53
2011-01-30,54
2011-01-31,48
2011-02-01,52
2011-02-02,52
2011-02-03,52
2011-02-04,53
2011-02-05,57
2011-02-06,54
2011-02-07,51
2011-02-08,53
2011-02-09,54
2011-02-10,56
2011-02-11,56
2011-02-12,60
2011-02-13,58
2011-02-14,45
2011-02-15,56
2011-02-16,57
2011-02-17,59
2011-02-18,52
2011-02-19,59
2011-02-20,59
2011-02-21,55
2011-02-22,55
2011-02-23,58
2011-02-24,58
2011-02-25,57
2011-02-26,63
2011-02-27,55
2011-02-28,60
2011-03-01,61
2011-03-02,60
2011-03-03,61
2011-03-04,61
2011-03-05,66
2011-03-06,60
2011-03-07,59
2011-03-08,61
2011-03-09,62
2011-03-10,59
2011-03-11,60
2011-03-12,61
2011-03-13,60
2011-03-14,53
