Date,Och-Ziff Capital
2007-01-01,66
2007-01-02,66
2007-01-03,66
2007-01-04,66
2007-01-05,66
2007-01-06,66
2007-01-07,67
2007-01-08,67
2007-01-09,67
2007-01-10,67
2007-01-11,67
2007-01-12,68
2007-01-13,68
2007-01-14,68
2007-01-15,68
2007-01-16,68
2007-01-17,69
2007-01-18,69
2007-01-19,69
2007-01-20,69
2007-01-21,69
2007-01-22,70
2007-01-23,70
2007-01-24,70
2007-01-25,70
2007-01-26,70
2007-01-27,71
2007-01-28,71
2007-01-29,71
2007-01-30,71
2007-01-31,71
2007-02-01,72
2007-02-02,72
2007-02-03,72
2007-02-04,72
2007-02-05,72
2007-02-06,73
2007-02-07,73
2007-02-08,73
2007-02-09,73
2007-02-10,73
2007-02-11,74
2007-02-12,74
2007-02-13,74
2007-02-14,74
2007-02-15,75
2007-02-16,75
2007-02-17,75
2007-02-18,75
2007-02-19,75
2007-02-20,76
2007-02-21,76
2007-02-22,76
2007-02-23,76
2007-02-24,76
2007-02-25,77
2007-02-26,77
2007-02-27,77
2007-02-28,77
2007-03-01,78
2007-03-02,78
2007-03-03,78
2007-03-04,78
2007-03-05,78
2007-03-06,78
2007-03-07,78
2007-03-08,78
2007-03-09,78
2007-03-10,78
2007-03-11,78
2007-03-12,78
2007-03-13,78
2007-03-14,78
2007-03-15,78
2007-03-16,78
2007-03-17,78
2007-03-18,78
2007-03-19,78
2007-03-20,78
2007-03-21,78
2007-03-22,78
2007-03-23,78
2007-03-24,78
2007-03-25,78
2007-03-26,78
2007-03-27,78
2007-03-28,78
2007-03-29,78
2007-03-30,78
2007-03-31,78
2007-04-01,78
2007-04-02,78
2007-04-03,78
2007-04-04,78
2007-04-05,78
2007-04-06,78
2007-04-07,78
2007-04-08,78
2007-04-09,78
2007-04-10,78
2007-04-11,78
2007-04-12,78
2007-04-13,78
2007-04-14,78
2007-04-15,78
2007-04-16,78
2007-04-17,78
2007-04-18,78
2007-04-19,78
2007-04-20,78
2007-04-21,78
2007-04-22,78
2007-04-23,78
2007-04-24,78
2007-04-25,78
2007-04-26,78
2007-04-27,78
2007-04-28,78
2007-04-29,78
2007-04-30,78
2007-05-01,78
2007-05-02,78
2007-05-03,78
2007-05-04,78
2007-05-05,78
2007-05-06,78
2007-05-07,78
2007-05-08,78
2007-05-09,78
2007-05-10,78
2007-05-11,78
2007-05-12,78
2007-05-13,78
2007-05-14,78
2007-05-15,78
2007-05-16,78
2007-05-17,78
2007-05-18,78
2007-05-19,78
2007-05-20,78
2007-05-21,78
2007-05-22,78
2007-05-23,78
2007-05-24,78
2007-05-25,78
2007-05-26,78
2007-05-27,78
2007-05-28,78
2007-05-29,78
2007-05-30,78
2007-05-31,78
2007-06-01,79
2007-06-02,79
2007-06-03,79
2007-06-04,80
2007-06-05,80
2007-06-06,81
2007-06-07,81
2007-06-08,81
2007-06-09,82
2007-06-10,82
2007-06-11,83
2007-06-12,83
2007-06-13,83
2007-06-14,84
2007-06-15,84
2007-06-16,85
2007-06-17,85
2007-06-18,85
2007-06-19,86
2007-06-20,86
2007-06-21,87
2007-06-22,87
2007-06-23,87
2007-06-24,88
2007-06-25,88
2007-06-26,89
2007-06-27,89
2007-06-28,89
2007-06-29,90
2007-06-30,90
2007-07-01,91
2007-07-02,90
2007-07-03,89
2007-07-04,89
2007-07-05,88
2007-07-06,88
2007-07-07,87
2007-07-08,86
2007-07-09,86
2007-07-10,85
2007-07-11,85
2007-07-12,84
2007-07-13,84
2007-07-14,83
2007-07-15,82
2007-07-16,82
2007-07-17,81
2007-07-18,81
2007-07-19,80
2007-07-20,79
2007-07-21,79
2007-07-22,78
2007-07-23,78
2007-07-24,77
2007-07-25,77
2007-07-26,76
2007-07-27,75
2007-07-28,75
2007-07-29,74
2007-07-30,74
2007-07-31,73
2007-08-01,73
2007-08-02,72
2007-08-03,71
2007-08-04,71
2007-08-05,70
2007-08-06,70
2007-08-07,69
2007-08-08,69
2007-08-09,68
2007-08-10,68
2007-08-11,67
2007-08-12,66
2007-08-13,66
2007-08-14,65
2007-08-15,65
2007-08-16,64
2007-08-17,64
2007-08-18,63
2007-08-19,63
2007-08-20,62
2007-08-21,62
2007-08-22,61
2007-08-23,60
2007-08-24,60
2007-08-25,59
2007-08-26,59
2007-08-27,58
2007-08-28,58
2007-08-29,57
2007-08-30,57
2007-08-31,56
2007-09-01,56
2007-09-02,57
2007-09-03,58
2007-09-04,59
2007-09-05,61
