Date,Artisan Partners
2012-05-01,48
2012-05-02,47
2012-05-03,47
2012-05-04,46
2012-05-05,46
2012-05-06,46
2012-05-07,45
2012-05-08,45
2012-05-09,44
2012-05-10,44
2012-05-11,44
2012-05-12,43
2012-05-13,43
2012-05-14,42
2012-05-15,42
2012-05-16,42
2012-05-17,41
2012-05-18,41
2012-05-19,41
2012-05-20,40
2012-05-21,40
2012-05-22,39
2012-05-23,39
2012-05-24,39
2012-05-25,38
2012-05-26,38
2012-05-27,37
2012-05-28,37
2012-05-29,37
2012-05-30,36
2012-05-31,36
2012-06-01,36
2012-06-02,36
2012-06-03,36
2012-06-04,36
2012-06-05,36
2012-06-06,36
2012-06-07,36
2012-06-08,36
2012-06-09,36
2012-06-10,36
2012-06-11,36
2012-06-12,36
2012-06-13,36
2012-06-14,36
2012-06-15,36
2012-06-16,36
2012-06-17,36
2012-06-18,36
2012-06-19,36
2012-06-20,36
2012-06-21,36
2012-06-22,36
2012-06-23,36
2012-06-24,36
2012-06-25,36
2012-06-26,36
2012-06-27,36
2012-06-28,36
2012-06-29,36
2012-06-30,36
2012-07-01,36
2012-07-02,36
2012-07-03,36
2012-07-04,36
2012-07-05,36
2012-07-06,36
2012-07-07,36
2012-07-08,36
2012-07-09,36
2012-07-10,36
2012-07-11,36
2012-07-12,37
2012-07-13,37
2012-07-14,37
2012-07-15,37
2012-07-16,37
2012-07-17,37
2012-07-18,37
2012-07-19,37
2012-07-20,37
2012-07-21,37
2012-07-22,38
2012-07-23,38
2012-07-24,38
2012-07-25,38
2012-07-26,38
2012-07-27,38
2012-07-28,38
2012-07-29,38
2012-07-30,38
2012-07-31,38
2012-08-01,39
2012-08-02,39
2012-08-03,39
2012-08-04,39
2012-08-05,39
2012-08-06,39
2012-08-07,39
2012-08-08,39
2012-08-09,39
2012-08-10,39
2012-08-11,39
2012-08-12,39
2012-08-13,39
2012-08-14,39
2012-08-15,39
2012-08-16,39
2012-08-17,39
2012-08-18,39
2012-08-19,39
2012-08-20,39
2012-08-21,39
2012-08-22,39
2012-08-23,39
2012-08-24,39
2012-08-25,39
2012-08-26,39
2012-08-27,39
2012-08-28,39
2012-08-29,39
2012-08-30,39
2012-08-31,39
2012-09-01,39
2012-09-02,39
2012-09-03,39
2012-09-04,39
2012-09-05,39
2012-09-06,39
2012-09-07,39
2012-09-08,39
2012-09-09,39
2012-09-10,39
2012-09-11,39
2012-09-12,39
2012-09-13,39
2012-09-14,39
2012-09-15,39
2012-09-16,40
2012-09-17,40
2012-09-18,40
2012-09-19,40
2012-09-20,40
2012-09-21,40
2012-09-22,40
2012-09-23,40
2012-09-24,40
2012-09-25,40
2012-09-26,40
2012-09-27,40
2012-09-28,40
2012-09-29,40
2012-09-30,40
2012-10-01,41
2012-10-02,40
2012-10-03,40
2012-10-04,40
2012-10-05,40
2012-10-06,40
2012-10-07,40
2012-10-08,40
2012-10-09,40
2012-10-10,40
2012-10-11,40
2012-10-12,40
2012-10-13,40
2012-10-14,40
2012-10-15,40
2012-10-16,40
2012-10-17,39
2012-10-18,39
2012-10-19,39
2012-10-20,39
2012-10-21,39
2012-10-22,39
2012-10-23,39
2012-10-24,39
2012-10-25,39
2012-10-26,39
2012-10-27,39
2012-10-28,39
2012-10-29,39
2012-10-30,39
2012-10-31,39
2012-11-01,39
2012-11-02,38
2012-11-03,38
2012-11-04,38
2012-11-05,38
2012-11-06,38
2012-11-07,38
2012-11-08,38
2012-11-09,38
2012-11-10,38
2012-11-11,38
2012-11-12,37
2012-11-13,37
2012-11-14,37
2012-11-15,37
2012-11-16,37
2012-11-17,37
2012-11-18,37
2012-11-19,37
2012-11-20,37
2012-11-21,37
2012-11-22,36
2012-11-23,36
2012-11-24,36
2012-11-25,36
2012-11-26,36
2012-11-27,36
2012-11-28,36
2012-11-29,36
2012-11-30,36
2012-12-01,36
2012-12-02,35
2012-12-03,35
2012-12-04,35
2012-12-05,35
2012-12-06,35
2012-12-07,35
2012-12-08,35
2012-12-09,34
2012-12-10,34
2012-12-11,34
2012-12-12,34
2012-12-13,34
2012-12-14,34
2012-12-15,34
2012-12-16,34
2012-12-17,33
2012-12-18,33
2012-12-19,33
2012-12-20,33
2012-12-21,33
2012-12-22,33
2012-12-23,33
2012-12-24,33
2012-12-25,32
2012-12-26,32
2012-12-27,32
2012-12-28,32
2012-12-29,32
2012-12-30,32
2012-12-31,32
2013-01-01,32
2013-01-02,33
2013-01-03,34
2013-01-04,35
2013-01-05,36
2013-01-06,37
2013-01-07,38
2013-01-08,39
2013-01-09,40
2013-01-10,41
2013-01-11,42
2013-01-12,43
2013-01-13,44
2013-01-14,45
2013-01-15,46
2013-01-16,47
2013-01-17,48
2013-01-18,49
2013-01-19,50
2013-01-20,51
2013-01-21,52
2013-01-22,53
2013-01-23,54
2013-01-24,55
2013-01-25,56
2013-01-26,57
2013-01-27,58
2013-01-28,59
2013-01-29,60
2013-01-30,61
2013-01-31,62
2013-02-01,64
2013-02-02,65
2013-02-03,66
2013-02-04,67
2013-02-05,69
2013-02-06,70
2013-02-07,71
2013-02-08,73
2013-02-09,74
2013-02-10,75
2013-02-11,76
2013-02-12,78
2013-02-13,79
2013-02-14,80
2013-02-15,82
2013-02-16,83
2013-02-17,84
2013-02-18,85
2013-02-19,87
2013-02-20,88
2013-02-21,89
2013-02-22,91
2013-02-23,92
2013-02-24,93
2013-02-25,94
2013-02-26,96
2013-02-27,97
2013-02-28,98
2013-03-01,100
2013-03-02,98
2013-03-03,96
2013-03-04,95
2013-03-05,93
2013-03-06,92
2013-03-07,90
2013-03-08,89
2013-03-09,87
2013-03-10,86
2013-03-11,84
2013-03-12,83
2013-03-13,81
2013-03-14,80
2013-03-15,78
2013-03-16,77
2013-03-17,75
2013-03-18,74
2013-03-19,72
2013-03-20,71
2013-03-21,69
2013-03-22,68
2013-03-23,66
2013-03-24,65
2013-03-25,63
2013-03-26,62
2013-03-27,60
2013-03-28,59
2013-03-29,57
2013-03-30,56
2013-03-31,54
2013-04-01,53
2013-04-02,53
2013-04-03,53
2013-04-04,53
2013-04-05,53
2013-04-06,53
2013-04-07,53
2013-04-08,53
2013-04-09,53
2013-04-10,53
2013-04-11,53
2013-04-12,53
2013-04-13,53
2013-04-14,53
2013-04-15,53
2013-04-16,53
2013-04-17,53
2013-04-18,53
2013-04-19,53
2013-04-20,53
2013-04-21,53
2013-04-22,53
2013-04-23,53
2013-04-24,53
2013-04-25,53
2013-04-26,53
2013-04-27,53
2013-04-28,53
2013-04-29,53
2013-04-30,53
2013-05-01,54
2013-05-02,53
2013-05-03,52
2013-05-04,51
2013-05-05,51
2013-05-06,50
2013-05-07,49
2013-05-08,49
2013-05-09,48
2013-05-10,47
2013-05-11,46
2013-05-12,46
2013-05-13,45
2013-05-14,44
2013-05-15,44
2013-05-16,43
2013-05-17,42
2013-05-18,41
2013-05-19,41
2013-05-20,40
2013-05-21,39
2013-05-22,39
2013-05-23,38
2013-05-24,37
2013-05-25,36
2013-05-26,36
2013-05-27,35
2013-05-28,34
2013-05-29,34
2013-05-30,33
2013-05-31,32
2013-06-01,32
2013-06-02,32
2013-06-03,33
2013-06-04,34
2013-06-05,34
2013-06-06,35
2013-06-07,36
2013-06-08,36
2013-06-09,37
2013-06-10,38
2013-06-11,38
2013-06-12,39
2013-06-13,40
2013-06-14,40
2013-06-15,41
2013-06-16,42
2013-06-17,42
2013-06-18,43
2013-06-19,44
2013-06-20,44
2013-06-21,45
2013-06-22,46
2013-06-23,46
2013-06-24,47
2013-06-25,48
2013-06-26,48
2013-06-27,49
2013-06-28,50
2013-06-29,50
2013-06-30,51
2013-07-01,52
2013-07-02,52
2013-07-03,52
2013-07-04,53
2013-07-05,53
2013-07-06,54
2013-07-07,54
2013-07-08,55
2013-07-09,55
2013-07-10,56
2013-07-11,56
2013-07-12,56
2013-07-13,57
2013-07-14,57
2013-07-15,58
