Date,Norwegian Cruise Line Holdings
2011-01-08,96
2011-01-09,93
2011-01-10,92
2011-01-11,90
2011-01-12,88
2011-01-13,86
2011-01-14,83
2011-01-15,81
2011-01-16,78
2011-01-17,74
2011-01-18,70
2011-01-19,67
2011-01-20,63
2011-01-21,60
2011-01-22,57
2011-01-23,57
2011-01-24,57
2011-01-25,58
2011-01-26,58
2011-01-27,59
2011-01-28,59
2011-01-29,60
2011-01-30,62
2011-01-31,65
2011-02-01,67
2011-02-02,69
2011-02-03,72
2011-02-04,74
2011-02-05,77
2011-02-06,73
2011-02-07,69
2011-02-08,66
2011-02-09,62
2011-02-10,59
2011-02-11,56
2011-02-12,53
2011-02-13,54
2011-02-14,55
2011-02-15,56
2011-02-16,58
2011-02-17,59
2011-02-18,60
2011-02-19,62
2011-02-20,64
2011-02-21,66
2011-02-22,68
2011-02-23,70
2011-02-24,72
2011-02-25,74
2011-02-26,77
2011-02-27,79
2011-02-28,82
2011-03-01,85
2011-03-02,87
2011-03-03,90
2011-03-04,92
2011-03-05,95
2011-03-06,91
2011-03-07,86
2011-03-08,83
2011-03-09,79
2011-03-10,75
2011-03-11,72
2011-03-12,68
2011-03-13,67
2011-03-14,66
2011-03-15,65
2011-03-16,64
2011-03-17,63
2011-03-18,62
2011-03-19,62
2011-03-20,63
2011-03-21,64
2011-03-22,66
2011-03-23,67
2011-03-24,68
2011-03-25,70
2011-03-26,71
2011-03-27,70
2011-04-03,61
2011-04-04,61
2011-04-05,60
2011-04-06,60
2011-04-07,59
2011-04-08,59
2011-04-09,59
2011-04-10,61
2011-04-11,65
2011-04-12,68
2011-04-13,71
2011-04-14,74
2011-04-15,77
2011-04-16,80
2011-04-17,77
2011-04-18,72
2011-04-19,68
2011-04-20,65
2011-04-21,61
2011-04-22,58
2011-04-23,55
2011-04-24,57
2011-04-25,60
2011-04-26,63
2011-04-27,65
2011-04-28,68
2011-04-29,71
2011-04-30,74
2011-05-01,71
2011-05-02,69
2011-05-03,67
2011-05-04,65
2011-05-05,63
2011-05-06,60
2011-05-07,58
2011-05-08,58
2011-05-09,58
2011-05-10,58
2011-05-11,58
2011-05-12,58
2011-05-13,58
2011-05-14,59
2011-05-15,58
2011-05-16,57
2011-05-17,56
2011-05-18,55
2011-05-19,54
2011-05-20,53
2011-05-21,52
2011-05-22,53
2011-05-23,54
2011-05-24,55
2011-05-25,56
2011-05-26,57
2011-05-27,58
2011-05-28,59
2011-05-29,59
2011-05-30,60
2011-05-31,60
2011-06-01,61
2011-06-02,61
2011-06-03,62
2011-06-04,63
2011-06-05,61
2011-06-06,59
2011-06-07,57
2011-06-08,56
2011-06-09,54
2011-06-10,52
2011-06-11,51
2011-06-12,52
2011-06-13,54
2011-06-14,55
2011-06-15,57
2011-06-16,58
2011-06-17,60
2011-06-18,62
2011-06-19,63
2011-06-20,66
2011-06-21,68
2011-06-22,70
2011-06-23,72
2011-06-24,74
2011-06-25,76
2011-06-26,70
2011-07-03,38
2011-07-04,40
2011-07-05,42
2011-07-06,45
2011-07-07,47
2011-07-08,49
2011-07-09,52
2011-07-10,54
2011-07-11,57
2011-07-12,59
2011-07-13,61
2011-07-14,64
2011-07-15,66
2011-07-16,69
2011-07-17,66
2011-07-18,63
2011-07-19,60
2011-07-20,57
2011-07-21,54
2011-07-22,51
2011-07-23,48
2011-07-24,55
2011-07-25,63
2011-07-26,71
2011-07-27,78
2011-07-28,86
2011-07-29,93
2011-07-30,101
2011-07-31,96
2011-08-01,90
2011-08-02,85
2011-08-03,80
2011-08-04,75
2011-08-05,70
2011-08-06,65
2011-08-07,62
2011-08-08,60
2011-08-09,57
2011-08-10,55
2011-08-11,52
2011-08-12,50
2011-08-13,48
2011-08-14,52
2011-08-15,56
2011-08-16,61
2011-08-17,65
2011-08-18,69
2011-08-19,73
2011-08-20,78
2011-08-21,76
2011-08-22,74
2011-08-23,73
2011-08-24,71
2011-08-25,70
2011-08-26,69
2011-08-27,68
2011-08-28,67
2011-08-29,66
2011-08-30,65
2011-08-31,64
2011-09-01,63
2011-09-02,62
2011-09-03,61
2011-09-04,61
2011-09-05,61
2011-09-06,61
2011-09-07,61
2011-09-08,61
2011-09-09,62
2011-09-10,62
2011-09-11,62
2011-09-12,63
2011-09-13,63
2011-09-14,64
2011-09-15,64
2011-09-16,65
2011-09-17,65
2011-09-18,63
2011-09-19,59
2011-09-20,57
2011-09-21,54
2011-09-22,52
2011-09-23,49
2011-09-24,47
2011-09-25,49
2011-10-02,61
2011-10-03,61
2011-10-04,61
2011-10-05,61
2011-10-06,61
2011-10-07,61
2011-10-08,61
2011-10-09,61
2011-10-10,63
2011-10-11,64
2011-10-12,65
2011-10-13,66
2011-10-14,67
2011-10-15,68
2011-10-16,63
2011-10-17,57
2011-10-18,52
2011-10-19,48
2011-10-20,43
2011-10-21,38
2011-10-22,34
2011-10-23,34
2011-10-24,34
2011-10-25,34
2011-10-26,34
2011-10-27,34
2011-10-28,34
2011-10-29,34
2011-10-30,35
2011-10-31,37
2011-11-01,39
2011-11-02,40
2011-11-03,42
2011-11-04,43
2011-11-05,45
2011-11-06,46
2011-11-07,45
2011-11-08,46
2011-11-09,46
2011-11-10,47
2011-11-11,47
2011-11-12,48
2011-11-13,47
2011-11-14,46
2011-11-15,45
2011-11-16,44
2011-11-17,43
2011-11-18,42
2011-11-19,42
2011-11-20,42
2011-11-21,43
2011-11-22,44
2011-11-23,45
2011-11-24,46
2011-11-25,47
2011-11-26,48
2011-11-27,49
2011-11-28,50
2011-11-29,52
2011-11-30,53
2011-12-01,55
2011-12-02,56
2011-12-03,58
2011-12-04,56
2011-12-05,54
2011-12-06,52
2011-12-07,50
2011-12-08,48
2011-12-09,46
2011-12-10,44
2011-12-11,46
2011-12-12,48
2011-12-13,50
2011-12-14,52
2011-12-15,54
2011-12-16,57
2011-12-17,59
2011-12-18,55
2011-12-19,50
2011-12-20,46
2011-12-21,43
2011-12-22,39
2011-12-23,35
2011-12-24,32
2011-12-25,37
2012-01-01,69
2012-01-02,66
2012-01-03,63
2012-01-04,59
2012-01-05,56
2012-01-06,53
2012-01-07,50
2012-01-08,53
2012-01-09,56
2012-01-10,60
2012-01-11,63
2012-01-12,67
2012-01-13,70
2012-01-14,74
2012-01-15,72
2012-01-16,72
2012-01-17,70
2012-01-18,69
2012-01-19,68
2012-01-20,66
2012-01-21,65
2012-01-22,62
2012-01-23,58
2012-01-24,56
2012-01-25,53
2012-01-26,51
2012-01-27,48
2012-01-28,46
2012-01-29,48
2012-01-30,51
2012-01-31,54
2012-02-01,57
2012-02-02,59
2012-02-03,62
2012-02-04,65
