Date,ING U.S.
2012-05-01,80
2012-05-02,88
2012-05-03,89
2012-05-04,88
2012-05-05,91
2012-05-06,88
2012-05-07,85
2012-05-08,77
2012-05-09,81
2012-05-10,80
2012-05-11,70
2012-05-12,68
2012-05-13,69
2012-05-14,69
2012-05-15,75
2012-05-16,70
2012-05-17,75
2012-05-18,77
2012-05-19,71
2012-05-20,71
2012-05-21,71
2012-05-22,66
2012-05-23,77
2012-05-24,79
2012-05-25,69
2012-05-26,74
2012-05-27,71
2012-05-28,73
2012-05-29,74
2012-05-30,79
2012-05-31,69
2012-06-01,82
2012-06-02,85
2012-06-03,77
2012-06-04,78
2012-06-05,83
2012-06-06,83
2012-06-07,81
2012-06-08,89
2012-06-09,82
2012-06-10,84
2012-06-11,86
2012-06-12,88
2012-06-13,93
2012-06-14,95
2012-06-15,93
2012-06-16,99
2012-06-17,94
2012-06-18,91
2012-06-19,89
2012-06-20,89
2012-06-21,79
2012-06-22,78
2012-06-23,70
2012-06-24,72
2012-06-25,75
2012-06-26,80
2012-06-27,90
2012-06-28,81
2012-06-29,84
2012-06-30,86
2012-07-01,83
2012-07-02,80
2012-07-03,76
2012-07-04,77
2012-07-05,66
2012-07-06,62
2012-07-07,64
2012-07-08,66
2012-07-09,68
2012-07-10,68
2012-07-11,74
2012-07-12,75
2012-07-13,85
2012-07-14,76
2012-07-15,76
2012-07-16,76
2012-07-17,79
2012-07-18,78
2012-07-19,81
2012-07-20,76
2012-07-21,76
2012-07-22,76
2012-07-23,76
2012-07-24,76
2012-07-25,76
2012-07-26,79
2012-07-27,75
2012-07-28,80
2012-07-29,77
2012-07-30,77
2012-07-31,75
2012-08-01,77
2012-08-02,73
2012-08-03,84
2012-08-04,72
2012-08-05,75
2012-08-06,77
2012-08-07,81
2012-08-08,87
2012-08-09,93
2012-08-10,78
2012-08-11,97
2012-08-12,84
2012-08-13,84
2012-08-14,89
2012-08-15,73
2012-08-16,86
2012-08-17,81
2012-08-18,82
2012-08-19,76
2012-08-20,76
2012-08-21,75
2012-08-22,68
2012-08-23,78
2012-08-24,75
2012-08-25,71
2012-08-26,71
2012-08-27,71
2012-08-28,71
2012-08-29,76
2012-08-30,60
2012-08-31,74
2012-09-01,68
2012-09-02,70
2012-09-03,73
2012-09-04,75
2012-09-05,77
2012-09-06,75
2012-09-07,83
2012-09-08,95
2012-09-09,88
2012-09-10,81
2012-09-11,92
2012-09-12,89
2012-09-13,97
2012-09-14,98
2012-09-15,107
2012-09-16,101
2012-09-17,95
2012-09-18,79
2012-09-19,89
2012-09-20,88
2012-09-21,91
2012-09-22,79
2012-09-23,78
2012-09-24,76
2012-09-25,75
2012-09-26,82
2012-09-27,72
2012-09-28,60
2012-09-29,69
2012-09-30,70
2012-10-01,71
2012-10-02,74
2012-10-03,78
2012-10-04,78
2012-10-05,68
2012-10-06,83
2012-10-07,81
2012-10-08,79
2012-10-09,82
2012-10-10,87
2012-10-11,88
2012-10-12,95
2012-10-13,97
2012-10-14,91
2012-10-15,88
2012-10-16,78
2012-10-17,89
2012-10-18,75
2012-10-19,72
2012-10-20,79
2012-10-21,72
2012-10-22,72
2012-10-23,65
2012-10-24,72
2012-10-25,72
2012-10-26,70
2012-10-27,70
2012-10-28,69
2012-10-29,68
2012-10-30,71
2012-10-31,58
2012-11-01,63
2012-11-02,69
2012-11-03,59
2012-11-04,60
2012-11-05,61
2012-11-06,59
2012-11-07,63
2012-11-08,67
2012-11-09,62
2012-11-10,63
2012-11-11,64
