Date,Twitter
2013-04-01,39
2013-04-02,39
2013-04-03,39
2013-04-04,40
2013-04-05,40
2013-04-06,42
2013-04-07,41
2013-04-08,39
2013-04-09,41
2013-04-10,41
2013-04-11,41
2013-04-12,41
2013-04-13,43
2013-04-14,42
2013-04-15,40
2013-04-16,43
2013-04-17,42
2013-04-18,43
2013-04-19,43
2013-04-20,46
2013-04-21,43
2013-04-22,40
2013-04-23,43
2013-04-24,42
2013-04-25,42
2013-04-26,42
2013-04-27,44
2013-04-28,41
2013-04-29,39
2013-04-30,41
2013-05-01,42
2013-05-02,41
2013-05-03,42
2013-05-04,43
2013-05-05,42
2013-05-06,39
2013-05-07,40
2013-05-08,42
2013-05-09,41
2013-05-10,41
2013-05-11,42
2013-05-12,41
2013-05-13,38
2013-05-14,40
2013-05-15,40
2013-05-16,39
2013-05-17,40
2013-05-18,42
2013-05-19,39
2013-05-20,39
2013-05-21,40
2013-05-22,40
2013-05-23,42
2013-05-24,43
2013-05-25,44
2013-05-26,43
2013-05-27,40
2013-05-28,42
2013-05-29,43
2013-05-30,42
2013-05-31,43
2013-06-01,45
2013-06-02,44
2013-06-03,42
2013-06-04,44
2013-06-05,45
2013-06-06,45
2013-06-07,46
2013-06-08,48
2013-06-09,46
2013-06-10,42
2013-06-11,44
2013-06-12,45
2013-06-13,44
2013-06-14,43
2013-06-15,44
2013-06-16,44
2013-06-17,41
2013-06-18,45
2013-06-19,45
2013-06-20,44
2013-06-21,43
2013-06-22,47
2013-06-23,45
2013-06-24,42
2013-06-25,43
2013-06-26,44
2013-06-27,44
2013-06-28,43
2013-06-29,46
2013-06-30,43
2013-07-01,44
2013-07-02,45
2013-07-03,44
2013-07-04,44
2013-07-05,45
2013-07-06,46
2013-07-07,45
2013-07-08,42
2013-07-09,44
2013-07-10,44
2013-07-11,44
2013-07-12,45
2013-07-13,45
2013-07-14,43
2013-07-15,41
2013-07-16,45
2013-07-17,44
2013-07-18,44
2013-07-19,45
2013-07-20,46
2013-07-21,45
2013-07-22,42
2013-07-23,45
2013-07-24,45
2013-07-25,44
2013-07-26,46
2013-07-27,47
2013-07-28,45
2013-07-29,43
2013-07-30,44
2013-07-31,45
2013-08-01,44
2013-08-02,44
2013-08-03,45
2013-08-04,44
2013-08-05,39
2013-08-06,42
2013-08-07,40
2013-08-08,39
2013-08-09,39
2013-08-10,39
2013-08-11,38
2013-08-12,36
2013-08-13,39
2013-08-14,40
2013-08-15,40
2013-08-16,41
2013-08-17,44
2013-08-18,41
2013-08-19,39
2013-08-20,41
2013-08-21,41
2013-08-22,41
2013-08-23,41
2013-08-24,43
2013-08-25,40
2013-08-26,40
2013-08-27,40
2013-08-28,41
2013-08-29,41
2013-08-30,42
2013-08-31,43
2013-09-01,42
2013-09-02,39
2013-09-03,41
2013-09-04,41
2013-09-05,42
2013-09-06,40
2013-09-07,42
2013-09-08,41
2013-09-09,40
2013-09-10,40
2013-09-11,43
2013-09-12,41
2013-09-13,41
2013-09-14,45
2013-09-15,43
2013-09-16,40
2013-09-17,42
2013-09-18,42
2013-09-19,42
2013-09-20,42
2013-09-21,43
2013-09-22,41
2013-09-23,40
2013-09-24,42
2013-09-25,42
2013-09-26,40
2013-09-27,42
2013-09-28,44
2013-09-29,42
2013-09-30,39
2013-10-01,43
2013-10-02,45
2013-10-03,44
2013-10-04,44
2013-10-05,47
2013-10-06,45
2013-10-07,42
2013-10-08,44
2013-10-09,42
2013-10-10,42
2013-10-11,42
2013-10-12,43
2013-10-13,39
2013-10-14,38
2013-10-15,39
2013-10-16,39
2013-10-17,38
2013-10-18,38
2013-10-19,39
2013-10-20,37
2013-10-21,37
2013-10-22,38
2013-10-23,38
2013-10-24,39
2013-10-25,38
2013-10-26,42
2013-10-27,40
2013-10-28,37
2013-10-29,41
2013-10-30,41
2013-10-31,40
2013-11-01,41
2013-11-02,43
2013-11-03,50
2013-11-04,54
2013-11-05,66
2013-11-06,71
2013-11-07,47
2013-11-08,100
2013-11-09,113
2013-11-10,98
2013-11-11,83
2013-11-12,82
2013-11-13,77
2013-11-14,71
2013-11-15,65
2013-11-16,61
2013-11-17,59
2013-11-18,50
2013-11-19,53
2013-11-20,50
2013-11-21,49
2013-11-22,47
2013-11-23,46
2013-11-24,45
2013-11-25,40
2013-11-26,43
2013-11-27,43
2013-11-28,43
2013-11-29,41
2013-11-30,44
2013-12-01,41
2013-12-02,39
2013-12-03,42
2013-12-04,43
2013-12-05,42
2013-12-06,43
2013-12-07,45
2013-12-08,42
2013-12-09,40
2013-12-10,42
2013-12-11,42
2013-12-12,42
2013-12-13,40
2013-12-14,45
2013-12-15,42
2013-12-16,39
2013-12-17,42
2013-12-18,42
2013-12-19,42
2013-12-20,42
2013-12-21,43
2013-12-22,42
2013-12-23,40
2013-12-24,41
2013-12-25,46
2013-12-26,40
2013-12-27,42
2013-12-28,46
2013-12-29,45
2013-12-30,41
2013-12-31,44
2014-01-01,44
2014-01-02,42
2014-01-03,45
2014-01-04,47
2014-01-05,45
2014-01-06,41
2014-01-07,44
2014-01-08,45
2014-01-09,45
2014-01-10,45
2014-01-11,48
2014-01-12,44
2014-01-13,41
2014-01-14,44
2014-01-15,43
2014-01-16,44
2014-01-17,44
2014-01-18,46
2014-01-19,44
2014-01-20,41
2014-01-21,43
2014-01-22,41
2014-01-23,43
2014-01-24,41
2014-01-25,44
2014-01-26,43
2014-01-27,39
2014-01-28,43
2014-01-29,43
2014-01-30,44
2014-01-31,44
2014-02-01,46
2014-02-02,47
2014-02-03,40
2014-02-04,48
2014-02-05,47
2014-02-06,47
2014-02-07,51
2014-02-08,55
2014-02-09,50
2014-02-10,46
2014-02-11,47
2014-02-12,48
2014-02-13,46
2014-02-14,45
2014-02-15,47
2014-02-16,45
2014-02-17,41
2014-02-18,44
2014-02-19,44
2014-02-20,44
2014-02-21,44
2014-02-22,46
2014-02-23,44
2014-02-24,41
2014-02-25,43
2014-02-26,43
2014-02-27,45
2014-02-28,44
