Date,HomeStreet
2010-11-07,70
2010-11-08,69
2010-11-09,69
2010-11-10,68
2010-11-11,68
2010-11-12,67
2010-11-13,67
2010-11-14,66
2010-11-15,66
2010-11-16,65
2010-11-17,64
2010-11-18,63
2010-11-19,63
2010-11-20,62
2010-11-21,60
2010-11-22,56
2010-11-23,54
2010-11-24,52
2010-11-25,50
2010-11-26,48
2010-11-27,46
2010-11-28,50
2010-11-29,54
2010-11-30,58
2010-12-01,62
2010-12-02,65
2010-12-03,69
2010-12-04,73
2010-12-05,73
2010-12-06,74
2010-12-07,74
2010-12-08,74
2010-12-09,74
2010-12-10,75
2010-12-11,75
2010-12-12,72
2010-12-13,66
2010-12-14,63
2010-12-15,60
2010-12-16,57
2010-12-17,53
2010-12-18,50
2010-12-19,48
2010-12-20,46
2010-12-21,44
2010-12-22,42
2010-12-23,40
2010-12-24,38
2010-12-25,36
2010-12-26,41
2010-12-27,46
2010-12-28,50
2010-12-29,55
2010-12-30,60
2010-12-31,64
2011-01-01,69
2011-01-02,69
2011-01-03,70
2011-01-04,70
2011-01-05,70
2011-01-06,70
2011-01-07,70
2011-01-08,70
2011-01-09,66
2011-01-10,62
2011-01-11,59
2011-01-12,55
2011-01-13,51
2011-01-14,48
2011-01-15,44
2011-01-16,44
2011-01-17,44
2011-01-18,45
2011-01-19,46
2011-01-20,46
2011-01-21,47
2011-01-22,47
2011-01-23,50
2011-01-24,53
2011-01-25,56
2011-01-26,59
2011-01-27,61
2011-01-28,64
2011-01-29,67
2011-01-30,67
2011-02-06,66
2011-02-07,64
2011-02-08,62
2011-02-09,60
2011-02-10,58
2011-02-11,56
2011-02-12,54
2011-02-13,54
2011-02-14,55
2011-02-15,55
2011-02-16,56
2011-02-17,56
2011-02-18,57
2011-02-19,57
2011-02-20,57
2011-02-21,56
2011-02-22,55
2011-02-23,55
2011-02-24,54
2011-02-25,53
2011-02-26,52
2011-02-27,52
2011-02-28,53
2011-03-01,53
2011-03-02,53
2011-03-03,53
2011-03-04,53
2011-03-05,53
2011-03-06,55
2011-03-07,57
2011-03-08,59
2011-03-09,61
2011-03-10,63
2011-03-11,65
2011-03-12,67
2011-03-13,64
2011-03-14,61
2011-03-15,58
2011-03-16,56
2011-03-17,53
2011-03-18,51
2011-03-19,48
2011-03-20,49
2011-03-21,49
2011-03-22,50
2011-03-23,51
2011-03-24,52
2011-03-25,52
2011-03-26,53
2011-03-27,56
2011-05-01,61
2011-05-02,61
2011-05-03,61
2011-05-04,61
2011-05-05,62
2011-05-06,62
2011-05-07,62
2011-05-08,61
2011-05-09,61
2011-05-10,60
2011-05-11,60
2011-05-12,59
2011-05-13,58
2011-05-14,57
2011-05-15,60
2011-05-16,64
2011-05-17,67
2011-05-18,70
2011-05-19,73
2011-05-20,75
2011-05-21,78
2011-05-22,75
2011-05-23,70
2011-05-24,66
2011-05-25,63
2011-05-26,59
2011-05-27,56
2011-05-28,52
2011-05-29,55
2011-05-30,59
2011-05-31,62
2011-06-01,65
2011-06-02,68
2011-06-03,72
2011-06-04,75
2011-06-05,76
2011-06-06,77
2011-06-07,78
2011-06-08,78
2011-06-09,79
2011-06-10,80
2011-06-11,80
2011-06-12,77
2011-06-13,74
2011-06-14,71
2011-06-15,68
2011-06-16,65
2011-06-17,63
2011-06-18,60
2011-06-19,59
2011-06-20,57
2011-06-21,56
2011-06-22,55
