Date,FXCM
2010-03-01,84
2010-03-02,85
2010-03-03,84
2010-03-04,84
2010-03-05,83
2010-03-06,91
2010-03-07,86
2010-03-08,78
2010-03-09,86
2010-03-10,89
2010-03-11,88
2010-03-12,95
2010-03-13,99
2010-03-14,88
2010-03-15,84
2010-03-16,91
2010-03-17,85
2010-03-18,91
2010-03-19,91
2010-03-20,84
2010-03-21,81
2010-03-22,84
2010-03-23,87
2010-03-24,82
2010-03-25,88
2010-03-26,73
2010-03-27,85
2010-03-28,88
2010-03-29,72
2010-03-30,79
2010-03-31,77
2010-04-01,80
2010-04-02,77
2010-04-03,77
2010-04-04,70
2010-04-05,80
2010-04-06,83
2010-04-07,82
2010-04-08,82
2010-04-09,92
2010-04-10,80
2010-04-11,83
2010-04-12,88
2010-04-13,89
2010-04-14,78
2010-04-15,92
2010-04-16,82
2010-04-17,90
2010-04-18,78
2010-04-19,73
2010-04-20,88
2010-04-21,75
2010-04-22,78
2010-04-23,84
2010-04-24,77
2010-04-25,64
2010-04-26,74
2010-04-27,74
2010-04-28,82
2010-04-29,83
2010-04-30,75
2010-05-01,81
2010-05-02,81
2010-05-03,86
2010-05-04,88
2010-05-05,80
2010-05-06,96
2010-05-07,96
2010-05-08,105
2010-05-09,99
2010-05-10,92
2010-05-11,101
2010-05-12,94
2010-05-13,99
2010-05-14,92
2010-05-15,104
2010-05-16,95
2010-05-17,95
2010-05-18,100
2010-05-19,86
2010-05-20,107
2010-05-21,101
2010-05-22,103
2010-05-23,93
2010-05-24,90
2010-05-25,104
2010-05-26,93
2010-05-27,87
2010-05-28,93
2010-05-29,99
2010-05-30,87
2010-05-31,82
2010-06-01,94
2010-06-02,97
2010-06-03,100
2010-06-04,105
2010-06-05,98
2010-06-06,93
2010-06-07,89
2010-06-08,100
2010-06-09,94
2010-06-10,88
2010-06-11,84
2010-06-12,97
2010-06-13,79
2010-06-14,81
2010-06-15,80
2010-06-16,83
2010-06-17,82
2010-06-18,81
2010-06-19,81
2010-06-20,79
2010-06-21,80
2010-06-22,85
2010-06-23,81
2010-06-24,82
2010-06-25,83
2010-06-26,83
2010-06-27,74
2010-06-28,89
2010-06-29,83
2010-06-30,88
2010-07-01,92
2010-07-02,96
2010-07-03,93
2010-07-04,89
2010-07-05,85
2010-07-06,90
2010-07-07,64
2010-07-08,78
2010-07-09,74
2010-07-10,60
2010-07-11,69
2010-07-12,71
2010-07-13,69
2010-07-14,75
2010-07-15,77
2010-07-16,85
2010-07-17,85
2010-07-18,76
2010-07-19,81
2010-07-20,92
2010-07-21,87
2010-07-22,87
2010-07-23,99
2010-07-24,101
2010-07-25,85
2010-07-26,99
2010-07-27,91
2010-07-28,100
2010-07-29,95
2010-07-30,100
2010-07-31,102
2010-08-01,94
2010-08-02,89
2010-08-03,93
2010-08-04,98
2010-08-05,92
2010-08-06,94
2010-08-07,89
