Date,Bleach
2012-08-05,75
2012-08-06,76
2012-08-07,77
2012-08-08,77
2012-08-09,78
2012-08-10,79
2012-08-11,80
2012-08-12,79
2012-08-13,78
2012-08-14,77
2012-08-15,76
2012-08-16,75
2012-08-17,75
2012-08-18,74
2012-08-19,73
2012-08-20,71
2012-08-21,70
2012-08-22,69
2012-08-23,68
2012-08-24,67
2012-08-25,66
2012-08-26,65
2012-08-27,64
2012-08-28,64
2012-08-29,64
2012-08-30,63
2012-08-31,63
2012-09-01,63
2012-09-02,67
2012-09-03,73
2012-09-04,77
2012-09-05,82
2012-09-06,86
2012-09-07,91
2012-09-08,95
2012-09-09,91
2012-09-10,85
2012-09-11,80
2012-09-12,75
2012-09-13,71
2012-09-14,66
2012-09-15,61
2012-09-16,61
2012-09-17,61
2012-09-18,60
2012-09-19,60
2012-09-20,59
2012-09-21,58
2012-09-22,58
2012-09-23,57
2012-09-24,56
2012-09-25,56
2012-09-26,55
2012-09-27,55
2012-09-28,54
2012-09-29,54
2012-09-30,55
2012-10-01,58
2012-10-02,59
2012-10-03,60
2012-10-04,62
2012-10-05,63
2012-10-06,65
2012-10-07,65
2012-10-08,66
2012-10-09,67
2012-10-10,67
2012-10-11,68
2012-10-12,69
2012-10-13,69
2012-10-14,70
2012-10-15,70
2012-10-16,71
2012-10-17,71
2012-10-18,72
2012-10-19,72
2012-10-20,72
2012-10-21,74
2012-10-22,76
2012-10-23,78
2012-10-24,79
2012-10-25,81
2012-10-26,83
2012-10-27,85
2012-10-28,82
2012-11-04,69
2012-11-05,73
2012-11-06,77
2012-11-07,81
2012-11-08,84
2012-11-09,88
2012-11-10,92
2012-11-11,90
2012-11-12,88
2012-11-13,86
2012-11-14,83
2012-11-15,81
2012-11-16,79
2012-11-17,77
2012-11-18,75
2012-11-19,72
2012-11-20,70
2012-11-21,68
2012-11-22,66
2012-11-23,64
2012-11-24,62
2012-11-25,65
2012-11-26,68
2012-11-27,71
2012-11-28,74
2012-11-29,77
2012-11-30,80
2012-12-01,83
2012-12-02,81
2012-12-03,79
2012-12-04,78
2012-12-05,77
2012-12-06,75
2012-12-07,74
2012-12-08,72
2012-12-09,70
2012-12-10,69
2012-12-11,67
2012-12-12,65
2012-12-13,63
2012-12-14,61
2012-12-15,59
2012-12-16,60
2012-12-17,59
2012-12-18,59
2012-12-19,60
2012-12-20,60
2012-12-21,61
2012-12-22,61
2012-12-23,61
2012-12-24,60
2012-12-25,59
2012-12-26,59
2012-12-27,59
2012-12-28,58
2012-12-29,58
2012-12-30,61
2012-12-31,64
2013-01-01,67
2013-01-02,70
2013-01-03,72
2013-01-04,75
2013-01-05,78
2013-01-06,79
2013-01-07,80
2013-01-08,81
2013-01-09,82
2013-01-10,82
2013-01-11,83
2013-01-12,84
2013-01-13,84
2013-01-14,83
2013-01-15,83
2013-01-16,83
2013-01-17,83
2013-01-18,82
2013-01-19,82
2013-01-20,80
2013-01-21,77
2013-01-22,75
2013-01-23,73
2013-01-24,70
2013-01-25,68
2013-01-26,66
2013-01-27,65
2013-02-03,64
2013-02-04,67
2013-02-05,70
2013-02-06,73
2013-02-07,76
2013-02-08,79
2013-02-09,82
2013-02-10,78
2013-02-11,75
2013-02-12,72
2013-02-13,68
2013-02-14,65
2013-02-15,62
2013-02-16,58
2013-02-17,58
2013-02-18,58
2013-02-19,58
2013-02-20,58
2013-02-21,58
2013-02-22,58
2013-02-23,58
2013-02-24,57
2013-02-25,56
2013-02-26,55
2013-02-27,54
2013-02-28,53
2013-03-01,52
2013-03-02,51
2013-03-03,53
2013-03-04,57
2013-03-05,59
2013-03-06,61
2013-03-07,64
2013-03-08,66
2013-03-09,69
2013-03-10,69
2013-03-11,69
2013-03-12,69
2013-03-13,69
2013-03-14,69
2013-03-15,69
2013-03-16,70
2013-03-17,69
2013-03-18,68
2013-03-19,68
2013-03-20,68
2013-03-21,68
2013-03-22,67
2013-03-23,67
2013-03-24,68
2013-03-25,70
2013-03-26,71
2013-03-27,72
2013-03-28,73
2013-03-29,75
2013-03-30,76
2013-03-31,73
2013-05-05,64
2013-05-06,62
2013-05-07,61
2013-05-08,60
2013-05-09,59
2013-05-10,58
2013-05-11,57
2013-05-12,60
2013-05-13,64
2013-05-14,67
2013-05-15,70
2013-05-16,73
2013-05-17,76
2013-05-18,79
2013-05-19,78
2013-05-20,76
2013-05-21,74
2013-05-22,72
2013-05-23,70
2013-05-24,68
2013-05-25,67
2013-05-26,64
2013-05-27,61
2013-05-28,59
2013-05-29,57
2013-05-30,54
2013-05-31,52
2013-06-01,49
2013-06-02,52
2013-06-03,55
2013-06-04,58
2013-06-05,60
2013-06-06,63
2013-06-07,65
2013-06-08,68
2013-06-09,67
2013-06-10,65
2013-06-11,65
2013-06-12,64
2013-06-13,63
2013-06-14,63
2013-06-15,62
2013-06-16,66
2013-06-17,71
2013-06-18,75
2013-06-19,79
2013-06-20,83
2013-06-21,88
2013-06-22,92
2013-06-23,90
2013-06-24,88
2013-06-25,86
2013-06-26,84
2013-06-27,82
2013-06-28,80
2013-06-29,79
2013-06-30,77
2013-07-01,75
2013-07-02,73
2013-07-03,71
2013-07-04,70
2013-07-05,68
2013-07-06,66
2013-07-07,66
2013-07-08,64
2013-07-09,64
2013-07-10,64
2013-07-11,64
2013-07-12,64
2013-07-13,64
2013-07-14,67
2013-07-15,72
2013-07-16,75
2013-07-17,79
2013-07-18,83
