Date,Groupon
2010-12-01,19
2010-12-02,21
2010-12-03,21
2010-12-04,23
2010-12-05,24
2010-12-06,19
2010-12-07,23
2010-12-08,21
2010-12-09,21
2010-12-10,22
2010-12-11,21
2010-12-12,20
2010-12-13,21
2010-12-14,23
2010-12-15,20
2010-12-16,23
2010-12-17,22
2010-12-18,23
2010-12-19,22
2010-12-20,22
2010-12-21,22
2010-12-22,22
2010-12-23,24
2010-12-24,23
2010-12-25,23
2010-12-26,23
2010-12-27,20
2010-12-28,23
2010-12-29,22
2010-12-30,22
2010-12-31,24
2011-01-01,24
2011-01-02,21
2011-01-03,22
2011-01-04,23
2011-01-05,26
2011-01-06,26
2011-01-07,25
2011-01-08,28
2011-01-09,26
2011-01-10,25
2011-01-11,26
2011-01-12,26
2011-01-13,24
2011-01-14,24
2011-01-15,27
2011-01-16,25
2011-01-17,24
2011-01-18,26
2011-01-19,27
2011-01-20,27
2011-01-21,27
2011-01-22,30
2011-01-23,28
2011-01-24,28
2011-01-25,27
2011-01-26,29
2011-01-27,27
2011-01-28,26
2011-01-29,29
2011-01-30,29
2011-01-31,26
2011-02-01,28
2011-02-02,28
2011-02-03,30
2011-02-04,27
2011-02-05,31
2011-02-06,32
2011-02-07,29
2011-02-08,32
2011-02-09,36
2011-02-10,34
2011-02-11,38
2011-02-12,39
2011-02-13,40
2011-02-14,35
2011-02-15,37
2011-02-16,37
2011-02-17,35
2011-02-18,36
2011-02-19,36
2011-02-20,35
2011-02-21,34
2011-02-22,35
2011-02-23,36
2011-02-24,36
2011-02-25,38
2011-02-26,40
2011-02-27,36
2011-02-28,36
2011-03-01,38
2011-03-02,38
2011-03-03,38
2011-03-04,38
2011-03-05,39
2011-03-06,37
2011-03-07,35
2011-03-08,41
2011-03-09,41
2011-03-10,42
2011-03-11,41
2011-03-12,44
2011-03-13,43
2011-03-14,41
2011-03-15,43
2011-03-16,42
2011-03-17,42
2011-03-18,43
2011-03-19,44
2011-03-20,42
2011-03-21,41
2011-03-22,44
2011-03-23,42
2011-03-24,44
2011-03-25,45
2011-03-26,47
2011-03-27,44
2011-03-28,45
2011-03-29,44
2011-03-30,47
2011-03-31,49
2011-04-01,49
2011-04-02,53
2011-04-03,48
2011-04-04,46
2011-04-05,50
2011-04-06,49
2011-04-07,51
2011-04-08,48
2011-04-09,55
2011-04-10,48
2011-04-11,46
2011-04-12,51
2011-04-13,51
2011-04-14,51
2011-04-15,50
2011-04-16,53
2011-04-17,52
2011-04-18,47
2011-04-19,52
2011-04-20,51
2011-04-21,52
2011-04-22,52
2011-04-23,50
2011-04-24,53
2011-04-25,48
2011-04-26,48
2011-04-27,53
2011-04-28,50
2011-04-29,55
2011-04-30,55
2011-05-01,53
2011-05-02,48
2011-05-03,52
2011-05-04,52
2011-05-05,55
2011-05-06,52
2011-05-07,55
2011-05-08,53
2011-05-09,51
2011-05-10,53
2011-05-11,54
2011-05-12,56
2011-05-13,57
2011-05-14,58
2011-05-15,58
2011-05-16,52
2011-05-17,60
2011-05-18,56
2011-05-19,59
2011-05-20,60
2011-05-21,61
2011-05-22,60
2011-05-23,58
2011-05-24,61
2011-05-25,60
2011-05-26,59
2011-05-27,63
2011-05-28,62
2011-05-29,63
2011-05-30,64
2011-05-31,66
2011-06-01,68
2011-06-02,67
2011-06-03,67
2011-06-04,78
2011-06-05,74
2011-06-06,67
2011-06-07,71
2011-06-08,73
2011-06-09,70
2011-06-10,71
2011-06-11,74
2011-06-12,73
2011-06-13,65
2011-06-14,69
2011-06-15,66
2011-06-16,71
2011-06-17,67
2011-06-18,74
2011-06-19,67
2011-06-20,64
2011-06-21,67
2011-06-22,65
2011-06-23,65
2011-06-24,69
2011-06-25,65
2011-06-26,66
2011-06-27,61
2011-06-28,64
2011-06-29,69
2011-06-30,68
2011-07-01,68
2011-07-02,76
2011-07-03,66
2011-07-04,66
2011-07-05,68
2011-07-06,69
2011-07-07,68
2011-07-08,70
2011-07-09,73
2011-07-10,70
2011-07-11,60
2011-07-12,69
2011-07-13,71
2011-07-14,68
2011-07-15,69
2011-07-16,75
2011-07-17,67
2011-07-18,65
2011-07-19,71
2011-07-20,68
2011-07-21,70
2011-07-22,69
2011-07-23,70
2011-07-24,69
2011-07-25,65
2011-07-26,69
2011-07-27,70
2011-07-28,72
2011-07-29,72
2011-07-30,77
2011-07-31,68
2011-08-01,66
2011-08-02,72
2011-08-03,72
2011-08-04,70
2011-08-05,72
2011-08-06,73
2011-08-07,70
2011-08-08,64
2011-08-09,65
2011-08-10,65
2011-08-11,62
2011-08-12,63
2011-08-13,61
2011-08-14,60
2011-08-15,57
2011-08-16,58
2011-08-17,58
2011-08-18,59
2011-08-19,58
2011-08-20,62
2011-08-21,60
2011-08-22,52
2011-08-23,58
2011-08-24,56
2011-08-25,57
2011-08-26,56
2011-08-27,59
2011-08-28,55
2011-08-29,54
2011-08-30,59
2011-08-31,62
2011-09-01,63
2011-09-02,64
2011-09-03,70
2011-09-04,63
2011-09-05,62
2011-09-06,64
2011-09-07,66
2011-09-08,64
2011-09-09,65
2011-09-10,69
2011-09-11,65
2011-09-12,63
2011-09-13,67
2011-09-14,70
2011-09-15,71
2011-09-16,73
2011-09-17,75
2011-09-18,73
2011-09-19,68
2011-09-20,73
2011-09-21,71
2011-09-22,72
2011-09-23,69
2011-09-24,72
2011-09-25,73
2011-09-26,64
2011-09-27,74
2011-09-28,75
2011-09-29,76
2011-09-30,77
2011-10-01,82
2011-10-02,80
2011-10-03,72
2011-10-04,78
2011-10-05,77
2011-10-06,78
2011-10-07,78
2011-10-08,77
2011-10-09,77
2011-10-10,71
2011-10-11,77
2011-10-12,75
2011-10-13,71
2011-10-14,73
2011-10-15,77
2011-10-16,73
2011-10-17,68
2011-10-18,73
2011-10-19,74
2011-10-20,73
2011-10-21,73
2011-10-22,79
2011-10-23,78
2011-10-24,73
2011-10-25,78
2011-10-26,75
2011-10-27,82
2011-10-28,79
2011-10-29,87
2011-10-30,83
2011-10-31,84
2011-11-01,89
2011-11-02,90
2011-11-03,92
2011-11-04,79
2011-11-05,112
2011-11-06,103
2011-11-07,91
2011-11-08,97
2011-11-09,95
2011-11-10,96
2011-11-11,94
2011-11-12,94
2011-11-13,89
2011-11-14,82
2011-11-15,90
2011-11-16,86
2011-11-17,81
2011-11-18,84
2011-11-19,84
2011-11-20,80
2011-11-21,78
2011-11-22,83
2011-11-23,82
2011-11-24,83
2011-11-25,86
2011-11-26,88
2011-11-27,86
2011-11-28,80
2011-11-29,88
2011-11-30,89
2011-12-01,90
2011-12-02,92
2011-12-03,97
2011-12-04,90
2011-12-05,87
2011-12-06,87
2011-12-07,85
2011-12-08,87
2011-12-09,79
2011-12-10,86
2011-12-11,78
2011-12-12,77
2011-12-13,82
2011-12-14,79
2011-12-15,83
2011-12-16,79
2011-12-17,86
2011-12-18,78
2011-12-19,76
2011-12-20,80
2011-12-21,82
2011-12-22,81
2011-12-23,81
2011-12-24,85
2011-12-25,80
2011-12-26,71
2011-12-27,74
2011-12-28,77
2011-12-29,74
2011-12-30,77
2011-12-31,77
2012-01-01,71
2012-01-02,65
2012-01-03,72
2012-01-04,74
2012-01-05,74
2012-01-06,72
2012-01-07,74
2012-01-08,73
2012-01-09,68
