Date,Body Central
2010-01-01,51
2010-01-02,51
2010-01-03,51
2010-01-04,51
2010-01-05,51
2010-01-06,51
2010-01-07,51
2010-01-08,51
2010-01-09,51
2010-01-10,51
2010-01-11,51
2010-01-12,52
2010-01-13,52
2010-01-14,52
2010-01-15,52
2010-01-16,52
2010-01-17,52
2010-01-18,52
2010-01-19,52
2010-01-20,52
2010-01-21,52
2010-01-22,53
2010-01-23,53
2010-01-24,53
2010-01-25,53
2010-01-26,53
2010-01-27,53
2010-01-28,53
2010-01-29,53
2010-01-30,53
2010-01-31,53
2010-02-01,54
2010-02-02,54
2010-02-03,54
2010-02-04,54
2010-02-05,54
2010-02-06,54
2010-02-07,54
2010-02-08,54
2010-02-09,54
2010-02-10,54
2010-02-11,55
2010-02-12,55
2010-02-13,55
2010-02-14,55
2010-02-15,55
2010-02-16,55
2010-02-17,55
2010-02-18,55
2010-02-19,55
2010-02-20,56
2010-02-21,56
2010-02-22,56
2010-02-23,56
2010-02-24,56
2010-02-25,56
2010-02-26,56
2010-02-27,56
2010-02-28,56
2010-03-01,57
2010-03-02,57
2010-03-03,57
2010-03-04,57
2010-03-05,57
2010-03-06,57
2010-03-07,57
2010-03-08,57
2010-03-09,57
2010-03-10,57
2010-03-11,57
2010-03-12,58
2010-03-13,58
2010-03-14,58
2010-03-15,58
2010-03-16,58
2010-03-17,58
2010-03-18,58
2010-03-19,58
2010-03-20,58
2010-03-21,58
2010-03-22,59
2010-03-23,59
2010-03-24,59
2010-03-25,59
2010-03-26,59
2010-03-27,59
2010-03-28,59
2010-03-29,59
2010-03-30,59
2010-03-31,59
2010-04-01,60
2010-04-02,59
2010-04-03,59
2010-04-04,59
2010-04-05,58
2010-04-06,58
2010-04-07,58
2010-04-08,57
2010-04-09,57
2010-04-10,57
2010-04-11,56
2010-04-12,56
2010-04-13,56
2010-04-14,55
2010-04-15,55
2010-04-16,55
2010-04-17,54
2010-04-18,54
2010-04-19,54
2010-04-20,53
2010-04-21,53
2010-04-22,53
2010-04-23,52
2010-04-24,52
2010-04-25,52
2010-04-26,51
2010-04-27,51
2010-04-28,51
2010-04-29,50
2010-04-30,50
2010-05-01,50
2010-05-02,50
2010-05-03,50
2010-05-04,51
2010-05-05,51
2010-05-06,51
2010-05-07,52
2010-05-08,52
2010-05-09,52
2010-05-10,53
2010-05-11,53
2010-05-12,53
2010-05-13,54
2010-05-14,54
2010-05-15,54
2010-05-16,55
2010-05-17,55
2010-05-18,56
2010-05-19,56
2010-05-20,56
2010-05-21,57
2010-05-22,57
2010-05-23,57
2010-05-24,58
2010-05-25,58
2010-05-26,58
2010-05-27,59
2010-05-28,59
2010-05-29,59
2010-05-30,60
2010-05-31,60
2010-06-01,61
2010-06-02,60
2010-06-03,60
2010-06-04,60
2010-06-05,59
2010-06-06,59
2010-06-07,59
2010-06-08,59
2010-06-09,58
2010-06-10,58
2010-06-11,58
2010-06-12,58
2010-06-13,57
2010-06-14,57
2010-06-15,57
2010-06-16,57
2010-06-17,56
2010-06-18,56
2010-06-19,56
2010-06-20,55
2010-06-21,55
2010-06-22,55
2010-06-23,55
2010-06-24,54
2010-06-25,54
2010-06-26,54
2010-06-27,54
2010-06-28,53
2010-06-29,53
2010-06-30,53
2010-07-01,53
2010-07-02,53
2010-07-03,53
2010-07-04,53
2010-07-05,53
2010-07-06,53
