Date,Mascoma Corp
2012-09-08,86
2012-09-09,83
2012-09-10,80
2012-09-11,78
2012-09-12,76
2012-09-13,74
2012-09-14,72
2012-09-15,70
2012-09-16,73
2012-09-17,76
2012-09-18,80
2012-09-19,83
2012-09-20,86
2012-09-21,90
2012-09-22,93
2012-09-23,91
2012-09-24,89
2012-09-25,87
2012-09-26,85
2012-09-27,83
2012-09-28,81
2012-09-29,79
2012-09-30,79
2012-10-01,79
2012-10-02,79
2012-10-03,79
2012-10-04,79
2012-10-05,79
2012-10-06,79
2012-10-07,80
2012-10-08,81
2012-10-09,82
2012-10-10,83
2012-10-11,84
2012-10-12,85
2012-10-13,86
2012-10-14,83
2012-10-15,80
2012-10-16,77
2012-10-17,75
2012-10-18,72
2012-10-19,69
2012-10-20,67
2012-10-21,68
2012-10-22,70
2012-10-23,72
2012-10-24,73
2012-10-25,75
2012-10-26,76
2012-10-27,78
2012-10-28,76
2012-10-29,72
2012-10-30,70
2012-10-31,67
2012-11-01,65
2012-11-02,63
2012-11-03,61
2012-11-04,59
2012-11-05,58
2012-11-06,57
2012-11-07,55
2012-11-08,54
2012-11-09,53
2012-11-10,52
2012-11-11,51
2012-11-12,51
2012-11-13,51
2012-11-14,51
2012-11-15,51
2012-11-16,50
2012-11-17,50
2012-11-18,48
2012-11-19,46
2012-11-20,44
2012-11-21,43
2012-11-22,41
2012-11-23,39
2012-11-24,38
2012-11-25,39
2012-12-02,53
2012-12-03,56
2012-12-04,59
2012-12-05,62
2012-12-06,65
2012-12-07,68
2012-12-08,71
2012-12-09,70
2012-12-10,69
2012-12-11,68
2012-12-12,67
2012-12-13,66
2012-12-14,65
2012-12-15,65
2012-12-16,68
2012-12-17,71
2012-12-18,74
2012-12-19,78
2012-12-20,81
2012-12-21,84
2012-12-22,87
2012-12-23,87
2012-12-24,86
2012-12-25,86
2012-12-26,86
2012-12-27,86
2012-12-28,86
2012-12-29,86
2012-12-30,85
2012-12-31,84
2013-01-01,84
2013-01-02,83
2013-01-03,83
2013-01-04,82
2013-01-05,82
2013-01-06,84
2013-01-07,87
2013-01-08,90
2013-01-09,93
2013-01-10,95
2013-01-11,98
2013-01-12,101
2013-01-13,97
2013-01-14,92
2013-01-15,88
2013-01-16,84
2013-01-17,80
2013-01-18,76
2013-01-19,72
2013-01-20,69
2013-01-21,66
2013-01-22,64
2013-01-23,61
2013-01-24,59
2013-01-25,56
2013-01-26,54
2013-01-27,58
2013-01-28,62
2013-01-29,67
2013-01-30,71
2013-01-31,76
2013-02-01,80
2013-02-02,85
2013-02-03,85
2013-02-04,86
2013-02-05,86
2013-02-06,87
2013-02-07,87
2013-02-08,87
2013-02-09,88
2013-02-10,82
2013-02-11,75
2013-02-12,69
2013-02-13,63
2013-02-14,57
2013-02-15,51
2013-02-16,46
2013-02-17,49
2013-02-18,53
2013-02-19,56
2013-02-20,60
2013-02-21,63
2013-02-22,67
2013-02-23,70
2013-02-24,69
2013-03-03,59
2013-03-04,58
2013-03-05,56
2013-03-06,53
2013-03-07,51
2013-03-08,49
2013-03-09,47
2013-03-10,47
2013-03-11,46
2013-03-12,45
2013-03-13,45
2013-03-14,44
2013-03-15,44
2013-03-16,44
2013-03-17,45
2013-03-18,47
2013-03-19,49
2013-03-20,51
2013-03-21,53
2013-03-22,55
2013-03-23,57
2013-03-24,60
2013-03-25,65
2013-03-26,68
2013-03-27,72
2013-03-28,76
2013-03-29,80
2013-03-30,84
2013-03-31,80
2013-04-01,75
2013-04-02,72
2013-04-03,68
2013-04-04,65
2013-04-05,61
2013-04-06,58
2013-04-07,58
2013-04-08,59
2013-04-09,59
2013-04-10,60
2013-04-11,60
2013-04-12,61
2013-04-13,62
2013-04-14,62
2013-04-15,62
2013-04-16,63
2013-04-17,63
2013-04-18,64
2013-04-19,64
2013-04-20,65
2013-04-21,67
2013-04-22,70
2013-04-23,73
2013-04-24,75
2013-04-25,78
2013-04-26,80
2013-04-27,83
2013-04-28,82
2013-04-29,82
2013-04-30,81
2013-05-01,80
2013-05-02,79
2013-05-03,78
2013-05-04,78
2013-05-05,76
2013-05-06,73
2013-05-07,71
2013-05-08,70
2013-05-09,68
2013-05-10,66
2013-05-11,65
2013-05-12,63
2013-05-13,62
2013-05-14,61
2013-05-15,60
2013-05-16,59
2013-05-17,58
2013-05-18,57
2013-05-19,57
2013-05-20,57
2013-05-21,57
2013-05-22,57
2013-05-23,57
2013-05-24,57
2013-05-25,57
2013-05-26,58
2013-06-02,64
2013-06-03,61
2013-06-04,58
2013-06-05,55
2013-06-06,52
2013-06-07,50
2013-06-08,47
2013-06-09,47
2013-06-10,47
