Date,Drivetime Automotive
2010-03-13,95
2010-03-14,91
2010-03-15,88
2010-03-16,85
2010-03-17,81
2010-03-18,78
2010-03-19,75
2010-03-20,72
2010-03-21,72
2010-03-22,72
2010-03-23,72
2010-03-24,72
2010-03-25,72
2010-03-26,72
2010-03-27,72
2010-03-28,72
2010-03-29,72
2010-03-30,72
2010-03-31,72
2010-04-01,72
2010-04-02,72
2010-04-03,72
2010-04-04,72
2010-04-05,72
2010-04-06,72
2010-04-07,72
2010-04-08,72
2010-04-09,72
2010-04-10,72
2010-04-11,72
2010-04-12,71
2010-04-13,70
2010-04-14,70
2010-04-15,69
2010-04-16,69
2010-04-17,69
2010-04-18,67
2010-04-19,66
2010-04-20,65
2010-04-21,63
2010-04-22,62
2010-04-23,61
2010-04-24,60
2010-04-25,60
2010-04-26,60
2010-04-27,60
2010-04-28,60
2010-04-29,60
2010-04-30,60
2010-05-01,60
2010-05-02,60
2010-05-03,60
2010-05-04,60
2010-05-05,60
2010-05-06,60
2010-05-07,60
2010-05-08,60
2010-05-09,60
2010-05-10,60
2010-05-11,60
2010-05-12,60
2010-05-13,60
2010-05-14,60
2010-05-15,60
2010-05-16,62
2010-05-17,64
2010-05-18,66
2010-05-19,68
2010-05-20,70
2010-05-21,72
2010-05-22,74
2010-05-23,76
2010-05-24,80
2010-05-25,82
2010-05-26,85
2010-05-27,88
2010-05-28,91
2010-05-29,97
2010-05-30,84
2010-06-06,60
2010-06-07,60
2010-06-08,60
2010-06-09,60
2010-06-10,60
2010-06-11,60
2010-06-12,60
2010-06-13,59
2010-06-14,58
2010-06-15,57
2010-06-16,57
2010-06-17,56
2010-06-18,55
2010-06-19,55
2010-06-20,55
2010-06-21,55
2010-06-22,55
2010-06-23,55
2010-06-24,55
2010-06-25,55
2010-06-26,55
2010-06-27,55
2010-06-28,55
2010-06-29,55
2010-06-30,55
2010-07-01,55
2010-07-02,55
2010-07-03,55
2010-07-04,59
2010-07-05,65
2010-07-06,70
2010-07-07,75
2010-07-08,80
2010-07-09,85
2010-07-10,89
2010-07-11,85
2010-07-12,79
2010-07-13,75
2010-07-14,70
2010-07-15,66
2010-07-16,61
2010-07-17,57
2010-07-18,57
2010-07-19,58
2010-07-20,59
2010-07-21,59
2010-07-22,60
2010-07-23,61
2010-07-24,62
2010-07-25,62
2010-07-26,63
2010-07-27,64
2010-07-28,64
2010-07-29,65
2010-07-30,66
2010-07-31,67
2010-08-01,68
2010-08-02,70
2010-08-03,71
2010-08-04,73
2010-08-05,75
2010-08-06,76
2010-08-07,78
2010-08-08,76
2010-08-09,74
2010-08-10,73
2010-08-11,71
2010-08-12,70
2010-08-13,68
2010-08-14,67
2010-08-15,66
2010-08-16,65
2010-08-17,64
2010-08-18,64
2010-08-19,63
2010-08-20,62
2010-08-21,62
2010-08-22,62
2010-08-23,63
