Date,Portola
2012-10-01,87
2012-10-02,87
2012-10-03,87
2012-10-04,87
2012-10-05,88
2012-10-06,88
2012-10-07,88
2012-10-08,89
2012-10-09,89
2012-10-10,89
2012-10-11,90
2012-10-12,90
2012-10-13,90
2012-10-14,91
2012-10-15,91
2012-10-16,91
2012-10-17,92
2012-10-18,92
2012-10-19,92
2012-10-20,93
2012-10-21,93
2012-10-22,93
2012-10-23,94
2012-10-24,94
2012-10-25,94
2012-10-26,95
2012-10-27,95
2012-10-28,95
2012-10-29,96
2012-10-30,96
2012-10-31,96
2012-11-01,97
2012-11-02,97
2012-11-03,97
2012-11-04,97
2012-11-05,97
2012-11-06,97
2012-11-07,97
2012-11-08,97
2012-11-09,97
2012-11-10,97
2012-11-11,97
2012-11-12,97
2012-11-13,97
2012-11-14,97
2012-11-15,97
2012-11-16,97
2012-11-17,97
2012-11-18,97
2012-11-19,97
2012-11-20,97
2012-11-21,97
2012-11-22,97
2012-11-23,97
2012-11-24,97
2012-11-25,97
2012-11-26,97
2012-11-27,97
2012-11-28,97
2012-11-29,97
2012-11-30,97
2012-12-01,98
2012-12-02,98
2012-12-03,98
2012-12-04,98
2012-12-05,98
2012-12-06,98
2012-12-07,98
2012-12-08,98
2012-12-09,98
2012-12-10,98
2012-12-11,98
2012-12-12,98
2012-12-13,98
2012-12-14,98
2012-12-15,98
2012-12-16,98
2012-12-17,98
2012-12-18,98
2012-12-19,98
2012-12-20,98
2012-12-21,98
2012-12-22,98
2012-12-23,98
2012-12-24,98
2012-12-25,98
2012-12-26,98
2012-12-27,98
2012-12-28,98
2012-12-29,98
2012-12-30,98
2012-12-31,98
2013-01-01,99
2013-01-02,99
2013-01-03,99
2013-01-04,99
2013-01-05,99
2013-01-06,99
2013-01-07,99
2013-01-08,99
2013-01-09,99
2013-01-10,99
2013-01-11,99
2013-01-12,99
2013-01-13,99
2013-01-14,99
2013-01-15,99
2013-01-16,99
2013-01-17,99
2013-01-18,99
2013-01-19,99
2013-01-20,99
2013-01-21,99
2013-01-22,99
2013-01-23,99
2013-01-24,99
2013-01-25,99
2013-01-26,99
2013-01-27,99
2013-01-28,99
2013-01-29,99
2013-01-30,99
2013-01-31,99
2013-02-01,100
2013-02-02,98
2013-02-03,96
2013-02-04,95
2013-02-05,93
2013-02-06,92
2013-02-07,90
2013-02-08,89
2013-02-09,87
2013-02-10,86
2013-02-11,84
2013-02-12,83
2013-02-13,81
2013-02-14,80
2013-02-15,78
2013-02-16,76
2013-02-17,75
2013-02-18,73
2013-02-19,72
2013-02-20,70
2013-02-21,69
2013-02-22,67
2013-02-23,66
2013-02-24,64
2013-02-25,63
2013-02-26,61
2013-02-27,60
2013-02-28,58
2013-03-01,57
2013-03-02,57
2013-03-03,57
2013-03-04,58
2013-03-05,58
2013-03-06,58
2013-03-07,59
2013-03-08,59
2013-03-09,60
2013-03-10,60
2013-03-11,60
2013-03-12,61
2013-03-13,61
2013-03-14,62
2013-03-15,62
2013-03-16,62
2013-03-17,63
2013-03-18,63
2013-03-19,63
2013-03-20,64
2013-03-21,64
2013-03-22,65
2013-03-23,65
2013-03-24,65
2013-03-25,66
2013-03-26,66
2013-03-27,67
2013-03-28,67
2013-03-29,67
2013-03-30,68
2013-03-31,68
2013-04-01,69
2013-04-02,69
2013-04-03,70
2013-04-04,71
2013-04-05,71
2013-04-06,72
2013-04-07,73
2013-04-08,73
2013-04-09,74
2013-04-10,75
2013-04-11,76
2013-04-12,76
2013-04-13,77
2013-04-14,78
2013-04-15,78
2013-04-16,79
2013-04-17,80
2013-04-18,80
2013-04-19,81
2013-04-20,82
2013-04-21,83
2013-04-22,83
2013-04-23,84
2013-04-24,85
2013-04-25,85
2013-04-26,86
2013-04-27,87
2013-04-28,87
2013-04-29,88
2013-04-30,89
2013-05-01,90
2013-05-02,89
2013-05-03,89
2013-05-04,89
2013-05-05,89
2013-05-06,89
2013-05-07,89
2013-05-08,88
2013-05-09,88
2013-05-10,88
2013-05-11,88
2013-05-12,88
2013-05-13,88
2013-05-14,87
2013-05-15,87
2013-05-16,87
2013-05-17,87
2013-05-18,87
2013-05-19,87
2013-05-20,86
2013-05-21,86
2013-05-22,86
2013-05-23,86
2013-05-24,86
2013-05-25,86
2013-05-26,85
2013-05-27,85
2013-05-28,85
2013-05-29,85
2013-05-30,85
2013-05-31,85
2013-06-01,85
2013-06-02,85
2013-06-03,85
2013-06-04,85
2013-06-05,85
2013-06-06,85
2013-06-07,85
2013-06-08,85
2013-06-09,85
2013-06-10,85
2013-06-11,85
2013-06-12,85
2013-06-13,85
2013-06-14,85
2013-06-15,85
2013-06-16,85
2013-06-17,85
2013-06-18,85
2013-06-19,85
2013-06-20,85
2013-06-21,85
2013-06-22,85
2013-06-23,85
2013-06-24,85
2013-06-25,85
2013-06-26,85
2013-06-27,85
2013-06-28,85
2013-06-29,85
2013-06-30,85
2013-07-01,85
2013-07-02,84
2013-07-03,84
2013-07-04,83
2013-07-05,83
2013-07-06,83
2013-07-07,82
2013-07-08,82
2013-07-09,81
2013-07-10,81
2013-07-11,81
2013-07-12,80
2013-07-13,80
2013-07-14,79
2013-07-15,79
2013-07-16,79
2013-07-17,78
2013-07-18,78
2013-07-19,78
2013-07-20,77
2013-07-21,77
2013-07-22,76
2013-07-23,76
2013-07-24,76
2013-07-25,75
2013-07-26,75
2013-07-27,74
2013-07-28,74
2013-07-29,74
2013-07-30,73
2013-07-31,73
2013-08-01,73
2013-08-02,73
2013-08-03,73
2013-08-04,73
2013-08-05,74
2013-08-06,74
2013-08-07,74
2013-08-08,74
2013-08-09,75
2013-08-10,75
2013-08-11,75
2013-08-12,75
2013-08-13,76
2013-08-14,76
2013-08-15,76
2013-08-16,76
2013-08-17,77
2013-08-18,77
2013-08-19,77
2013-08-20,77
2013-08-21,78
2013-08-22,78
2013-08-23,78
2013-08-24,78
2013-08-25,79
2013-08-26,79
2013-08-27,79
2013-08-28,79
2013-08-29,80
2013-08-30,80
2013-08-31,80
2013-09-01,81
2013-09-02,81
2013-09-03,81
2013-09-04,81
2013-09-05,82
2013-09-06,82
2013-09-07,82
2013-09-08,82
2013-09-09,83
2013-09-10,83
2013-09-11,83
2013-09-12,83
2013-09-13,84
2013-09-14,84
2013-09-15,84
2013-09-16,85
2013-09-17,85
2013-09-18,85
2013-09-19,85
2013-09-20,86
2013-09-21,86
2013-09-22,86
2013-09-23,86
2013-09-24,87
2013-09-25,87
2013-09-26,87
2013-09-27,87
2013-09-28,88
2013-09-29,88
2013-09-30,88
2013-10-01,89
2013-10-02,88
2013-10-03,87
2013-10-04,86
2013-10-05,85
2013-10-06,84
2013-10-07,83
2013-10-08,82
2013-10-09,81
2013-10-10,80
2013-10-11,79
2013-10-12,78
2013-10-13,77
2013-10-14,76
2013-10-15,75
2013-10-16,74
2013-10-17,73
2013-10-18,72
2013-10-19,71
2013-10-20,70
2013-10-21,69
2013-10-22,68
2013-10-23,67
2013-10-24,66
2013-10-25,65
2013-10-26,64
2013-10-27,63
2013-10-28,62
2013-10-29,61
2013-10-30,60
2013-10-31,59
2013-11-01,59
2013-11-02,59
2013-11-03,60
2013-11-04,60
2013-11-05,61
2013-11-06,61
2013-11-07,62
2013-11-08,62
2013-11-09,63
2013-11-10,63
2013-11-11,64
2013-11-12,64
2013-11-13,65
2013-11-14,65
2013-11-15,66
