Date,HD Supply
2012-10-01,87
2012-10-02,86
2012-10-03,86
2012-10-04,85
2012-10-05,85
2012-10-06,85
2012-10-07,84
2012-10-08,84
2012-10-09,83
2012-10-10,83
2012-10-11,83
2012-10-12,82
2012-10-13,82
2012-10-14,81
2012-10-15,81
2012-10-16,81
2012-10-17,80
2012-10-18,80
2012-10-19,80
2012-10-20,79
2012-10-21,79
2012-10-22,78
2012-10-23,78
2012-10-24,78
2012-10-25,77
2012-10-26,77
2012-10-27,76
2012-10-28,76
2012-10-29,76
2012-10-30,75
2012-10-31,75
2012-11-01,75
2012-11-02,75
2012-11-03,75
2012-11-04,75
2012-11-05,75
2012-11-06,76
2012-11-07,76
2012-11-08,76
2012-11-09,76
2012-11-10,77
2012-11-11,77
2012-11-12,77
2012-11-13,77
2012-11-14,78
2012-11-15,78
2012-11-16,78
2012-11-17,78
2012-11-18,78
2012-11-19,79
2012-11-20,79
2012-11-21,79
2012-11-22,79
2012-11-23,80
2012-11-24,80
2012-11-25,80
2012-11-26,80
2012-11-27,81
2012-11-28,81
2012-11-29,81
2012-11-30,81
2012-12-01,82
2012-12-02,82
2012-12-03,82
2012-12-04,82
2012-12-05,82
2012-12-06,83
2012-12-07,83
2012-12-08,83
2012-12-09,83
2012-12-10,84
2012-12-11,84
2012-12-12,84
2012-12-13,84
2012-12-14,84
2012-12-15,85
2012-12-16,85
2012-12-17,85
2012-12-18,85
2012-12-19,86
2012-12-20,86
2012-12-21,86
2012-12-22,86
2012-12-23,86
2012-12-24,87
2012-12-25,87
2012-12-26,87
2012-12-27,87
2012-12-28,88
2012-12-29,88
2012-12-30,88
2012-12-31,88
2013-01-01,89
2013-01-02,87
2013-01-03,86
2013-01-04,85
2013-01-05,84
2013-01-06,83
2013-01-07,82
2013-01-08,81
2013-01-09,79
2013-01-10,78
2013-01-11,77
2013-01-12,76
2013-01-13,75
2013-01-14,74
2013-01-15,73
2013-01-16,72
2013-01-17,70
2013-01-18,69
2013-01-19,68
2013-01-20,67
2013-01-21,66
2013-01-22,65
2013-01-23,64
2013-01-24,63
2013-01-25,61
2013-01-26,60
2013-01-27,59
2013-01-28,58
2013-01-29,57
2013-01-30,56
2013-01-31,55
2013-02-01,54
2013-02-02,55
2013-02-03,57
2013-02-04,58
2013-02-05,60
2013-02-06,62
2013-02-07,63
2013-02-08,65
2013-02-09,67
2013-02-10,68
2013-02-11,70
2013-02-12,72
2013-02-13,73
2013-02-14,75
2013-02-15,77
2013-02-16,78
2013-02-17,80
2013-02-18,81
2013-02-19,83
2013-02-20,85
2013-02-21,86
2013-02-22,88
2013-02-23,90
2013-02-24,91
2013-02-25,93
2013-02-26,95
2013-02-27,96
2013-02-28,98
2013-03-01,100
2013-03-02,99
2013-03-03,98
2013-03-04,97
2013-03-05,97
2013-03-06,96
2013-03-07,95
2013-03-08,95
2013-03-09,94
2013-03-10,93
2013-03-11,93
2013-03-12,92
2013-03-13,91
2013-03-14,91
2013-03-15,90
2013-03-16,89
2013-03-17,89
2013-03-18,88
2013-03-19,87
2013-03-20,87
2013-03-21,86
2013-03-22,85
2013-03-23,85
2013-03-24,84
2013-03-25,83
2013-03-26,83
2013-03-27,82
2013-03-28,81
2013-03-29,81
2013-03-30,80
2013-03-31,79
2013-04-01,79
2013-04-02,77
2013-04-03,76
2013-04-04,75
2013-04-05,74
2013-04-06,73
2013-04-07,72
2013-04-08,71
2013-04-09,69
2013-04-10,68
2013-04-11,67
2013-04-12,66
2013-04-13,65
2013-04-14,64
2013-04-15,63
2013-04-16,62
2013-04-17,60
2013-04-18,59
2013-04-19,58
2013-04-20,57
2013-04-21,56
2013-04-22,55
2013-04-23,54
2013-04-24,52
2013-04-25,51
2013-04-26,50
2013-04-27,49
2013-04-28,48
2013-04-29,47
2013-04-30,46
2013-05-01,45
2013-05-02,46
2013-05-03,48
2013-05-04,49
2013-05-05,51
2013-05-06,52
2013-05-07,54
2013-05-08,56
2013-05-09,57
2013-05-10,59
2013-05-11,60
2013-05-12,62
2013-05-13,63
2013-05-14,65
2013-05-15,67
2013-05-16,68
2013-05-17,70
2013-05-18,71
2013-05-19,73
2013-05-20,75
2013-05-21,76
2013-05-22,78
2013-05-23,79
2013-05-24,81
2013-05-25,82
2013-05-26,84
2013-05-27,86
2013-05-28,87
2013-05-29,89
2013-05-30,90
2013-05-31,92
2013-06-01,94
2013-06-02,92
2013-06-03,91
2013-06-04,90
2013-06-05,89
2013-06-06,88
2013-06-07,87
2013-06-08,86
2013-06-09,85
2013-06-10,84
2013-06-11,83
2013-06-12,82
2013-06-13,81
2013-06-14,80
2013-06-15,79
2013-06-16,78
2013-06-17,76
2013-06-18,75
2013-06-19,74
2013-06-20,73
2013-06-21,72
2013-06-22,71
2013-06-23,70
2013-06-24,69
2013-06-25,68
2013-06-26,67
2013-06-27,66
2013-06-28,65
2013-06-29,64
2013-06-30,63
2013-07-01,62
2013-07-02,62
2013-07-03,62
2013-07-04,63
2013-07-05,63
2013-07-06,63
2013-07-07,64
2013-07-08,64
2013-07-09,65
2013-07-10,65
2013-07-11,65
2013-07-12,66
2013-07-13,66
2013-07-14,67
2013-07-15,67
2013-07-16,67
2013-07-17,68
2013-07-18,68
