Date,Trulia
2012-02-11,51
2012-02-12,53
2012-02-13,56
2012-02-14,60
2012-02-15,62
2012-02-16,67
2012-02-17,67
2012-02-18,70
2012-02-19,70
2012-02-20,70
2012-02-21,70
2012-02-22,75
2012-02-23,65
2012-02-24,74
2012-02-25,71
2012-02-26,68
2012-02-27,69
2012-02-28,76
2012-02-29,72
2012-03-01,70
2012-03-02,71
2012-03-03,73
2012-03-04,71
2012-03-05,69
2012-03-06,66
2012-03-07,64
2012-03-08,64
2012-03-09,60
2012-03-10,60
2012-03-11,59
2012-03-12,61
2012-03-13,56
2012-03-14,66
2012-03-15,65
2012-03-16,66
2012-03-17,69
2012-03-18,69
2012-03-19,67
2012-03-20,65
2012-03-21,64
2012-03-22,64
2012-03-23,62
2012-03-24,61
2012-03-25,63
2012-03-26,69
2012-03-27,63
2012-03-28,72
2012-03-29,72
2012-03-30,74
2012-03-31,77
2012-04-01,78
2012-04-02,76
2012-04-03,68
2012-04-04,76
2012-04-05,76
2012-04-06,76
2012-04-07,71
2012-04-08,70
2012-04-09,68
2012-04-10,67
2012-04-11,71
2012-04-12,66
2012-04-13,61
2012-04-14,59
2012-04-15,60
2012-04-16,66
2012-04-17,57
2012-04-18,63
2012-04-19,63
2012-04-20,62
2012-04-21,60
2012-04-22,62
2012-04-23,68
2012-04-24,62
2012-04-25,71
2012-04-26,64
2012-04-27,68
2012-04-28,71
2012-04-29,68
2012-04-30,66
2012-05-01,65
2012-05-02,64
2012-05-03,63
2012-05-04,61
2012-05-05,61
2012-05-06,60
2012-05-07,60
2012-05-08,54
2012-05-09,62
2012-05-10,60
2012-05-11,60
2012-05-12,60
2012-05-13,59
2012-05-14,60
2012-05-15,60
2012-05-16,63
2012-05-17,62
2012-05-18,61
2012-05-19,62
2012-05-20,63
2012-05-21,66
2012-05-22,69
2012-05-23,74
2012-05-24,76
2012-05-25,76
2012-05-26,80
2012-05-27,78
2012-05-28,77
2012-05-29,72
2012-05-30,73
2012-05-31,76
2012-06-01,68
2012-06-02,73
2012-06-03,72
2012-06-04,70
2012-06-05,70
2012-06-06,69
2012-06-07,67
2012-06-08,73
2012-06-09,66
2012-06-10,67
2012-06-11,68
2012-06-12,67
2012-06-13,71
2012-06-14,73
2012-06-15,75
2012-06-16,73
2012-06-17,71
2012-06-18,69
2012-06-19,65
2012-06-20,68
2012-06-21,61
2012-06-22,58
2012-06-23,65
2012-06-24,60
2012-06-25,59
2012-06-26,59
2012-06-27,59
2012-06-28,57
2012-06-29,57
2012-06-30,56
2012-07-01,58
2012-07-02,57
2012-07-03,57
2012-07-04,56
2012-07-05,56
2012-07-06,57
2012-07-07,59
2012-07-08,58
2012-07-09,59
2012-07-10,60
2012-07-11,59
2012-07-12,61
2012-07-13,64
2012-07-14,61
2012-07-15,62
2012-07-16,69
2012-07-17,64
2012-07-18,68
2012-07-19,69
2012-07-20,64
2012-07-21,66
2012-07-22,70
2012-07-23,78
2012-07-24,70
2012-07-25,69
2012-07-26,69
2012-07-27,69
2012-07-28,69
2012-07-29,68
2012-07-30,60
2012-07-31,69
2012-08-01,65
2012-08-02,65
2012-08-03,63
2012-08-04,58
2012-08-05,63
2012-08-06,58
2012-08-07,57
2012-08-08,53
2012-08-09,51
2012-08-10,50
2012-08-11,54
2012-08-12,53
2012-08-13,56
2012-08-14,55
2012-08-15,61
2012-08-16,62
2012-08-17,64
2012-08-18,69
2012-08-19,66
2012-08-20,65
2012-08-21,57
2012-08-22,68
2012-08-23,60
2012-08-24,65
2012-08-25,61
2012-08-26,61
2012-08-27,61
2012-08-28,49
2012-08-29,63
2012-08-30,61
2012-08-31,65
2012-09-01,61
2012-09-02,59
2012-09-03,57
2012-09-04,55
2012-09-05,52
2012-09-06,52
2012-09-07,49
2012-09-08,46
2012-09-09,49
2012-09-10,55
2012-09-11,55
2012-09-12,56
2012-09-13,56
2012-09-14,63
2012-09-15,65
2012-09-16,70
2012-09-17,75
2012-09-18,81
2012-09-19,88
2012-09-20,82
2012-09-21,104
2012-09-22,93
2012-09-23,101
2012-09-24,93
2012-09-25,89
2012-09-26,78
2012-09-27,77
2012-09-28,68
2012-09-29,72
2012-09-30,67
2012-10-01,65
2012-10-02,66
2012-10-03,56
2012-10-04,59
2012-10-05,58
2012-10-06,55
2012-10-07,56
2012-10-08,55
2012-10-09,62
2012-10-10,60
2012-10-11,56
2012-10-12,60
2012-10-13,59
2012-10-14,69
2012-10-15,60
2012-10-16,60
2012-10-17,55
2012-10-18,55
2012-10-19,55
2012-10-20,51
2012-10-21,51
2012-10-22,52
2012-10-23,50
2012-10-24,56
2012-10-25,53
2012-10-26,54
2012-10-27,55
2012-10-28,54
2012-10-29,53
2012-10-30,52
2012-10-31,51
2012-11-01,51
2012-11-02,49
2012-11-03,48
2012-11-04,49
2012-11-05,50
2012-11-06,50
2012-11-07,50
2012-11-08,51
2012-11-09,54
2012-11-10,52
2012-11-11,53
2012-11-12,52
2012-11-13,56
2012-11-14,55
2012-11-15,57
2012-11-16,57
2012-11-17,57
2012-11-18,57
2012-11-19,56
2012-11-20,59
2012-11-21,56
2012-11-22,55
2012-11-23,55
2012-11-24,54
2012-11-25,54
2012-11-26,57
2012-11-27,56
2012-11-28,59
2012-11-29,57
2012-11-30,57
2012-12-01,58
2012-12-02,58
2012-12-03,59
2012-12-04,57
2012-12-05,63
2012-12-06,60
2012-12-07,61
2012-12-08,60
2012-12-09,56
2012-12-10,54
2012-12-11,50
2012-12-12,47
2012-12-13,43
2012-12-14,40
2012-12-15,38
2012-12-16,38
2012-12-17,39
2012-12-18,42
2012-12-19,42
2012-12-20,43
2012-12-21,44
2012-12-22,46
2012-12-23,46
2012-12-24,46
2012-12-25,46
2012-12-26,46
2012-12-27,46
2012-12-28,43
2012-12-29,48
2012-12-30,48
2012-12-31,50
2013-01-01,51
2013-01-02,54
2013-01-03,55
2013-01-04,65
2013-01-05,61
2013-01-06,64
2013-01-07,62
2013-01-08,77
2013-01-09,75
2013-01-10,81
2013-01-11,83
2013-01-12,93
2013-01-13,77
2013-01-14,82
2013-01-15,78
2013-01-16,73
2013-01-17,78
2013-01-18,69
2013-01-19,59
2013-01-20,68
2013-01-21,63
2013-01-22,69
2013-01-23,66
2013-01-24,68
2013-01-25,65
2013-01-26,71
2013-01-27,65
2013-01-28,73
2013-01-29,65
2013-01-30,80
2013-01-31,70
2013-02-01,76
2013-02-02,70
2013-02-03,80
2013-02-04,81
2013-02-05,72
2013-02-06,81
2013-02-07,73
2013-02-08,77
2013-02-09,81
2013-02-10,79
2013-02-11,76
2013-02-12,76
2013-02-13,81
2013-02-14,82
2013-02-15,75
2013-02-16,72
2013-02-17,79
2013-02-18,73
2013-02-19,71
2013-02-20,69
2013-02-21,65
2013-02-22,64
2013-02-23,58
2013-02-24,60
2013-02-25,61
2013-02-26,74
2013-02-27,76
2013-02-28,76
2013-03-01,79
2013-03-02,77
2013-03-03,85
2013-03-04,79
2013-03-05,64
2013-03-06,69
2013-03-07,74
2013-03-08,62
2013-03-09,57
2013-03-10,66
2013-03-11,63
2013-03-12,67
2013-03-13,74
2013-03-14,66
2013-03-15,81
2013-03-16,82
2013-03-17,77
2013-03-18,74
2013-03-19,70
2013-03-20,77
2013-03-21,79
2013-03-22,64
2013-03-23,66
2013-03-24,73
2013-03-25,73
2013-03-26,67
2013-03-27,75
2013-03-28,78
2013-03-29,69
2013-03-30,76
2013-03-31,72
2013-05-01,68
2013-05-02,73
2013-05-03,74
2013-05-04,73
2013-05-05,77
2013-05-06,70
2013-05-07,75
2013-05-08,71
2013-05-09,77
2013-05-10,75
2013-05-11,71
2013-05-12,70
2013-05-13,69
2013-05-14,69
2013-05-15,64
2013-05-16,72
2013-05-17,65
2013-05-18,63
2013-05-19,63
2013-05-20,61
2013-05-21,63
2013-05-22,63
2013-05-23,60
2013-05-24,59
2013-05-25,60
2013-05-26,61
2013-05-27,64
2013-05-28,66
2013-05-29,63
2013-05-30,75
2013-05-31,82
2013-06-01,76
2013-06-02,72
2013-06-03,75
2013-06-04,75
2013-06-05,69
2013-06-06,68
2013-06-07,65
2013-06-08,66
2013-06-09,62
2013-06-10,69
2013-06-11,58
2013-06-12,59
2013-06-13,64
2013-06-14,57
2013-06-15,54
2013-06-16,58
2013-06-17,70
2013-06-18,68
2013-06-19,72
2013-06-20,68
2013-06-21,88
2013-06-22,72
2013-06-23,83
2013-06-24,82
2013-06-25,72
2013-06-26,75
2013-06-27,80
2013-06-28,69
2013-06-29,66
2013-06-30,69
2013-07-01,63
2013-07-02,61
2013-07-03,67
2013-07-04,60
2013-07-05,58
2013-07-06,51
2013-07-07,59
2013-07-08,61
2013-07-09,63
2013-07-10,65
2013-07-11,65
2013-07-12,69
2013-07-13,64
2013-07-14,74
2013-07-15,70
2013-07-16,70
2013-07-17,65
2013-07-18,61
2013-07-19,59
2013-07-20,69
2013-07-21,62
2013-07-22,66
2013-07-23,72
2013-07-24,74
2013-07-25,76
2013-07-26,77
2013-07-27,89
2013-07-28,82
2013-07-29,76
2013-07-30,80
2013-07-31,74
2013-08-01,78
2013-08-02,78
2013-08-03,78
2013-08-04,74
2013-08-05,68
2013-08-06,69
2013-08-07,72
2013-08-08,59
2013-08-09,69
2013-08-10,63
2013-08-11,64
2013-08-12,60
2013-08-13,69
2013-08-14,69
2013-08-15,76
2013-08-16,68
2013-08-17,73
2013-08-18,72
2013-08-19,70
2013-08-20,73
2013-08-21,62
2013-08-22,63
2013-08-23,67
2013-08-24,66
2013-08-25,65
2013-08-26,64
2013-08-27,61
2013-08-28,61
2013-08-29,73
2013-08-30,60
2013-08-31,64
2013-09-01,70
2013-09-02,63
2013-09-03,57
2013-09-04,60
2013-09-05,59
2013-09-06,50
2013-09-07,51
2013-09-08,52
2013-09-09,54
2013-09-10,51
2013-09-11,60
2013-09-12,54
2013-09-13,62
2013-09-14,61
2013-09-15,60
2013-09-16,60
2013-09-17,61
2013-09-18,57
2013-09-19,60
2013-09-20,62
2013-09-21,59
2013-09-22,57
2013-09-23,56
2013-09-24,56
2013-09-25,55
2013-09-26,56
2013-09-27,53
2013-09-28,52
2013-09-29,52
2013-09-30,51
2013-10-01,58
2013-10-02,50
2013-10-03,56
2013-10-04,56
2013-10-05,58
2013-10-06,57
2013-10-07,51
2013-10-08,61
2013-10-09,60
2013-10-10,57
2013-10-11,52
2013-10-12,60
2013-10-13,60
2013-10-14,58
2013-10-15,59
2013-10-16,64
2013-10-17,57
2013-10-18,62
2013-10-19,64
2013-10-20,59
2013-10-21,57
2013-10-22,56
2013-10-23,53
2013-10-24,50
2013-10-25,47
2013-10-26,45
2013-10-27,47
2013-10-28,49
2013-10-29,50
2013-10-30,57
2013-10-31,57
2013-11-01,57
2013-11-02,61
2013-11-03,60
2013-11-04,59
2013-11-05,53
2013-11-06,62
2013-11-07,66
2013-11-08,62
2013-11-09,63
2013-11-10,61
2013-11-11,62
2013-11-12,54
2013-11-13,56
2013-11-14,53
2013-11-15,52
2013-11-16,48
2013-11-17,49
2013-11-18,54
2013-11-19,48
2013-11-20,52
2013-11-21,56
2013-11-22,53
2013-11-23,58
2013-11-24,52
2013-11-25,50
2013-11-26,44
2013-11-27,46
2013-11-28,43
2013-11-29,41
2013-11-30,39
2013-12-01,41
2013-12-02,43
2013-12-03,45
2013-12-04,47
2013-12-05,49
2013-12-06,52
2013-12-07,57
2013-12-08,55
2013-12-09,51
2013-12-10,49
2013-12-11,48
2013-12-12,43
2013-12-13,44
2013-12-14,45
2013-12-15,42
2013-12-16,42
2013-12-17,40
2013-12-18,39
2013-12-19,39
2013-12-20,40
2013-12-21,40
2013-12-22,40
2013-12-23,40
2013-12-24,41
2013-12-25,41
2013-12-26,42
2013-12-27,43
2013-12-28,41
2013-12-29,46
2013-12-30,48
2013-12-31,47
2014-01-01,57
2014-01-02,58
2014-01-03,59
2014-01-04,63
2014-01-05,60
2014-01-06,66
2014-01-07,67
2014-01-08,63
2014-01-09,71
2014-01-10,62
2014-01-11,74
2014-01-12,67
2014-01-13,67
2014-01-14,67
2014-01-15,62
2014-01-16,73
2014-01-17,66
2014-01-18,66
2014-01-19,68
2014-01-20,58
2014-01-21,77
2014-01-22,61
2014-01-23,66
2014-01-24,64
2014-01-25,71
2014-01-26,62
2014-01-27,71
2014-01-28,56
2014-01-29,65
2014-01-30,65
2014-01-31,71
