Date,LinkedIn
2010-07-10,26
2010-07-11,24
2010-07-12,20
2010-07-13,23
2010-07-14,24
2010-07-15,23
2010-07-16,24
2010-07-17,27
2010-07-18,24
2010-07-19,18
2010-07-20,24
2010-07-21,23
2010-07-22,25
2010-07-23,26
2010-07-24,26
2010-07-25,25
2010-07-26,20
2010-07-27,25
2010-07-28,23
2010-07-29,25
2010-07-30,26
2010-07-31,26
2010-08-01,24
2010-08-02,22
2010-08-03,26
2010-08-04,26
2010-08-05,26
2010-08-06,27
2010-08-07,31
2010-08-08,27
2010-08-09,23
2010-08-10,26
2010-08-11,26
2010-08-12,27
2010-08-13,27
2010-08-14,29
2010-08-15,25
2010-08-16,21
2010-08-17,25
2010-08-18,26
2010-08-19,27
2010-08-20,27
2010-08-21,28
2010-08-22,28
2010-08-23,21
2010-08-24,26
2010-08-25,26
2010-08-26,23
2010-08-27,25
2010-08-28,26
2010-08-29,25
2010-08-30,17
2010-08-31,21
2010-09-01,24
2010-09-02,23
2010-09-03,24
2010-09-04,24
2010-09-05,24
2010-09-06,17
2010-09-07,23
2010-09-08,23
2010-09-09,24
2010-09-10,23
2010-09-11,28
2010-09-12,21
2010-09-13,22
2010-09-14,26
2010-09-15,25
2010-09-16,26
2010-09-17,28
2010-09-18,30
2010-09-19,27
2010-09-20,22
2010-09-21,28
2010-09-22,26
2010-09-23,27
2010-09-24,28
2010-09-25,30
2010-09-26,25
2010-09-27,23
2010-09-28,27
2010-09-29,29
2010-09-30,28
2010-10-01,29
2010-10-02,34
2010-10-03,28
2010-10-04,23
2010-10-05,29
2010-10-06,28
2010-10-07,28
2010-10-08,28
2010-10-09,32
2010-10-10,28
2010-10-11,20
2010-10-12,28
2010-10-13,28
2010-10-14,25
2010-10-15,27
2010-10-16,29
2010-10-17,27
2010-10-18,23
2010-10-19,28
2010-10-20,26
2010-10-21,28
2010-10-22,28
2010-10-23,30
2010-10-24,28
2010-10-25,23
2010-10-26,27
2010-10-27,29
2010-10-28,29
2010-10-29,28
2010-10-30,32
2010-10-31,29
2010-11-01,23
2010-11-02,27
2010-11-03,27
2010-11-04,26
2010-11-05,26
2010-11-06,30
2010-11-07,25
2010-11-08,18
2010-11-09,28
2010-11-10,28
2010-11-11,29
2010-11-12,30
2010-11-13,35
2010-11-14,30
2010-11-15,26
2010-11-16,27
2010-11-17,30
2010-11-18,28
2010-11-19,28
2010-11-20,31
2010-11-21,27
2010-11-22,23
2010-11-23,27
2010-11-24,27
2010-11-25,28
2010-11-26,26
2010-11-27,29
2010-11-28,27
2010-11-29,22
2010-11-30,28
2010-12-01,25
2010-12-02,28
2010-12-03,27
2010-12-04,32
2010-12-05,26
2010-12-06,21
2010-12-07,28
2010-12-08,28
2010-12-09,28
2010-12-10,28
2010-12-11,29
2010-12-12,29
2010-12-13,20
2010-12-14,27
2010-12-15,27
2010-12-16,27
2010-12-17,27
2010-12-18,30
2010-12-19,25
2010-12-20,22
2010-12-21,25
2010-12-22,23
2010-12-23,26
2010-12-24,24
2010-12-25,24
2010-12-26,21
2010-12-27,19
2010-12-28,21
2010-12-29,21
2010-12-30,21
2010-12-31,20
2011-01-01,20
2011-01-02,21
2011-01-03,18
2011-01-04,25
2011-01-05,25
2011-01-06,27
2011-01-07,30
2011-01-08,33
2011-01-09,32
2011-01-10,23
2011-01-11,31
2011-01-12,32
2011-01-13,31
2011-01-14,31
2011-01-15,36
2011-01-16,32
2011-01-17,25
2011-01-18,32
2011-01-19,31
2011-01-20,33
2011-01-21,33
2011-01-22,35
2011-01-23,34
2011-01-24,29
2011-01-25,35
2011-01-26,36
2011-01-27,36
2011-01-28,38
2011-01-29,42
2011-01-30,39
2011-01-31,33
2011-02-01,38
2011-02-02,38
2011-02-03,37
2011-02-04,37
2011-02-05,41
2011-02-06,36
2011-02-07,30
2011-02-08,37
2011-02-09,36
2011-02-10,37
2011-02-11,37
2011-02-12,41
2011-02-13,35
2011-02-14,31
2011-02-15,34
2011-02-16,34
2011-02-17,33
2011-02-18,32
2011-02-19,35
2011-02-20,32
2011-02-21,30
2011-02-22,30
2011-02-23,35
2011-02-24,34
2011-02-25,34
2011-02-26,39
2011-02-27,36
2011-02-28,31
2011-03-01,36
2011-03-02,37
2011-03-03,36
2011-03-04,36
2011-03-05,41
2011-03-06,35
2011-03-07,31
2011-03-08,35
2011-03-09,35
2011-03-10,36
2011-03-11,34
2011-03-12,40
2011-03-13,34
2011-03-14,28
2011-03-15,35
2011-03-16,34
2011-03-17,35
2011-03-18,35
2011-03-19,39
2011-03-20,33
2011-03-21,30
2011-03-22,34
2011-03-23,38
2011-03-24,35
2011-03-25,35
2011-03-26,41
2011-03-27,37
2011-03-28,28
2011-03-29,37
2011-03-30,38
2011-03-31,35
2011-04-01,36
2011-04-02,39
2011-04-03,33
2011-04-04,33
2011-04-05,37
2011-04-06,38
2011-04-07,38
2011-04-08,39
2011-04-09,45
2011-04-10,37
2011-04-11,33
2011-04-12,38
2011-04-13,37
2011-04-14,37
2011-04-15,37
2011-04-16,39
2011-04-17,34
2011-04-18,30
2011-04-19,35
2011-04-20,36
