Date,CommScope Holding
2014-01-21,57
2014-01-22,57
2014-01-23,56
2014-01-24,56
2014-01-25,55
2014-01-26,55
2014-01-27,54
2014-01-28,54
2014-01-29,53
2014-01-30,53
2014-01-31,52
2014-02-01,52
