Date,Duff & Phelps
2006-11-01,71
2006-11-02,71
2006-11-03,71
2006-11-04,71
2006-11-05,71
2006-11-06,72
2006-11-07,72
2006-11-08,72
2006-11-09,72
2006-11-10,73
2006-11-11,73
2006-11-12,73
2006-11-13,73
2006-11-14,74
2006-11-15,74
2006-11-16,74
2006-11-17,74
2006-11-18,74
2006-11-19,75
2006-11-20,75
2006-11-21,75
2006-11-22,75
2006-11-23,76
2006-11-24,76
2006-11-25,76
2006-11-26,76
2006-11-27,77
2006-11-28,77
2006-11-29,77
2006-11-30,77
2006-12-01,78
2006-12-02,78
2006-12-03,79
2006-12-04,79
2006-12-05,80
2006-12-06,81
2006-12-07,81
2006-12-08,82
2006-12-09,82
2006-12-10,83
2006-12-11,84
2006-12-12,84
2006-12-13,85
2006-12-14,85
2006-12-15,86
2006-12-16,87
2006-12-17,87
2006-12-18,88
2006-12-19,89
2006-12-20,89
2006-12-21,90
2006-12-22,90
2006-12-23,91
2006-12-24,92
2006-12-25,92
2006-12-26,93
2006-12-27,93
2006-12-28,94
2006-12-29,95
2006-12-30,95
2006-12-31,96
2007-01-01,97
2007-01-02,96
2007-01-03,95
2007-01-04,94
2007-01-05,93
2007-01-06,92
2007-01-07,91
2007-01-08,90
2007-01-09,89
2007-01-10,88
2007-01-11,87
2007-01-12,86
2007-01-13,85
2007-01-14,84
2007-01-15,83
2007-01-16,82
2007-01-17,81
2007-01-18,80
2007-01-19,79
2007-01-20,78
2007-01-21,77
2007-01-22,76
2007-01-23,75
2007-01-24,74
2007-01-25,73
2007-01-26,72
2007-01-27,71
2007-01-28,70
2007-01-29,69
2007-01-30,68
2007-01-31,67
2007-02-01,67
2007-02-02,67
2007-02-03,68
2007-02-04,69
2007-02-05,70
2007-02-06,71
2007-02-07,71
2007-02-08,72
2007-02-09,73
2007-02-10,74
2007-02-11,75
2007-02-12,76
2007-02-13,76
2007-02-14,77
2007-02-15,78
2007-02-16,79
2007-02-17,80
2007-02-18,80
2007-02-19,81
2007-02-20,82
2007-02-21,83
2007-02-22,84
2007-02-23,85
2007-02-24,85
2007-02-25,86
2007-02-26,87
2007-02-27,88
2007-02-28,89
2007-03-01,90
2007-03-02,89
2007-03-03,88
2007-03-04,87
2007-03-05,86
2007-03-06,85
2007-03-07,84
2007-03-08,83
2007-03-09,82
2007-03-10,81
2007-03-11,80
2007-03-12,79
2007-03-13,78
2007-03-14,77
2007-03-15,76
2007-03-16,75
2007-03-17,75
2007-03-18,74
2007-03-19,73
2007-03-20,72
2007-03-21,71
2007-03-22,70
2007-03-23,69
2007-03-24,68
2007-03-25,67
2007-03-26,66
2007-03-27,65
2007-03-28,64
2007-03-29,63
2007-03-30,62
2007-03-31,61
2007-04-01,61
2007-04-02,62
2007-04-03,63
2007-04-04,64
2007-04-05,65
2007-04-06,66
2007-04-07,67
2007-04-08,68
2007-04-09,70
2007-04-10,71
2007-04-11,72
2007-04-12,73
2007-04-13,74
2007-04-14,75
2007-04-15,76
2007-04-16,78
2007-04-17,79
2007-04-18,80
2007-04-19,81
2007-04-20,82
2007-04-21,83
2007-04-22,84
2007-04-23,85
2007-04-24,87
2007-04-25,88
2007-04-26,89
2007-04-27,90
2007-04-28,91
2007-04-29,92
2007-04-30,93
2007-05-01,95
2007-05-02,94
2007-05-03,93
2007-05-04,92
2007-05-05,91
2007-05-06,90
2007-05-07,89
2007-05-08,88
2007-05-09,87
2007-05-10,86
2007-05-11,85
2007-05-12,84
2007-05-13,83
2007-05-14,82
2007-05-15,81
2007-05-16,80
2007-05-17,80
2007-05-18,79
2007-05-19,78
2007-05-20,77
2007-05-21,76
2007-05-22,75
2007-05-23,74
2007-05-24,73
2007-05-25,72
2007-05-26,71
2007-05-27,70
2007-05-28,69
2007-05-29,68
2007-05-30,67
2007-05-31,66
2007-06-01,66
2007-06-02,66
2007-06-03,66
2007-06-04,67
2007-06-05,67
2007-06-06,68
2007-06-07,68
2007-06-08,68
2007-06-09,69
2007-06-10,69
2007-06-11,70
2007-06-12,70
2007-06-13,70
2007-06-14,71
2007-06-15,71
2007-06-16,72
2007-06-17,72
2007-06-18,72
2007-06-19,73
2007-06-20,73
2007-06-21,74
2007-06-22,74
2007-06-23,74
2007-06-24,75
2007-06-25,75
2007-06-26,76
2007-06-27,76
2007-06-28,76
2007-06-29,77
2007-06-30,77
2007-07-01,78
2007-07-02,77
2007-07-03,76
2007-07-04,75
2007-07-05,75
2007-07-06,74
2007-07-07,73
2007-07-08,72
2007-07-09,72
2007-07-10,71
2007-07-11,70
2007-07-12,69
2007-07-13,69
2007-07-14,68
2007-07-15,67
2007-07-16,66
2007-07-17,66
2007-07-18,65
2007-07-19,64
2007-07-20,63
2007-07-21,63
2007-07-22,62
2007-07-23,61
2007-07-24,60
2007-07-25,60
2007-07-26,59
2007-07-27,58
2007-07-28,57
2007-07-29,57
2007-07-30,56
2007-07-31,55
2007-08-01,55
2007-08-02,56
2007-08-03,57
2007-08-04,59
2007-08-05,60
2007-08-06,62
2007-08-07,63
2007-08-08,65
2007-08-09,66
2007-08-10,68
2007-08-11,69
2007-08-12,70
2007-08-13,72
2007-08-14,73
2007-08-15,75
2007-08-16,76
2007-08-17,78
2007-08-18,79
2007-08-19,81
2007-08-20,82
2007-08-21,84
2007-08-22,85
2007-08-23,86
2007-08-24,88
2007-08-25,89
2007-08-26,91
2007-08-27,92
2007-08-28,94
2007-08-29,95
2007-08-30,97
2007-08-31,98
2007-09-01,100
2007-09-02,99
2007-09-03,99
2007-09-04,99
2007-09-05,99
2007-09-06,99
2007-09-07,99
2007-09-08,99
2007-09-09,99
2007-09-10,99
2007-09-11,99
2007-09-12,99
2007-09-13,99
2007-09-14,99
2007-09-15,99
2007-09-16,99
2007-09-17,98
2007-09-18,98
2007-09-19,98
2007-09-20,98
2007-09-21,98
2007-09-22,98
2007-09-23,98
2007-09-24,98
2007-09-25,98
2007-09-26,98
2007-09-27,98
2007-09-28,98
2007-09-29,98
2007-09-30,98
2007-10-01,98
2007-10-02,97
2007-10-03,97
2007-10-04,96
2007-10-05,96
2007-10-06,95
2007-10-07,95
2007-10-08,95
2007-10-09,94
2007-10-10,94
2007-10-11,93
2007-10-12,93
2007-10-13,92
2007-10-14,92
2007-10-15,92
2007-10-16,91
2007-10-17,91
2007-10-18,90
2007-10-19,90
2007-10-20,90
2007-10-21,89
2007-10-22,89
2007-10-23,88
2007-10-24,88
2007-10-25,87
2007-10-26,87
2007-10-27,87
2007-10-28,86
2007-10-29,86
2007-10-30,85
2007-10-31,85
2007-11-01,85
2007-11-02,83
2007-11-03,82
2007-11-04,80
2007-11-05,79
2007-11-06,77
2007-11-07,76
2007-11-08,74
2007-11-09,73
2007-11-10,71
2007-11-11,70
2007-11-12,68
2007-11-13,67
2007-11-14,65
2007-11-15,64
2007-11-16,62
2007-11-17,61
2007-11-18,59
2007-11-19,58
2007-11-20,56
2007-11-21,55
2007-11-22,53
2007-11-23,52
2007-11-24,50
2007-11-25,49
2007-11-26,47
2007-11-27,46
2007-11-28,44
2007-11-29,43
2007-11-30,41
2007-12-01,40
2007-12-02,41
2007-12-03,42
2007-12-04,43
2007-12-05,44
2007-12-06,45
2007-12-07,46
2007-12-08,47
2007-12-09,48
2007-12-10,49
2007-12-11,50
2007-12-12,51
2007-12-13,52
2007-12-14,53
2007-12-15,54
2007-12-16,55
2007-12-17,57
2007-12-18,58
2007-12-19,59
2007-12-20,60
2007-12-21,61
2007-12-22,62
2007-12-23,63
2007-12-24,64
2007-12-25,65
2007-12-26,66
2007-12-27,67
2007-12-28,68
2007-12-29,69
2007-12-30,70
2007-12-31,71
2008-01-01,73
2008-01-02,72
2008-01-03,72
2008-01-04,71
2008-01-05,71
2008-01-06,70
2008-01-07,70
2008-01-08,69
2008-01-09,69
2008-01-10,68
2008-01-11,68
2008-01-12,68
2008-01-13,67
2008-01-14,67
2008-01-15,66
2008-01-16,66
2008-01-17,65
2008-01-18,65
2008-01-19,64
2008-01-20,64
2008-01-21,63
2008-01-22,63
2008-01-23,63
2008-01-24,62
2008-01-25,62
2008-01-26,61
2008-01-27,61
2008-01-28,60
2008-01-29,60
2008-01-30,59
2008-01-31,59
2008-02-01,59
2008-02-02,59
2008-02-03,59
2008-02-04,59
2008-02-05,59
2008-02-06,59
2008-02-07,59
2008-02-08,59
2008-02-09,60
2008-02-10,60
2008-02-11,60
2008-02-12,60
2008-02-13,60
2008-02-14,60
2008-02-15,60
2008-02-16,61
2008-02-17,61
2008-02-18,61
2008-02-19,61
2008-02-20,61
2008-02-21,61
2008-02-22,61
2008-02-23,62
2008-02-24,62
2008-02-25,62
2008-02-26,62
2008-02-27,62
2008-02-28,62
2008-02-29,62
2008-03-01,63
2008-03-02,63
2008-03-03,64
2008-03-04,65
2008-03-05,65
2008-03-06,66
2008-03-07,67
2008-03-08,68
2008-03-09,68
2008-03-10,69
2008-03-11,70
2008-03-12,71
2008-03-13,71
2008-03-14,72
2008-03-15,73
2008-03-16,74
2008-03-17,74
2008-03-18,75
2008-03-19,76
2008-03-20,77
2008-03-21,77
2008-03-22,78
2008-03-23,79
2008-03-24,80
2008-03-25,80
2008-03-26,81
2008-03-27,82
2008-03-28,83
2008-03-29,83
2008-03-30,84
2008-03-31,85
2008-04-01,86
2008-04-02,85
2008-04-03,84
2008-04-04,83
2008-04-05,82
2008-04-06,81
2008-04-07,81
2008-04-08,80
2008-04-09,79
2008-04-10,78
2008-04-11,77
2008-04-12,76
2008-04-13,76
2008-04-14,75
2008-04-15,74
2008-04-16,73
2008-04-17,72
2008-04-18,71
2008-04-19,71
2008-04-20,70
2008-04-21,69
2008-04-22,68
2008-04-23,67
2008-04-24,66
2008-04-25,66
2008-04-26,65
2008-04-27,64
2008-04-28,63
2008-04-29,62
2008-04-30,61
2008-05-01,61
2008-05-02,60
2008-05-03,59
2008-05-04,58
2008-05-05,57
2008-05-06,56
2008-05-07,55
2008-05-08,54
2008-05-09,53
2008-05-10,52
2008-05-11,51
2008-05-12,50
2008-05-13,49
2008-05-14,48
2008-05-15,47
2008-05-16,46
2008-05-17,46
2008-05-18,45
2008-05-19,44
2008-05-20,43
2008-05-21,42
2008-05-22,41
2008-05-23,40
2008-05-24,39
2008-05-25,38
2008-05-26,37
2008-05-27,36
2008-05-28,35
2008-05-29,34
2008-05-30,33
2008-05-31,32
2008-06-01,32
2008-06-02,32
2008-06-03,32
2008-06-04,32
2008-06-05,32
2008-06-06,33
2008-06-07,33
2008-06-08,33
2008-06-09,33
2008-06-10,33
2008-06-11,34
2008-06-12,34
2008-06-13,34
2008-06-14,34
2008-06-15,34
2008-06-16,35
2008-06-17,35
2008-06-18,35
2008-06-19,35
2008-06-20,35
2008-06-21,36
2008-06-22,36
2008-06-23,36
2008-06-24,36
2008-06-25,36
2008-06-26,37
2008-06-27,37
2008-06-28,37
2008-06-29,37
2008-06-30,37
2008-07-01,38
2008-07-02,39
2008-07-03,40
2008-07-04,41
2008-07-05,43
2008-07-06,44
2008-07-07,45
2008-07-08,46
2008-07-09,48
2008-07-10,49
2008-07-11,50
2008-07-12,51
2008-07-13,53
2008-07-14,54
2008-07-15,55
2008-07-16,56
2008-07-17,58
2008-07-18,59
2008-07-19,60
2008-07-20,61
2008-07-21,63
2008-07-22,64
2008-07-23,65
2008-07-24,66
2008-07-25,68
2008-07-26,69
2008-07-27,70
2008-07-28,71
2008-07-29,73
2008-07-30,74
2008-07-31,75
2008-08-01,77
2008-08-02,76
2008-08-03,75
2008-08-04,74
2008-08-05,74
2008-08-06,73
2008-08-07,72
2008-08-08,71
2008-08-09,71
2008-08-10,70
2008-08-11,69
2008-08-12,68
2008-08-13,68
2008-08-14,67
2008-08-15,66
2008-08-16,65
2008-08-17,65
2008-08-18,64
2008-08-19,63
2008-08-20,62
2008-08-21,62
2008-08-22,61
2008-08-23,60
2008-08-24,59
2008-08-25,59
2008-08-26,58
2008-08-27,57
2008-08-28,56
2008-08-29,56
2008-08-30,55
2008-08-31,54
2008-09-01,54
2008-09-02,53
2008-09-03,53
2008-09-04,53
2008-09-05,53
2008-09-06,53
2008-09-07,53
2008-09-08,53
2008-09-09,53
2008-09-10,53
2008-09-11,53
2008-09-12,53
2008-09-13,53
2008-09-14,53
2008-09-15,53
2008-09-16,53
2008-09-17,53
2008-09-18,53
2008-09-19,53
2008-09-20,53
2008-09-21,53
2008-09-22,53
2008-09-23,53
2008-09-24,53
2008-09-25,53
2008-09-26,53
2008-09-27,53
2008-09-28,53
2008-09-29,53
2008-09-30,53
2008-10-01,53
2008-10-02,52
2008-10-03,52
2008-10-04,51
2008-10-05,51
2008-10-06,51
2008-10-07,50
2008-10-08,50
2008-10-09,49
2008-10-10,49
2008-10-11,49
2008-10-12,48
