Date,Linn Co
2011-12-01,0
2011-12-02,2
2011-12-03,5
2011-12-04,7
2011-12-05,10
2011-12-06,12
2011-12-07,15
2011-12-08,17
2011-12-09,20
2011-12-10,22
2011-12-11,25
2011-12-12,28
2011-12-13,30
2011-12-14,33
2011-12-15,35
2011-12-16,38
2011-12-17,40
2011-12-18,43
2011-12-19,45
2011-12-20,48
2011-12-21,50
2011-12-22,53
2011-12-23,56
2011-12-24,58
2011-12-25,61
2011-12-26,63
2011-12-27,66
2011-12-28,68
2011-12-29,71
2011-12-30,73
2011-12-31,76
2012-01-01,79
2012-01-02,79
2012-01-03,79
2012-01-04,80
2012-01-05,80
2012-01-06,81
2012-01-07,81
2012-01-08,82
2012-01-09,82
2012-01-10,83
2012-01-11,83
2012-01-12,83
2012-01-13,84
2012-01-14,84
2012-01-15,85
2012-01-16,85
2012-01-17,86
2012-01-18,86
2012-01-19,87
2012-01-20,87
2012-01-21,88
2012-01-22,88
2012-01-23,88
2012-01-24,89
2012-01-25,89
2012-01-26,90
2012-01-27,90
2012-01-28,91
2012-01-29,91
2012-01-30,92
2012-01-31,92
2012-02-01,93
2012-02-02,92
2012-02-03,91
2012-02-04,91
2012-02-05,90
2012-02-06,90
2012-02-07,89
2012-02-08,89
2012-02-09,88
2012-02-10,88
2012-02-11,87
2012-02-12,86
2012-02-13,86
2012-02-14,85
2012-02-15,85
2012-02-16,84
2012-02-17,84
2012-02-18,83
2012-02-19,83
2012-02-20,82
2012-02-21,81
2012-02-22,81
2012-02-23,80
2012-02-24,80
2012-02-25,79
2012-02-26,79
2012-02-27,78
2012-02-28,78
2012-02-29,77
2012-03-01,77
2012-03-02,76
2012-03-03,76
2012-03-04,76
2012-03-05,76
2012-03-06,75
2012-03-07,75
2012-03-08,75
2012-03-09,75
2012-03-10,74
2012-03-11,74
2012-03-12,74
2012-03-13,74
2012-03-14,74
2012-03-15,73
2012-03-16,73
2012-03-17,73
2012-03-18,73
2012-03-19,72
2012-03-20,72
2012-03-21,72
2012-03-22,72
2012-03-23,72
2012-03-24,71
2012-03-25,71
2012-03-26,71
2012-03-27,71
2012-03-28,70
2012-03-29,70
2012-03-30,70
2012-03-31,70
2012-04-01,70
2012-04-02,69
2012-04-03,68
2012-04-04,68
2012-04-05,67
2012-04-06,66
2012-04-07,66
2012-04-08,65
2012-04-09,64
2012-04-10,64
2012-04-11,63
2012-04-12,63
2012-04-13,62
2012-04-14,61
2012-04-15,61
2012-04-16,60
2012-04-17,59
2012-04-18,59
2012-04-19,58
2012-04-20,57
2012-04-21,57
2012-04-22,56
2012-04-23,56
2012-04-24,55
2012-04-25,54
2012-04-26,54
2012-04-27,53
2012-04-28,52
2012-04-29,52
2012-04-30,51
2012-05-01,51
2012-05-02,51
2012-05-03,52
2012-05-04,52
2012-05-05,53
2012-05-06,53
2012-05-07,54
2012-05-08,55
2012-05-09,55
2012-05-10,56
2012-05-11,56
2012-05-12,57
2012-05-13,57
2012-05-14,58
2012-05-15,59
2012-05-16,59
2012-05-17,60
2012-05-18,60
2012-05-19,61
2012-05-20,62
2012-05-21,62
2012-05-22,63
2012-05-23,63
2012-05-24,64
2012-05-25,64
2012-05-26,65
2012-05-27,66
2012-05-28,66
2012-05-29,67
2012-05-30,67
2012-05-31,68
2012-06-01,69
2012-06-02,69
2012-06-03,70
2012-06-04,70
2012-06-05,71
2012-06-06,71
2012-06-07,72
2012-06-08,72
2012-06-09,73
2012-06-10,74
2012-06-11,74
2012-06-12,75
2012-06-13,75
2012-06-14,76
2012-06-15,76
2012-06-16,77
2012-06-17,78
2012-06-18,78
2012-06-19,79
2012-06-20,79
2012-06-21,80
2012-06-22,80
2012-06-23,81
2012-06-24,82
2012-06-25,82
2012-06-26,83
2012-06-27,83
2012-06-28,84
2012-06-29,84
2012-06-30,85
2012-07-01,86
2012-07-02,85
2012-07-03,85
2012-07-04,85
2012-07-05,85
2012-07-06,85
2012-07-07,85
2012-07-08,85
2012-07-09,84
2012-07-10,84
2012-07-11,84
2012-07-12,84
2012-07-13,84
2012-07-14,84
2012-07-15,84
2012-07-16,84
2012-07-17,83
2012-07-18,83
2012-07-19,83
2012-07-20,83
2012-07-21,83
2012-07-22,83
2012-07-23,83
2012-07-24,83
2012-07-25,82
2012-07-26,82
2012-07-27,82
2012-07-28,82
2012-07-29,82
2012-07-30,82
2012-07-31,82
2012-08-01,82
2012-08-02,82
2012-08-03,82
2012-08-04,82
2012-08-05,82
2012-08-06,82
2012-08-07,82
2012-08-08,82
2012-08-09,83
2012-08-10,83
2012-08-11,83
2012-08-12,83
2012-08-13,83
2012-08-14,83
2012-08-15,83
2012-08-16,83
2012-08-17,84
2012-08-18,84
2012-08-19,84
2012-08-20,84
2012-08-21,84
2012-08-22,84
2012-08-23,84
2012-08-24,84
2012-08-25,85
2012-08-26,85
2012-08-27,85
2012-08-28,85
2012-08-29,85
2012-08-30,85
2012-08-31,85
2012-09-01,86
2012-09-02,86
2012-09-03,86
2012-09-04,87
2012-09-05,87
2012-09-06,88
2012-09-07,88
2012-09-08,89
2012-09-09,89
2012-09-10,90
2012-09-11,90
2012-09-12,91
2012-09-13,91
2012-09-14,92
2012-09-15,92
2012-09-16,93
2012-09-17,93
2012-09-18,93
2012-09-19,94
2012-09-20,94
2012-09-21,95
2012-09-22,95
2012-09-23,96
2012-09-24,96
2012-09-25,97
2012-09-26,97
2012-09-27,98
2012-09-28,98
2012-09-29,99
2012-09-30,99
2012-10-01,100
2012-10-02,99
2012-10-03,98
2012-10-04,97
2012-10-05,96
2012-10-06,95
2012-10-07,94
2012-10-08,93
2012-10-09,92
2012-10-10,91
2012-10-11,90
2012-10-12,89
2012-10-13,88
2012-10-14,87
2012-10-15,86
2012-10-16,85
2012-10-17,84
2012-10-18,83
2012-10-19,82
2012-10-20,81
2012-10-21,80
2012-10-22,79
2012-10-23,78
2012-10-24,77
2012-10-25,76
2012-10-26,75
2012-10-27,74
2012-10-28,73
2012-10-29,72
2012-10-30,71
2012-10-31,70
2012-11-01,70
2012-11-02,69
2012-11-03,69
2012-11-04,69
2012-11-05,69
2012-11-06,69
2012-11-07,69
2012-11-08,69
2012-11-09,69
2012-11-10,69
2012-11-11,69
2012-11-12,69
2012-11-13,69
2012-11-14,69
2012-11-15,69
2012-11-16,69
2012-11-17,69
2012-11-18,69
2012-11-19,69
2012-11-20,69
2012-11-21,69
2012-11-22,69
2012-11-23,69
2012-11-24,69
2012-11-25,69
2012-11-26,69
2012-11-27,69
2012-11-28,69
2012-11-29,69
2012-11-30,69
2012-12-01,69
2012-12-02,68
2012-12-03,67
2012-12-04,66
2012-12-05,66
2012-12-06,65
2012-12-07,64
2012-12-08,64
2012-12-09,63
2012-12-10,62
2012-12-11,61
2012-12-12,61
2012-12-13,60
2012-12-14,59
2012-12-15,59
2012-12-16,58
2012-12-17,57
2012-12-18,56
2012-12-19,56
2012-12-20,55
2012-12-21,54
2012-12-22,54
2012-12-23,53
2012-12-24,52
2012-12-25,51
2012-12-26,51
2012-12-27,50
2012-12-28,49
2012-12-29,49
2012-12-30,48
2012-12-31,47
2013-01-01,47
2013-01-02,47
2013-01-03,48
2013-01-04,49
2013-01-05,50
2013-01-06,51
2013-01-07,52
2013-01-08,53
2013-01-09,54
2013-01-10,55
2013-01-11,56
2013-01-12,57
2013-01-13,58
2013-01-14,59
2013-01-15,60
2013-01-16,61
2013-01-17,62
2013-01-18,63
2013-01-19,64
2013-01-20,65
2013-01-21,66
2013-01-22,67
2013-01-23,68
2013-01-24,69
2013-01-25,70
2013-01-26,71
2013-01-27,72
2013-01-28,73
2013-01-29,74
2013-01-30,75
2013-01-31,76
2013-02-01,77
2013-02-02,76
2013-02-03,76
2013-02-04,75
2013-02-05,75
2013-02-06,75
