Date,Kinder Morgan
2010-05-01,43
2010-05-02,43
2010-05-03,44
2010-05-04,45
2010-05-05,45
2010-05-06,46
2010-05-07,47
2010-05-08,47
2010-05-09,48
2010-05-10,49
2010-05-11,50
2010-05-12,50
2010-05-13,51
2010-05-14,52
2010-05-15,52
2010-05-16,53
2010-05-17,54
2010-05-18,55
2010-05-19,55
2010-05-20,56
2010-05-21,57
2010-05-22,57
2010-05-23,58
2010-05-24,59
2010-05-25,60
2010-05-26,60
2010-05-27,61
2010-05-28,62
2010-05-29,62
2010-05-30,63
2010-05-31,64
2010-06-01,65
2010-06-02,64
2010-06-03,63
2010-06-04,62
2010-06-05,62
2010-06-06,61
2010-06-07,60
2010-06-08,59
2010-06-09,59
2010-06-10,58
2010-06-11,57
2010-06-12,56
2010-06-13,56
2010-06-14,55
2010-06-15,54
2010-06-16,54
2010-06-17,53
2010-06-18,52
2010-06-19,51
2010-06-20,51
2010-06-21,50
2010-06-22,49
2010-06-23,48
2010-06-24,48
2010-06-25,47
2010-06-26,46
2010-06-27,45
2010-06-28,45
2010-06-29,44
2010-06-30,43
2010-07-01,43
2010-07-02,42
2010-07-03,42
2010-07-04,42
2010-07-05,42
2010-07-06,42
2010-07-07,42
2010-07-08,42
2010-07-09,42
2010-07-10,42
2010-07-11,42
2010-07-12,41
2010-07-13,41
2010-07-14,41
2010-07-15,41
2010-07-16,41
2010-07-17,41
2010-07-18,41
2010-07-19,41
2010-07-20,41
2010-07-21,41
2010-07-22,40
2010-07-23,40
2010-07-24,40
2010-07-25,40
2010-07-26,40
2010-07-27,40
2010-07-28,40
2010-07-29,40
2010-07-30,40
2010-07-31,40
2010-08-01,40
2010-08-02,40
2010-08-03,40
2010-08-04,40
2010-08-05,40
2010-08-06,40
2010-08-07,40
2010-08-08,40
2010-08-09,40
2010-08-10,40
2010-08-11,40
2010-08-12,40
2010-08-13,40
2010-08-14,40
2010-08-15,40
2010-08-16,40
2010-08-17,40
2010-08-18,40
2010-08-19,40
2010-08-20,40
2010-08-21,40
2010-08-22,40
2010-08-23,40
2010-08-24,40
2010-08-25,40
2010-08-26,40
2010-08-27,40
2010-08-28,40
2010-08-29,40
2010-08-30,40
2010-08-31,40
2010-09-01,40
2010-09-02,40
2010-09-03,40
2010-09-04,40
2010-09-05,40
2010-09-06,40
2010-09-07,40
2010-09-08,40
2010-09-09,40
2010-09-10,40
2010-09-11,40
2010-09-12,40
2010-09-13,40
2010-09-14,40
2010-09-15,40
2010-09-16,40
2010-09-17,40
2010-09-18,40
2010-09-19,40
2010-09-20,40
2010-09-21,40
2010-09-22,40
2010-09-23,40
2010-09-24,40
2010-09-25,40
2010-09-26,40
2010-09-27,40
2010-09-28,40
2010-09-29,40
2010-09-30,40
2010-10-01,41
2010-10-02,40
2010-10-03,40
