Date,Convergex
2013-11-20,80
2013-11-21,82
2013-11-22,83
2013-11-23,84
2013-11-24,85
2013-11-25,87
2013-11-26,88
2013-11-27,89
2013-11-28,91
2013-11-29,92
2013-11-30,93
2013-12-01,95
2013-12-02,94
2013-12-03,93
2013-12-04,92
2013-12-05,91
2013-12-06,90
2013-12-07,89
2013-12-08,88
2013-12-09,87
2013-12-10,86
2013-12-11,85
2013-12-12,84
2013-12-13,83
2013-12-14,82
2013-12-15,81
2013-12-16,80
2013-12-17,80
2013-12-18,79
2013-12-19,78
2013-12-20,77
2013-12-21,76
2013-12-22,75
2013-12-23,74
2013-12-24,73
2013-12-25,72
2013-12-26,71
2013-12-27,70
2013-12-28,69
2013-12-29,68
2013-12-30,67
2013-12-31,66
2014-01-01,66
2014-01-02,65
2014-01-03,65
2014-01-04,65
2014-01-05,65
2014-01-06,65
2014-01-07,65
2014-01-08,64
2014-01-09,64
2014-01-10,64
2014-01-11,64
2014-01-12,64
2014-01-13,64
2014-01-14,63
2014-01-15,63
2014-01-16,63
2014-01-17,63
2014-01-18,63
2014-01-19,63
2014-01-20,62
2014-01-21,62
2014-01-22,62
2014-01-23,62
2014-01-24,62
2014-01-25,62
2014-01-26,61
2014-01-27,61
2014-01-28,61
2014-01-29,61
2014-01-30,61
2014-01-31,61
2014-02-01,61
