Date,Zynga
2011-01-02,6
2011-01-03,6
2011-01-04,6
2011-01-05,6
2011-01-06,6
2011-01-07,6
2011-01-08,6
2011-01-09,6
2011-01-10,7
2011-01-11,7
2011-01-12,7
2011-01-13,7
2011-01-14,7
2011-01-15,7
2011-01-16,6
2011-01-17,6
2011-01-18,6
2011-01-19,6
2011-01-20,6
2011-01-21,6
2011-01-22,6
2011-01-23,5
2011-01-24,5
2011-01-25,5
2011-01-26,4
2011-01-27,4
2011-01-28,4
2011-01-29,3
2011-01-30,4
2011-01-31,4
2011-02-01,4
2011-02-02,4
2011-02-03,4
2011-02-04,4
2011-02-05,5
2011-02-06,5
2011-02-07,5
2011-02-08,5
2011-02-09,5
2011-02-10,5
2011-02-11,5
2011-02-12,5
2011-02-13,6
2011-02-14,6
2011-02-15,6
2011-02-16,7
2011-02-17,7
2011-02-18,7
2011-02-19,8
2011-02-20,7
2011-02-21,7
2011-02-22,7
2011-02-23,6
2011-02-24,6
2011-02-25,6
2011-02-26,6
2011-02-27,6
2011-02-28,6
2011-03-01,6
2011-03-02,6
2011-03-03,6
2011-03-04,6
2011-03-05,6
2011-03-06,6
2011-03-07,6
2011-03-08,6
2011-03-09,6
2011-03-10,6
2011-03-11,6
2011-03-12,6
2011-03-13,5
2011-03-14,5
2011-03-15,5
2011-03-16,4
2011-03-17,4
2011-03-18,4
2011-03-19,4
2011-03-20,4
2011-03-21,3
2011-03-22,3
2011-03-23,3
2011-03-24,3
2011-03-25,3
2011-03-26,3
2011-03-27,4
2011-04-03,9
2011-04-04,9
2011-04-05,9
2011-04-06,8
2011-04-07,8
2011-04-08,8
2011-04-09,7
2011-04-10,7
2011-04-11,7
2011-04-12,7
2011-04-13,7
2011-04-14,7
2011-04-15,7
2011-04-16,7
2011-04-17,6
2011-04-18,6
2011-04-19,6
2011-04-20,6
2011-04-21,6
2011-04-22,6
2011-04-23,6
2011-04-24,6
2011-04-25,6
2011-04-26,6
2011-04-27,6
2011-04-28,6
2011-04-29,6
2011-04-30,7
2011-05-01,6
2011-05-02,6
2011-05-03,6
2011-05-04,5
2011-05-05,5
2011-05-06,5
2011-05-07,5
2011-05-08,5
2011-05-09,5
2011-05-10,5
2011-05-11,5
2011-05-12,5
2011-05-13,5
2011-05-14,5
2011-05-15,6
2011-05-16,6
2011-05-17,6
2011-05-18,6
2011-05-19,6
2011-05-20,6
2011-05-21,6
2011-05-22,7
2011-05-23,8
2011-05-24,8
2011-05-25,9
2011-05-26,9
2011-05-27,10
2011-05-28,11
2011-05-29,10
2011-05-30,10
2011-05-31,10
2011-06-01,10
2011-06-02,10
2011-06-03,10
2011-06-04,10
2011-06-05,9
2011-06-06,9
2011-06-07,9
2011-06-08,9
2011-06-09,9
2011-06-10,9
2011-06-11,8
2011-06-12,9
2011-06-13,9
2011-06-14,9
2011-06-15,10
2011-06-16,10
2011-06-17,10
2011-06-18,11
2011-06-19,10
2011-06-20,9
2011-06-21,9
2011-06-22,9
2011-06-23,9
2011-06-24,9
2011-06-25,8
2011-06-26,11
2011-07-03,29
2011-07-04,28
2011-07-05,28
2011-07-06,27
2011-07-07,26
2011-07-08,25
2011-07-09,25
2011-07-10,23
2011-07-11,22
2011-07-12,21
2011-07-13,19
2011-07-14,18
2011-07-15,17
2011-07-16,16
2011-07-17,15
2011-07-18,15
2011-07-19,15
2011-07-20,14
2011-07-21,14
2011-07-22,14
2011-07-23,14
2011-07-24,13
2011-07-25,13
2011-07-26,12
2011-07-27,12
2011-07-28,11
2011-07-29,11
2011-07-30,11
2011-07-31,10
2011-08-01,10
2011-08-02,10
2011-08-03,9
2011-08-04,9
2011-08-05,9
2011-08-06,9
2011-08-07,8
2011-08-08,8
2011-08-09,8
2011-08-10,7
2011-08-11,7
2011-08-12,7
2011-08-13,6
2011-08-14,6
2011-08-15,6
2011-08-16,6
2011-08-17,6
2011-08-18,6
2011-08-19,6
2011-08-20,6
2011-08-21,5
2011-08-22,5
2011-08-23,5
2011-08-24,5
2011-08-25,5
2011-08-26,5
2011-08-27,5
2011-08-28,5
2011-08-29,4
2011-08-30,4
2011-08-31,4
2011-09-01,4
2011-09-02,4
2011-09-03,4
2011-09-04,5
2011-09-05,5
2011-09-06,6
2011-09-07,6
2011-09-08,7
2011-09-09,7
2011-09-10,8
2011-09-11,8
2011-09-12,7
2011-09-13,7
2011-09-14,7
2011-09-15,7
2011-09-16,7
2011-09-17,7
2011-09-18,7
2011-09-19,8
2011-09-20,8
2011-09-21,8
2011-09-22,8
2011-09-23,8
2011-09-24,8
2011-09-25,7
2011-10-02,6
2011-10-03,6
2011-10-04,5
2011-10-05,5
2011-10-06,4
2011-10-07,4
2011-10-08,3
2011-10-09,4
2011-10-10,4
2011-10-11,5
2011-10-12,5
2011-10-13,6
2011-10-14,6
2011-10-15,6
2011-10-16,6
2011-10-17,6
2011-10-18,6
2011-10-19,6
2011-10-20,6
2011-10-21,6
2011-10-22,6
2011-10-23,6
2011-10-24,6
2011-10-25,6
2011-10-26,7
2011-10-27,7
2011-10-28,7
2011-10-29,7
2011-10-30,7
2011-10-31,7
2011-11-01,7
2011-11-02,7
2011-11-03,7
2011-11-04,7
2011-11-05,7
2011-11-06,8
2011-11-07,10
2011-11-08,11
2011-11-09,12
2011-11-10,13
2011-11-11,14
2011-11-12,15
2011-11-13,14
2011-11-14,13
2011-11-15,13
2011-11-16,12
2011-11-17,12
2011-11-18,11
2011-11-19,11
2011-11-20,10
2011-11-21,9
2011-11-22,9
2011-11-23,8
2011-11-24,8
2011-11-25,7
2011-11-26,6
2011-11-27,8
2011-11-28,9
2011-11-29,11
2011-11-30,12
2011-12-01,14
2011-12-02,15
2011-12-03,16
2011-12-04,17
2011-12-05,15
2011-12-06,16
2011-12-07,16
2011-12-08,17
2011-12-09,17
2011-12-10,17
2011-12-11,28
2011-12-12,41
2011-12-13,53
2011-12-14,65
2011-12-15,77
2011-12-16,89
2011-12-17,101
2011-12-18,97
2011-12-19,93
2011-12-20,89
2011-12-21,85
2011-12-22,80
2011-12-23,76
2011-12-24,72
2011-12-25,66
2012-01-01,24
2012-01-02,23
2012-01-03,22
2012-01-04,20
2012-01-05,20
2012-01-06,18
2012-01-07,16
2012-01-08,16
2012-01-09,17
2012-01-10,19
2012-01-11,18
2012-01-12,18
2012-01-13,20
2012-01-14,17
2012-01-15,19
2012-01-16,21
2012-01-17,23
2012-01-18,30
2012-01-19,30
2012-01-20,25
2012-01-21,31
2012-01-22,31
2012-01-23,29
2012-01-24,27
2012-01-25,28
2012-01-26,23
2012-01-27,26
2012-01-28,23
2012-01-29,27
2012-01-30,32
2012-01-31,35
