Date,Hyperion
2011-10-02,63
2011-10-03,64
2011-10-04,64
2011-10-05,65
2011-10-06,65
2011-10-07,66
2011-10-08,66
2011-10-09,63
2011-10-10,59
2011-10-11,57
2011-10-12,54
2011-10-13,51
2011-10-14,49
2011-10-15,46
2011-10-16,54
2011-10-17,62
2011-10-18,69
2011-10-19,77
2011-10-20,85
2011-10-21,92
2011-10-22,100
2011-10-23,94
2011-10-24,88
2011-10-25,82
2011-10-26,76
2011-10-27,71
2011-10-28,65
2011-10-29,59
2011-10-30,59
2011-10-31,59
2011-11-01,59
2011-11-02,59
2011-11-03,59
2011-11-04,59
2011-11-05,59
2011-11-06,59
2011-11-07,60
2011-11-08,60
2011-11-09,60
2011-11-10,60
2011-11-11,60
2011-11-12,60
2011-11-13,58
2011-11-14,54
2011-11-15,52
2011-11-16,49
2011-11-17,47
2011-11-18,44
2011-11-19,42
2011-11-20,42
2011-11-21,42
2011-11-22,42
2011-11-23,42
2011-11-24,42
2011-11-25,42
2011-11-26,42
2011-11-27,45
2011-11-28,48
2011-11-29,51
2011-11-30,54
2011-12-01,57
2011-12-02,60
2011-12-03,63
2011-12-04,61
2011-12-05,60
2011-12-06,59
2011-12-07,57
2011-12-08,56
2011-12-09,55
2011-12-10,55
2011-12-11,51
2011-12-12,52
2011-12-13,54
2011-12-14,55
2011-12-15,57
2011-12-16,58
2011-12-17,60
2011-12-18,61
2011-12-19,62
2011-12-20,64
2011-12-21,65
2011-12-22,67
2011-12-23,68
2011-12-24,70
2011-12-25,71
2012-01-01,81
2012-01-02,99
2012-01-03,71
2012-01-04,78
2012-01-05,81
2012-01-06,83
2012-01-07,85
2012-01-08,87
2012-01-09,92
2012-01-10,94
2012-01-11,95
2012-01-12,97
2012-01-13,98
2012-01-14,100
2012-01-15,95
2012-01-16,89
2012-01-17,84
2012-01-18,78
2012-01-19,73
2012-01-20,68
2012-01-21,63
2012-01-22,60
2012-01-23,55
2012-01-24,51
2012-01-25,48
2012-01-26,45
2012-01-27,41
2012-01-28,38
2012-01-29,38
2012-01-30,39
2012-01-31,39
2012-02-01,39
2012-02-02,39
2012-02-03,39
2012-02-04,39
2012-02-05,39
2012-02-06,38
2012-02-07,38
2012-02-08,38
2012-02-09,38
2012-02-10,38
2012-02-11,38
2012-02-12,43
2012-02-13,49
2012-02-14,55
2012-02-15,61
2012-02-16,66
2012-02-17,72
2012-02-18,78
2012-02-19,74
2012-02-20,68
2012-02-21,64
2012-02-22,61
2012-02-23,57
2012-02-24,53
2012-02-25,50
2012-02-26,51
2012-02-27,55
2012-02-28,57
2012-02-29,58
2012-03-01,60
2012-03-02,62
2012-03-03,64
2012-03-04,64
2012-03-05,61
2012-03-06,61
2012-03-07,60
2012-03-08,60
2012-03-09,59
2012-03-10,59
2012-03-11,56
2012-03-12,53
2012-03-13,50
2012-03-14,47
2012-03-15,44
2012-03-16,41
2012-03-17,39
2012-03-18,39
2012-03-19,38
2012-03-20,38
2012-03-21,38
2012-03-22,38
2012-03-23,38
2012-03-24,38
2012-03-25,44
2012-04-01,78
2012-04-02,74
2012-04-03,71
2012-04-04,67
2012-04-05,63
2012-04-06,60
2012-04-07,56
2012-04-08,57
2012-04-09,57
2012-04-10,57
2012-04-11,58
2012-04-12,59
2012-04-13,59
2012-04-14,60
2012-04-15,61
2012-04-16,61
2012-04-17,62
2012-04-18,63
2012-04-19,63
2012-04-20,64
2012-04-21,64
2012-04-22,65
2012-04-23,66
2012-04-24,67
2012-04-25,67
2012-04-26,68
2012-04-27,69
2012-04-28,69
2012-04-29,66
2012-04-30,62
2012-05-01,58
2012-05-02,55
2012-05-03,51
2012-05-04,48
2012-05-05,45
2012-05-06,45
2012-05-07,44
2012-05-08,44
2012-05-09,44
2012-05-10,44
2012-05-11,44
2012-05-12,44
2012-05-13,45
2012-05-14,46
2012-05-15,47
2012-05-16,48
2012-05-17,48
2012-05-18,49
2012-05-19,50
2012-05-20,49
2012-05-21,47
2012-05-22,46
2012-05-23,45
2012-05-24,44
2012-05-25,43
2012-05-26,42
2012-05-27,44
2012-05-28,47
2012-05-29,49
2012-05-30,51
2012-05-31,53
2012-06-01,56
2012-06-02,58
2012-06-03,56
2012-06-04,54
2012-06-05,52
2012-06-06,50
2012-06-07,48
2012-06-08,46
