Date,Silvercrest
2012-03-01,50
2012-03-02,50
2012-03-03,51
2012-03-04,52
2012-03-05,53
2012-03-06,53
2012-03-07,54
2012-03-08,55
2012-03-09,56
2012-03-10,56
2012-03-11,57
2012-03-12,58
2012-03-13,59
2012-03-14,60
2012-03-15,60
2012-03-16,61
2012-03-17,62
2012-03-18,63
2012-03-19,63
2012-03-20,64
2012-03-21,65
2012-03-22,66
2012-03-23,67
2012-03-24,67
2012-03-25,68
2012-03-26,69
2012-03-27,70
2012-03-28,70
2012-03-29,71
2012-03-30,72
2012-03-31,73
2012-04-01,74
2012-04-02,73
2012-04-03,72
2012-04-04,71
2012-04-05,70
2012-04-06,69
2012-04-07,69
2012-04-08,68
2012-04-09,67
2012-04-10,66
2012-04-11,65
2012-04-12,64
2012-04-13,64
2012-04-14,63
2012-04-15,62
2012-04-16,61
2012-04-17,60
2012-04-18,59
2012-04-19,59
2012-04-20,58
2012-04-21,57
2012-04-22,56
2012-04-23,55
2012-04-24,54
2012-04-25,54
2012-04-26,53
2012-04-27,52
2012-04-28,51
2012-04-29,50
2012-04-30,49
2012-05-01,49
2012-05-02,49
2012-05-03,50
2012-05-04,51
2012-05-05,52
2012-05-06,53
2012-05-07,54
2012-05-08,55
2012-05-09,56
2012-05-10,57
2012-05-11,58
2012-05-12,59
2012-05-13,60
2012-05-14,61
2012-05-15,62
2012-05-16,63
2012-05-17,63
2012-05-18,64
2012-05-19,65
2012-05-20,66
2012-05-21,67
2012-05-22,68
2012-05-23,69
2012-05-24,70
2012-05-25,71
2012-05-26,72
2012-05-27,73
2012-05-28,74
2012-05-29,75
2012-05-30,76
2012-05-31,77
2012-06-01,78
2012-06-02,77
2012-06-03,77
2012-06-04,76
2012-06-05,76
2012-06-06,75
2012-06-07,75
2012-06-08,74
2012-06-09,74
2012-06-10,73
2012-06-11,73
2012-06-12,72
2012-06-13,72
2012-06-14,71
2012-06-15,71
2012-06-16,71
2012-06-17,70
2012-06-18,70
2012-06-19,69
2012-06-20,69
2012-06-21,68
2012-06-22,68
2012-06-23,67
2012-06-24,67
2012-06-25,66
2012-06-26,66
2012-06-27,65
2012-06-28,65
2012-06-29,64
2012-06-30,64
2012-07-01,64
2012-07-02,64
2012-07-03,64
2012-07-04,64
2012-07-05,64
2012-07-06,64
2012-07-07,64
2012-07-08,64
2012-07-09,64
2012-07-10,64
2012-07-11,64
2012-07-12,65
2012-07-13,65
2012-07-14,65
2012-07-15,65
2012-07-16,65
2012-07-17,65
2012-07-18,65
2012-07-19,65
2012-07-20,65
2012-07-21,65
2012-07-22,66
2012-07-23,66
2012-07-24,66
2012-07-25,66
2012-07-26,66
2012-07-27,66
2012-07-28,66
2012-07-29,66
2012-07-30,66
2012-07-31,66
2012-08-01,67
2012-08-02,67
2012-08-03,68
2012-08-04,68
2012-08-05,69
2012-08-06,69
2012-08-07,70
2012-08-08,71
2012-08-09,71
2012-08-10,72
2012-08-11,72
2012-08-12,73
2012-08-13,73
2012-08-14,74
2012-08-15,75
2012-08-16,75
2012-08-17,76
2012-08-18,76
2012-08-19,77
2012-08-20,78
2012-08-21,78
2012-08-22,79
2012-08-23,79
2012-08-24,80
2012-08-25,80
2012-08-26,81
2012-08-27,82
2012-08-28,82
2012-08-29,83
2012-08-30,83
2012-08-31,84
2012-09-01,85
2012-09-02,84
2012-09-03,84
2012-09-04,84
2012-09-05,83
2012-09-06,83
2012-09-07,83
2012-09-08,83
2012-09-09,82
2012-09-10,82
2012-09-11,82
2012-09-12,82
2012-09-13,81
2012-09-14,81
2012-09-15,81
2012-09-16,81
2012-09-17,80
2012-09-18,80
2012-09-19,80
2012-09-20,79
2012-09-21,79
2012-09-22,79
2012-09-23,79
2012-09-24,78
2012-09-25,78
2012-09-26,78
2012-09-27,78
2012-09-28,77
2012-09-29,77
2012-09-30,77
2012-10-01,77
2012-10-02,76
2012-10-03,76
2012-10-04,75
2012-10-05,75
2012-10-06,75
2012-10-07,74
2012-10-08,74
2012-10-09,73
2012-10-10,73
2012-10-11,73
2012-10-12,72
2012-10-13,72
2012-10-14,71
2012-10-15,71
2012-10-16,71
2012-10-17,70
2012-10-18,70
2012-10-19,70
2012-10-20,69
2012-10-21,69
2012-10-22,68
2012-10-23,68
2012-10-24,68
2012-10-25,67
2012-10-26,67
2012-10-27,66
2012-10-28,66
2012-10-29,66
2012-10-30,65
2012-10-31,65
2012-11-01,65
2012-11-02,65
2012-11-03,66
2012-11-04,66
2012-11-05,67
2012-11-06,67
2012-11-07,68
2012-11-08,68
2012-11-09,69
2012-11-10,69
2012-11-11,70
2012-11-12,70
2012-11-13,71
2012-11-14,71
2012-11-15,72
2012-11-16,73
2012-11-17,73
2012-11-18,74
2012-11-19,74
2012-11-20,75
2012-11-21,75
2012-11-22,76
2012-11-23,76
2012-11-24,77
2012-11-25,77
2012-11-26,78
2012-11-27,78
2012-11-28,79
2012-11-29,79
2012-11-30,80
2012-12-01,81
2012-12-02,81
2012-12-03,82
2012-12-04,82
2012-12-05,83
2012-12-06,83
2012-12-07,84
2012-12-08,85
2012-12-09,85
2012-12-10,86
2012-12-11,86
2012-12-12,87
2012-12-13,87
2012-12-14,88
2012-12-15,89
2012-12-16,89
2012-12-17,90
2012-12-18,90
2012-12-19,91
2012-12-20,92
2012-12-21,92
2012-12-22,93
2012-12-23,93
2012-12-24,94
2012-12-25,94
2012-12-26,95
2012-12-27,96
2012-12-28,96
2012-12-29,97
2012-12-30,97
2012-12-31,98
2013-01-01,99
2013-01-02,98
2013-01-03,98
2013-01-04,98
2013-01-05,98
2013-01-06,98
2013-01-07,98
2013-01-08,98
2013-01-09,98
2013-01-10,98
2013-01-11,98
2013-01-12,98
2013-01-13,98
2013-01-14,98
2013-01-15,98
2013-01-16,98
2013-01-17,97
2013-01-18,97
2013-01-19,97
2013-01-20,97
2013-01-21,97
2013-01-22,97
2013-01-23,97
2013-01-24,97
2013-01-25,97
2013-01-26,97
2013-01-27,97
2013-01-28,97
2013-01-29,97
2013-01-30,97
2013-01-31,97
2013-02-01,97
2013-02-02,95
2013-02-03,94
2013-02-04,93
2013-02-05,92
2013-02-06,90
2013-02-07,89
2013-02-08,88
2013-02-09,87
2013-02-10,85
2013-02-11,84
2013-02-12,83
2013-02-13,82
2013-02-14,80
2013-02-15,79
2013-02-16,78
2013-02-17,77
2013-02-18,75
2013-02-19,74
2013-02-20,73
2013-02-21,72
2013-02-22,70
2013-02-23,69
2013-02-24,68
2013-02-25,67
2013-02-26,65
2013-02-27,64
2013-02-28,63
2013-03-01,62
2013-03-02,61
2013-03-03,61
2013-03-04,61
2013-03-05,61
2013-03-06,61
2013-03-07,61
2013-03-08,61
2013-03-09,60
2013-03-10,60
2013-03-11,60
2013-03-12,60
2013-03-13,60
2013-03-14,60
2013-03-15,60
2013-03-16,60
2013-03-17,59
2013-03-18,59
2013-03-19,59
2013-03-20,59
2013-03-21,59
2013-03-22,59
2013-03-23,59
2013-03-24,59
2013-03-25,58
2013-03-26,58
2013-03-27,58
2013-03-28,58
2013-03-29,58
2013-03-30,58
2013-03-31,58
2013-04-01,58
2013-04-02,57
2013-04-03,57
2013-04-04,57
2013-04-05,57
2013-04-06,57
2013-04-07,57
2013-04-08,57
2013-04-09,56
2013-04-10,56
2013-04-11,56
2013-04-12,56
2013-04-13,56
2013-04-14,56
2013-04-15,56
2013-04-16,56
2013-04-17,55
2013-04-18,55
2013-04-19,55
2013-04-20,55
2013-04-21,55
2013-04-22,55
2013-04-23,55
2013-04-24,54
2013-04-25,54
2013-04-26,54
2013-04-27,54
2013-04-28,54
2013-04-29,54
2013-04-30,54
2013-05-01,54
2013-05-02,55
2013-05-03,56
2013-05-04,58
2013-05-05,59
2013-05-06,61
2013-05-07,62
2013-05-08,64
2013-05-09,65
2013-05-10,67
2013-05-11,68
2013-05-12,70
2013-05-13,71
2013-05-14,73
2013-05-15,74
2013-05-16,76
2013-05-17,77
2013-05-18,79
2013-05-19,80
2013-05-20,82
2013-05-21,83
2013-05-22,85
2013-05-23,86
2013-05-24,88
2013-05-25,89
2013-05-26,91
2013-05-27,92
2013-05-28,94
2013-05-29,95
2013-05-30,97
2013-05-31,98
2013-06-02,99
2013-06-03,122
2013-06-04,83
2013-06-05,89
2013-06-06,90
2013-06-07,91
2013-06-08,91
2013-06-09,90
2013-06-10,92
2013-06-11,92
2013-06-12,91
2013-06-13,90
2013-06-14,89
2013-06-15,88
2013-06-16,88
2013-06-17,87
2013-06-18,86
2013-06-19,85
2013-06-20,84
2013-06-21,84
2013-06-22,83
2013-06-23,82
2013-06-24,81
2013-06-25,80
2013-06-26,79
2013-06-27,78
2013-06-28,78
2013-06-29,77
2013-06-30,76
2013-07-01,75
2013-07-02,76
2013-07-03,76
2013-07-04,77
2013-07-05,78
2013-07-06,78
2013-07-07,79
2013-07-08,79
2013-07-09,80
2013-07-10,80
2013-07-11,81
2013-07-12,82
2013-07-13,82
2013-07-14,83
2013-07-15,84
2013-07-16,85
2013-07-17,86
2013-07-18,86
2013-07-19,87
2013-07-20,88
2013-07-21,88
2013-07-22,88
2013-07-23,88
2013-07-24,89
2013-07-25,89
2013-07-26,90
2013-07-27,91
2013-07-28,91
2013-07-29,92
2013-07-30,92
2013-07-31,93
2013-08-01,94
2013-08-02,93
2013-08-03,92
2013-08-04,92
2013-08-05,91
2013-08-06,90
2013-08-07,90
2013-08-08,89
2013-08-09,88
2013-08-10,88
2013-08-11,87
2013-08-12,89
2013-08-13,89
2013-08-14,88
2013-08-15,89
2013-08-16,90
2013-08-17,92
2013-08-18,83
2013-08-19,82
2013-08-20,81
2013-08-21,81
2013-08-22,80
2013-08-23,79
2013-08-24,79
2013-08-25,78
2013-09-01,74
2013-09-02,86
2013-09-03,63
2013-09-04,67
2013-09-05,69
2013-09-06,70
2013-09-07,71
2013-09-08,71
2013-09-09,74
2013-09-10,74
2013-09-11,74
2013-09-12,74
2013-09-13,74
2013-09-14,74
2013-09-15,74
2013-09-16,73
2013-09-17,73
2013-09-18,73
2013-09-19,73
2013-09-20,73
2013-09-21,73
2013-09-22,73
2013-09-23,73
2013-09-24,73
2013-09-25,73
2013-09-26,73
2013-09-27,73
2013-09-28,73
2013-09-29,73
2013-09-30,73
2013-10-01,73
2013-10-02,73
2013-10-03,74
2013-10-04,75
2013-10-05,75
2013-10-06,76
2013-10-07,77
2013-10-08,78
2013-10-09,78
2013-10-10,79
2013-10-11,80
2013-10-12,81
2013-10-13,81
2013-10-14,82
2013-10-15,83
2013-10-16,84
2013-10-17,84
2013-10-18,85
2013-10-19,86
2013-10-20,87
2013-10-21,87
2013-10-22,88
2013-10-23,89
2013-10-24,90
2013-10-25,90
2013-10-26,91
2013-10-27,92
2013-10-28,95
2013-10-29,96
2013-10-30,98
2013-10-31,99
2013-11-01,102
2013-11-02,105
2013-11-03,94
2013-11-04,94
2013-11-05,93
2013-11-06,92
2013-11-07,92
2013-11-08,91
2013-11-09,90
2013-11-10,90
2013-11-11,89
2013-11-12,89
2013-11-13,88
2013-11-14,87
2013-11-15,87
2013-11-16,86
2013-11-17,85
2013-11-18,85
2013-11-19,84
2013-11-20,83
2013-11-21,83
2013-11-22,82
2013-11-23,82
2013-11-24,81
2013-12-01,77
2013-12-02,76
2013-12-03,75
2013-12-04,74
2013-12-05,73
2013-12-06,72
2013-12-07,71
2013-12-08,70
2013-12-09,70
2013-12-10,69
2013-12-11,68
2013-12-12,67
2013-12-13,66
2013-12-14,65
2013-12-15,64
2013-12-16,63
2013-12-17,63
2013-12-18,62
2013-12-19,61
2013-12-20,60
2013-12-21,59
2013-12-22,58
2013-12-23,57
2013-12-24,56
2013-12-25,56
2013-12-26,55
2013-12-27,54
2013-12-28,53
2013-12-29,52
2013-12-30,51
2013-12-31,50
2014-01-01,50
2014-01-02,51
2014-01-03,52
2014-01-04,54
2014-01-05,55
2014-01-06,57
2014-01-07,58
2014-01-08,60
2014-01-09,61
2014-01-10,63
2014-01-11,64
2014-01-12,65
2014-01-13,67
2014-01-14,68
2014-01-15,70
2014-01-16,71
2014-01-17,73
2014-01-18,74
