Date,Yelp!
2011-05-07,42
2011-05-08,43
2011-05-09,43
2011-05-10,43
2011-05-11,44
2011-05-12,46
2011-05-13,43
2011-05-14,43
2011-05-15,44
2011-05-16,46
2011-05-17,53
2011-05-18,49
2011-05-19,50
2011-05-20,51
2011-05-21,52
2011-05-22,51
2011-05-23,50
2011-05-24,50
2011-05-25,49
2011-05-26,48
2011-05-27,47
2011-05-28,46
2011-05-29,44
2011-05-30,43
2011-05-31,41
2011-06-01,40
2011-06-02,39
2011-06-03,40
2011-06-04,38
2011-06-05,38
2011-06-06,38
2011-06-07,38
2011-06-08,36
2011-06-09,38
2011-06-10,38
2011-06-11,38
2011-06-12,37
2011-06-13,36
2011-06-14,35
2011-06-15,34
2011-06-16,33
2011-06-17,32
2011-06-18,32
2011-06-19,33
2011-06-20,35
2011-06-21,37
2011-06-22,39
2011-06-23,42
2011-06-24,43
2011-06-25,44
2011-06-26,44
2011-06-27,45
2011-06-28,44
2011-06-29,48
2011-06-30,45
2011-07-01,45
2011-07-02,45
2011-07-03,46
2011-07-04,46
2011-07-05,46
2011-07-06,47
2011-07-07,46
2011-07-08,47
2011-07-09,48
2011-07-10,47
2011-07-11,46
2011-07-12,45
2011-07-13,44
2011-07-14,43
2011-07-15,42
2011-07-16,41
2011-07-17,42
2011-07-18,43
2011-07-19,44
2011-07-20,44
2011-07-21,45
2011-07-22,46
2011-07-23,47
2011-07-24,47
2011-07-25,46
2011-07-26,45
2011-07-27,45
2011-07-28,45
2011-07-29,44
2011-07-30,44
2011-07-31,45
2011-08-01,46
2011-08-02,46
2011-08-03,49
2011-08-04,51
2011-08-05,52
2011-08-06,53
2011-08-07,56
2011-08-08,52
2011-08-09,46
2011-08-10,53
2011-08-11,53
2011-08-12,50
2011-08-13,49
2011-08-14,50
2011-08-15,51
2011-08-16,49
2011-08-17,54
2011-08-18,55
2011-08-19,55
2011-08-20,56
2011-08-21,54
2011-08-22,51
2011-08-23,56
2011-08-24,50
2011-08-25,46
2011-08-26,50
2011-08-27,47
2011-08-28,47
2011-08-29,48
2011-08-30,47
2011-08-31,50
2011-09-01,48
2011-09-02,49
2011-09-03,50
2011-09-04,50
2011-09-05,50
2011-09-06,49
2011-09-07,49
2011-09-08,51
2011-09-09,53
2011-09-10,48
2011-09-11,49
2011-09-12,49
2011-09-13,49
2011-09-14,51
2011-09-15,51
2011-09-16,53
2011-09-17,51
2011-09-18,49
2011-09-19,48
2011-09-20,47
2011-09-21,44
2011-09-22,45
2011-09-23,44
2011-09-24,43
2011-09-25,43
2011-09-26,44
2011-09-27,44
2011-09-28,45
2011-09-29,42
2011-09-30,51
2011-10-01,44
2011-10-02,50
2011-10-03,49
2011-10-04,49
2011-10-05,45
2011-10-06,55
2011-10-07,51
2011-10-08,51
2011-10-09,51
2011-10-10,51
2011-10-11,51
2011-10-12,50
2011-10-13,50
2011-10-14,50
2011-10-15,50
2011-10-16,55
2011-10-17,48
2011-10-18,56
2011-10-19,55
2011-10-20,55
2011-10-21,56
2011-10-22,57
2011-10-23,61
2011-10-24,56
2011-10-25,56
2011-10-26,53
2011-10-27,52
2011-10-28,52
2011-10-29,53
2011-10-30,50
2011-10-31,48
2011-11-01,46
2011-11-02,43
2011-11-03,41
2011-11-04,39
2011-11-05,36
2011-11-06,39
2011-11-07,46
2011-11-08,43
2011-11-09,46
2011-11-10,57
2011-11-11,51
2011-11-12,56
2011-11-13,57
2011-11-14,54
2011-11-15,53
2011-11-16,53
2011-11-17,49
2011-11-18,44
2011-11-19,51
2011-11-20,48
2011-11-21,48
2011-11-22,44
2011-11-23,53
2011-11-24,50
2011-11-25,50
2011-11-26,51
2011-11-27,49
2011-11-28,50
2011-11-29,47
2011-11-30,43
2011-12-01,43
2011-12-02,45
2011-12-03,41
2011-12-04,43
2011-12-05,44
2011-12-06,43
2011-12-07,52
2011-12-08,50
2011-12-09,51
2011-12-10,54
2011-12-11,52
2011-12-12,50
2011-12-13,46
2011-12-14,44
2011-12-15,45
2011-12-16,42
2011-12-17,40
2011-12-18,39
2011-12-19,38
2011-12-20,37
2011-12-21,36
2011-12-22,35
2011-12-23,34
2011-12-24,34
2011-12-25,36
2011-12-26,38
2011-12-27,40
2011-12-28,41
2011-12-29,43
2011-12-30,47
2011-12-31,49
2012-01-01,49
2012-01-02,49
2012-01-03,52
2012-01-04,47
2012-01-05,47
2012-01-06,54
2012-01-07,51
2012-01-08,50
2012-01-09,48
2012-01-10,51
2012-01-11,49
2012-01-12,48
2012-01-13,47
2012-01-14,47
2012-01-15,48
2012-01-16,46
2012-01-17,46
2012-01-18,49
2012-01-19,48
2012-01-20,51
2012-01-21,50
2012-01-22,49
2012-01-23,49
2012-01-24,47
2012-01-25,48
2012-01-26,53
2012-01-27,49
2012-01-28,52
2012-01-29,51
2012-01-30,51
2012-01-31,52
2012-02-01,53
2012-02-02,49
2012-02-03,52
2012-02-04,58
2012-02-05,55
2012-02-06,54
2012-02-07,52
2012-02-08,56
2012-02-09,49
2012-02-10,51
2012-02-11,48
2012-02-12,51
2012-02-13,52
2012-02-14,54
2012-02-15,60
2012-02-16,57
2012-02-17,52
2012-02-18,60
2012-02-19,63
2012-02-20,58
2012-02-21,57
2012-02-22,55
2012-02-23,51
2012-02-24,56
2012-02-25,54
2012-02-26,60
2012-02-27,66
2012-02-28,66
2012-02-29,79
2012-03-01,82
2012-03-02,69
2012-03-03,113
2012-03-04,107
2012-03-05,82
2012-03-06,95
2012-03-07,86
2012-03-08,81
2012-03-09,90
2012-03-10,78
2012-03-11,75
2012-03-12,72
2012-03-13,63
2012-03-14,69
2012-03-15,64
2012-03-16,60
2012-03-17,60
2012-03-18,56
2012-03-19,60
2012-03-20,49
2012-03-21,66
2012-03-22,58
2012-03-23,65
2012-03-24,62
2012-03-25,62
2012-03-26,61
2012-03-27,62
2012-03-28,57
2012-03-29,64
2012-03-30,60
2012-03-31,60
2012-04-01,71
2012-04-02,55
2012-04-03,68
2012-04-04,61
2012-04-05,68
2012-04-06,66
2012-04-07,70
2012-04-08,65
2012-04-09,63
2012-04-10,55
2012-04-11,62
2012-04-12,55
2012-04-13,56
2012-04-14,50
2012-04-15,51
2012-04-16,51
2012-04-17,53
2012-04-18,58
2012-04-19,50
2012-04-20,51
2012-04-21,52
2012-04-22,53
2012-04-23,53
2012-04-24,60
2012-04-25,49
2012-04-26,56
2012-04-27,55
2012-04-28,57
2012-04-29,57
2012-04-30,57
2012-05-01,57
2012-05-02,55
2012-05-03,54
2012-05-04,62
2012-05-05,57
2012-05-06,54
2012-05-07,51
2012-05-08,49
2012-05-09,44
2012-05-10,45
2012-05-11,40
2012-05-12,37
2012-05-13,39
2012-05-14,41
2012-05-15,45
2012-05-16,43
2012-05-17,49
2012-05-18,43
2012-05-19,53
2012-05-20,51
2012-05-21,51
2012-05-22,56
2012-05-23,51
2012-05-24,48
2012-05-25,45
2012-05-26,51
2012-05-27,51
2012-05-28,46
2012-05-29,44
2012-05-30,42
2012-05-31,40
2012-06-01,38
2012-06-02,35
2012-06-03,38
2012-06-04,40
2012-06-05,46
2012-06-06,39
2012-06-07,54
2012-06-08,48
2012-06-09,53
2012-06-10,52
2012-06-11,52
2012-06-12,53
2012-06-13,47
2012-06-14,54
2012-06-15,46
2012-06-16,49
2012-06-17,49
2012-06-18,49
2012-06-19,55
2012-06-20,46
2012-06-21,48
2012-06-22,51
2012-06-23,50
2012-06-24,49
2012-06-25,49
2012-06-26,47
2012-06-27,52
2012-06-28,46
2012-06-29,50
2012-06-30,48
2012-07-01,49
2012-07-02,51
2012-07-03,55
2012-07-04,54
2012-07-05,55
2012-07-06,58
2012-07-07,60
2012-07-08,58
2012-07-09,57
2012-07-10,56
2012-07-11,52
2012-07-12,54
2012-07-13,56
2012-07-14,52
2012-07-15,52
2012-07-16,52
2012-07-17,52
2012-07-18,52
2012-07-19,51
2012-07-20,59
2012-07-21,54
2012-07-22,52
2012-07-23,51
2012-07-24,50
2012-07-25,43
2012-07-26,47
2012-07-27,46
2012-07-28,44
2012-07-29,46
2012-07-30,48
2012-07-31,52
2012-08-01,51
2012-08-02,58
2012-08-03,53
2012-08-04,51
2012-08-05,60
2012-08-06,55
2012-08-07,50
2012-08-08,54
2012-08-09,58
2012-08-10,50
2012-08-11,51
2012-08-12,51
2012-08-13,52
2012-08-14,52
2012-08-15,57
2012-08-16,44
2012-08-17,58
2012-08-18,51
2012-08-19,52
2012-08-20,53
2012-08-21,57
2012-08-22,56
2012-08-23,57
2012-08-24,61
2012-08-25,55
2012-08-26,59
2012-08-27,60
2012-08-28,61
2012-08-29,63
2012-08-30,59
2012-08-31,68
2012-09-01,67
2012-09-02,63
2012-09-03,62
2012-09-04,58
2012-09-05,54
2012-09-06,52
2012-09-07,52
2012-09-08,49
2012-09-09,50
2012-09-10,52
2012-09-11,53
2012-09-12,55
2012-09-13,61
2012-09-14,55
2012-09-15,56
2012-09-16,61
2012-09-17,60
2012-09-18,58
2012-09-19,66
2012-09-20,64
2012-09-21,61
2012-09-22,58
2012-09-23,60
2012-09-24,58
2012-09-25,57
2012-09-26,56
2012-09-27,57
2012-09-28,48
2012-09-29,47
2012-09-30,55
2012-10-01,50
2012-10-02,50
2012-10-03,46
2012-10-04,48
2012-10-05,54
2012-10-06,49
2012-10-07,54
2012-10-08,51
2012-10-09,49
2012-10-10,54
2012-10-11,52
2012-10-12,56
2012-10-13,53
2012-10-14,52
2012-10-15,48
2012-10-16,50
2012-10-17,54
2012-10-18,50
2012-10-19,47
2012-10-20,54
2012-10-21,52
2012-10-22,47
2012-10-23,41
2012-10-24,40
2012-10-25,42
2012-10-26,37
2012-10-27,37
2012-10-28,37
2012-10-29,36
2012-10-30,37
2012-10-31,35
2012-11-01,35
2012-11-02,34
2012-11-03,34
2012-11-04,36
2012-11-05,40
2012-11-06,35
2012-11-07,47
2012-11-08,44
2012-11-09,51
2012-11-10,51
2012-11-11,48
2012-11-12,46
2012-11-13,45
2012-11-14,43
2012-11-15,40
2012-11-16,43
2012-11-17,39
2012-11-18,39
2012-11-19,36
2012-11-20,45
2012-11-21,40
2012-11-22,40
2012-11-23,41
2012-11-24,41
2012-11-25,44
2012-11-26,42
2012-11-27,43
2012-11-28,45
2012-11-29,52
2012-11-30,49
2012-12-01,49
2012-12-02,47
2012-12-03,46
2012-12-04,48
2012-12-05,42
2012-12-06,41
2012-12-07,39
2012-12-08,38
2012-12-09,39
2012-12-10,38
2012-12-11,38
2012-12-12,40
2012-12-13,39
2012-12-14,39
2012-12-15,38
2012-12-16,39
2012-12-17,40
2012-12-18,40
2012-12-19,41
2012-12-20,44
2012-12-21,42
2012-12-22,43
2012-12-23,41
2012-12-24,42
2012-12-25,42
2012-12-26,42
2012-12-27,42
2012-12-28,45
2012-12-29,45
2012-12-30,47
2012-12-31,45
2013-01-01,49
2013-01-02,50
2013-01-03,47
2013-01-04,53
2013-01-05,61
2013-01-06,57
2013-01-07,56
2013-01-08,54
2013-01-09,55
2013-01-10,57
2013-01-11,60
2013-01-12,57
2013-01-13,57
2013-01-14,60
2013-01-15,57
2013-01-16,55
2013-01-17,59
2013-01-18,66
2013-01-19,56
2013-01-20,61
2013-01-21,58
2013-01-22,55
2013-01-23,56
2013-01-24,55
2013-01-25,55
2013-01-26,53
2013-01-27,55
2013-01-28,50
2013-01-29,56
2013-01-30,55
2013-01-31,56
2013-02-01,58
2013-02-02,58
2013-02-03,60
2013-02-04,57
2013-02-05,59
2013-02-06,49
2013-02-07,57
2013-02-08,57
2013-02-09,54
2013-02-10,54
2013-02-11,53
2013-02-12,52
2013-02-13,53
2013-02-14,50
2013-02-15,49
2013-02-16,49
2013-02-17,47
2013-02-18,48
2013-02-19,56
2013-02-20,61
2013-02-21,55
2013-02-22,58
2013-02-23,64
2013-02-24,62
2013-02-25,58
2013-02-26,51
2013-02-27,55
2013-02-28,55
2013-03-01,49
2013-03-02,45
2013-03-03,55
2013-03-04,54
2013-03-05,49
2013-03-06,58
2013-03-07,65
2013-03-08,48
2013-03-09,64
2013-03-10,62
2013-03-11,66
2013-03-12,61
2013-03-13,61
2013-03-14,60
2013-03-15,64
2013-03-16,62
2013-03-17,65
2013-03-18,57
2013-03-19,66
2013-03-20,60
2013-03-21,64
2013-03-22,60
2013-03-23,58
2013-03-24,59
2013-03-25,50
2013-03-26,56
2013-03-27,55
2013-03-28,53
2013-03-29,54
2013-03-30,52
2013-03-31,51
