Date,K12 Inc
2007-01-13,42
2007-01-14,41
2007-01-15,39
2007-01-16,38
2007-01-17,37
2007-01-18,35
2007-01-19,34
2007-01-20,33
2007-01-21,34
2007-01-22,36
2007-01-23,37
2007-01-24,38
2007-01-25,39
2007-01-26,40
2007-01-27,41
2007-01-28,43
2007-01-29,44
2007-01-30,46
2007-01-31,47
2007-02-01,48
2007-02-02,50
2007-02-03,51
2007-02-04,51
2007-02-05,50
2007-02-06,50
2007-02-07,50
2007-02-08,50
2007-02-09,49
2007-02-10,49
2007-02-11,51
2007-02-12,52
2007-02-13,53
2007-02-14,54
2007-02-15,56
2007-02-16,57
2007-02-17,58
2007-02-18,60
2007-02-19,61
2007-02-20,63
2007-02-21,64
2007-02-22,65
2007-02-23,67
2007-02-24,68
2007-02-25,66
2007-02-26,63
2007-02-27,61
2007-02-28,59
2007-03-01,57
2007-03-02,55
2007-03-03,53
2007-03-04,54
2007-03-05,56
2007-03-06,56
2007-03-07,57
2007-03-08,58
2007-03-09,59
2007-03-10,59
2007-03-11,59
2007-03-12,57
2007-03-13,57
2007-03-14,56
2007-03-15,55
2007-03-16,55
2007-03-17,54
2007-03-18,54
2007-03-19,54
2007-03-20,54
2007-03-21,54
2007-03-22,54
2007-03-23,54
2007-03-24,54
2007-03-25,54
2007-04-01,51
2007-04-02,49
2007-04-03,49
2007-04-04,48
2007-04-05,48
2007-04-06,47
2007-04-07,47
2007-04-08,48
2007-04-09,49
2007-04-10,50
2007-04-11,50
2007-04-12,51
2007-04-13,51
2007-04-14,52
2007-04-15,51
2007-04-16,51
2007-04-17,50
2007-04-18,50
2007-04-19,49
2007-04-20,49
2007-04-21,48
2007-04-22,46
2007-04-23,44
2007-04-24,42
2007-04-25,40
2007-04-26,38
2007-04-27,36
2007-04-28,35
2007-04-29,36
2007-04-30,36
2007-05-01,37
2007-05-02,38
2007-05-03,39
2007-05-04,40
2007-05-05,41
2007-05-06,39
2007-05-07,38
2007-05-08,36
2007-05-09,34
2007-05-10,32
2007-05-11,30
2007-05-12,28
2007-05-13,33
2007-05-14,38
2007-05-15,43
2007-05-16,48
2007-05-17,53
2007-05-18,58
2007-05-19,63
2007-05-20,61
2007-05-21,60
2007-05-22,58
2007-05-23,56
2007-05-24,54
2007-05-25,52
2007-05-26,49
2007-05-27,47
2007-05-28,42
2007-05-29,39
2007-05-30,36
2007-05-31,34
2007-06-01,31
2007-06-02,28
2007-06-03,33
2007-06-04,40
2007-06-05,45
2007-06-06,51
2007-06-07,56
2007-06-08,62
