Date,Skullcandy
2010-07-01,37
2010-07-02,37
2010-07-03,37
2010-07-04,37
2010-07-05,38
2010-07-06,38
2010-07-07,38
2010-07-08,38
2010-07-09,39
2010-07-10,39
2010-07-11,39
2010-07-12,39
2010-07-13,40
2010-07-14,40
2010-07-15,40
2010-07-16,40
2010-07-17,41
2010-07-18,41
2010-07-19,41
2010-07-20,41
2010-07-21,42
2010-07-22,42
2010-07-23,42
2010-07-24,42
2010-07-25,43
2010-07-26,43
2010-07-27,43
2010-07-28,43
2010-07-29,44
2010-07-30,44
2010-07-31,44
2010-08-01,45
2010-08-02,45
2010-08-03,45
2010-08-04,46
2010-08-05,46
2010-08-06,47
2010-08-07,47
2010-08-08,48
2010-08-09,48
2010-08-10,49
2010-08-11,49
2010-08-12,49
2010-08-13,50
2010-08-14,50
2010-08-15,51
2010-08-16,51
2010-08-17,52
2010-08-18,52
2010-08-19,53
2010-08-20,53
2010-08-21,54
2010-08-22,54
2010-08-23,54
2010-08-24,55
2010-08-25,55
2010-08-26,56
2010-08-27,56
2010-08-28,57
2010-08-29,57
2010-08-30,58
2010-08-31,58
2010-09-01,59
2010-09-02,58
2010-09-03,57
2010-09-04,57
2010-09-05,56
2010-09-06,56
2010-09-07,55
2010-09-08,55
2010-09-09,54
2010-09-10,54
2010-09-11,53
2010-09-12,53
2010-09-13,52
2010-09-14,52
2010-09-15,51
2010-09-16,51
2010-09-17,50
2010-09-18,49
2010-09-19,49
2010-09-20,48
2010-09-21,48
2010-09-22,47
2010-09-23,47
2010-09-24,46
2010-09-25,46
2010-09-26,45
2010-09-27,45
2010-09-28,44
2010-09-29,44
2010-09-30,43
2010-10-01,43
2010-10-02,43
2010-10-03,43
2010-10-04,44
2010-10-05,44
2010-10-06,44
2010-10-07,45
2010-10-08,45
2010-10-09,46
2010-10-10,46
2010-10-11,46
2010-10-12,47
2010-10-13,47
2010-10-14,48
2010-10-15,48
2010-10-16,48
2010-10-17,49
2010-10-18,49
2010-10-19,49
2010-10-20,50
2010-10-21,50
2010-10-22,51
2010-10-23,51
2010-10-24,51
2010-10-25,52
2010-10-26,52
2010-10-27,53
2010-10-28,53
2010-10-29,53
2010-10-30,54
2010-10-31,54
2010-11-01,55
2010-11-02,55
2010-11-03,55
2010-11-04,55
2010-11-05,55
2010-11-06,55
2010-11-07,55
2010-11-08,55
2010-11-09,55
2010-11-10,55
2010-11-11,55
2010-11-12,55
2010-11-13,55
2010-11-14,55
2010-11-15,55
2010-11-16,55
2010-11-17,55
2010-11-18,55
2010-11-19,55
2010-11-20,55
2010-11-21,55
2010-11-22,55
2010-11-23,55
2010-11-24,55
2010-11-25,55
2010-11-26,55
2010-11-27,55
2010-11-28,55
2010-11-29,55
2010-11-30,55
2010-12-01,55
2010-12-02,54
2010-12-03,54
2010-12-04,54
2010-12-05,54
2010-12-06,54
2010-12-07,54
2010-12-08,54
2010-12-09,53
2010-12-10,53
2010-12-11,53
2010-12-12,53
2010-12-13,53
2010-12-14,53
2010-12-15,53
2010-12-16,53
2010-12-17,52
2010-12-18,52
2010-12-19,52
2010-12-20,52
2010-12-21,52
2010-12-22,52
2010-12-23,52
2010-12-24,52
2010-12-25,51
2010-12-26,51
2010-12-27,51
2010-12-28,51
2010-12-29,51
2010-12-30,51
2010-12-31,51
2011-01-01,51
2011-01-02,51
2011-01-03,51
2011-01-04,52
2011-01-05,52
2011-01-06,53
2011-01-07,53
2011-01-08,54
2011-01-09,54
2011-01-10,55
2011-01-11,55
2011-01-12,56
2011-01-13,56
2011-01-14,57
2011-01-15,57
2011-01-16,58
2011-01-17,58
2011-01-18,59
2011-01-19,59
2011-01-20,60
2011-01-21,60
2011-01-22,61
2011-01-23,61
2011-01-24,62
2011-01-25,62
2011-01-26,63
2011-01-27,63
2011-01-28,64
2011-01-29,64
2011-01-30,65
2011-01-31,65
2011-02-01,66
2011-02-02,65
2011-02-03,64
2011-02-04,63
2011-02-05,62
2011-02-06,61
2011-02-07,60
2011-02-08,59
2011-02-09,58
2011-02-10,57
2011-02-11,57
2011-02-12,56
2011-02-13,55
2011-02-14,54
2011-02-15,53
2011-02-16,52
2011-02-17,51
2011-02-18,50
2011-02-19,49
2011-02-20,49
2011-02-21,48
2011-02-22,47
2011-02-23,46
2011-02-24,45
2011-02-25,44
2011-02-26,43
2011-02-27,42
2011-02-28,41
2011-03-01,41
2011-03-02,41
2011-03-03,41
