Date,Chegg
2013-02-03,41
2013-02-04,39
2013-02-05,37
2013-02-06,35
2013-02-07,33
2013-02-08,32
2013-02-09,30
2013-02-10,30
2013-02-11,29
2013-02-12,29
2013-02-13,29
2013-02-14,29
2013-02-15,28
2013-02-16,28
2013-02-17,28
2013-02-18,28
2013-02-19,28
2013-02-20,28
2013-02-21,28
2013-02-22,28
2013-02-23,28
2013-02-24,27
2013-02-25,26
2013-02-26,25
2013-02-27,25
2013-02-28,24
2013-03-01,23
2013-03-02,22
2013-03-03,23
2013-03-04,23
2013-03-05,23
2013-03-06,24
2013-03-07,24
2013-03-08,24
2013-03-09,25
2013-03-10,25
2013-03-11,25
2013-03-12,25
2013-03-13,25
2013-03-14,25
2013-03-15,25
2013-03-16,25
2013-03-17,24
2013-03-18,24
2013-03-19,23
2013-03-20,23
2013-03-21,22
2013-03-22,22
2013-03-23,21
2013-03-24,22
2013-03-25,22
2013-03-26,23
2013-03-27,23
2013-03-28,23
2013-03-29,24
2013-03-30,24
2013-03-31,23
2013-05-05,23
2013-05-06,23
2013-05-07,23
2013-05-08,23
2013-05-09,23
2013-05-10,22
2013-05-11,22
2013-05-12,25
2013-05-13,28
2013-05-14,30
2013-05-15,32
2013-05-16,35
2013-05-17,37
2013-05-18,40
2013-05-19,39
2013-05-20,37
2013-05-21,37
2013-05-22,36
2013-05-23,35
2013-05-24,34
2013-05-25,33
2013-05-26,33
2013-05-27,33
2013-05-28,33
2013-05-29,32
2013-05-30,32
2013-05-31,32
2013-06-01,32
2013-06-02,31
2013-06-03,31
2013-06-04,30
2013-06-05,30
2013-06-06,30
2013-06-07,29
2013-06-08,29
2013-06-09,28
2013-06-10,28
2013-06-11,28
2013-06-12,27
2013-06-13,27
2013-06-14,27
2013-06-15,27
2013-06-16,26
2013-06-17,25
2013-06-18,24
2013-06-19,23
2013-06-20,22
2013-06-21,21
2013-06-22,21
2013-06-23,21
2013-06-24,21
2013-06-25,22
2013-06-26,22
2013-06-27,23
2013-06-28,23
2013-06-29,23
2013-06-30,23
2013-07-01,23
2013-07-02,22
2013-07-03,22
2013-07-04,21
2013-07-05,21
2013-07-06,20
2013-07-07,21
2013-07-08,23
2013-07-09,23
2013-07-10,24
2013-07-11,25
2013-07-12,26
2013-07-13,27
2013-07-14,26
2013-07-15,23
2013-07-16,22
2013-07-17,21
2013-07-18,20
2013-07-19,18
2013-07-20,17
2013-07-21,19
2013-07-22,22
2013-07-23,24
2013-07-24,26
2013-07-25,29
2013-07-26,31
2013-07-27,33
2013-07-28,33
2013-08-04,30
2013-08-05,30
2013-08-06,30
2013-08-07,31
2013-08-08,31
2013-08-09,32
2013-08-10,32
2013-08-11,34
2013-08-12,35
2013-08-13,37
2013-08-14,39
2013-08-15,41
2013-08-16,42
2013-08-17,44
2013-08-18,47
2013-08-19,50
2013-08-20,53
2013-08-21,56
2013-08-22,60
2013-08-23,63
2013-08-24,66
2013-08-25,71
2013-08-26,77
2013-08-27,82
2013-08-28,87
2013-08-29,92
2013-08-30,97
2013-08-31,102
2013-09-01,94
2013-09-02,83
2013-09-03,74
2013-09-04,66
2013-09-05,57
2013-09-06,48
2013-09-07,40
2013-09-08,39
2013-09-09,39
2013-09-10,38
2013-09-11,38
2013-09-12,37
2013-09-13,37
2013-09-14,36
2013-09-15,37
2013-09-16,38
2013-09-17,39
2013-09-18,40
2013-09-19,40
2013-09-20,41
2013-09-21,42
2013-09-22,41
2013-09-23,39
2013-09-24,38
2013-09-25,37
2013-09-26,36
2013-09-27,35
2013-09-28,34
2013-09-29,33
2013-09-30,33
2013-10-01,32
2013-10-02,31
2013-10-03,30
2013-10-04,29
2013-10-05,28
2013-10-06,26
2013-10-07,24
2013-10-08,23
2013-10-09,21
2013-10-10,20
2013-10-11,18
2013-10-12,17
2013-10-13,17
2013-10-14,18
2013-10-15,18
2013-10-16,19
2013-10-17,20
2013-10-18,21
2013-10-19,21
2013-10-20,21
2013-10-21,21
2013-10-22,21
2013-10-23,21
2013-10-24,21
2013-10-25,21
2013-10-26,21
2013-10-27,22
2013-11-03,27
2013-11-04,26
2013-11-05,25
2013-11-06,25
2013-11-07,25
2013-11-08,24
2013-11-09,24
2013-11-10,30
2013-11-11,37
2013-11-12,44
2013-11-13,50
2013-11-14,56
2013-11-15,63
2013-11-16,69
2013-11-17,64
2013-11-18,58
2013-11-19,53
2013-11-20,48
2013-11-21,43
2013-11-22,38
2013-11-23,33
2013-11-24,31
2013-11-25,28
2013-11-26,26
2013-11-27,24
2013-11-28,22
2013-11-29,20
2013-11-30,18
2013-12-01,18
2013-12-02,17
2013-12-03,17
2013-12-04,17
2013-12-05,16
2013-12-06,16
2013-12-07,15
2013-12-08,18
2013-12-09,22
2013-12-10,25
2013-12-11,28
2013-12-12,31
2013-12-13,34
2013-12-14,38
2013-12-15,39
2013-12-16,40
2013-12-17,42
2013-12-18,43
2013-12-19,44
2013-12-20,46
2013-12-21,47
2013-12-22,44
2013-12-23,40
2013-12-24,37
2013-12-25,33
2013-12-26,30
2013-12-27,27
2013-12-28,24
2013-12-29,24
2013-12-30,24
2013-12-31,25
2014-01-01,26
2014-01-02,27
2014-01-03,28
2014-01-04,29
2014-01-05,33
2014-01-06,37
2014-01-07,41
2014-01-08,45
2014-01-09,49
2014-01-10,53
2014-01-11,57
2014-01-12,60
2014-01-13,64
2014-01-14,66
2014-01-15,69
2014-01-16,72
2014-01-17,75
2014-01-18,78
2014-01-19,75
2014-01-20,72
2014-01-21,69
2014-01-22,66
2014-01-23,63
2014-01-24,60
2014-01-25,57
2014-01-26,57
2014-02-01,59
