Date,GAIN Capital
2009-02-07,52
2009-02-08,54
2009-02-09,54
2009-02-10,55
2009-02-11,57
2009-02-12,59
2009-02-13,60
2009-02-14,62
2009-02-15,63
2009-02-16,66
2009-02-17,67
2009-02-18,69
2009-02-19,70
2009-02-20,72
2009-02-21,73
2009-02-22,71
2009-02-23,68
2009-02-24,65
2009-02-25,63
2009-02-26,60
2009-02-27,58
2009-02-28,56
2009-03-01,57
2009-03-02,59
2009-03-03,60
2009-03-04,62
2009-03-05,64
2009-03-06,66
2009-03-07,67
2009-03-08,65
2009-03-09,64
2009-03-10,62
2009-03-11,60
2009-03-12,58
2009-03-13,56
2009-03-14,54
2009-03-15,54
2009-03-16,53
2009-03-17,53
2009-03-18,52
2009-03-19,51
2009-03-20,51
2009-03-21,50
2009-03-22,53
2009-03-23,56
2009-03-24,59
2009-03-25,62
2009-03-26,65
2009-03-27,68
2009-03-28,70
2009-03-29,72
2009-05-03,58
2009-05-04,57
2009-05-05,56
2009-05-06,56
2009-05-07,55
2009-05-08,54
2009-05-09,54
2009-05-10,52
2009-05-11,51
2009-05-12,50
2009-05-13,48
2009-05-14,47
2009-05-15,46
2009-05-16,45
2009-05-17,45
2009-05-18,46
2009-05-19,47
2009-05-20,48
2009-05-21,48
2009-05-22,49
2009-05-23,50
2009-05-24,51
2009-05-25,52
2009-05-26,53
2009-05-27,54
2009-05-28,55
2009-05-29,56
2009-05-30,57
2009-05-31,56
2009-06-01,54
2009-06-02,53
2009-06-03,52
2009-06-04,51
2009-06-05,50
2009-06-06,49
2009-06-07,51
2009-06-08,53
2009-06-09,55
2009-06-10,58
2009-06-11,60
2009-06-12,62
2009-06-13,64
2009-06-14,62
2009-06-15,60
2009-06-16,57
2009-06-17,55
2009-06-18,52
2009-06-19,50
2009-06-20,47
2009-06-21,48
2009-06-22,49
2009-06-23,49
2009-06-24,50
2009-06-25,50
2009-06-26,51
2009-06-27,52
2009-06-28,51
2009-06-29,50
2009-06-30,49
2009-07-01,48
2009-07-02,47
2009-07-03,46
2009-07-04,45
2009-07-05,44
2009-07-06,43
2009-07-07,43
2009-07-08,42
2009-07-09,42
2009-07-10,41
2009-07-11,41
2009-07-12,41
2009-07-13,42
2009-07-14,43
2009-07-15,43
2009-07-16,44
2009-07-17,45
2009-07-18,46
2009-07-19,45
2009-07-20,44
2009-07-21,43
2009-07-22,43
2009-07-23,42
2009-07-24,41
2009-07-25,41
2009-07-26,44
2009-08-02,65
2009-08-03,63
2009-08-04,61
2009-08-05,59
2009-08-06,58
2009-08-07,56
2009-08-08,54
2009-08-09,56
2009-08-10,59
2009-08-11,62
2009-08-12,64
2009-08-13,66
2009-08-14,68
2009-08-15,71
2009-08-16,70
2009-08-17,68
2009-08-18,66
2009-08-19,65
2009-08-20,64
2009-08-21,63
2009-08-22,62
2009-08-23,62
2009-08-24,63
2009-08-25,63
2009-08-26,63
2009-08-27,63
2009-08-28,63
2009-08-29,63
2009-08-30,64
2009-08-31,64
2009-09-01,65
2009-09-02,66
2009-09-03,67
2009-09-04,68
2009-09-05,68
2009-09-06,66
2009-09-07,64
2009-09-08,62
2009-09-09,60
2009-09-10,58
2009-09-11,55
2009-09-12,53
2009-09-13,56
2009-09-14,59
2009-09-15,61
2009-09-16,64
2009-09-17,67
2009-09-18,69
2009-09-19,72
2009-09-20,72
2009-09-21,71
2009-09-22,71
2009-09-23,71
2009-09-24,71
2009-09-25,71
2009-09-26,71
2009-09-27,70
2009-09-28,70
2009-09-29,69
2009-09-30,68
2009-10-01,68
2009-10-02,67
2009-10-03,66
2009-10-04,63
2009-10-05,60
2009-10-06,58
2009-10-07,55
2009-10-08,52
2009-10-09,50
2009-10-10,47
2009-10-11,47
2009-10-12,47
2009-10-13,47
2009-10-14,47
2009-10-15,47
2009-10-16,47
2009-10-17,47
2009-10-18,51
2009-10-19,56
2009-10-20,59
2009-10-21,63
2009-10-22,67
2009-10-23,72
2009-10-24,78
2009-10-25,67
2009-11-01,46
2009-11-02,45
2009-11-03,45
2009-11-04,45
2009-11-05,45
2009-11-06,45
2009-11-07,45
2009-11-08,45
2009-11-09,45
2009-11-10,45
2009-11-11,45
2009-11-12,45
2009-11-13,44
2009-11-14,44
2009-11-15,44
2009-11-16,45
2009-11-17,45
2009-11-18,45
2009-11-19,45
2009-11-20,45
2009-11-21,45
2009-11-22,46
2009-11-23,46
2009-11-24,47
2009-11-25,48
2009-11-26,49
2009-11-27,50
2009-11-28,51
2009-11-29,49
2009-11-30,46
2009-12-01,43
2009-12-02,41
2009-12-03,39
2009-12-04,37
2009-12-05,34
2009-12-06,37
2009-12-07,39
2009-12-08,41
2009-12-09,43
2009-12-10,46
2009-12-11,48
2009-12-12,50
2009-12-13,53
2009-12-14,55
2009-12-15,58
2009-12-16,60
2009-12-17,62
2009-12-18,65
2009-12-19,67
2009-12-20,64
2009-12-21,61
2009-12-22,59
2009-12-23,56
2009-12-24,54
2009-12-25,51
2009-12-26,48
2009-12-27,48
2009-12-28,48
2009-12-29,48
2009-12-30,48
2009-12-31,48
2010-01-01,48
2010-01-02,48
2010-01-03,49
2010-01-04,50
2010-01-05,50
2010-01-06,50
2010-01-07,51
2010-01-08,51
2010-01-09,51
2010-01-10,49
2010-01-11,45
2010-01-12,43
2010-01-13,41
2010-01-14,39
2010-01-15,37
2010-01-16,35
2010-01-17,40
2010-01-18,46
2010-01-19,51
2010-01-20,56
2010-01-21,61
2010-01-22,67
2010-01-23,72
2010-01-24,67
2010-01-25,62
2010-01-26,57
2010-01-27,52
2010-01-28,47
2010-01-29,42
2010-01-30,37
2010-01-31,40
2010-02-07,54
2010-02-08,50
2010-02-09,46
2010-02-10,42
2010-02-11,39
2010-02-12,35
2010-02-13,31
2010-02-14,33
2010-02-15,34
2010-02-16,36
2010-02-17,38
2010-02-18,39
2010-02-19,41
2010-02-20,42
2010-02-21,42
2010-02-22,41
2010-02-23,41
2010-02-24,40
2010-02-25,39
2010-02-26,39
2010-02-27,38
2010-02-28,41
2010-03-01,44
2010-03-02,47
2010-03-03,51
2010-03-04,54
2010-03-05,57
2010-03-06,61
2010-03-07,56
2010-03-08,52
2010-03-09,48
2010-03-10,44
2010-03-11,40
2010-03-12,36
2010-03-13,32
2010-03-14,33
2010-03-15,34
2010-03-16,35
2010-03-17,36
2010-03-18,37
2010-03-19,38
2010-03-20,40
2010-03-21,41
2010-03-22,41
2010-03-23,42
2010-03-24,43
2010-03-25,45
2010-03-26,46
2010-03-27,47
2010-03-28,48
2010-05-02,44
2010-05-03,44
2010-05-04,43
2010-05-05,43
2010-05-06,42
2010-05-07,42
2010-05-08,41
2010-05-09,40
2010-05-10,39
2010-05-11,38
2010-05-12,36
2010-05-13,35
2010-05-14,34
2010-05-15,33
2010-05-16,33
2010-05-17,33
2010-05-18,33
2010-05-19,33
2010-05-20,33
2010-05-21,33
2010-05-22,33
2010-05-23,34
2010-05-24,34
2010-05-25,34
2010-05-26,35
2010-05-27,35
2010-05-28,35
2010-05-29,35
2010-05-30,36
2010-05-31,36
2010-06-01,36
2010-06-02,36
2010-06-03,36
2010-06-04,36
2010-06-05,36
2010-06-06,37
2010-06-07,37
2010-06-08,37
2010-06-09,37
2010-06-10,37
2010-06-11,37
2010-06-12,37
2010-06-13,38
2010-06-14,38
2010-06-15,38
2010-06-16,39
2010-06-17,39
2010-06-18,39
2010-06-19,39
2010-06-20,39
2010-06-21,39
2010-06-22,39
2010-06-23,39
2010-06-24,39
2010-06-25,39
2010-06-26,39
2010-06-27,39
2010-06-28,40
2010-06-29,40
2010-06-30,40
2010-07-01,40
2010-07-02,40
2010-07-03,40
2010-07-04,38
2010-07-05,37
2010-07-06,36
2010-07-07,35
2010-07-08,34
2010-07-09,33
2010-07-10,32
2010-07-11,33
2010-07-12,34
2010-07-13,35
2010-07-14,36
2010-07-15,37
2010-07-16,38
2010-07-17,40
2010-07-18,41
2010-07-19,41
2010-07-20,42
2010-07-21,43
2010-07-22,44
2010-07-23,45
2010-07-24,46
2010-07-25,48
2010-08-01,56
2010-08-02,53
2010-08-03,50
2010-08-04,48
2010-08-05,45
2010-08-06,42
2010-08-07,40
2010-08-08,40
2010-08-09,39
2010-08-10,39
2010-08-11,39
2010-08-12,39
2010-08-13,39
2010-08-14,39
2010-08-15,39
2010-08-16,40
2010-08-17,40
2010-08-18,40
2010-08-19,40
2010-08-20,40
2010-08-21,41
2010-08-22,40
2010-08-23,39
2010-08-24,39
2010-08-25,38
2010-08-26,37
2010-08-27,37
2010-08-28,36
2010-08-29,36
2010-08-30,36
2010-08-31,36
2010-09-01,36
2010-09-02,36
2010-09-03,36
2010-09-04,37
2010-09-05,37
2010-09-06,37
2010-09-07,37
2010-09-08,37
2010-09-09,37
2010-09-10,37
2010-09-11,37
2010-09-12,38
2010-09-13,39
2010-09-14,40
2010-09-15,40
2010-09-16,41
2010-09-17,42
2010-09-18,42
2010-09-19,42
2010-09-20,40
2010-09-21,40
2010-09-22,39
2010-09-23,38
2010-09-24,37
2010-09-25,36
2010-09-26,35
2010-09-27,34
2010-09-28,32
2010-09-29,31
2010-09-30,30
2010-10-01,29
2010-10-02,27
2010-10-03,31
2010-10-04,36
2010-10-05,40
2010-10-06,44
2010-10-07,48
2010-10-08,53
2010-10-09,57
2010-10-10,53
2010-10-11,47
2010-10-12,43
2010-10-13,39
2010-10-14,35
2010-10-15,31
2010-10-16,27
2010-10-17,29
2010-10-18,30
2010-10-19,32
2010-10-20,33
2010-10-21,35
2010-10-22,36
2010-10-23,38
2010-10-24,38
2010-10-25,37
2010-10-26,37
2010-10-27,37
2010-10-28,38
2010-10-29,38
2010-10-30,38
2010-10-31,38
2010-11-07,43
2010-11-08,46
2010-11-09,49
2010-11-10,52
2010-11-11,55
2010-11-12,58
2010-11-13,61
2010-11-14,58
2010-11-15,55
2010-11-16,52
2010-11-17,49
2010-11-18,46
2010-11-19,43
2010-11-20,40
2010-11-21,40
2010-11-22,40
2010-11-23,40
2010-11-24,40
2010-11-25,40
2010-11-26,40
2010-11-27,40
2010-11-28,38
2010-11-29,37
2010-11-30,36
2010-12-01,35
2010-12-02,33
2010-12-03,32
2010-12-04,31
2010-12-05,31
2010-12-06,30
2010-12-07,31
2010-12-08,31
2010-12-09,32
2010-12-10,32
2010-12-11,33
2010-12-12,42
2010-12-13,53
2010-12-14,63
2010-12-15,72
2010-12-16,82
2010-12-17,92
2010-12-18,102
2010-12-19,96
2010-12-20,89
2010-12-21,84
2010-12-22,78
2010-12-23,73
2010-12-24,67
2010-12-25,62
2010-12-26,57
2010-12-27,52
2010-12-28,47
2010-12-29,43
2010-12-30,38
2010-12-31,33
2011-01-01,28
2011-01-02,28
2011-01-03,28
2011-01-04,28
2011-01-05,28
2011-01-06,28
2011-01-07,28
2011-01-08,28
2011-01-09,31
2011-01-10,34
2011-01-11,37
2011-01-12,40
2011-01-13,43
2011-01-14,46
2011-01-15,49
2011-01-16,49
2011-01-17,49
2011-01-18,49
2011-01-19,48
2011-01-20,48
2011-01-21,47
2011-01-22,47
2011-01-23,46
2011-01-24,44
2011-01-25,43
2011-01-26,42
2011-01-27,40
2011-01-28,39
2011-01-29,38
2011-01-30,40
