Date,Ubiquiti Networks
2010-12-01,0
2010-12-02,2
2010-12-03,4
2010-12-04,7
2010-12-05,9
2010-12-06,12
2010-12-07,14
2010-12-08,17
2010-12-09,19
2010-12-10,22
2010-12-11,24
2010-12-12,26
2010-12-13,29
2010-12-14,31
2010-12-15,34
2010-12-16,36
2010-12-17,39
2010-12-18,41
2010-12-19,44
2010-12-20,46
2010-12-21,49
2010-12-22,51
2010-12-23,53
2010-12-24,56
2010-12-25,58
2010-12-26,61
2010-12-27,63
2010-12-28,66
2010-12-29,68
2010-12-30,71
2010-12-31,73
2011-01-01,76
2011-01-02,75
2011-01-03,74
2011-01-04,73
2011-01-05,72
2011-01-06,71
2011-01-07,71
2011-01-08,70
2011-01-09,69
2011-01-10,68
2011-01-11,67
2011-01-12,67
2011-01-13,66
2011-01-14,65
2011-01-15,64
2011-01-16,63
2011-01-17,63
2011-01-18,62
2011-01-19,61
2011-01-20,60
2011-01-21,59
2011-01-22,59
2011-01-23,58
2011-01-24,57
2011-01-25,56
2011-01-26,55
2011-01-27,55
2011-01-28,54
2011-01-29,53
2011-01-30,52
2011-01-31,51
2011-02-01,51
2011-02-02,51
2011-02-03,51
2011-02-04,51
2011-02-05,51
2011-02-06,51
2011-02-07,51
2011-02-08,51
2011-02-09,51
2011-02-10,51
2011-02-11,51
2011-02-12,51
2011-02-13,51
2011-02-14,51
2011-02-15,51
2011-02-16,51
2011-02-17,51
2011-02-18,51
2011-02-19,51
2011-02-20,51
2011-02-21,51
2011-02-22,51
2011-02-23,51
2011-02-24,51
2011-02-25,51
2011-02-26,51
2011-02-27,51
2011-02-28,51
2011-03-01,51
2011-03-02,51
2011-03-03,51
2011-03-04,52
2011-03-05,52
2011-03-06,53
2011-03-07,53
2011-03-08,53
2011-03-09,54
2011-03-10,54
2011-03-11,55
2011-03-12,55
2011-03-13,56
2011-03-14,56
2011-03-15,56
2011-03-16,57
2011-03-17,57
2011-03-18,58
2011-03-19,58
2011-03-20,58
2011-03-21,59
2011-03-22,59
2011-03-23,60
2011-03-24,60
2011-03-25,61
2011-03-26,61
2011-03-27,61
2011-03-28,62
2011-03-29,62
2011-03-30,63
2011-03-31,63
2011-04-01,64
2011-04-02,64
2011-04-03,64
2011-04-04,65
2011-04-05,65
2011-04-06,66
2011-04-07,66
2011-04-08,67
2011-04-09,67
2011-04-10,67
2011-04-11,68
2011-04-12,68
2011-04-13,69
2011-04-14,69
2011-04-15,70
2011-04-16,70
2011-04-17,70
2011-04-18,71
2011-04-19,71
2011-04-20,72
2011-04-21,72
2011-04-22,73
2011-04-23,73
2011-04-24,73
2011-04-25,74
2011-04-26,74
2011-04-27,75
2011-04-28,75
2011-04-29,76
2011-04-30,76
2011-05-01,77
2011-05-02,77
2011-05-03,77
2011-05-04,77
2011-05-05,77
2011-05-06,77
2011-05-07,77
2011-05-08,77
2011-05-09,77
2011-05-10,77
2011-05-11,77
2011-05-12,78
2011-05-13,78
2011-05-14,78
2011-05-15,78
2011-05-16,78
2011-05-17,78
2011-05-18,78
2011-05-19,78
2011-05-20,78
2011-05-21,78
2011-05-22,79
2011-05-23,79
2011-05-24,79
2011-05-25,79
2011-05-26,79
2011-05-27,79
2011-05-28,79
2011-05-29,79
2011-05-30,79
2011-05-31,79
2011-06-01,80
2011-06-02,80
2011-06-03,80
2011-06-04,80
2011-06-05,80
2011-06-06,80
2011-06-07,80
2011-06-08,80
2011-06-09,81
2011-06-10,81
2011-06-11,81
2011-06-12,81
2011-06-13,81
2011-06-14,81
2011-06-15,81
2011-06-16,82
2011-06-17,82
2011-06-18,82
2011-06-19,82
2011-06-20,82
2011-06-21,82
2011-06-22,82
2011-06-23,82
2011-06-24,83
2011-06-25,83
2011-06-26,83
2011-06-27,83
2011-06-28,83
2011-06-29,83
2011-06-30,83
2011-07-01,84
2011-07-02,84
2011-07-03,84
2011-07-04,84
2011-07-05,84
2011-07-06,84
2011-07-07,84
2011-07-08,84
2011-07-09,85
2011-07-10,85
2011-07-11,85
2011-07-12,85
2011-07-13,85
2011-07-14,85
2011-07-15,85
2011-07-16,85
2011-07-17,86
2011-07-18,86
2011-07-19,86
2011-07-20,86
2011-07-21,86
2011-07-22,86
2011-07-23,86
2011-07-24,86
2011-07-25,87
2011-07-26,87
2011-07-27,87
2011-07-28,87
2011-07-29,87
2011-07-30,87
2011-07-31,87
2011-08-01,88
2011-08-02,87
2011-08-03,86
2011-08-04,85
2011-08-05,85
2011-08-06,84
2011-08-07,83
2011-08-08,83
2011-08-09,82
2011-08-10,81
2011-08-11,81
2011-08-12,80
2011-08-13,79
2011-08-14,79
2011-08-15,78
2011-08-16,77
2011-08-17,77
2011-08-18,76
2011-08-19,75
2011-08-20,75
2011-08-21,74
2011-08-22,73
2011-08-23,73
2011-08-24,72
2011-08-25,71
2011-08-26,71
2011-08-27,70
2011-08-28,69
2011-08-29,69
2011-08-30,68
2011-08-31,67
2011-09-01,67
2011-09-02,66
2011-09-03,65
2011-09-04,64
2011-09-05,64
2011-09-06,63
2011-09-07,62
2011-09-08,61
2011-09-09,61
2011-09-10,60
2011-09-11,59
2011-09-12,58
2011-09-13,58
2011-09-14,57
2011-09-15,56
2011-09-16,56
2011-09-17,55
2011-09-18,54
2011-09-19,53
2011-09-20,53
2011-09-21,52
2011-09-22,51
2011-09-23,50
2011-09-24,50
2011-09-25,49
2011-09-26,48
2011-09-27,47
2011-09-28,47
2011-09-29,46
2011-09-30,45
2011-10-01,45
2011-10-02,46
2011-10-03,47
2011-10-04,48
2011-10-05,49
2011-10-06,50
2011-10-07,52
2011-10-08,53
2011-10-09,54
2011-10-10,55
2011-10-11,56
2011-10-12,58
2011-10-13,59
2011-10-14,60
2011-10-15,61
2011-10-16,62
2011-10-17,64
2011-10-18,65
2011-10-19,66
2011-10-20,67
2011-10-21,68
2011-10-22,70
2011-10-23,71
2011-10-24,72
2011-10-25,73
2011-10-26,74
2011-10-27,76
2011-10-28,77
2011-10-29,78
2011-10-30,79
2011-10-31,80
2011-11-01,82
2011-11-02,82
2011-11-03,82
2011-11-04,82
2011-11-05,83
2011-11-06,83
2011-11-07,83
2011-11-08,83
2011-11-09,84
2011-11-10,84
2011-11-11,84
2011-11-12,84
2011-11-13,85
2011-11-14,85
2011-11-15,85
2011-11-16,86
2011-11-17,86
2011-11-18,86
2011-11-19,86
2011-11-20,87
2011-11-21,87
2011-11-22,87
2011-11-23,87
2011-11-24,88
2011-11-25,88
2011-11-26,88
2011-11-27,88
2011-11-28,89
2011-11-29,89
2011-11-30,89
2011-12-01,90
2011-12-02,88
2011-12-03,87
2011-12-04,86
2011-12-05,85
2011-12-06,84
2011-12-07,83
2011-12-08,82
2011-12-09,81
2011-12-10,80
2011-12-11,79
2011-12-12,78
2011-12-13,77
2011-12-14,76
2011-12-15,75
2011-12-16,74
2011-12-17,73
2011-12-18,72
2011-12-19,71
2011-12-20,70
2011-12-21,69
2011-12-22,68
2011-12-23,67
2011-12-24,66
2011-12-25,65
2011-12-26,64
2011-12-27,63
2011-12-28,62
2011-12-29,61
2011-12-30,60
2011-12-31,59
2012-01-01,58
2012-01-02,58
2012-01-03,59
2012-01-04,60
2012-01-05,61
2012-01-06,61
2012-01-07,62
2012-01-08,63
2012-01-09,64
2012-01-10,64
2012-01-11,65
2012-01-12,66
2012-01-13,67
2012-01-14,68
2012-01-15,68
2012-01-16,69
2012-01-17,70
2012-01-18,71
2012-01-19,71
2012-01-20,72
2012-01-21,73
2012-01-22,74
2012-01-23,75
2012-01-24,75
2012-01-25,76
2012-01-26,77
2012-01-27,78
2012-01-28,78
2012-01-29,79
2012-01-30,80
2012-01-31,81
2012-02-01,82
2012-02-02,81
2012-02-03,81
2012-02-04,81
2012-02-05,81
2012-02-06,81
2012-02-07,80
2012-02-08,80
2012-02-09,80
2012-02-10,80
2012-02-11,80
2012-02-12,80
2012-02-13,79
2012-02-14,79
2012-02-15,79
2012-02-16,79
2012-02-17,79
2012-02-18,79
2012-02-19,78
2012-02-20,78
2012-02-21,78
2012-02-22,78
2012-02-23,78
2012-02-24,78
2012-02-25,77
2012-02-26,77
2012-02-27,77
2012-02-28,77
2012-02-29,77
2012-03-01,77
2012-03-02,77
2012-03-03,78
2012-03-04,79
