Date,Ellie Mae
2009-10-04,98
2009-10-05,98
2009-10-06,97
2009-10-07,97
2009-10-08,97
2009-10-09,96
2009-10-10,96
2009-10-11,95
2009-10-12,95
2009-10-13,94
2009-10-14,94
2009-10-15,94
2009-10-16,93
2009-10-17,93
2009-10-18,92
2009-10-19,92
2009-10-20,92
2009-10-21,91
2009-10-22,91
2009-10-23,90
2009-10-24,90
2009-10-25,89
2009-10-26,89
2009-10-27,89
2009-10-28,88
2009-10-29,88
2009-10-30,87
2009-10-31,87
2009-11-01,87
2009-11-02,102
2009-11-03,74
2009-11-04,80
2009-11-05,82
2009-11-06,83
2009-11-07,84
2009-11-08,85
2009-11-09,87
2009-11-10,88
2009-11-11,88
2009-11-12,88
2009-11-13,88
2009-11-14,88
2009-11-15,88
2009-11-16,88
2009-11-17,89
2009-11-18,89
2009-11-19,89
2009-11-20,89
2009-11-21,89
2009-11-22,89
2009-11-23,89
2009-11-24,89
2009-11-25,90
2009-11-26,90
2009-11-27,90
2009-11-28,90
2009-11-29,90
2009-11-30,90
2009-12-01,90
2009-12-02,90
2009-12-03,89
2009-12-04,89
2009-12-05,88
2009-12-06,88
2009-12-07,90
2009-12-08,90
2009-12-09,90
2009-12-10,90
2009-12-11,92
2009-12-12,95
2009-12-13,85
2009-12-14,84
2009-12-15,84
2009-12-16,83
2009-12-17,83
2009-12-18,82
2009-12-19,82
2009-12-20,81
2009-12-21,81
2009-12-22,80
2009-12-23,80
2009-12-24,79
2009-12-25,79
2009-12-26,78
2009-12-27,78
2010-01-01,76
2010-01-02,75
2010-01-03,74
2010-01-04,74
2010-01-05,73
2010-01-06,72
2010-01-07,72
2010-01-08,71
2010-01-09,71
2010-01-10,70
2010-01-11,69
2010-01-12,69
2010-01-13,68
2010-01-14,68
2010-01-15,67
2010-01-16,66
2010-01-17,66
2010-01-18,65
2010-01-19,64
2010-01-20,64
2010-01-21,63
2010-01-22,63
2010-01-23,62
2010-01-24,61
2010-01-25,61
2010-01-26,60
2010-01-27,60
2010-01-28,59
2010-01-29,58
2010-01-30,58
2010-01-31,57
2010-02-01,57
2010-02-02,57
2010-02-03,57
2010-02-04,57
2010-02-05,58
2010-02-06,58
2010-02-07,58
2010-02-08,59
2010-02-09,59
2010-02-10,59
2010-02-11,60
2010-02-12,60
2010-02-13,60
2010-02-14,61
2010-02-15,61
2010-02-16,61
2010-02-17,62
2010-02-18,62
2010-02-19,62
2010-02-20,63
2010-02-21,63
2010-02-22,63
2010-02-23,64
2010-02-24,64
2010-02-25,64
2010-02-26,65
2010-02-27,65
2010-02-28,65
2010-03-01,66
2010-03-02,66
2010-03-03,66
2010-03-04,66
2010-03-05,66
2010-03-06,66
2010-03-07,66
2010-03-08,66
2010-03-09,66
2010-03-10,66
2010-03-11,66
2010-03-12,66
2010-03-13,66
2010-03-14,66
2010-03-15,66
2010-03-16,66
2010-03-17,66
2010-03-18,66
2010-03-19,66
2010-03-20,66
2010-03-21,66
2010-03-22,66
2010-03-23,66
2010-03-24,66
2010-03-25,66
2010-03-26,66
2010-03-27,66
2010-03-28,66
2010-03-29,66
2010-03-30,66
2010-03-31,66
2010-04-01,66
2010-04-02,65
2010-04-03,65
2010-04-04,65
2010-04-05,65
2010-04-06,65
2010-04-07,65
2010-04-08,64
2010-04-09,64
2010-04-10,64
2010-04-11,64
2010-04-12,64
2010-04-13,64
2010-04-14,63
2010-04-15,63
2010-04-16,63
2010-04-17,63
2010-04-18,63
2010-04-19,63
2010-04-20,62
2010-04-21,62
2010-04-22,62
2010-04-23,62
2010-04-24,62
2010-04-25,62
2010-04-26,61
2010-04-27,61
2010-04-28,61
2010-04-29,61
2010-04-30,61
2010-05-01,61
2010-05-02,61
2010-05-03,61
2010-05-04,61
2010-05-05,61
2010-05-06,61
2010-05-07,61
2010-05-08,61
2010-05-09,61
2010-05-10,61
2010-05-11,61
2010-05-12,61
2010-05-13,61
2010-05-14,61
2010-05-15,61
2010-05-16,61
2010-05-17,62
2010-05-18,62
2010-05-19,62
2010-05-20,62
2010-05-21,62
2010-05-22,62
2010-05-23,62
2010-05-24,62
2010-05-25,62
2010-05-26,62
2010-05-27,62
2010-05-28,62
2010-05-29,62
2010-05-30,62
2010-05-31,62
2010-06-01,63
2010-06-02,62
2010-06-03,62
2010-06-04,61
2010-06-05,61
2010-06-06,60
2010-06-07,60
2010-06-08,59
2010-06-09,59
2010-06-10,58
2010-06-11,58
2010-06-12,57
2010-06-13,57
2010-06-14,56
2010-06-15,56
2010-06-16,55
2010-06-17,55
2010-06-18,54
2010-06-19,54
2010-06-20,53
2010-06-21,53
2010-06-22,52
2010-06-23,52
