Date,Durata
2012-09-22,70
2012-09-23,72
2012-09-24,75
2012-09-25,78
2012-09-26,80
2012-09-27,82
2012-09-28,85
2012-09-29,87
2012-09-30,88
2012-10-01,88
2012-10-02,89
2012-10-03,90
2012-10-04,91
2012-10-05,92
2012-10-06,93
2012-10-07,90
2012-10-08,88
2012-10-09,84
2012-10-10,81
2012-10-11,78
2012-10-12,74
2012-10-13,71
2012-10-14,68
2012-10-15,65
2012-10-16,62
2012-10-17,59
2012-10-18,56
2012-10-19,53
2012-10-20,50
2012-10-21,52
2012-10-22,53
2012-10-23,55
2012-10-24,56
2012-10-25,57
2012-10-26,59
2012-10-27,60
2012-10-28,58
2012-10-29,55
2012-10-30,53
2012-10-31,51
2012-11-01,49
2012-11-02,46
2012-11-03,44
2012-11-04,47
2012-11-05,50
2012-11-06,53
2012-11-07,56
2012-11-08,59
2012-11-09,62
2012-11-10,65
2012-11-11,64
2012-11-12,63
2012-11-13,61
2012-11-14,60
2012-11-15,58
2012-11-16,57
2012-11-17,55
2012-11-18,56
2012-11-19,58
2012-11-20,59
2012-11-21,60
2012-11-22,61
2012-11-23,62
2012-11-24,63
2012-11-25,61
2012-12-02,48
2012-12-03,51
2012-12-04,53
2012-12-05,55
2012-12-06,58
2012-12-07,60
2012-12-08,63
2012-12-09,62
2012-12-10,61
2012-12-11,60
2012-12-12,59
2012-12-13,58
2012-12-14,57
2012-12-15,57
2012-12-16,56
2012-12-17,56
2012-12-18,55
2012-12-19,54
2012-12-20,54
2012-12-21,53
2012-12-22,53
2012-12-23,49
2012-12-24,45
2012-12-25,42
2012-12-26,39
2012-12-27,35
2012-12-28,32
2012-12-29,29
2012-12-30,31
2012-12-31,34
2013-01-01,36
2013-01-02,38
2013-01-03,40
2013-01-04,42
2013-01-05,44
2013-01-06,46
2013-01-07,47
2013-01-08,48
2013-01-09,50
2013-01-10,52
2013-01-11,54
2013-01-12,56
2013-01-13,56
2013-01-14,55
2013-01-15,55
2013-01-16,55
2013-01-17,55
2013-01-18,54
2013-01-19,54
2013-01-20,59
2013-01-21,64
2013-01-22,69
2013-01-23,73
2013-01-24,78
2013-01-25,82
2013-01-26,87
2013-01-27,84
2013-01-28,81
2013-01-29,79
2013-01-30,76
2013-01-31,74
2013-02-01,71
2013-02-02,68
2013-02-03,68
2013-02-04,69
2013-02-05,68
2013-02-06,68
2013-02-07,68
2013-02-08,68
2013-02-09,67
2013-02-10,63
2013-02-11,57
2013-02-12,53
2013-02-13,49
2013-02-14,45
2013-02-15,41
2013-02-16,37
2013-02-17,42
2013-02-18,48
2013-02-19,53
2013-02-20,58
2013-02-21,63
2013-02-22,68
2013-02-23,73
2013-02-24,72
2013-03-03,67
2013-03-04,68
2013-03-05,67
2013-03-06,67
2013-03-07,67
2013-03-08,67
2013-03-09,67
2013-03-10,65
2013-03-11,63
