Date,OpenTable
2008-07-01,0
2008-07-02,1
2008-07-03,3
2008-07-04,5
2008-07-05,6
2008-07-06,8
2008-07-07,10
2008-07-08,11
2008-07-09,13
2008-07-10,15
2008-07-11,17
2008-07-12,18
2008-07-13,20
2008-07-14,22
2008-07-15,23
2008-07-16,25
2008-07-17,27
2008-07-18,29
2008-07-19,30
2008-07-20,32
2008-07-21,34
2008-07-22,35
2008-07-23,37
2008-07-24,39
2008-07-25,41
2008-07-26,42
2008-07-27,44
2008-07-28,46
2008-07-29,47
2008-07-30,49
2008-07-31,51
2008-08-01,53
2008-08-02,52
2008-08-03,51
2008-08-04,51
2008-08-05,50
2008-08-06,49
2008-08-07,49
2008-08-08,48
2008-08-09,48
2008-08-10,47
2008-08-11,46
2008-08-12,46
2008-08-13,45
2008-08-14,45
2008-08-15,44
2008-08-16,43
2008-08-17,43
2008-08-18,42
2008-08-19,41
2008-08-20,41
2008-08-21,40
2008-08-22,40
2008-08-23,39
2008-08-24,38
2008-08-25,38
2008-08-26,37
2008-08-27,37
2008-08-28,36
2008-08-29,35
2008-08-30,35
2008-08-31,34
2008-09-01,34
2008-09-02,34
2008-09-03,35
2008-09-04,36
2008-09-05,37
2008-09-06,37
2008-09-07,38
2008-09-08,39
2008-09-09,40
2008-09-10,40
2008-09-11,41
2008-09-12,42
2008-09-13,43
2008-09-14,43
2008-09-15,44
2008-09-16,45
2008-09-17,46
2008-09-18,47
2008-09-19,47
2008-09-20,48
2008-09-21,49
2008-09-22,50
2008-09-23,50
2008-09-24,51
2008-09-25,52
2008-09-26,53
2008-09-27,53
2008-09-28,54
2008-09-29,55
2008-09-30,56
2008-10-01,57
2008-10-02,56
2008-10-03,56
2008-10-04,55
2008-10-05,55
2008-10-06,54
2008-10-07,54
2008-10-08,54
2008-10-09,53
2008-10-10,53
2008-10-11,52
2008-10-12,52
2008-10-13,51
2008-10-14,51
2008-10-15,51
2008-10-16,50
2008-10-17,50
2008-10-18,49
2008-10-19,49
2008-10-20,49
2008-10-21,48
2008-10-22,48
2008-10-23,47
2008-10-24,47
2008-10-25,46
2008-10-26,46
2008-10-27,46
2008-10-28,45
2008-10-29,45
2008-10-30,44
2008-10-31,44
2008-11-01,44
2008-11-02,43
2008-11-03,43
2008-11-04,43
2008-11-05,43
2008-11-06,43
2008-11-07,42
2008-11-08,42
2008-11-09,42
2008-11-10,42
2008-11-11,42
2008-11-12,41
2008-11-13,41
2008-11-14,41
2008-11-15,41
2008-11-16,41
2008-11-17,40
2008-11-18,40
2008-11-19,40
2008-11-20,40
2008-11-21,40
2008-11-22,39
2008-11-23,39
2008-11-24,39
2008-11-25,39
2008-11-26,39
2008-11-27,38
2008-11-28,38
2008-11-29,38
2008-11-30,38
2008-12-01,38
2008-12-02,38
2008-12-03,39
2008-12-04,40
2008-12-05,40
2008-12-06,41
2008-12-07,42
2008-12-08,42
2008-12-09,43
2008-12-10,44
2008-12-11,45
2008-12-12,45
2008-12-13,46
2008-12-14,47
2008-12-15,47
2008-12-16,48
2008-12-17,49
2008-12-18,50
2008-12-19,50
2008-12-20,51
2008-12-21,52
2008-12-22,52
2008-12-23,53
2008-12-24,54
2008-12-25,55
2008-12-26,55
2008-12-27,56
2008-12-28,57
2008-12-29,57
2008-12-30,58
2008-12-31,59
2009-01-01,60
2009-01-02,59
2009-01-03,59
2009-01-04,59
2009-01-05,59
2009-01-06,58
2009-01-07,58
2009-01-08,58
2009-01-09,58
2009-01-10,57
2009-01-11,57
2009-01-12,57
2009-01-13,57
2009-01-14,57
2009-01-15,56
2009-01-16,56
2009-01-17,56
2009-01-18,56
2009-01-19,55
2009-01-20,55
2009-01-21,55
2009-01-22,55
2009-01-23,55
2009-01-24,54
2009-01-25,54
2009-01-26,54
2009-01-27,54
2009-01-28,53
2009-01-29,53
2009-01-30,53
2009-01-31,53
2009-02-01,53
2009-02-02,52
2009-02-03,52
2009-02-04,52
2009-02-05,52
2009-02-06,52
2009-02-07,51
2009-02-08,51
2009-02-09,51
2009-02-10,51
2009-02-11,51
2009-02-12,51
2009-02-13,50
2009-02-14,50
2009-02-15,50
2009-02-16,50
2009-02-17,50
2009-02-18,49
2009-02-19,49
2009-02-20,49
2009-02-21,49
2009-02-22,49
2009-02-23,49
2009-02-24,48
2009-02-25,48
2009-02-26,48
2009-02-27,48
2009-02-28,48
2009-03-01,48
2009-03-02,48
2009-03-03,48
2009-03-04,48
2009-03-05,49
2009-03-06,49
2009-03-07,49
2009-03-08,49
2009-03-09,50
2009-03-10,50
2009-03-11,50
2009-03-12,50
2009-03-13,51
2009-03-14,51
2009-03-15,51
2009-03-16,51
2009-03-17,52
2009-03-18,52
2009-03-19,52
2009-03-20,52
2009-03-21,53
2009-03-22,53
2009-03-23,53
2009-03-24,53
2009-03-25,54
2009-03-26,54
2009-03-27,54
2009-03-28,54
2009-03-29,55
2009-03-30,55
2009-03-31,55
2009-04-01,56
2009-04-02,57
2009-04-03,58
2009-04-04,60
2009-04-05,61
2009-04-06,63
2009-04-07,64
2009-04-08,66
2009-04-09,67
2009-04-10,69
2009-04-11,70
2009-04-12,72
2009-04-13,73
2009-04-14,75
2009-04-15,76
2009-04-16,78
2009-04-17,79
2009-04-18,80
2009-04-19,82
2009-04-20,83
2009-04-21,85
2009-04-22,86
2009-04-23,88
2009-04-24,89
2009-04-25,91
2009-04-26,92
2009-04-27,94
2009-04-28,95
2009-04-29,97
2009-04-30,98
2009-05-01,100
2009-05-02,98
2009-05-03,97
2009-05-04,95
2009-05-05,94
2009-05-06,93
2009-05-07,91
2009-05-08,90
2009-05-09,89
2009-05-10,87
2009-05-11,86
2009-05-12,85
2009-05-13,83
2009-05-14,82
2009-05-15,81
2009-05-16,79
2009-05-17,78
2009-05-18,76
2009-05-19,75
2009-05-20,74
2009-05-21,72
2009-05-22,71
2009-05-23,70
2009-05-24,68
2009-05-25,67
2009-05-26,66
2009-05-27,64
2009-05-28,63
2009-05-29,62
2009-05-30,60
2009-05-31,59
2009-06-01,58
2009-06-02,57
2009-06-03,57
2009-06-04,57
2009-06-05,56
2009-06-06,56
2009-06-07,56
2009-06-08,56
2009-06-09,55
2009-06-10,55
2009-06-11,55
2009-06-12,55
2009-06-13,54
2009-06-14,54
2009-06-15,54
2009-06-16,54
2009-06-17,53
2009-06-18,53
2009-06-19,53
2009-06-20,52
2009-06-21,52
2009-06-22,52
2009-06-23,52
2009-06-24,51
2009-06-25,51
2009-06-26,51
2009-06-27,51
2009-06-28,50
2009-06-29,50
2009-06-30,50
2009-07-01,50
2009-07-02,49
2009-07-03,49
2009-07-04,48
2009-07-05,48
2009-07-06,48
2009-07-07,47
2009-07-08,47
2009-07-09,47
2009-07-10,46
2009-07-11,46
2009-07-12,46
2009-07-13,45
2009-07-14,45
2009-07-15,45
2009-07-16,44
2009-07-17,44
2009-07-18,43
2009-07-19,43
2009-07-20,43
2009-07-21,42
2009-07-22,42
2009-07-23,42
2009-07-24,41
2009-07-25,41
2009-07-26,41
2009-07-27,40
2009-07-28,40
2009-07-29,40
2009-07-30,39
2009-07-31,39
2009-08-01,39
2009-08-02,38
2009-08-03,38
2009-08-04,38
2009-08-05,38
2009-08-06,38
2009-08-07,38
2009-08-08,37
2009-08-09,37
2009-08-10,37
2009-08-11,37
2009-08-12,37
2009-08-13,37
2009-08-14,36
2009-08-15,36
2009-08-16,36
2009-08-17,36
2009-08-18,36
2009-08-19,36
2009-08-20,35
2009-08-21,35
2009-08-22,35
2009-08-23,35
2009-08-24,35
2009-08-25,35
2009-08-26,34
2009-08-27,34
2009-08-28,34
2009-08-29,34
2009-08-30,34
2009-08-31,34
2009-09-01,34
2009-09-02,34
2009-09-03,35
2009-09-04,36
2009-09-05,37
2009-09-06,38
2009-09-07,39
2009-09-08,40
2009-09-09,40
2009-09-10,41
2009-09-11,42
2009-09-12,43
2009-09-13,44
2009-09-14,45
2009-09-15,46
2009-09-16,47
2009-09-17,47
2009-09-18,48
2009-09-19,49
2009-09-20,50
2009-09-21,51
2009-09-22,52
2009-09-23,53
2009-09-24,53
2009-09-25,54
2009-09-26,55
2009-09-27,56
2009-09-28,57
2009-09-29,58
2009-09-30,59
2009-10-01,60
2009-10-02,59
2009-10-03,59
2009-10-04,59
2009-10-05,59
2009-10-06,59
2009-10-07,59
2009-10-08,59
2009-10-09,59
2009-10-10,59
2009-10-11,59
2009-10-12,58
2009-10-13,58
2009-10-14,58
2009-10-15,58
2009-10-16,58
2009-10-17,58
2009-10-18,58
2009-10-19,58
