Date,Regional Management
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,0
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-01,0
2010-12-02,2
2010-12-03,4
2010-12-04,7
2010-12-05,9
2010-12-06,11
2010-12-07,14
2010-12-08,16
2010-12-09,19
2010-12-10,21
2010-12-11,23
2010-12-12,26
2010-12-13,28
2010-12-14,31
2010-12-15,33
2010-12-16,35
2010-12-17,38
2010-12-18,40
2010-12-19,42
2010-12-20,45
2010-12-21,47
2010-12-22,50
2010-12-23,52
2010-12-24,54
2010-12-25,57
2010-12-26,59
2010-12-27,62
2010-12-28,64
2010-12-29,66
2010-12-30,69
2010-12-31,71
2011-01-01,74
2011-01-02,74
2011-01-03,75
2011-01-04,76
2011-01-05,77
2011-01-06,78
2011-01-07,79
2011-01-08,79
2011-01-09,80
2011-01-10,81
2011-01-11,82
2011-01-12,83
2011-01-13,84
2011-01-14,84
2011-01-15,85
2011-01-16,86
2011-01-17,87
2011-01-18,88
2011-01-19,89
2011-01-20,89
2011-01-21,90
2011-01-22,91
2011-01-23,92
2011-01-24,93
2011-01-25,94
2011-01-26,94
2011-01-27,95
2011-01-28,96
2011-01-29,97
2011-01-30,98
2011-01-31,99
2011-02-01,100
2011-02-02,98
2011-02-03,96
2011-02-04,94
2011-02-05,93
2011-02-06,91
2011-02-07,89
2011-02-08,88
2011-02-09,86
2011-02-10,84
2011-02-11,82
2011-02-12,81
2011-02-13,79
2011-02-14,77
2011-02-15,76
2011-02-16,74
2011-02-17,72
2011-02-18,70
2011-02-19,69
2011-02-20,67
2011-02-21,65
2011-02-22,64
2011-02-23,62
2011-02-24,60
2011-02-25,58
2011-02-26,57
2011-02-27,55
2011-02-28,53
2011-03-01,52
2011-03-02,52
2011-03-03,52
2011-03-04,53
2011-03-05,53
2011-03-06,53
2011-03-07,54
2011-03-08,54
2011-03-09,55
2011-03-10,55
2011-03-11,55
2011-03-12,56
2011-03-13,56
2011-03-14,57
2011-03-15,57
2011-03-16,57
2011-03-17,58
2011-03-18,58
2011-03-19,58
2011-03-20,59
2011-03-21,59
2011-03-22,60
2011-03-23,60
2011-03-24,60
2011-03-25,61
2011-03-26,61
2011-03-27,62
2011-03-28,62
2011-03-29,62
2011-03-30,63
2011-03-31,63
2011-04-01,64
2011-04-02,64
2011-04-03,64
2011-04-04,65
2011-04-05,65
2011-04-06,65
2011-04-07,66
2011-04-08,66
2011-04-09,66
2011-04-10,67
2011-04-11,67
2011-04-12,68
2011-04-13,68
2011-04-14,68
2011-04-15,69
2011-04-16,69
2011-04-17,69
2011-04-18,70
2011-04-19,70
2011-04-20,70
2011-04-21,71
2011-04-22,71
2011-04-23,72
2011-04-24,72
2011-04-25,72
2011-04-26,73
2011-04-27,73
2011-04-28,73
2011-04-29,74
2011-04-30,74
2011-05-01,75
2011-05-02,75
2011-05-03,75
2011-05-04,76
2011-05-05,76
2011-05-06,76
2011-05-07,77
2011-05-08,77
2011-05-09,78
2011-05-10,78
2011-05-11,78
2011-05-12,79
2011-05-13,79
2011-05-14,80
2011-05-15,80
2011-05-16,80
2011-05-17,81
2011-05-18,81
2011-05-19,81
2011-05-20,82
2011-05-21,82
2011-05-22,83
2011-05-23,83
2011-05-24,83
2011-05-25,84
2011-05-26,84
2011-05-27,85
2011-05-28,85
2011-05-29,85
2011-05-30,86
2011-05-31,86
2011-06-01,87
2011-06-02,85
2011-06-03,84
2011-06-04,83
2011-06-05,82
2011-06-06,81
2011-06-07,80
2011-06-08,79
2011-06-09,78
2011-06-10,77
2011-06-11,76
2011-06-12,75
2011-06-13,74
2011-06-14,73
2011-06-15,72
2011-06-16,71
2011-06-17,70
2011-06-18,69
2011-06-19,68
2011-06-20,67
2011-06-21,66
2011-06-22,65
2011-06-23,64
2011-06-24,63
2011-06-25,62
2011-06-26,61
2011-06-27,60
2011-06-28,59
2011-06-29,58
2011-06-30,57
2011-07-01,56
2011-07-02,56
2011-07-03,56
2011-07-04,56
2011-07-05,56
2011-07-06,56
2011-07-07,56
2011-07-08,56
2011-07-09,56
2011-07-10,56
2011-07-11,56
2011-07-12,56
2011-07-13,56
2011-07-14,56
2011-07-15,56
2011-07-16,56
2011-07-17,56
2011-07-18,56
2011-07-19,56
2011-07-20,56
2011-07-21,56
2011-07-22,56
2011-07-23,56
2011-07-24,56
2011-07-25,56
2011-07-26,56
2011-07-27,56
2011-07-28,56
2011-07-29,56
2011-07-30,56
2011-07-31,56
2011-08-01,56
2011-08-02,55
2011-08-03,55
2011-08-04,55
2011-08-05,55
2011-08-06,55
2011-08-07,54
2011-08-08,54
2011-08-09,54
2011-08-10,54
2011-08-11,54
2011-08-12,53
2011-08-13,53
2011-08-14,53
2011-08-15,53
2011-08-16,53
2011-08-17,52
2011-08-18,52
2011-08-19,52
2011-08-20,52
2011-08-21,52
2011-08-22,51
2011-08-23,51
2011-08-24,51
2011-08-25,51
2011-08-26,51
2011-08-27,50
2011-08-28,50
2011-08-29,50
2011-08-30,50
2011-08-31,50
2011-09-01,50
2011-09-02,51
2011-09-03,52
2011-09-04,53
2011-09-05,55
2011-09-06,56
2011-09-07,57
2011-09-08,59
2011-09-09,60
2011-09-10,61
2011-09-11,63
2011-09-12,64
2011-09-13,65
2011-09-14,66
2011-09-15,68
2011-09-16,69
2011-09-17,70
2011-09-18,72
2011-09-19,73
2011-09-20,74
2011-09-21,76
2011-09-22,77
2011-09-23,78
2011-09-24,79
2011-09-25,81
2011-09-26,82
2011-09-27,83
2011-09-28,85
2011-09-29,86
2011-09-30,87
2011-10-01,89
2011-10-02,88
2011-10-03,87
2011-10-04,86
2011-10-05,86
2011-10-06,85
2011-10-07,84
2011-10-08,83
2011-10-09,83
2011-10-10,82
2011-10-11,81
2011-10-12,80
2011-10-13,80
2011-10-14,79
2011-10-15,78
2011-10-16,77
2011-10-17,77
2011-10-18,76
2011-10-19,75
2011-10-20,74
2011-10-21,74
2011-10-22,73
2011-10-23,72
2011-10-24,71
2011-10-25,71
2011-10-26,70
2011-10-27,69
2011-10-28,68
2011-10-29,68
2011-10-30,67
2011-10-31,66
2011-11-01,66
2011-11-02,65
2011-11-03,65
2011-11-04,64
2011-11-05,64
2011-11-06,63
2011-11-07,63
2011-11-08,62
2011-11-09,62
2011-11-10,61
2011-11-11,61
2011-11-12,60
2011-11-13,60
2011-11-14,59
2011-11-15,59
2011-11-16,58
2011-11-17,58
2011-11-18,57
2011-11-19,57
2011-11-20,56
2011-11-21,56
2011-11-22,55
2011-11-23,55
2011-11-24,54
2011-11-25,54
2011-11-26,53
2011-11-27,53
2011-11-28,52
2011-11-29,52
2011-11-30,51
2011-12-01,51
2011-12-02,51
2011-12-03,51
2011-12-04,52
2011-12-05,52
2011-12-06,53
2011-12-07,53
2011-12-08,53
2011-12-09,54
2011-12-10,54
2011-12-11,55
2011-12-12,55
2011-12-13,56
2011-12-14,56
2011-12-15,56
2011-12-16,57
2011-12-17,57
2011-12-18,58
2011-12-19,58
2011-12-20,58
2011-12-21,59
2011-12-22,59
2011-12-23,60
2011-12-24,60
2011-12-25,61
2011-12-26,61
2011-12-27,61
2011-12-28,62
2011-12-29,62
2011-12-30,63
2011-12-31,63
2012-01-01,64
2012-01-02,65
2012-01-03,66
2012-01-04,67
