Date,Apollo Global Management
2007-10-01,91
2007-10-02,90
2007-10-03,90
2007-10-04,90
2007-10-05,90
2007-10-06,90
2007-10-07,90
2007-10-08,90
2007-10-09,90
2007-10-10,90
2007-10-11,90
2007-10-12,90
2007-10-13,90
2007-10-14,90
2007-10-15,90
2007-10-16,90
2007-10-17,89
2007-10-18,89
2007-10-19,89
2007-10-20,89
2007-10-21,89
2007-10-22,89
2007-10-23,89
2007-10-24,89
2007-10-25,89
2007-10-26,89
2007-10-27,89
2007-10-28,89
2007-10-29,89
2007-10-30,89
2007-10-31,89
2007-11-01,89
2007-11-02,88
2007-11-03,87
2007-11-04,86
2007-11-05,85
2007-11-06,85
2007-11-07,84
2007-11-08,83
2007-11-09,82
2007-11-10,82
2007-11-11,81
2007-11-12,80
2007-11-13,79
2007-11-14,79
2007-11-15,78
2007-11-16,77
2007-11-17,76
2007-11-18,75
2007-11-19,75
2007-11-20,74
2007-11-21,73
2007-11-22,72
2007-11-23,72
2007-11-24,71
2007-11-25,70
2007-11-26,69
2007-11-27,69
2007-11-28,68
2007-11-29,67
2007-11-30,66
2007-12-01,66
2007-12-02,66
2007-12-03,67
2007-12-04,67
2007-12-05,68
2007-12-06,68
2007-12-07,69
2007-12-08,69
2007-12-09,70
2007-12-10,70
2007-12-11,71
2007-12-12,72
2007-12-13,72
2007-12-14,73
2007-12-15,73
2007-12-16,74
2007-12-17,74
2007-12-18,75
2007-12-19,75
2007-12-20,76
2007-12-21,76
2007-12-22,77
2007-12-23,78
2007-12-24,78
2007-12-25,79
2007-12-26,79
2007-12-27,80
2007-12-28,80
2007-12-29,81
2007-12-30,81
2007-12-31,82
2008-01-01,83
2008-01-02,82
2008-01-03,82
2008-01-04,82
2008-01-05,81
2008-01-06,81
2008-01-07,81
2008-01-08,80
2008-01-09,80
2008-01-10,80
2008-01-11,79
2008-01-12,79
2008-01-13,79
2008-01-14,78
2008-01-15,78
2008-01-16,78
2008-01-17,77
2008-01-18,77
2008-01-19,77
2008-01-20,76
2008-01-21,76
2008-01-22,76
2008-01-23,75
2008-01-24,75
2008-01-25,75
2008-01-26,74
2008-01-27,74
2008-01-28,74
2008-01-29,73
2008-01-30,73
2008-01-31,73
2008-02-01,73
2008-02-02,72
2008-02-03,71
2008-02-04,70
2008-02-05,70
2008-02-06,69
2008-02-07,68
2008-02-08,67
2008-02-09,67
2008-02-10,66
2008-02-11,65
2008-02-12,65
2008-02-13,64
2008-02-14,63
2008-02-15,62
2008-02-16,62
2008-02-17,61
2008-02-18,60
2008-02-19,59
2008-02-20,59
2008-02-21,58
2008-02-22,57
2008-02-23,57
2008-02-24,56
2008-02-25,55
2008-02-26,54
2008-02-27,54
2008-02-28,53
2008-02-29,52
2008-03-01,52
2008-03-02,53
2008-03-03,54
2008-03-04,56
2008-03-05,57
2008-03-06,59
2008-03-07,60
2008-03-08,62
2008-03-09,63
2008-03-10,65
2008-03-11,66
2008-03-12,68
2008-03-13,69
2008-03-14,71
2008-03-15,72
2008-03-16,74
2008-03-17,75
2008-03-18,77
2008-03-19,78
2008-03-20,80
2008-03-21,81
2008-03-22,83
